data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:18:56.172063,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:18:56.173777,
3,1,Organic,,1.0,B0CZ8FRW95,21Pcs 4th-of-July-Necklaces Independent-Day Patriotic Star Shaped Necklace Red-White-Blue Necklace for Adults Party Favors Accessories,N/A,$8.38,,4.4,47.0,False,https://m.media-amazon.com/images/I/810GrDlO85L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810GrDlO85L._AC_SL1500_.jpg,,2026-04-23T10:18:56.177850,
4,1,Organic,,2.0,B0CX1S7436,"100PCS 4th of July Accessories, Veterans Day Beads Necklace Bulk, Fourth of July Red Blue Silver Necklace Party Favors, Beads for Veterans Day Patriotic Parade Party Celebration Favors Decorations",N/A,$19.99,,4.6,1248.0,False,https://m.media-amazon.com/images/I/91pIKz9R9oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91pIKz9R9oL._AC_SL1500_.jpg,,2026-04-23T10:18:56.182611,
5,1,Organic,,3.0,B071W7WVBN,"Moon Boat 12PCS 4th of July Headbands, Fourth of July Party Decorations Accessories, Patriotic Red White Blue USA Outfit Favors for Independence/Memorial Day",N/A,$18.99,,4.5,789.0,False,https://m.media-amazon.com/images/I/81tEUF0CeKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tEUF0CeKL._AC_SL1500_.jpg,,2026-04-23T10:18:56.186378,
7,1,Title,,,,Debug info copied.Sponsored32 Pcs Independence Day 4th of July USA Parade Float Decor Kit Patriotic ,,,,,,False,,,,2026-04-23T10:18:56.187429,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:18:56.187595,
9,1,Organic,,4.0,B0F8MV37TB,YISSION 30 Pcs 4th of July Red Blue White Hair Clips Patriotic Mini Star Hair Pins Small Decorative Hair Clips Independence Day Star Hair Accessories for Girls Women Party Favor Gift,N/A,$7.99,,3.4,12.0,False,https://m.media-amazon.com/images/I/71f-H4Z7vHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71f-H4Z7vHL._AC_SL1500_.jpg,,2026-04-23T10:18:56.191324,
10,1,Organic,,5.0,B0CX4XGN43,"ILHSTY 2 Pair Star Sunglasses for Women Men, Patriotic Rimless Star Shaped Sunglasses USA Red White Blue Accessories for Memorial Day 4th of July Beach Pool Birthday Party Favor (Red White Blue)",N/A,$4.99,,4.6,109.0,False,https://m.media-amazon.com/images/I/71R+8l1BRML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71R+8l1BRML._AC_SL1500_.jpg,,2026-04-23T10:18:56.196005,
11,1,Organic,,6.0,B0F93PNXP8,"Teenitor 4th of July Star Face Gems, Self Adhesive Face Jewels for Women, Gem Stickers Face Rhinestones, Star Rhinestone Stickers 4th of July Accessories for Face, Body, Hair",N/A,$5.99,,4.7,207.0,False,https://m.media-amazon.com/images/I/81CIiCX7R+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CIiCX7R+L._AC_SL1500_.jpg,,2026-04-23T10:18:56.200474,
