data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,American Bunting Flags,https://aax-us-east-retail-direct.amazon.com/x/c/JJidLvV7e8cFsFenqxVJSGQAAAGdtNF1qwEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICA6YNyV/clv1c_ek-wBIHXErbWDn2nI4trJ16WtD5jqqAr-TIHSkfCl208yXpqREm7MRYF4eBxyRERi2RKicITtp208RhtRPi5J8E1QNnDnk5DSns5TjkW6kAGzRnmHlzUfbl65voUltNweHElhK5MzYkIMJABXsKwc7KjMFyckmVKkqGxTjehpPLfOOkboweYULsMwknCRHiPnX2wdAbMHgbe4TyJH4gAxk4SNdy_jgSSBKjcxBiX9bBDTcu92i6SdM5nlhD4A-VPUNmq1hD7ShF_antUjdRWsJ72foLsGDx3fJ-rWnaYUiiB4CE3g9BwvKu3NXVNGHVwtCBGQZH1HpuIWHbMixeoa2cYqA1YiVjg5YCLgxF44xIppwG_ilOXIr1u9trjzLMZv7-iVAp3owzCyhIgoLWOU1kywHTdF8tgZEmsw8VkYyOC1LSPPOcm70qgynpPaSIqnvHW8mWEawO_1dZnQcZZWyzru-VPKKKCe1IigDzyfQ-bQs4zXs4uZ_FhelTCaZMf8t-Ct1-rAFgwOPpA3pujO49ScYiEBXC9EOCx5g9Og8rq2M241kysS9zhWMS93G7N82xGeGQMcsh6O4ImyuuZb6cvhmS2ccGqzxLb2Isy-Jsl5FRUp62cBETkA7R6F1ISY-0zTE64EYcGV7ls_IoWYF0TMszYECHtGUyw3d0s2Zuz2yajEYtyGU6cuhJbdn9HgasYTr9ga76Fl2Xhuit2yLMb-tvRtIzQjhClrjvul9W09GHtZbwZJ-B_pLZ9Mj3lIvJbW_viwsDXB7wSGi3u9w0ilHu5tZoK2CHj-Ufghzus3yBr9_feT2NbfeUtH6d1VuRUiGfGywf5MCo5EWJaG9MsrKmp0oi5m4a-j8711o7zpeq0Mwd0kfFXJDPkS5XVYo7LZ-v_1GplexVJlvt7GEN35qfTZG8ZrUrp0EB7AR6b3gmm374zWxThUHjIwmaU1JeJutsCK1MrqbRWH5qHSHcEAKwPKRQLngf6-BPvRLjgD28OQCQlySs3fi90lhu4ycwLg9hPUQXnvjebH0FGrT1j0O-xqLkQooufFQOcZCRQOlJc32nZLtLsZqDGaDMnsLuSN-DY0oQ-BE4x0IqP_rzthAWpjbCOd_cPg_nd9-A2-se3nwEiMi9pHhocMm4UE5rkXzSN0ywjOBr9Tych9NGhc95G7ZLVKcR_RZloQzd5K77oa8buLqEhntqCNne_uwKPzF5JZvQq-8fVAoDX4oxhiZ4H0SZlj1ZRylh0i5lAZIkEdsy0HeqbjBS3cVFqq4zSTXlYbyNbqr6uoAFD-50rXlbs7rEr64XOC4-MMK2eKHWyDh4xWIqd2pH0s0lGu5MkPx0ByjSd2mn5RJxbfboljOx-RPH-oabk0ZVr56z1niSY953u6zYTp556D3N6mSJ-wdSplIyPaauj5wM2CsQZsEF-lVpOLvkXjs95nUBltR4bOFxj8B55v6mH2_txbbh1DXEDP7KW6uGrR2fhv1UMWZC3I-BUr9I5kFyE05d9WRLADE6v6JeZ7JxqYGBf3Klv8Bw1RNZdst8eLmc6S2l9cgPzIn5Sf-7cnht5p1aRD1G0P_OB8CO_v_MCHiSlWEu8biOwOdH8_RV9oJCiDUAEVZnjGwlqvHkD85VTC_n0-emPyjSuDiXMCPDpwMFLZLFPKvo69FdjzpWbwpAdlbqxeMMk7JlU/https://www.amazon.com/stores/page/ACA3B0A7-6261-42DA-9DD5-3A445FCD8C2D/?_encoding=UTF8&store_ref=SB_A037755519N2I6B0AFEB2-A09032243E8B6HTBOKARJ&pd_rd_plhdr=t&aaxitk=436f03e7ca79513ccb13146dabdad3d8&hsa_cr_id=0&lp_asins=B0BYYQG6NY%2CB0BYYSJCSQ%2CB0BV12T3P8&lp_query=4th%20of%20july%20crafts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=EdgxI&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=W6DQ5BRZ4V6VW1YTWYSG&pd_rd_wg=xwjE6&pd_rd_r=80f4c3f4-4864-4360-9380-7bba3aeeff7e,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/8e968fcd-d638-4f4f-b61c-36a22b93c31f._CR0,0,900,400_AC_SX130_SY60_CB1169409_QL70_.png",,American Bunting Flags,2026-04-22T10:52:00.874926,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T10:52:00.875696,
3,1,Organic,,1.0,B0BY8V5R9N,"JULBEAR 418pcs 4th of July Star Foam Craft, Patriotic Self-Adhesive Glitter Foam Stickers Crafts Kit for Independence Day Patriotic Party Favors Kids Classroom Activity Decorations Supplies",N/A,$17.99,,4.6,96.0,False,https://m.media-amazon.com/images/I/81il4FR81bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81il4FR81bL._AC_SL1500_.jpg,,2026-04-22T10:52:00.880931,
4,1,Organic,,2.0,B07Q2NP6QY,"Fun Express Patriotic Pom-Pom American Flag Sign Craft Kit - Makes 12 DIY 4th of July Crafts for Kids Ages 4-8 | Memorial Day Activities for Classroom, Preschool | Red White Blue Party Favors",N/A,$15.72,,4.1,30.0,False,https://m.media-amazon.com/images/I/71xu5PChRjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xu5PChRjL._AC_SL1500_.jpg,,2026-04-22T10:52:00.884495,
5,1,Organic,,3.0,B0CXPKLQCV,"Patriotic Glitter Cutouts Star Cutouts Kit Red Blue Sliver Star Cutouts Independence Day Cutouts with Glue Points for 4th of July Decoration Presidents' Day, Memorial Day Home Decor",N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81CFBHvLXbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CFBHvLXbL._AC_SL1500_.jpg,,2026-04-22T10:52:00.887845,
7,1,Title,,,,Recently bought and ratedSponsored| 4+ stars and rising in past 90 daysLandical 564 Pcs 4th of July ,,,,,,False,,,,2026-04-22T10:52:00.891986,
9,1,Title,,,,Debug info copied.SponsoredKigeli 300 Pcs 4th of July Beads Necklaces Bulk Patriotic Red White Blue ,,,,,,False,,,,2026-04-22T10:52:00.892598,
10,1,Title,,,,4th of july ornaments  memorial  for small  treeSponsored|Highly bought brand in this category|Shop ,,,,,,False,,,,2026-04-22T10:52:00.893830,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:52:00.893963,
12,1,Organic,,4.0,B0F3D5BW81,Qyeahkj 36 Set 4th of July Suncatchers Crafts for DIY Patriotic Star Window Tissue Paper Craft Kit Star Hanging Decor for Patriotic Home Activity Art Project Birthday Party Favor Gift,N/A,$12.99,,3.8,98.0,False,https://m.media-amazon.com/images/I/712m87UtIlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712m87UtIlL._AC_SL1500_.jpg,,2026-04-22T10:52:00.897215,
