data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:09:30.609065,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:09:30.611770,
3,1,Organic,,1.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,4011.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-23T11:09:30.617552,
4,1,Organic,,2.0,B0GVLJK23L,"14 Pcs America 250th Anniversary 4th of July Decorations, Happy 4th of July Banner, 250 Anniversary USA Banner and USA 250th July 4th Hanging Swirls for Patriotic Party, Independence Day, Memorial Day",N/A,$12.99,,4.0,1.0,False,https://m.media-amazon.com/images/I/91AK9PjkhRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91AK9PjkhRL._AC_SL1500_.jpg,,2026-04-23T11:09:30.621797,
5,1,Organic,,3.0,B0GSYJLRL4,12Pcs 4th of July Can Cooler Sleeves Patriotic Beverage Cooling Covers for 4th of July Accessories Patriotic Party Favors Memorial Day,N/A,$12.88,,5.0,1.0,False,https://m.media-amazon.com/images/I/71m0Wh5v4bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m0Wh5v4bL._AC_SL1500_.jpg,,2026-04-23T11:09:30.639209,
7,1,Title,,,,"8 Lighting Modes8 Light Modes4th of July Decorations Lighted Tree, 18 Inch Patriotic Tabletop Decor,",,,,,,False,,,,2026-04-23T11:09:30.642901,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:09:30.643119,
9,1,Organic,,4.0,B0GHNCZG4H,"4th of July Decorations - 2 Pack Red White and Blue Streamer for 250th Anniversary | Fourth of July Accessories Party Favors for Outdoor Outside Home - Memorial Day Patriotic Flag Banner Decor,10 FT",N/A,$3.98,,4.5,50.0,False,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_SL1500_.jpg,,2026-04-23T11:09:30.647213,
10,1,Organic,,5.0,B0FRD7TBK7,OHOME 4th of July Decorations - Patriotic USA Stars Table Runner for Home | Memorial Day Decorations - 250th Anniversary Fourth of July Accessories Decor Party Supplies Indoor Outdoor,N/A,$6.76,,4.6,266.0,False,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_SL1500_.jpg,,2026-04-23T11:09:30.653429,
11,1,Organic,,6.0,B0DYV7PB84,"4th of July Garland Decorations,50Ft Glitter Tinsel Patriotic Decor for Tree Car Golf Cart Parade Float Bike Party Table Yard Door Boat Indoor Outdoor Holiday Home",N/A,$14.98,,4.8,389.0,False,https://m.media-amazon.com/images/I/81lr+xyLu0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lr+xyLu0L._AC_SL1500_.jpg,,2026-04-23T11:09:30.678252,
