data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Party Accessories Bulk Supplies,https://aax-us-east-retail-direct.amazon.com/x/c/JBKwMKKlVtELfNobIUC_z-YAAAGduCBMpQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICAja6aL/clv1c_ek-wBAHWYsbYHo8JEUQ3y3PIWP3TiDftu4djrsN3ySBjtRy_VLEExYs45R0dN_pWKc2OiM7K-BAuiZEN6IsNl1czr_YhBufssJ95Lgjz98RUm3JHEJApvg9T69sspnYV8yj7mzj7uiSFguRFhdncUA4SgdU8l1HSckX2Zbei6OKfe2gVcrBt7itBpAl6Ue8fnFW_wmjPXoVYlmX4kyyIErnbGElTR1rTnZ7OIAshcwisKkhOD26WmssLnuMCToDk1kT8-gpMBc0rrloJ0UnGd-e0xTwBMN75x_1KVwfxnMUqBtV_641d3obEoHFH6eSrhXK5uhJHnr_ac3Q3LLCEAJInvFpPb1yU4dihaqswTrxdrb2UUqOiwwlPbjlLZezhVP0AD20JKDNWU0-c_LxTZuZbhUiUK7N1id5K7Jx9AvkSthO1ec77mJSgpK0Z0njKWrbwcBPMQS84LyCpLBTgvYgU1Arv4puHvTeMD4lSpTiVGorMWYLibFJlNwfX-V1SEVIhejky2qcwTnGWxFcolICgc7u1Rw9fhZirR1QuvYvRKQiC8Pln7E1NMGGgnnfHHDBSlb4kl2SNOxzRspJXdEF5TGO6CxFxsbBsAxjUznpOySMN73jhXk6g3chw4iK-w8p8CmeL6fAg0yCt9ZbTeQ9p2GUQu-zjT2WqlvT2opUT-UJHo575aBpH4hFEraqAcnv7N6kluywWoHt4nORoXIM8MmSSZ8AoGPwQCx1cH5tfoRQl-n5tt2tdgPtbA6Hpsu3fmROVtoNM5ugHTRAIqFO6m3D-Lf8OdgtgtdZk34Brk-8hB_LxgJNUZn0xMFEzRGKwA4-a8UgNcvcfqMBc35jSaqEOHb0SSU5cv6Og2QPyuKaFDhQdal1Jnvql3Dxc5wSdN5t_rEuJc9WpjNZ5xwck2P71ghfj7WFCi_el2umts5WAwqCjZwkDNzVLqFO2xLTzffAbLa0qLkdFP8qUZlLqR7q-_duFHDL9d4ONIwk8HlgPK5-3WX5F6M-zvYhZm1jmq-52V1eYE1sekwx1KvNKXmi4--0xVaSnfTcm4u7XB7mHKraygQ7gKWlYThZOQDXS7Uib8an70ifUxlZPbpdxbqz8gKdYmGmo0POynwtOKDN4438iYSugOlSUfdyynws4uHeCpi-ePcdMkXf1SNijGsksYTyNFKR03lp3riIJCOZRfDnmJuR5qjkOgPNVluFLH_gOoDV10LxNZqt69imWdF-ulyRL0Zw0Dhux-Qauf8Er9RAjF6rxsK4Tobohdm7g7SgGHrYadeFB5nIkp_7NZa54ndS7i4mvMfv_5qmEh33W3JiUEh7yfqq7pdv2J5HCfC85BiFemB3fwm_WpfPruhus2CdlaKIV_4K3zd8dxdfwtzKsWiMmyc2qA58m-Vz3tHXXmviBGtQpyiY-wRKDeDCnNP3cAz3VuDZ5ZaQkLQfwT6QQm3mSWG1DfgSkN53wQqxHiU55_4mDa7THDo8eI4-tpLjxu9M-snIuA0v4IyszK6CHK1Slkz6lvDIEmxOYhDScnGji21FS04GxCgGaNuf7UvAKseWL5BHrb7Yv8y5DQsKSKTR3_JkpQ4BJzM4m8O2PPPQ0Txd-bZpfucwP7Dc-QTx3fdB-B3vYzz2JcN7uxtccZeFPmhSw3GwAx7to6_ZGTRbhUMuYC4vfpa4EdwI92-SquqmtBEUaU4I0YDnr/https://www.amazon.com/stores/page/83451D18-B1BE-4BFD-B4B7-BFA58E851365/?_encoding=UTF8&store_ref=SB_A050902610VQCBOXS4W4K-A01606112BTHOUQCXPU0V&pd_rd_plhdr=t&aaxitk=0516ea51be576092604493a8e1871096&hsa_cr_id=0&lp_asins=B071W7WVBN%2CB0CXHTP7M2%2CB0CXHNHYD9&lp_query=4th%20of%20july%20party%20favors&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=2lplC&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=0EJA8QDR4RG436189D06&pd_rd_wg=ZM55i&pd_rd_r=8216ab19-03b5-44ea-84aa-646fa1549bf0,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ccf91101-fee3-46d7-8473-3df63bfdb563._CR0,0,4168,4167_AC_SX130_SY60_CB1169409_QL70_.jpg",,Party Accessories Bulk Supplies,2026-04-23T10:17:02.345508,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:17:02.346470,
3,1,Organic,,1.0,B0CY22WR97,"4th of July Party Favors Set, Fourth of July Decorations 158 Pcs Accessories Includes Slap Bracelets, Necklaces, USA Flags, Tattoos, Wristbands, Glasses, Headbands, Moustaches, Red White and Blue",N/A,$19.99,,4.7,62.0,False,https://m.media-amazon.com/images/I/919w71ti-zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/919w71ti-zL._AC_SL1500_.jpg,,2026-04-23T10:17:02.353710,
4,1,Organic,,2.0,B0D3WG214X,"PartyWorks Patriotic Candy - 40 Count Bag - Popping Rocks Pouches - 4th of July Candies - Strawberry, Blue Raspberry Flavors - Individually Wrapped Triangles",N/A,$7.99,,4.4,408.0,False,https://m.media-amazon.com/images/I/91dSBAg0vwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91dSBAg0vwL._AC_SL1500_.jpg,,2026-04-23T10:17:02.358570,
5,1,Organic,,3.0,B0GKF5BTJ3,4 Pack 4th of July Foil Fringe Curtains 3.3 x 6.6 Ft Patriotic Party Tinsel Curtain Backdrop Red Blue Silver Stars Metallic Foil Streamer Photo Booth Prop for Memorial Day Independence Day Wall Decor,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/91pg4KWa9GL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91pg4KWa9GL._AC_SL1500_.jpg,,2026-04-23T10:17:02.362368,
7,1,Title,,,,"Glow in Dark6 ColorsGlow Sticks Party Favors for Kids 12 PCS,Glow in Dark Party Supplies for Toddler",,,,,,False,,,,2026-04-23T10:17:02.363720,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:17:02.363862,
9,1,Organic,,4.0,B0C2C7S1LS,"VKTEN 32Pcs 4th of July Mini Bubble Wands Patriotic Red White Blue Bubbles for Kids, Independence Day Party Favors Patriotic Decorations",N/A,$7.99,,4.6,139.0,False,https://m.media-amazon.com/images/I/7166rh8v19L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7166rh8v19L._AC_SL1500_.jpg,,2026-04-23T10:17:02.367575,
10,1,Organic,,5.0,B0BXWFHMCL,hexiaoxiao 36pcs 4th of July Rubber Bracelets Silicone Wristbands for independence day decorations Supplies fourth of july Party Favors for kids&teens Classroom Prizes Gifts,N/A,$7.99,,4.8,136.0,False,https://m.media-amazon.com/images/I/81tOyvMZh6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tOyvMZh6L._AC_SL1500_.jpg,,2026-04-23T10:17:02.371742,
11,1,Organic,,6.0,B09YR5BXYS,50 Pcs Slap Bracelets for Kids 4th of July Slap Bracelets Bulk Snap Bracelet Party Supplies Favors Classroom Prizes Exchanging Gifts,N/A,$9.99,,4.7,265.0,False,https://m.media-amazon.com/images/I/61Rs3R+GVzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Rs3R+GVzL._AC_SL1500_.jpg,,2026-04-23T10:17:02.375209,
