data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Party Accessories Bulk Supplies,https://aax-us-east-retail-direct.amazon.com/x/c/JAbj6udfvdWGOwi_GK01rD0AAAGduJ2v5QEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICACEuqY/clv1c_ek-wBHHWJTbbzg4Tc58huj4p7dU1cgP4uwt3UOnoj5-rzDUCJEvlHmql-m1mxyNMXaKaIhDqIUI2hj0WVJJT7sZUW6FX7k-9Oj9hCtjx2P2-us_hPEoJtQZ44v-kRjIz6os1A8Sh4hCSRF8JjPlJDZLV9N2djj1qkGBwzzvOLJYeX01FvpNcLkvnjXIofw16AOBKwPMQHxhI1OiZ_6gSsmufhUXwj0x-ZH5kKVGfS748RWN9SjB4uUgfi_6u_T4LiKj_MdtAqeTgSzMqDuDorgpi8Soj62tNAAFxcErMT2inOHW2sHDYbsjD031-cC7vlKEFY0dppCMgVpDjbs_lLsPbyN0ppeYk-mUBHq5jZEFijC79YvpEQMWvACQOim4lk_iebc6tAp2VXQ2EA8YbQ-fHvPrdtkHEp1ihDJDuuXBZjFXpBbQrq2Ouuf1bvbpUIJ-Yq95B_WYcJYD0UIvKLOwadsErQrtm2OMvolaA2-H4jnPr_aug0IasGN7X-8pFfsgsEmq9nPDIdJtC5QdeotdcPjvGVB8Jeeif0hkmPHf6tVLReAibPJmyCzV6BI0JcuQYUc4a0brqCwv2CfYASRY1z9XNPc7KiCTlaFQm_3NVW67uqXHrfho-O2ejI_Fdz_wANy9E5EUB7G1GEN5E5L_q8U6anT1v10fwlCw2D23gFNbW3ezZ76QQfMfPRiptyMnSxXLDhj6rVI2B9WNI82b-0HZ3-nC-nUmACCqgta5e5z2WQWG5yx9NT4BTKzWPUAoD19KjfOpQuiczTRQa6P5_1Gy5taqxXPnJVD37L0r4Euu5izWZuPaJC_CHAk7oD60JgyQE3MNu942S15t09BGS5oVtWOSVMVGF5HJ28KeXY27sjHy-FbIBA27rTKMDq--Gksco6QuusGLjLZfeL0xTx7e_QvAZRFbgblUG2XR4eP65i6tWCGZL99PRxjgm1T4RKtNk-ZoX6TocjQhs_PZTBJbfPl2RkkbcpT53OtgWImxWKet1L2jylp2PCnTYGS3HETh_9UDKwMOn5EvJIeMICxWuak0Oa_Z8ODlkcGSL-meq8hkA1f7IO_uqzqCUaeKT5f2MS-FFLUfPSTjUEDtkT-ZyxURaZJ302jmCb4lpDcjC9kpPrKAifQsv4DFMEnxMZDQoWQxtDPKhHqP8cxijdKMC1s5znf2bQ0KJPN-5Y2n2fT1NJT5XDAyKtObCut1BaX0XwORxFA2fvENRRN5Rpr48iF5oPJ292CgB6huGlAjB9420B9QT5Vm83af2jwHxNtCrwDsbRN7mRShjdgWMQTzMbMxjV6xNw8cqhEQRp_Jza8GSNJAmOA8KVt3AMyZNj_qnBhR-x528aNYEggUugfvBdHxUOIzu950ok49eGKTHrwj4OsKIy4zwtlDosSAI3hih69z0CKcs852O6Kz0uB77EEgO9b_saTTOzKqqgbiTExe7FfgsHm18PypbSMmrv6F5c1ADmPJSgXxvbL6eeWz2OIXTXu02Fb0alqerXuBFq5c7C8J1FNGnR1LRedJNJRTshEWqYYbtab0BNDZh7WN9hvoGWKo3EiEgNHSoIViyE4KautUfmnjEBbB_NCs1cvz7bh9FCBYzVT2N2Dh-q-XDutTgk_y4eEo8UXe9VzPpeN3OWqv5VMgg0CgIhT4RDvpo7Cp9rHC_934IS3u1_hDzqvRAj17E5nc/https://www.amazon.com/stores/page/83451D18-B1BE-4BFD-B4B7-BFA58E851365/?_encoding=UTF8&store_ref=SB_A050902610VQCBOXS4W4K-A01606112BTHOUQCXPU0V&pd_rd_plhdr=t&aaxitk=0516ea51be576092604493a8e1871096&hsa_cr_id=0&lp_asins=B071W7WVBN%2CB0CXHTP7M2%2CB0CXHNHYD9&lp_query=4th%20of%20july%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=2jGAK&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=F42HF3GZMTX7JC8DCMTD&pd_rd_wg=QAc4k&pd_rd_r=b18041b0-52e3-4e34-bd4e-b4723e5e64c6,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ccf91101-fee3-46d7-8473-3df63bfdb563._CR0,0,4168,4167_AC_SX130_SY60_CB1169409_QL70_.jpg",,Party Accessories Bulk Supplies,2026-04-23T12:33:56.381401,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:33:56.382494,
3,1,Organic,,1.0,B0DWZKWJHG,"4th of July Party Supplies Set, Patriotic Theme Kit for Independence & Election Day Decorations, Includes Plates, Napkins, Cups, Banner, Tablecloth -Patriotic & 4th of July Party Decorations-24 Guests",N/A,$21.58,,4.8,558.0,False,https://m.media-amazon.com/images/I/81r8uRVECLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81r8uRVECLL._AC_SL1500_.jpg,,2026-04-23T12:33:56.388950,
4,1,Organic,,2.0,B09V2VNFGQ,"MGparty 4th of July Accessories, 138Pcs Patriotic Party Favors Supplies Set Fourth of July Decorations Independence Day Celebrations Memorial Day Decor Classroom Prizes for kids",N/A,$20.99,,4.3,115.0,False,https://m.media-amazon.com/images/I/91STXu7YN3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91STXu7YN3L._AC_SL1500_.jpg,,2026-04-23T12:33:56.392519,
5,1,Organic,,3.0,B0GFKF3KQF,"100 Pcs 4th of July Patriotic Paper Plates and Napkins Set Heavy Duty,12""x10"" Large Red White Blue Oval Disposable Tableware Set for Veterans Election Day Independence Day American Flag Party Decor",N/A,$19.99,,4.8,8.0,False,https://m.media-amazon.com/images/I/714lzL1+BjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/714lzL1+BjL._AC_SL1500_.jpg,,2026-04-23T12:33:56.400574,
7,1,Title,,,,"Debug info copied.Sponsored4th of July Party Decorations Red White Blue Foil Fringe Curtains, 2 Pack",,,,,,False,,,,2026-04-23T12:33:56.401560,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:33:56.401771,
9,1,Organic,,4.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,4011.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-23T12:33:56.405905,
10,1,Organic,,5.0,B0GH19CH2S,"4th of July Party Supplies, American 250th Anniversary Patriotic Party Kit for Independence Day, Memorial Day, Plates, Napkins, Cups, Banner for 4th of July Decorations (American)",N/A,$21.99,,4.8,12.0,False,https://m.media-amazon.com/images/I/81MffqHReBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MffqHReBL._AC_SL1500_.jpg,,2026-04-23T12:33:56.410335,
11,1,Organic,,6.0,B0G35VS8P5,"30 Pack Red, White, Blue Star Food Trays, Disposable Paper Serving Containers Boats for Popcorn, Snacks, Food Trucks, 4th of July, Memorial Day, BBQs, Patriotic Parties, Picnics, Summer Party Supplies",N/A,$9.99,,4.5,6.0,False,https://m.media-amazon.com/images/I/81CSslm-VfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CSslm-VfL._AC_SL1500_.jpg,,2026-04-23T12:33:56.413857,
