data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:59:07.063006
2,1,Organic,,1.0,B0DK43W8G7,"LEGO Santa’s Delivery Truck Building Toy for Kids - Construction Set for Play or Christmas Decor - Building Blocks for Girls & Boys, Ages 8+ - Holiday Craft Ideas for Families - 40746",N/A,$9.99,,4.9,1344.0,False,https://m.media-amazon.com/images/I/81bxxgCuOSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81bxxgCuOSL._AC_UY218_.jpg,,2026-04-23T10:59:07.068280
3,1,Organic,,2.0,B072NHSHRZ,"Twinings Christmas Black Tea Individually Wrapped Bags, 20 Count (Pack of 1), Aromatic Cinnamon & Clove, Caffeinated, Enjoy Hot or Iced, 20 Teabags",N/A,$4.39,,4.6,210.0,False,https://m.media-amazon.com/images/I/817faLHH8BL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/817faLHH8BL._AC_UY218_.jpg,,2026-04-23T10:59:07.073334
4,1,Organic,,3.0,B0DKJKQFDB,Cosy Family 7.5 ft Christmas Tree Storage Bag - Durable Heavy Duty Extra Large Artificial Xmas Holiday Tree Bag with Reinforced Handles and Dual Zippers Wide Opening - Red,N/A,$7.99,,4.6,4178.0,False,https://m.media-amazon.com/images/I/81R9RiKKq8L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81R9RiKKq8L._AC_UY218_.jpg,,2026-04-23T10:59:07.078438
5,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:59:07.078925
6,1,Organic,,4.0,0375863591,The Night Before Christmas (Little Golden Book),N/A,$2.99,,4.8,4949.0,False,https://m.media-amazon.com/images/I/71xn5Thd2aL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71xn5Thd2aL._AC_UY218_.jpg,,2026-04-23T10:59:07.084509
7,1,Organic,,5.0,B0DRT11VH3,"BARILLA Limited Edition Snowfall Pasta, 12 oz. Box",N/A,$5.99,,4.7,1029.0,False,https://m.media-amazon.com/images/I/710zSPiOlAL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/710zSPiOlAL._AC_UY218_.jpg,,2026-04-23T10:59:07.090489
8,1,Organic,,6.0,1338332589,I Spy Christmas: A Book of Picture Riddles,N/A,$8.99,,4.9,3127.0,False,https://m.media-amazon.com/images/I/91MBub9vwHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91MBub9vwHL._AC_UY218_.jpg,,2026-04-23T10:59:07.099254
9,1,Organic,,7.0,B0069S7VX6,"REESE'S Milk Chocolate Peanut Butter Trees, Christmas Candy Packs, 1.2 oz (6 Count)",N/A,$5.21,,4.6,1595.0,False,https://m.media-amazon.com/images/I/81B+eIF4wlL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81B+eIF4wlL._AC_UY218_.jpg,,2026-04-23T10:59:07.106019
10,1,Organic,,8.0,B07KGP7LY3,"GHIRARDELLI Peppermint Bark Snowmen – Limited Edition Holiday Chocolate Candy Featuring Layers of Rich Chocolate Layers with Festive Peppermint Flavor, 5.7 oz Bag",N/A,$9.61,,4.6,893.0,False,https://m.media-amazon.com/images/I/815lFb-Y2zL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/815lFb-Y2zL._AC_UY218_.jpg,,2026-04-23T10:59:07.111541
11,1,Organic,,9.0,B0F3DQZ193,"Yankee Candle Christmas Cookie Scented Candle, 22oz Large Jar with up to 150 Hour Burn Time, Giftable",N/A,$34.99,,4.7,1092.0,False,https://m.media-amazon.com/images/I/71vXjHdOmLL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71vXjHdOmLL._AC_UY218_.jpg,,2026-04-23T10:59:07.115933
12,1,Organic,,10.0,B08CZWDFSB,"RJVW Christmas Santa Hat for Adults, Thicken Soft Velvet Comfort Classic Santa Claus Hat for New Year Party Headwear Holiday",N/A,$9.99,,4.5,2802.0,False,https://m.media-amazon.com/images/I/61pmvvS9iQL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61pmvvS9iQL._AC_UY218_.jpg,,2026-04-23T10:59:07.121113
13,1,Organic,,11.0,1683313178,Twelve Slays of Christmas: A Christmas Tree Farm Mystery,N/A,$14.99,,4.5,1578.0,False,https://m.media-amazon.com/images/I/81tENYVf1nL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81tENYVf1nL._AC_UY218_.jpg,,2026-04-23T10:59:07.127235
14,1,Organic,,12.0,0593434382,How the Grinch Stole Christmas! Full Color Edition (Classic Seuss),N/A,$8.50,,4.9,3290.0,False,https://m.media-amazon.com/images/I/91GbeLAeoWL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91GbeLAeoWL._AC_UY218_.jpg,,2026-04-23T10:59:07.134144
15,1,Organic,,13.0,0307960382,Frosty the Snowman (Frosty the Snowman): A Classic Christmas Book for Kids (Little Golden Book),N/A,$2.99,,4.8,4524.0,False,https://m.media-amazon.com/images/I/71Ymf67F15L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71Ymf67F15L._AC_UY218_.jpg,,2026-04-23T10:59:07.141166
16,1,Organic,,14.0,B00Q98YPBM,"Christmas Tree Storage Bag - Stores 7.5 Foot Artificial Xmas Holiday Tree, Durable Waterproof Material, Zippered Bag, Carry Handles. Protects Against Dust, Insects and Moisture (Red)",N/A,$5.99,,4.5,44058.0,False,https://m.media-amazon.com/images/I/81gYZY6Fr+L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81gYZY6Fr+L._AC_UY218_.jpg,,2026-04-23T10:59:07.149272
17,1,Organic,,15.0,B0FLDP1GQQ,"Amazon eGift Card | Greetings, Digital Delivery",N/A,$5.00,,4.8,14599.0,False,https://m.media-amazon.com/images/I/71rLs7CJePL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71rLs7CJePL._AC_UY218_.jpg,,2026-04-23T10:59:07.152881
18,1,Organic,,16.0,B0G2LML4GK,A Very Inconvenient Christmas,N/A,$0.00,,4.3,363.0,False,https://m.media-amazon.com/images/I/81MgVTDPj-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81MgVTDPj-L._AC_UY218_.jpg,,2026-04-23T10:59:07.157994
19,1,Title,,,,Related searcheschristmas decorationschristmas treechristmas decorchristmas ornamentschristmas gifts,,,,,,False,,,,2026-04-23T10:59:07.159682
20,1,Title,,,,Previous123...20Next,,,,,,False,,,,2026-04-23T10:59:07.160477
21,1,Title,,,,Need help?Visit the help sectionorcontact us,,,,,,False,,,,2026-04-23T10:59:07.160824
0,2,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:59:24.282072
2,2,Organic,,17.0,B0C449R6PX,"Nutella Biscuits Cookies Filled with Nutella Hazelnut Spread, Sweet Snack Pack, 9.7 oz",N/A,$5.77,,4.6,10153.0,False,https://m.media-amazon.com/images/I/81KvuYncj4L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81KvuYncj4L._AC_UY218_.jpg,,2026-04-23T10:59:24.291557
3,2,Organic,,18.0,B016S52XNM,"Pepperidge Farm Chocolate Collection, 7 Cookie Varieties, 13-oz Box",N/A,$8.57,,4.3,8432.0,False,https://m.media-amazon.com/images/I/91+vMP1VIsL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91+vMP1VIsL._AC_UY218_.jpg,,2026-04-23T10:59:24.299890
4,2,Organic,,19.0,B09RTVD1GF,"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",N/A,$19.95,,4.8,73940.0,False,https://m.media-amazon.com/images/I/91-R5huHLnL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91-R5huHLnL._AC_UY218_.jpg,,2026-04-23T10:59:24.306706
5,2,Title,,,,More results,,,,,,False,,,,2026-04-23T10:59:24.307544
6,2,Organic,,20.0,B0FG7PBPPF,"210 LEDs Warm White LED String Lights – 70FT Transparent Wire, Waterproof & Connectable Christmas Tree Lights for Indoor Outdoor Holiday Décor",N/A,$5.99,,4.6,1305.0,False,https://m.media-amazon.com/images/I/91POkaHTHHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91POkaHTHHL._AC_UY218_.jpg,,2026-04-23T10:59:24.313571
7,2,Organic,,21.0,B08LJS6D5G,"GHIRARDELLI Holiday Classic Chocolate Assortment SQUARES – Limited Edition Milk & Dark Chocolate Candy with Caramel and Mint Flavors, Individually Wrapped, 8.6 oz Bag",N/A,$8.60,,4.5,1415.0,False,https://m.media-amazon.com/images/I/81DZB5qsTHL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81DZB5qsTHL._AC_UY218_.jpg,,2026-04-23T10:59:24.319158
8,2,Organic,,22.0,B0BH1NP1TL,"LEGO Christmas Tree - Building Toys for Kids, Boys & Girls, Ages 12+ - Mini Christmas Tree Decorations for Tabletop & Home - Gifts for Boys & Girls - 40573",N/A,$44.99,,4.8,2959.0,False,https://m.media-amazon.com/images/I/81sYX-0b5UL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81sYX-0b5UL._AC_UY218_.jpg,,2026-04-23T10:59:24.324443
9,2,Organic,,23.0,B09MSNSJ3B,"Gift Wrap Organizer, Christmas Wrapping Paper Storage Bag w/Useful Pockets for Xmas Accessories, Fits Upto 24 Rolls, Underbed Storage for Holiday Decorations, Large Capacity Storage Box",N/A,$21.99,,4.6,8619.0,False,https://m.media-amazon.com/images/I/71cXNEVRKoL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71cXNEVRKoL._AC_UY218_.jpg,,2026-04-23T10:59:24.333554
10,2,Organic,,24.0,B0DWPCZX25,"YumEarth Holiday Organic Gummy Fruits 15ct Box Allergy Friendly Christmas Candy, Dye Free, Gluten Free, Non GMO Fruit Snacks",N/A,$12.96,,4.6,72.0,False,https://m.media-amazon.com/images/I/71QTltwYHbL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71QTltwYHbL._AC_UY218_.jpg,,2026-04-23T10:59:24.339878
11,2,Organic,,25.0,B0FCXP8VTT,"Brightown 300 LED Fairy Curtain Lights, 9.8ft x 9.8ft Warm White Curtain String Lights, USB Plug in 8 Lighting Modes Christmas Decoration, Hanging Lights with Remote for Bedroom Indoor Weddings Dorm",N/A,$7.98,,4.3,9219.0,False,https://m.media-amazon.com/images/I/81lje80zgcL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81lje80zgcL._AC_UY218_.jpg,,2026-04-23T10:59:24.350661
12,2,Organic,,26.0,B07TWBS42T,"Santa Cookie Elf Candy Snowman Christmas Edition Holiday Card Game by Taco Cat Goat Cheese Pizza | Great for Stockings and White Elephant Gift | Fun for Kids, Teens, Adults, and Families | 2-8 Players",N/A,$9.99,,4.8,4045.0,False,https://m.media-amazon.com/images/I/61XqLCh3CxL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61XqLCh3CxL._AC_UY218_.jpg,,2026-04-23T10:59:24.357899
13,2,Organic,,27.0,B015DJ5JV2,Scentsicles White Winter Fir Scented Christmas Tree Ornaments - 2 Bottles (12 Sticks Total),N/A,$17.98,,4.3,7187.0,False,https://m.media-amazon.com/images/I/71h5yZ6sB8L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71h5yZ6sB8L._AC_UY218_.jpg,,2026-04-23T10:59:24.365013
14,2,Organic,,28.0,B07MW93ZLQ,A Christmas Carol,N/A,$0.29,,4.7,42398.0,False,https://m.media-amazon.com/images/I/71fWHDPESKL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71fWHDPESKL._AC_UY218_.jpg,,2026-04-23T10:59:24.373548
15,2,Organic,,29.0,B092NW9S7H,The Christmas Pig,N/A,$0.00,,4.7,9892.0,False,https://m.media-amazon.com/images/I/81aP6Q0DgiL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81aP6Q0DgiL._AC_UY218_.jpg,,2026-04-23T10:59:24.381476
16,2,Organic,,30.0,B0FL29F82B,"116PCS Christmas Decorations, 9 Sheets Christmas Window Clings, Snowflake Window Clings Decals, Double Sided Xmas Snowflake Decal Stickers for Winter Holiday Home Indoor Decorations Decor Supplies",N/A,$7.99,,4.5,1695.0,False,https://m.media-amazon.com/images/I/91c3qO9HTFL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91c3qO9HTFL._AC_UY218_.jpg,,2026-04-23T10:59:24.387473
17,2,Organic,,31.0,B0FMYDXD7X,OFEEFAN Womens Tops Short Sleeve Shirts Buttons V Neck Spring Fashion Summer Outfits Plus Size Blouses Dressy Casual,N/A,$9.48,,4.4,1458.0,False,https://m.media-amazon.com/images/I/71b2vH2ABhL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71b2vH2ABhL._AC_UY218_.jpg,,2026-04-23T10:59:24.395847
