data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:49:16.813503,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:49:16.814321,
3,1,Organic,,1.0,B0GBX8QWDD,"2 Pcs Amalfi Coast Party Decorations Mediterranean Table Decor, 6 ft Lemon Garland and 35x 71 in Blue Cheesecloth Table Runner Capri Lemon Garland Italian Runner Summer Party Home Decor",N/A,$24.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81DwIL5TdeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DwIL5TdeL._AC_SL1500_.jpg,,2026-04-23T09:49:16.818860,
4,1,Organic,,2.0,B01GGIT4JW,Perle di Sole Italian Lemon Drops Hard Candy Individually Wrapped (7.05 oz) Made with Essential Oils of Amalfi Coast P.G.I. Lemon - Italian Imported Gifts From Italy,N/A,$9.99,,4.6,5255.0,False,https://m.media-amazon.com/images/I/814KT0C6rhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814KT0C6rhL._AC_SL1500_.jpg,,2026-04-23T09:49:16.824486,
5,1,Organic,,3.0,B0FDQ78G64,"La Dolce Vita Bridal Shower Wedding Banner, Lemon Citrus Bachelorette Decor, Italian Summer Dinner Celebration Decorations, Girls Bachelorette Weekend Party Decorations Gold Blue Glitter",N/A,$9.99,,4.2,4.0,False,https://m.media-amazon.com/images/I/51+WP8MsRbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51+WP8MsRbL._AC_SL1500_.jpg,,2026-04-23T09:49:16.828192,
7,1,Title,,,,Debug info copied.Sponsored15PCS Lemon Paper Lanterns Party Decorations: Amalfi Coast Capri Yellow B,,,,,,False,,,,2026-04-23T09:49:16.829056,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:49:16.829206,
9,1,Organic,,4.0,B0GLZ14Q7P,"23pcs Amalfi Coast Party Decorations - Capri Lemon Yellow Blue White Hanging Paper Lanterns, Fans, Pom Poms, Honeycomb for Birthday, Baby Shower, Mediterranean, Italian Summer Themed Decor",N/A,$14.99,,4.9,10.0,False,https://m.media-amazon.com/images/I/81YGzHODI4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YGzHODI4L._AC_SL1500_.jpg,,2026-04-23T09:49:16.832691,
10,1,Organic,,5.0,B0CP7GL891,U'Artlines 2Pcs Total 11 Ft Artificial Lemon Garland Spring Summer Faux Fruit Vine Garlands with Greenery for Door Wall Mantle Wedding Party Table Decorations,N/A,$28.79,,4.4,167.0,False,https://m.media-amazon.com/images/I/71ZQr5Bw--L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZQr5Bw--L._AC_SL1500_.jpg,,2026-04-23T09:49:16.837086,
11,1,Organic,,6.0,B0DNDNY5VR,Giegxin Blue Tiles Lemon Table Centerpiece Decor Amalfi Coast Box Decorations with Artificial Lemon Branches for Capri Mediterranean Positano Wedding Birthday Party Decor(4 Sets),N/A,$27.99,,4.0,61.0,False,https://m.media-amazon.com/images/I/91GIj-CG2jL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91GIj-CG2jL._AC_SL1500_.jpg,,2026-04-23T09:49:16.840890,
12,1,Organic,,7.0,B0D7HD1C48,"Nakpins Capri Lemon Party Decorations, 40Pcs Amalfi Coast Disposable Blue Tile Italian Napkins",N/A,$9.99,,4.7,29.0,False,https://m.media-amazon.com/images/I/81x7ngZQxyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81x7ngZQxyL._AC_SL1500_.jpg,,2026-04-23T09:49:16.846585,
13,1,Organic,,8.0,B0GLGGDT4B,15PCS Lemon Paper Lanterns Party Decorations: Amalfi Coast Capri Yellow Blue Tiles Mediterranean Hanging Decor for Bridal Shower Birthday Wedding Supplies,N/A,$17.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/91t8OX39G+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91t8OX39G+L._AC_SL1500_.jpg,,2026-04-23T09:49:16.853290,
14,1,Organic,,9.0,B0G6F932N7,VitalCozy Blue Tiles Lemon Decor 7.2ft Amalfi Coast Lemon Arch Cover Spring Summer Birthday Party Decorations Spandex Fitted Arch Stand Covers Round Top Blue Yellow Decor for Wedding Bridal Shower,N/A,$24.99,,4.8,9.0,False,https://m.media-amazon.com/images/I/81SZK3FyaXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SZK3FyaXL._AC_SL1500_.jpg,,2026-04-23T09:49:16.858131,
15,1,Title,,,,"The Last Toast on the Coast!Sponsored|Shop xo, FettiShop nowPrevious pagexo, Fetti Bachelorette Blue",,,,,,False,,,,2026-04-23T09:49:16.859800,
16,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:49:16.859943,
17,1,Organic,,10.0,B0DSZWSVK4,"Hushee 6 Pcs Large Amalfi Coast Party Decorations Boxes, 12 Inch Amalfi Coast Cardboard Box Capri Lemon Backdrop Bowl Party Decor Props Boxes for Birthday Baby Shower Wedding Supplies",N/A,$25.99,,4.7,58.0,False,https://m.media-amazon.com/images/I/81PU8FCEB6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PU8FCEB6L._AC_SL1500_.jpg,,2026-04-23T09:49:16.863286,
18,1,Organic,,11.0,B083SKP8QB,Winlyn 30 Pack Faux Yellow Lemons Artificial Fruits Fake Lemons Lifelike Simulation for Lemonade Party Kitchen Table Summer Decorations Vase Fillers Fruit Bowl Lemon Wreath Garland Photography Props,N/A,$18.99,,4.7,2487.0,False,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_SL1500_.jpg,,2026-04-23T09:49:16.868279,
19,1,Organic,,12.0,B0FHTLBG95,"Capri Lemon Tile Banner Decorations Mediterranean Blue Yellow Amalfi Coast Party Decor for Italian Summer Wedding, Birthday, Bachelorette, Bridal Shower, Fiesta Supplies",N/A,$13.99,,4.3,19.0,False,https://m.media-amazon.com/images/I/81ZnG-aHI+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ZnG-aHI+L._AC_SL1500_.jpg,,2026-04-23T09:49:16.872587,
20,1,Organic,,13.0,B0CP5GPN7K,"DARJEN 24Pcs Blue Votive Candle Holders - Glass Candle Holder for Party Decoration, Tea Lights Candle Holder for Wedding Shower & Gift",N/A,$30.99,,4.7,299.0,False,https://m.media-amazon.com/images/I/81euxNDvVWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81euxNDvVWL._AC_SL1500_.jpg,,2026-04-23T09:49:16.876723,
21,1,Organic,,14.0,B0FL7CYMNF,188PCS Capri Lemon Party Supplies Blue Tiles Yellow Birthday Decorations Amalfi Coast Lemon Summer Citrus Mediterranean Plates Napkins Set Banner Tablecloth CakeTopper Balloon Honeycomb Centerpieces,N/A,$26.88,,4.6,174.0,False,https://m.media-amazon.com/images/I/9140+Jh-SVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/9140+Jh-SVL._AC_SL1500_.jpg,,2026-04-23T09:49:16.882298,
22,1,Organic,,15.0,B0DLGM42M8,Retisee 12 Pcs 10'' Capri Lemon Paper Lantern Party Decoration for Bridal Shower Wedding Graduation Amalfi Coast Yellow Blue Tiles Mediterranean Party Paper Lantern Hanging Decor for Lemon Birthday,N/A,$17.99,,4.7,68.0,False,https://m.media-amazon.com/images/I/81FTehl2jbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FTehl2jbL._AC_SL1500_.jpg,,2026-04-23T09:49:16.886521,
