data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:00:26.465026,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:00:26.465811,
3,1,Organic,,1.0,B0GQXRK6GM,Kenning 50/100/200 Pcs 250th Anniversary Silicone Bracelets Bulk USA 4th of July Patriotic Wristband 1776-2026 American Flag Rubber Bracelet for Independence Day Party Favors Souvenirs(100 Pcs),N/A,$28.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71sfUhjAr1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71sfUhjAr1L._AC_SL1500_.jpg,,2026-04-23T12:00:26.469790,
4,1,Organic,,2.0,B0GRTS3VLT,Norme 100 Pcs 250th Anniversary Silicone Bracelets Bulk Fourth of July Rubber Wristband US Independence Day Souvenirs Gifts for American Goodie Bag Stuffers Decorations Supplies,N/A,$24.99,,,,False,https://m.media-amazon.com/images/I/81d1xOm19vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81d1xOm19vL._AC_SL1500_.jpg,,2026-04-23T12:00:26.473135,
5,1,Organic,,3.0,B0GL1LQXCV,Yinkin 60/120 Pcs 250th Anniversary Silicone Bracelets Bulk USA 4th of July Patriotic Rubber Wristbands Red White Blue Bracelets for American Independence Memorial Day Party Favor Gifts(120 Pcs),N/A,$24.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/814ty+ov8tL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814ty+ov8tL._AC_SL1500_.jpg,,2026-04-23T12:00:26.476827,
7,1,Title,,,,Debug info copied.SponsoredHuquary 50 Pcs Team Bracelets Bulk Sports Game Day Adjustable Bracelets G,,,,,,False,,,,2026-04-23T12:00:26.477836,
8,1,Title,,,,Silicone Charm Bracelets Bulk Adjustable WristbandSponsored|Shop ZhanmaiShop nowPrevious pageZhanmai,,,,,,False,,,,2026-04-23T12:00:26.479007,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:00:26.479140,
10,1,Organic,,4.0,B0GQMGFZCC,180 Pcs Independence Day Party Favors USA 250th Anniversary Silicone Wristbands Bulk 4th of July Patriotic Bracelets Liberty 1776-2026 Wristbands for Independence Day Gifts Decor Goodie Bag Fillers,N/A,$23.99,,,,False,https://m.media-amazon.com/images/I/81FOdAf+xzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FOdAf+xzL._AC_SL1500_.jpg,,2026-04-23T12:00:26.482211,
11,1,Organic,,5.0,B0GMWKX8ST,Batiyeer 100 Pack US 250th Independence Day Silicone Wristbands 4 of July Wristbands 10 Different Patriotic Designs 1776-2026 for 4th of July Parades Party Favors Patriotic Events,N/A,$23.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/91nlM684OpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91nlM684OpL._AC_SL1500_.jpg,,2026-04-23T12:00:26.486774,
12,1,Organic,,6.0,B0GS5RZS4Q,Kigeli 100 Pcs USA Silicone Bracelets Bulk 250th Anniversary Fourth of July 250th Birthday Accessories Party Favors Red White Blue Rubber Patriotic Wristbands Gifts for Independence Day Souvenirs,N/A,$29.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81gugqJbQLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gugqJbQLL._AC_SL1500_.jpg,,2026-04-23T12:00:26.490590,
13,1,Organic,,7.0,B0GRXSXYHH,Huquary 48 Pcs 250 Years Bracelets 4th of July Party Favors 1776-2026 Freedom 250th Anniversary Memorial Day Party Supplies Red White Blue Patriotic Clay Bracelets for Independence Day Gift,N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/810daXjJlBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810daXjJlBL._AC_SL1500_.jpg,,2026-04-23T12:00:26.495173,
14,1,Organic,,8.0,B0GH74ZCKZ,Moon Boat 100PCS 250th Anniversary Accessories Party Favors: 4th/Fourth of July Patriotic Silicone Rubber Bracelets Bulk Wristbands American Memorial Day Decorations Gifts Supplies,N/A,$25.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/81zd0CbWSfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zd0CbWSfL._AC_SL1500_.jpg,,2026-04-23T12:00:26.501538,
15,1,Organic,,9.0,B0F1CFT8ZH,Moon Boat 144PCS 4th/Fourth of July Accessories Party Favors: Patriotic Silicone Rubber Bracelets Bulk USA Flag Wristbands American Memorial Day Decorations Gifts Supplies,N/A,$21.99,,4.8,42.0,False,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_SL1500_.jpg,,2026-04-23T12:00:26.505283,
16,1,Organic,,10.0,B0CZ3C8TS8,Ecation 96 Pcs 4th of July Bracelets Set 250th Anniversary Patriotic Gift Red White and Blue Friendship Bracelets Bulk Inspirational Stretch Jewelry for Independence Day Party Favors,N/A,$29.99,,4.3,36.0,False,https://m.media-amazon.com/images/I/81+GOI-j0CL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+GOI-j0CL._AC_SL1500_.jpg,,2026-04-23T12:00:26.510347,
17,1,Organic,,11.0,B0G8WLZVGH,Highergo 250th Anniversary Bracelet Bulk USA 4th of July Wristband American Patriotic Independence Flag Day Party Favor Gift,N/A,$17.99,,5.0,4.0,False,https://m.media-amazon.com/images/I/8194vN67SML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8194vN67SML._AC_SL1500_.jpg,,2026-04-23T12:00:26.514385,
18,1,Organic,,12.0,B0GR63CZ6M,60Pcs 250th Anniversary Silicone Wristbands - Bulk USA 250 Years of Freedom Patriotic Wristbands 1776-2026 American Flag Bracelets Rubber Gifts for 4th of July Memorial Day Party Favors,N/A,$13.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/81WeW7d3m2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WeW7d3m2L._AC_SL1500_.jpg,,2026-04-23T12:00:26.518050,
19,1,Organic,,13.0,B0GMP1MT3M,Yinkin 60/120 Pcs 250th Anniversary Silicone Bracelets Bulk USA 4th of July Patriotic Rubber Wristbands Red White Blue Bracelets for American Independence Memorial Day Party Favor Gifts(60 Pcs),N/A,$16.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/81oKGbxrh-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81oKGbxrh-L._AC_SL1500_.jpg,,2026-04-23T12:00:26.521658,
20,1,Organic,,14.0,B0GKN8L1KS,"JUNEBRUSHS 42 Pcs 250th Anniversary Silicone Bracelets, Patriotic Wristbands Red White Blue Hand Band for 250 Years Anniversary Celebration July 4th Decorations",N/A,$11.99,,4.7,725.0,False,https://m.media-amazon.com/images/I/81cEfsqEqqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cEfsqEqqL._AC_SL1500_.jpg,,2026-04-23T12:00:26.525335,
21,1,Organic,,15.0,B0FNRBP888,98PCS 4th of July Favors - USA 250 Patriotic Party Favors with Red White and Blue Silicone Bracelets Slap Bracelets Stickers Gift for Veteran USA 250 Patriotic Accessories,N/A,$9.99,,4.3,44.0,False,https://m.media-amazon.com/images/I/91m6Oyaay3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91m6Oyaay3L._AC_SL1500_.jpg,,2026-04-23T12:00:26.529213,
