data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,250 Year American Anniversary Flag,https://aax-us-east-retail-direct.amazon.com/x/c/JNA4Hx7i8jCy7xWPHSieWB4AAAGdt_r_vwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICA7Hl9i/clv1c_ek-wBIHWbcbeXT1XZ_v_Sd5aokuZ0nDJKj23cfnB2hoCIL4KBBJRywMU9T9V-EHFg96s_AahpLHqSHTtzMhZ8BKBnzIzVGfT89ADcPb6FADm2lYsHqvdWSy4ZfVxhGAK-Uqfnw-4tJGRr584a8oea9DYuI28ljLJE0Hx-x06HCZcMMLtFtSBl4DhwkTHNke2zVmjFhuK3YfERuX0ryBuWICB7XcXPkBZ5zpGaTGqDnviIJB8-SUzFqjquZFFY0kXdtLbbYrGhamKgfT_ro2k2SuCA5tq14LX4p060FhQr2JWqzB6RErvXIrIZFY7kn9axKm12UgyBMHcI6u_-VH4zBo0yOurQx3rtTAC48WlaL4hKZYMBGp59fqeJ0h6xXjPR_5wLvoByEymrPDNekJ03P4d7NjGk4RIB9KeVVmwYjJcD0pNOA6fgwmQMyFRABzSY13mYuBOzbUyaBJcJOMKxW3odi1qqWuAgSRgMWBteIDnZatE4RdIZhImtHnD7PEQk3hT9dcNOGiHRFkSJNq29jGjCFH3LeWlVGLuurs-bAAWJ_2fTiij97GYUTynEsHPWKz6OfEgd_Nkz4S0XfGVwcB15M8XJR-W8UfX6QIndCLKR6yTw_dutv_m1HbRs2fc7aQZJI5nbZROSlZ8ORJT2vN8Vl8ocTa0GFnaI3aMDjY0hG6e966NT-c3FKiCMaqbXoEaoGzknYau38iB3tnqwS_aJNwbBkRLf58QxDu3shr7JPy6B5Ypux5ppbaFq40QD6tSAypxK0TWPVGZFZvJAMM9AxKURQh9UW8HSwkpP9HX_d2QTiZNhYUDwGmJZcZjfaraMJJqu8gpqXEGIR6iajudIqnYpniQqKYwHP5TTA0Trjnl7NR8Y4kg5uOmb27eTUYP-A1J9HPbFgVORs_FDsrixp_H_7T_FKjt1s2qnPqmCIU1iX1-b7SJRvlr8ozYmZ87uz559n5WlS8pXJNn4OkMrAxFqrsQMQ4RA5SFGro7dIrLxF0npU1lJwKXJi1-HpvqJ1IUBmMNAbEPDAiFN3QXwJ_OtDNkqED1T5rXbWTO4pTdDTwyEfuPL4uH9DtN4-IMLKakXe95i0ZtqwEHW0s03JRlqt3YaFT7VFUWTOZ_XrlH39DFUhp0lNR8H1z2NTtdCrbEI7xTU8WCLVTGAQmnsr8yHuC9phALTxacsvj_QWWFxii1-Qt5Z9D2Yofb3pAg5U6J9japABG99OtixU1h0KZzZ0M1DGtMgDAatnw7_6OnsAD_FFKqSEyaW9PEgufQr6myIUr1ZoUGiDRCl5A7K82Iaoq9_-NPDPOhnfhSbZ6wPdymxKyL8PQAp94zqIBRijak3U1EsFPcHgYOr-11HVOvL-0c6M3nTLt82pqu6gbIu2xpL44ayaxCZXtxyEP9hccFyfEaGzMBQTwLrFIloWY4ISlQ24U53TaSCc7r5lkk9-v95eUjaSo7qZX5QyOrPQkmB_8724C1kSuMGqFB3Y-8dPthOP0Ane0Z59K_Lg3_LNAQfGj56EUcgQqKnWXuYeWuTGLXgT1xVCASjYPmgZY8K0QucgMJfWOyu0F1qnqA159hzJlxfaCYGxWAV-f3i6WLCa6sLSE1UOIIsNjsTPK75ip5aKoc4e-EDN_Fq4PYIdNcPYvnIiXyVRow3etMKjRavLUXaHjvlogCrdI4t1DtrsFLOBB0/https://www.amazon.com/stores/page/04AE4DDC-5723-4540-A923-7F363BB69023/?_encoding=UTF8&store_ref=SB_A0207266WU3I62FYAJBT-A03656761H7Y8SZD76KGL&pd_rd_plhdr=t&aaxitk=b362895414a7c5fa76ec6170f597c3ba&hsa_cr_id=0&lp_asins=B0GT8FB8M2%2CB0GSVJ5SXR%2CB0GSVM44HZ&lp_query=america%20250%20parade%20throws&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=5Akpw&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=QQDH5CMVAKWQKB9MWH7W&pd_rd_wg=tjaUk&pd_rd_r=56cd4760-19f7-4a2c-8794-cda1261c2639,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/21390de7-b057-4124-9c6b-106a0e491616._CR0,0,1000,1000_AC_SX130_SY60_CB1169409_QL70_.png",,250 Year American Anniversary Flag,2026-04-23T09:36:16.784567,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:36:16.785672,
3,1,Organic,,1.0,B0GKPN5R8T,Kigeli 100 Pcs 250th Anniversary Pins 4th of July Patriotic Blue Pins 250th Anniversary Parade Throws Bulk Bald Eagle USA Flag Design Merchandise for Independence Day America Celebrations Gifts,N/A,$18.99,,3.0,2.0,False,https://m.media-amazon.com/images/I/81dNIiIsEfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dNIiIsEfL._AC_SL1500_.jpg,,2026-04-23T09:36:16.789682,
4,1,Organic,,2.0,B0F1CFT8ZH,Moon Boat 144PCS 4th/Fourth of July Accessories Party Favors: Patriotic Silicone Rubber Bracelets Bulk USA Flag Wristbands American Memorial Day Decorations Gifts Supplies,N/A,$21.99,,4.8,42.0,False,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yBe+Ki2UL._AC_SL1500_.jpg,,2026-04-23T09:36:16.793764,
5,1,Organic,,3.0,B0GRTJ9FR5,"USA 250th Anniversary Flag Bunting, 2 Pcs 1.5 x 3 FT 1776-2026 250 Year American Patriotic Banner, 4th of July Party Decorations, Indoor Outdoor Hanging Decor, American Independence Decor",N/A,$9.99,,4.3,27.0,False,https://m.media-amazon.com/images/I/717tJ43JE0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717tJ43JE0L._AC_SL1500_.jpg,,2026-04-23T09:36:16.797496,
6,1,Title,,,,250 anniversary usa bannerSponsored|Shop PofilyShop nowPrevious pagePersonalized America 250th Anniv,,,,,,False,,,,2026-04-23T09:36:16.799213,
8,1,Title,,,,Debug info copied.SponsoredKarenhi 36 Pcs 250th Anniversary Gifts American Flag Folding Hand Fans Re,,,,,,False,,,,2026-04-23T09:36:16.799934,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:36:16.800099,
10,1,Organic,,4.0,B0GRGM5HJL,Yalikop 12 Pcs 250th Anniversary Hand Fans 250 Years Anniversary Folding Rave Fan Clacking Fans for Patriotic USA Independence Parade Pride Party Favors Supplies Decorations,N/A,$19.54,,4.5,2.0,False,https://m.media-amazon.com/images/I/81Mu5ZIl5UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Mu5ZIl5UL._AC_SL1500_.jpg,,2026-04-23T09:36:16.803380,
11,1,Organic,,5.0,B0GMB7C8YV,"100 Pcs 250 Anniversary USA Small Stick Flags 250 Year American Anniversary flag Handheld Flag for Outside 4th of July Independence Day Patriotic Signs Hand Held Flags for Room House Welcome Lawn Backdrop Parade (C Flag, 100Pcs)",N/A,$39.99,,4.0,26.0,False,https://m.media-amazon.com/images/I/91NVw+s-BXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NVw+s-BXL._AC_SL1500_.jpg,,2026-04-23T09:36:16.809426,
