data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:41:55.374032,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:41:55.374989,
3,1,Organic,,1.0,B0F5GZGL8B,BeYumi Welcome Back Coloring Kit - 83Pcs Color Your Own Back to School Ornament Set for Kids DIY Coloring Card Decor Craft Preschool Kindergarten Elementary Classroom Party Activity Art Craft Supplies,N/A,$5.99,,4.6,16.0,False,https://m.media-amazon.com/images/I/81jbKARzdRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jbKARzdRL._AC_SL1500_.jpg,,2026-04-23T09:41:55.380698,
4,1,Organic,,2.0,B0D1FSGLF8,"Kacctyen 45 Pcs Back to School Coloring Goodie Bags Bulk Reusable Back to School Crafts Art Party Favor Paint Bags for Kids Color Your Own Graffiti Goodie Bag, 9 Style",N/A,$19.99,,4.4,88.0,False,https://m.media-amazon.com/images/I/81piBUKxNVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81piBUKxNVL._AC_SL1500_.jpg,,2026-04-23T09:41:55.385968,
5,1,Organic,,3.0,B0FDG7ZFPF,32 Sets Back to School Apple Pencil Suncatchers Craft Kit DIY Window Stained Glass Effect First Day of School Paper Craft Home Classroom Decoration Kid Birthday Gift Creative Art Project Activity Game,N/A,$8.99,,4.2,79.0,False,https://m.media-amazon.com/images/I/715C9Fq3glL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/715C9Fq3glL._AC_SL1500_.jpg,,2026-04-23T09:41:55.390937,
7,1,Title,,,,"Customers frequently viewedSponsoredMini School Supplies, 30Pcs Doll School Supplies Includes Mini D",,,,,,False,,,,2026-04-23T09:41:55.396428,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:41:55.396598,
9,1,Organic,,4.0,B0CZ8ZD8S7,Pajean 48 Sets School Bus DIY Crafts Kit Yellow School Bus Picture Frames Back to School Stickers School Bus Birthday Photo Frames Decor for Student First Day of School Party Decor Supplies,N/A,$14.99,,5.0,11.0,False,https://m.media-amazon.com/images/I/81x9tZUvrEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81x9tZUvrEL._AC_SL1500_.jpg,,2026-04-23T09:41:55.400277,
10,1,Organic,,5.0,B000VXO4L2,"Elmer's Disappearing Purple School Glue Sticks, Washable, 7 Grams, 30 Count - Posters, Back to School, Bulk Pack for Classrooms, #1 Teacher Brand",N/A,$9.97,,4.8,44410.0,False,https://m.media-amazon.com/images/I/610GhfDymuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/610GhfDymuL._AC_SL1500_.jpg,,2026-04-23T09:41:55.407491,
11,1,Organic,,6.0,B0DZGVKGCG,Suncalla 984 Pcs 24 Set Back to School Keychain Making Kit DIY Bead Key Chain Crafts Adjustable Letter Beads Cards Strings Kit Welcome First Day of School Gift Jewelry Making Supplies Party Favors,N/A,$17.99,,4.0,40.0,False,https://m.media-amazon.com/images/I/81d6zicBaeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81d6zicBaeL._AC_SL1500_.jpg,,2026-04-23T09:41:55.412806,
