data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:43:45.647767,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:43:45.648588,
3,1,Organic,,1.0,B0F2TFTW12,14 Pcs Giant School Theme Party Decorations ABC Alphabet Party Favor Box Large Inflatable Pencil Crayon for Celebration Back to School Birthday Decoration,N/A,$29.99,,4.6,59.0,False,https://m.media-amazon.com/images/I/71fgAElfEuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71fgAElfEuL._AC_SL1500_.jpg,,2026-04-23T09:43:45.654751,
4,1,Organic,,2.0,B09Z2G36JN,Weysat 30 Pcs Back to School Hanging Decoration First Day of School Themed Wooden Ornament Teacher Appreciation Decor Cutouts Wood Ornament for Party Supplies (Classic),N/A,$8.59,,4.6,131.0,False,https://m.media-amazon.com/images/I/81zgQXN2xpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zgQXN2xpL._AC_SL1500_.jpg,,2026-04-23T09:43:45.658845,
5,1,Organic,,3.0,B0GFWG9T2M,"AnyDesign Composition Notebook Paper Plates Disposable Plates Green Black Pink Blue Decorative Plate for Back to School First Day of School Teacher Graduation Party Supplies, 40 Pcs",N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81-mLcvgISL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-mLcvgISL._AC_SL1500_.jpg,,2026-04-23T09:43:45.661916,
7,1,Title,,,,Debug info copied.SponsoredSUNBEAUTY 5 Pcs Red Apple Shaped Paper Honeycomb Paper Apple Hanging Deco,,,,,,False,,,,2026-04-23T09:43:45.662698,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:43:45.662836,
9,1,Organic,,4.0,B0C8BF3LS1,"Back to School Decorations, Welcome Back Banner, Back to School Hanging Swirls, Colorful First Day of School Decorations, Pencil and Apple Bunting, First Day of Kindergarten, Welcome to Kindergarten,",N/A,$6.99,,4.9,21.0,False,https://m.media-amazon.com/images/I/71c+lbgBNcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71c+lbgBNcL._AC_SL1500_.jpg,,2026-04-23T09:43:45.666473,
10,1,Organic,,5.0,B08BZDLY29,"Ribbli Grosgrain Ruler & School Bus Craft Ribbon,7/8-Inch,10-Yard Spool, White/Yellow/Red,Use for Teacher Appreciation Gift,Back to School Decoration,Wreath,Gift Wrapping,All Crafting and Sewing",N/A,$7.79,,4.7,179.0,False,https://m.media-amazon.com/images/I/71xaHpSFRyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xaHpSFRyL._AC_SL1500_.jpg,,2026-04-23T09:43:45.670681,
11,1,Organic,,6.0,B0BVQJDYLC,"Felt Letter Board with 294 Letters, Numbers & Symbols - 10 x 10 inch Changeable Message Board with Wooden Frame Wall Mount Hook, Black & Wood",N/A,$9.99,,4.7,1992.0,False,https://m.media-amazon.com/images/I/81+5unJ9q0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+5unJ9q0L._AC_SL1500_.jpg,,2026-04-23T09:43:45.674598,
12,1,Organic,,7.0,B0GQ2WRS7Q,Back to School Balloons Arch Garland 141pcs Rainbow Balloons with Sun Apple Pencil Balloons ABC Foil Balloon for First Day of School Kindergarten Welcome Back to School Classroom Party Decor,N/A,$15.59,,5.0,1.0,False,https://m.media-amazon.com/images/I/81VzlvaYQzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VzlvaYQzL._AC_SL1500_.jpg,,2026-04-23T09:43:45.678885,
13,1,Organic,,8.0,B0F4X9FDNV,"Jansun 8.2 Feet Back to School Felt Banner, Cute 3D Apples Pencil Garland Colorful Pompom Hanging Banner for First Day of School Classroom Home Wall Decorations",N/A,$11.99,,4.2,24.0,False,https://m.media-amazon.com/images/I/61XdcjnltZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61XdcjnltZL._AC_SL1500_.jpg,,2026-04-23T09:43:45.682797,
14,1,Organic,,9.0,B0DLNJBN2N,"2 Pack Rainbow Backdrop Curtains, 3.28 FT x 7.05 FT Colofull Party Decorations, Metallic Tinsel Backdrop Fringe Curtains Party Streamer, Rainbow Party Supplies for Wedding Birthday Party Engagement",N/A,$6.99,,4.5,3232.0,False,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_SL1500_.jpg,,2026-04-23T09:43:45.688325,
15,1,Title,,,,Apple Container with Blank Card for GiftsSponsored|Shop TIEYIPINShop nowPrevious pageTIEYIPIN Large ,,,,,,False,,,,2026-04-23T09:43:45.689898,
16,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:43:45.690114,
17,1,Organic,,10.0,B0FPQSKPRQ,"Marquee Light Up Numbers 2026, 3FT Large Number LED Lights Graduation Party Supplies, Giant DIY Pre-Cut Foam Board Set for Class of 2026 Prom Balloon New Year Christmas Birthday Wedding Back to School Decoration",N/A,$66.99,,4.3,28.0,False,https://m.media-amazon.com/images/I/7139vNS+jmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7139vNS+jmL._AC_SL1500_.jpg,,2026-04-23T09:43:45.693059,
18,1,Organic,,11.0,B0FXDNNQ2T,Hahafelt 5 Pcs 49 ft Classroom Pennant Banner Decorations Apple Composition Notebook Garland Pencil Apple Crayon Ruler Bunting Garland for Graduation Back to School Decor(School),N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/81ha9G6WsrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ha9G6WsrL._AC_SL1500_.jpg,,2026-04-23T09:43:45.698674,
19,1,Organic,,12.0,B0DSCYC748,Back to School Party Centerpiece Sticks Glitter Back to School Table Decorations 16Pcs First Day of School Table Toppers Classroom Party Decorations for School Birthday Party Supplies,N/A,$12.99,,4.4,6.0,False,https://m.media-amazon.com/images/I/71GcorQABwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71GcorQABwL._AC_SL1500_.jpg,,2026-04-23T09:43:45.702510,
20,1,Organic,,13.0,B0F1TXWRHR,"Back to School Banner, First Day of School Banner, Pre-Strung Yellow Pencil Banners, Welcome Back to Schools Decorations for Classroom, Teacher Banners Classroom Decor for Schools Party Favor Supplies",N/A,$4.99,,4.8,11.0,False,https://m.media-amazon.com/images/I/61hj6kpZiwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61hj6kpZiwL._AC_SL1500_.jpg,,2026-04-23T09:43:45.706623,
21,1,Organic,,14.0,B0D3G22LKD,3 Pieces Back to School Wooden Signs School Bus Books Blackboard Standing Back to School Decorations for School Classroom Home office (School),N/A,$13.99,,4.4,15.0,False,https://m.media-amazon.com/images/I/61JPXhOhzVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61JPXhOhzVL._AC_SL1500_.jpg,,2026-04-23T09:43:45.709950,
22,1,Organic,,15.0,B0C2C5ZLQW,"Whaline Back to School Felt Pom Banner, 8.2 Ft Pencils Felt Ball Garland Cute Classroom Decorations Welcome Back to School 3D Pencil Pompom Hanging Banner for First Day of School Party Wall Decor",N/A,$14.59,,4.8,43.0,False,https://m.media-amazon.com/images/I/61kkoB37hsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61kkoB37hsL._AC_SL1500_.jpg,,2026-04-23T09:43:45.713726,
23,1,Organic,,16.0,B0D6KT7CHX,"Back to School Decorations, Welcome Banner, Back to School Hanging Swirls, Welcome to Kindergarten Classroom Teacher Office Decorations",N/A,$7.99,,5.0,16.0,False,https://m.media-amazon.com/images/I/71nySmtAnYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nySmtAnYL._AC_SL1500_.jpg,,2026-04-23T09:43:45.718979,
24,1,Organic,,17.0,B0D3WTY53G,School Bus Photo Prop Selfie Frame Back to School Backdrop Party Decoration First Day of School Photo Booth Welcome Party Banner Supplies for Students Teacher Birthday Yellow Bus Party Sign,N/A,$10.99,,4.1,49.0,False,https://m.media-amazon.com/images/I/71XdUxvQgKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71XdUxvQgKL._AC_SL1500_.jpg,,2026-04-23T09:43:45.722619,
25,1,Organic,,18.0,B0DTP8K65P,146 Pcs Preschool Kindergarten Graduation Party Decoration Apple Paper Plate Teacher First Day Back to School Party 24 Set Disposable Tableware 2 Notebook Tablecloth for Classroom Pre K Graduation,N/A,$23.99,,4.7,54.0,False,https://m.media-amazon.com/images/I/81X388GJhlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81X388GJhlL._AC_SL1500_.jpg,,2026-04-23T09:43:45.726372,
26,1,Organic,,19.0,B0DTKJCBPM,Oudain 4 Pcs Preschool Kindergarten Back to School Party Tablecloth First Day to School 54 x 108 Inch Large Disposable Rectangle Notebook Tablecloth Cover for Party Supplies Table Decorations,N/A,$11.99,,4.8,33.0,False,https://m.media-amazon.com/images/I/71F7Fre1EpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71F7Fre1EpL._AC_SL1500_.jpg,,2026-04-23T09:43:45.730156,
27,1,Organic,,20.0,B0F9F6FY1D,"Welcome Back to School Hanging Ornaments, First Day of School Decorations, Acrylic Hanging Decor for Classroom Bulletin Board, School Party, Teacher Supplies (40Pcs)",N/A,$5.99,,4.4,14.0,False,https://m.media-amazon.com/images/I/81KOGtJM-nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KOGtJM-nL._AC_SL1500_.jpg,,2026-04-23T09:43:45.733525,
28,1,Organic,,21.0,B096K4FW6S,"8 Sheets Back to School Window Clings - Reusable Static Window Stickers for Classroom, Wall, Glass, Car, Day, Welcome Decorations",N/A,$9.99,,4.4,182.0,False,https://m.media-amazon.com/images/I/818QaHoGQLS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818QaHoGQLS._AC_SL1500_.jpg,,2026-04-23T09:43:45.736869,
29,1,Organic,,22.0,B0F8MM23Y4,"Back to School Decorative Banner Set, Apple and Pencil Banner with School Supply Design, Classroom Welcome Decor",N/A,$5.99,,4.6,31.0,False,https://m.media-amazon.com/images/I/71TOGkI+qbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TOGkI+qbL._AC_SL1500_.jpg,,2026-04-23T09:43:45.740283,
30,1,Organic,,23.0,B0FBRX3DP4,"1 Pack Pencil Balloons 42 Inch, Giant Pencil Balloons for Back to School Party Decorations- Reusable PVC Classroom Decor, Party Supplies (1 Pack)",N/A,$6.99,,4.5,28.0,False,https://m.media-amazon.com/images/I/61h8iQMPxpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61h8iQMPxpL._AC_SL1500_.jpg,,2026-04-23T09:43:45.744679,
31,1,Organic,,24.0,B0C6DZJVHC,"Whaline Back to School Wooden Table Decor Retro Apples Wood Table Signs Vintage Rustic Apples Tabletop Centerpiece Decorations for First Day of School Classroom Office Desktop Decor, 3Pcs",N/A,$14.99,,4.8,67.0,False,https://m.media-amazon.com/images/I/81--g0RSKEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81--g0RSKEL._AC_SL1500_.jpg,,2026-04-23T09:43:45.748999,
32,1,Organic,,25.0,B0DWFC6ZPF,Fancy Land 4 Pcs Back to School Decorations First Day of School Decorations Wooden Table Sign Centerpieces for Classroom Office Home Gifts for Teacher,N/A,$9.99,,5.0,6.0,False,https://m.media-amazon.com/images/I/71gaWrxi+cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71gaWrxi+cL._AC_SL1500_.jpg,,2026-04-23T09:43:45.752544,
