data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:24:51.673181,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:24:51.675219,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T10:24:51.681283,
4,1,Organic,,2.0,B0FHDQNTWC,"Beach Birthday Party Decorations, 183Pcs Ocean Waves Birthday Party Decorations Summer Pool Hawaiian Beach Party Supplies Plates,Napkins,Cups,Banner,Tablecloth,Balloons,Cupcake Topper,Serves 24",N/A,$23.99,,4.6,37.0,False,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_SL1500_.jpg,,2026-04-23T10:24:51.686329,
5,1,Organic,,3.0,B0GJDT7QSP,"Avezano 96 PCS Pool Party Decorations Summer Birthday Decorations Disposable Pool Birthday Plates and Napkins Summer Party Supplies, Serves 24",N/A,$18.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81uReOOOjuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uReOOOjuL._AC_SL1500_.jpg,,2026-04-23T10:24:51.690948,
7,1,Title,,,,"Customers frequently viewedSponsoredBeach Theme Party Supplies, Summer Pool Pack Includes: Paper Din",,,,,,False,,,,2026-04-23T10:24:51.695600,
9,1,Title,,,,Debug info copied.SponsoredReallnaive 2 Pack Summer Pool Party Table Skirt 30 x 108 Inch Summer Beac,,,,,,False,,,,2026-04-23T10:24:51.696261,
10,1,Title,,,,Confetti Pool Balls for Party DecorationsSponsored|Shop CivanerShop nowPrevious pageCivaner 10 Pcs I,,,,,,False,,,,2026-04-23T10:24:51.697481,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:24:51.697616,
12,1,Organic,,4.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2421.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-23T10:24:51.701073,
