data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:28:25.284936,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:28:25.285922,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T11:28:25.291290,
4,1,Organic,,2.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35509.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-23T11:28:25.297054,
5,1,Organic,,3.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T11:28:25.301494,
7,1,Title,,,,Debug info copied.SponsoredReallnaive 2 Pack Summer Pool Party Table Skirt 30 x 108 Inch Summer Beac,,,,,,False,,,,2026-04-23T11:28:25.302678,
8,1,Title,,,,Last Toast on the Coast Bachelorette Party IdeasSponsored|Shop Big Dot of HappinessShop nowPrevious ,,,,,,False,,,,2026-04-23T11:28:25.303769,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:28:25.303906,
10,1,Organic,,4.0,B0DQXQH3QH,"Srua Don Beach Party Decorations, Ocean Seashell Party Supplies, Plate, Cup, Napkin, Tablecloth, Cutlery, Banner, Ocean Beach Table Decorations For Birthday Baby Shower Wedding, Serves 24",N/A,$9.49,,4.7,25.0,False,https://m.media-amazon.com/images/I/81HOegIBmYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HOegIBmYL._AC_SL1500_.jpg,,2026-04-23T11:28:25.307171,
11,1,Organic,,5.0,B0FHDQNTWC,"Beach Birthday Party Decorations, 183Pcs Ocean Waves Birthday Party Decorations Summer Pool Hawaiian Beach Party Supplies Plates,Napkins,Cups,Banner,Tablecloth,Balloons,Cupcake Topper,Serves 24",N/A,$23.99,,4.6,37.0,False,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_SL1500_.jpg,,2026-04-23T11:28:25.311067,
12,1,Organic,,6.0,B0F13P9P91,"Beach Party Supplies, 144Pcs Ocean Waves Birthday Party Supplies Tableware Set Summer Pool party Decorations Ocean Plates and Napkins and Cups for Hawaiian Birthday Decorations",N/A,$17.99,,4.5,18.0,False,https://m.media-amazon.com/images/I/810a-TFmmTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810a-TFmmTL._AC_SL1500_.jpg,,2026-04-23T11:28:25.314793,
