data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:20:46.620734,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:20:46.621570,
3,1,Organic,,1.0,B0FHDQNTWC,"Beach Birthday Party Decorations, 183Pcs Ocean Waves Birthday Party Decorations Summer Pool Hawaiian Beach Party Supplies Plates,Napkins,Cups,Banner,Tablecloth,Balloons,Cupcake Topper,Serves 24",N/A,$23.99,,4.6,37.0,False,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_SL1500_.jpg,,2026-04-23T12:20:46.625306,
4,1,Organic,,2.0,B0FHDVKYG5,"Beach Party Decorations, 273Pcs Ocean Waves Birthday Supplies Summer Pool Beach Birthday Party Decorations Tableware,Banner,Tablecloth,Starfish Bubble Garlands,Balloons,Cake Topper,Fringe Curtains",N/A,$27.99,,4.5,33.0,False,https://m.media-amazon.com/images/I/811H8dHoXbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811H8dHoXbL._AC_SL1500_.jpg,,2026-04-23T12:20:46.628922,
5,1,Organic,,3.0,B0GK6T83LK,Crtiin 28 Pcs Beach Party Decorations Paper Lanterns Pom Poms Fans Spiral Cardboard Hanging Ornaments Hawaiian Tropical Themed Decor for Summer Pool Beach Birthday Party Supplies,N/A,$18.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81boiL1NpHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81boiL1NpHL._AC_SL1500_.jpg,,2026-04-23T12:20:46.632437,
7,1,Title,,,,Debug info copied.SponsoredReallnaive 2 Pack Summer Pool Party Table Skirt 30 x 108 Inch Summer Beac,,,,,,False,,,,2026-04-23T12:20:46.633265,
8,1,Title,,,,Jetec sea glass for crafts seaglass pieces decorSponsored|Shop JetecShop nowPrevious pageJetec Sea G,,,,,,False,,,,2026-04-23T12:20:46.635107,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:20:46.635242,
10,1,Organic,,4.0,B0BWLY1PKQ,Summer Theme Photo Ocean Blue Sky Seaside Tropical Palm Trees Luau Birthday Party Decor Banner 82x60in,N/A,$9.90,,4.6,326.0,False,https://m.media-amazon.com/images/I/71vhpJO1IGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71vhpJO1IGL._AC_SL1500_.jpg,,2026-04-23T12:20:46.639379,
11,1,Organic,,5.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5372.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-23T12:20:46.642430,
12,1,Organic,,6.0,B000R4Q4C2,Sea Creatures Mini Centerpieces 5.5-Inch (4-Pcs),N/A,$5.37,,4.4,1437.0,False,https://m.media-amazon.com/images/I/715JbNe9M8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/715JbNe9M8L._AC_SL1500_.jpg,,2026-04-23T12:20:46.646450,
