data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luluhome Oversized Beach Towel,https://aax-us-east-retail-direct.amazon.com/x/c/JF3x9nCLpRyaXLcGBkWXkjoAAAGduIkhiQEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICCCq1lx/clv1c_ek-wBIHXErbWDn2nI5drJ16WtD5jqqAr-TIF8FHqHfIxlT2Q6FqphOcrdQ1Go1aOzGxnFzsSV9m32-KVD6UZa9mAS7dyqiP9raeEjLk5Pe2yDCA1ILOSORDJwjhwrgbZ57CaKsw1Wl0eI14yENm3dnCLsZyejAXKksVoyjKo0KYuWOgYBQbvbCwLgDyU9byS7S0S0G4Pmw7J25BF-yCAM9j_RAq_QwnhhQZb60gvd8_aNaQdKr48Z76doPl2e27H6qcykyfuSG5n1fbvEGpvyQs2dMyetkc36hced5-RGrQQeF9dWvoFcPDgEqYjbX531X7k1IZJcoiV2jwtTeYfxoUwh73mofk1dFbpNQSVNbYfSal1h8V3CrQU5O7ul10anenjhgvzI2mgzqkalZUPGl-fu2HpR260x1zV5hM6rBMBUTJ9T6g2gpgT4yP7xuxJbovFXlEzHDkENYPLop6faI2GnFWrvSXg-wOjXsDIfoPLQ5A_ieIqBigNyyjeh7Q1ZOGj4HBSNszXFE58nLZJNwKdG5HszCQaiSKmPQQS1ehvedB2EtzKKWP6Gf20ByzjzkeyYDEp4fOCcggnChKBQhyldQTWMqo4YoXTBSnft8xutehdNPH_gtKxNJJq4rg9e3a6Cyb37EnTkxTDjhee3skYz3n92vZn_IBHTBk7WuGl2JBsYoujx_WVhmVRervBPfyb3NS9oilqXq1uOT3100sdltUHRfCQpD3uY3SIZIva9UKTJc0OiEh-GveW4y7jmAQah5D1Z1a-OiErJ9ZdzFXpXWO3CiAMQsj_HvPx041T9jGWSotE5jL6VhWxbW7sC8c0CvGf8UT76-hOMySIebzWe_42uMluejpPkmfbGQpQHoCa9-04LSYKRSBOz0gXcBJ6DMTxvgL_NVHg6cFLKPtOMnty9P3P3nc9a4oBScWPOYLA_NsvpyQrRHMU-RYhNe4A6RvBmHGHtOosuxzhBkAZXn7pMphBg6gZKxCmO18_jT6MZ-TlOFdFNRGC9T2UqHPuh9kkv1OIlXhv92ai4xzUpzSu5eSJA1TRLGl4ewTALHw6mzU_xAykjAEqxjX3-Jz9m1Zc5jFe5L-MqDsLX9UshBLb9pRip5FEytk1w4lAtVGSCvhiQ8rzhiQhRI48ubdcFAp6JBpqR7vDTS9iCkWB5StR6oGpzMofuba4PvCiw3BSzhSRNQNA_rvqz_Xp3W_jdlFImZRsPwS1JmeLZU7P8f0WsNEtnW5HhyeRigyRHMN5JIXcJIOJPohSKrVROGJeTmgEHCV4PqSFrH_F-iI3mx6EmK2tHtrO17Wwe7jiJvJ5KbxhFT8O6doJfJuZrjjuYPxJcuaiFAZLAobOnIciPZLrGm3VEUBcfAQBDvgyWQ4XaUoxvz88ZqwKIUXsHxqOx2h8BVhGy7DNTOlu9lxVKTUTfwtRUdMUM4rgI11ZtUIEbtHWgZOKeUMiWkbXX7qprvax9KvN3RHvq4l1LmHmHGQHiX_Cf5ClM0EGRiGewlnhhZuG7us7YXwQlGI9OXJNapYH3QDJu1I9dStzsWZBMYMXawkQsb_CryaUJj8g0tMc5w70It9qU0Nx_mZ9h-vibMvb1MIO9mmWPqoBazqS2NP8zprBJdNtfmETPutCvuAJYq1_hAnMK55J0O4KBxhMGvnyHBGbLndE5tokoiHTNQ/https://www.amazon.com/stores/page/04793974-B431-4A36-9EF1-3282A088C449/?_encoding=UTF8&store_ref=SB_A0966392V2OJVH01GZLA-A08714012JNV1YMTEDTO0&pd_rd_plhdr=t&aaxitk=59cc0fe0c6e183548d038700328894e9&hsa_cr_id=3607166240401&lp_asins=B08ZHRZR8Y%2CB08ZHQJLL3%2CB09LCMYZ92&lp_query=beach%20towels&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=Qf9I7&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=NK1Y4NRXFZHF6QVAP6PD&pd_rd_wg=Ikbyr&pd_rd_r=933355b3-bbc7-46fa-bc01-1d539fcbffc1,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/9faae363-c070-4e66-b186-625eccac6944._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpg",,Luluhome Oversized Beach Towel,2026-04-23T12:11:29.338563,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:11:29.339377,
3,1,Organic,,1.0,B00AA4H9BE,"Utopia Towels Pack of 4 Cabana Beach Towels, Oversized 30 x 60 Inches Cotton Beach Towel Set, Smooth Ring Spun Texture for Pool and Swim Days, Modern Striped Design Bath Towels",N/A,$36.99,,4.3,14261.0,False,https://m.media-amazon.com/images/I/91MXVlmrtOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91MXVlmrtOL._AC_SL1500_.jpg,,2026-04-23T12:11:29.351596,
4,1,Organic,,2.0,B0DWSBQZKD,"Utopia Towels Pack of 4 Cabana Beach Towels, Oversized 30 x 60 Inches Cotton Beach Towel Set, Smooth Ring Spun Texture for Pool and Swim Days, Modern Striped Design Bath Towels",N/A,$30.59,,4.3,14261.0,False,https://m.media-amazon.com/images/I/91uDfGY0g8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91uDfGY0g8L._AC_SL1500_.jpg,,2026-04-23T12:11:29.362817,
5,1,Organic,,3.0,B00HR9WU1O,"Kaufman - Soft Oversized Beach Towels in Bulk | 29"" x 58"" Velour Striped Towel | Absorbent, Quick-Drying | 100% Cotton Thick Towels (4 Pack)",N/A,$44.95,,4.5,9994.0,False,https://m.media-amazon.com/images/I/81lT4bobboL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lT4bobboL._AC_SL1500_.jpg,,2026-04-23T12:11:29.367606,
6,1,Title,,,,Soft and Lightweight Beach TowelSponsored|Highly bought brand in bathroom towels|Shop YSYJShop nowPr,,,,,,False,,,,2026-04-23T12:11:29.369309,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:11:29.369481,
8,1,Organic,,4.0,B0BP2T3K9W,"LANE LINEN 6-Pack Oversized Pre-Washed Beach Towels, Stylish Quick-Dry Pool & Travel Towels for Adults, 39""x71"" - Diamond Multi Colors",N/A,$44.99,,4.4,7975.0,False,https://m.media-amazon.com/images/I/817lA9NdS1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817lA9NdS1L._AC_SL1500_.jpg,,2026-04-23T12:11:29.377650,
9,1,Organic,,5.0,B0D45R2Q32,"Kaufman - Large Beach Towel | 30"" x 60"" Terry Cabana Striped Beach Towels | Absorbent, Quick-Drying | 100% Cotton Thick Beach Towels (Multicolor, 4-Pack)",N/A,$24.99,,3.8,347.0,False,https://m.media-amazon.com/images/I/71d0lxL1HOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71d0lxL1HOL._AC_SL1500_.jpg,,2026-04-23T12:11:29.382919,
10,1,Organic,,6.0,B0CKLLWL1Y,"LANE LINEN Beach Towels 6 Pack, Bulk Beach Towels Oversized, Pool Towels for Adults, Pre-Washed, Sand Free Beach Towel, Fast Drying Beach Towel, 39""x71"" - Classic Color",N/A,$33.99,,4.4,7975.0,False,https://m.media-amazon.com/images/I/81xzKHYT07L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xzKHYT07L._AC_SL1500_.jpg,,2026-04-23T12:11:29.389509,
