data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Camping Themed Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JJGSmWJbIcUPcALCwzAm_G8AAAGduIC0dwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDIgICDuDv2c/clv1c_ek-wBIfXFcbSDX0nIotrJ16WpAySuUaPLRgX6ljymxm1RS67IBkkXJNzkNlnaqBvS9jCpoP_B_5S22KUD6UNiw1Z54Tq2qyzsu-gyynd7d8lCB1p5qvscGKE1di3pnp9v8j4qCVC31qMCwTfq3YtZZg9WNn4NlXsiJSw1ROifAZfXmc7dhBYy6_R5b76AilXpqYStxZvSIPJ1PLJbzxosqgvORauRQ71xwZiLxgEszKv6yCsfMZ5czAlVHIKovKBFb2DKAojJY0eKgKPazjZPqdKgYrsl3Y6ZESx3os73VBPUJbBQdR-kBBiFgD9omFaeKw2kU0A0oydxpQoF_xmLetmbCqiLoD8DMTdrh6Lz9OduVrjpOl730QOYmOfk2A9spJ2PQgjgd7G2rn1dtSkUZuT6p6rTc-9P9jT4nNfl8dL59PuTTSlMxEOKhseWNOSDiLcVKZeNycesJNh2e1ptSy0nF8w8TlxaJy2F8tl6Gu2jDYfICNGsSeAndPNqPvZcnRX4PJ3amdG3SzZMd280s0m6Cms4agDOT27-93V3MZlQC0-fXTqh6lycnhbuAoMAsahw8uu29ONNETnmpqeNdFYItnTa8Yqq7qaUnkLhsOgGHKgJTDPTEzvjh24RT-JoNpDHG-AA5KEj-mF6IyEZ-kwMHe7DOdEHJ_PtOYh3vS5BnHPCRzBt9XYhj1Sf-tX6vPYj9JNWttTHcv2yOpynn0QY2d95n0bvv7jFO0p-j8gqkREbDmAaM3WCrdFxFEgNZiNnrK56LRPGYCYvz6OadFcgqmOLktApwzpN_erwYZCtxtJoZxw52r-gf_x9ku4OcpYJnkG5ZBCT2zN412pGDOAsa4ptT7q1Gb6QhckC0kI-lFMUc2HvnDTDDhJHRfYwDcLYIsWp5jzmHNj_pvpa3jh5bpD82HUpoKfFV8VhcTGwvnAcyia4_K4rAQWBNSUtgfDv9lO4D0CIVH-1BtG8bWN-ZyXLEB3rAszHoOfYbgQKKe-AWkI5VGQrtSIARaDSqG-3aj8kVlYEhRZFR_Apz5rMpgYqCLGrJ5N3Ofoa1wZvAGF8cKYjjxQIiUrid9k6QLLVLgpCgr9dHns-BY8DMBigQPgXu3dAhiDeDh6GuOBIWuU9f667QvC7DdTgnoa_2Km5T8Lgb1DoX4Tzy0b_MZ0HFpEs9O278AA609zFZP0mGvrA0HPZpKXWvDst9rZ5GMdr_OVM9Z80dqjHY5uFi_q2yiqxaIe-TTMhaUsN70uglFcWUTET8-2e2XgAeO4UWMRrwahgLfSxjea6VqQBxX6OweEsUxs9RRHfhtAm3s2iGu_PSsgJvIK1UdBYAVfRqk-vHmjBFEfeL5ZtKFBDoAFTrJm9SIq7GA9hZShA2epVwVfg_l6-UZZYu0wYNrcs83U3_p4BQa2gOcFU_cczB2tC2SH1AItHuqwnOYTACjgzqQkLnmEsXOGtA_udwq9L6PtuscfxlqDucOYVjt2-faesxlAU1Rqz8L5H_aajvrd4Tnn19Z81Y_6NVmNSDAWTbkrVGcrKEJmKNR4OFcy827nZfDD9oGrrfYxdSDrvNi06xaUPFFWj5lI-_BVX0S5jIr2jNRA_SK4Mfj0RpEjBPuacbpQC4BvK1GqqcRp1iNpONI2rHzWZ8GBq8_LvBDVZJTxphIHKH2B_tUi3lK_ubasnd4/https://www.amazon.com/stores/page/67D952C8-5D34-4DD0-8B3C-8C75AA93DAF4/?_encoding=UTF8&store_ref=SB_A02070671FGKWSZE2L2LP-A08545016DASF4C5IAIR&pd_rd_plhdr=t&aaxitk=fce70cafe61f4d0f5f6debe51d0ab621&hsa_cr_id=0&lp_asins=B0G2G95V1F%2CB0BRS2HPWJ%2CB0DYN9P7V9&lp_query=camping%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=mKOMz&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=9B6S7XTRJVANRJA0HS85&pd_rd_wg=DnYst&pd_rd_r=63e832dd-cb2a-4861-9397-36dc25af8c0b,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ebe037c6-ded1-4790-9cbb-c1647dec76a1._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Camping Themed Party Decorations,2026-04-23T12:02:20.737342,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:02:20.738232,
3,1,Organic,,1.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$6.97,,4.6,671.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-23T12:02:20.741665,
4,1,Organic,,2.0,B092M91JN4,Sumind 2 Pieces Inflatable Fake Campfire Camping Props Bonfire Party Decor Campfire Party Decorations Artificial Flame for Indoor Camping Overnight and Scene Setting,N/A,$8.99,,4.2,901.0,False,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_SL1500_.jpg,,2026-04-23T12:02:20.744817,
5,1,Organic,,3.0,B0GHFJ5QPG,4 Pack S'Mores Camping Party Tablecloth - Camping Table Cover Decoration Bonfire Party Tablecover for Campfire Camper Forest Picnic Adventure Supplies (51 x 86 Inches),N/A,$6.99,,,,False,https://m.media-amazon.com/images/I/813mlHWNsRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/813mlHWNsRL._AC_SL1500_.jpg,,2026-04-23T12:02:20.749503,
7,1,Title,,,,Customers frequently viewedSponsoredLALAWELL Camping Essentials Gear RV Accessories for Inside Campe,,,,,,False,,,,2026-04-23T12:02:20.753364,
9,1,Title,,,,Debug info copied.SponsoredNefelibata 3 pcs Camping Birthday Decorations Table Cover Waterproof Tabl,,,,,,False,,,,2026-04-23T12:02:20.753834,
10,1,Title,,,,Inflatable fake campfire camping props!Sponsored|Shop SumindShop nowPrevious pageSumind 6 Pieces Inf,,,,,,False,,,,2026-04-23T12:02:20.754912,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:02:20.755042,
12,1,Organic,,4.0,B0F52RK95F,Peryiter 3 Pcs Camping Themed Party Decorations Banner Welcome Porch Sign with 1 Double Sided Tape for Summer Camp Birthday Hawaii Baby Shower Themed Party Activity Decor Door(Natural Style),N/A,$16.99,,4.4,44.0,False,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_SL1500_.jpg,,2026-04-23T12:02:20.758427,
