data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:22:33.894543,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:22:33.895381,
3,1,Organic,,1.0,B0F52RK95F,Peryiter 3 Pcs Camping Themed Party Decorations Banner Welcome Porch Sign with 1 Double Sided Tape for Summer Camp Birthday Hawaii Baby Shower Themed Party Activity Decor Door(Natural Style),N/A,$16.99,,4.4,44.0,False,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_SL1500_.jpg,,2026-04-23T12:22:33.899305,
4,1,Organic,,2.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$6.97,,4.6,671.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-23T12:22:33.903654,
5,1,Organic,,3.0,B0GSD3L2H9,3 Pcs Camping Themed Party Decorations Camper Banner Welcome Porch Sign Camper Adventure Door Porch Banner Summer Camp Hanging Backdrop for Birthday Indoor Outdoor Hawaii Themed Party Supplies,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/7156hQziMUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7156hQziMUL._AC_SL1500_.jpg,,2026-04-23T12:22:33.908311,
7,1,Title,,,,Debug info copied.SponsoredTaoBary 6 Pcs Forest Scene Camping Decorations Set 1 Party Photography Ba,,,,,,False,,,,2026-04-23T12:22:33.909390,
8,1,Title,,,,custom stained glassSponsored|Shop CHATYOUNGShop nowPrevious pagePersonalized Gifts for Grandma - Cu,,,,,,False,,,,2026-04-23T12:22:33.910754,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:22:33.910960,
10,1,Organic,,4.0,B0DWXLQG6F,3Pcs Camping Party Decorations Porch Banners Backdrop for Summer Camp Campfire Adventure Door Cover Camper Theme Birthday Baby Shower Photo Booth Props Supplies,N/A,$11.99,,4.6,20.0,False,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_SL1500_.jpg,,2026-04-23T12:22:33.917544,
11,1,Organic,,5.0,B0GJ5T7L6K,"CCINEE Camping Theme Party Banner Decorations, 2 Pack Welcome Happy Camper Banners Washable Camping Signs for Campsite Picnic Hanging Decorations Classroom Porch Sign 71"" x 12""",N/A,$6.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/61FwSSKY9RL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61FwSSKY9RL._AC_SL1500_.jpg,,2026-04-23T12:22:33.921443,
