data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:54:46.851102,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:54:46.852667,
3,1,Organic,,1.0,B00N1QPNMA,"PartySticks Glow Sticks Party Supplies 100pk - 8 Inch Glow in the Dark Light Up Sticks Party Favors, Glow Party Decorations, Neon Party Glow Necklaces and Glow Bracelets with Connectors",N/A,$7.99,,4.6,28688.0,False,https://m.media-amazon.com/images/I/81JYNlch58L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JYNlch58L._AC_SL1500_.jpg,,2026-04-23T09:54:46.862379,
4,1,Organic,,2.0,B0C9THKCWY,"MEKER Fire Color Changing Packets - Fire Pit, Campfires, Outdoor Fireplaces, Bonfire - Magic Colorful Changing Fire - Perfect Fire Camping Accessories for Kids & Adults (12 Pack)",N/A,$8.95,,4.7,2345.0,False,https://m.media-amazon.com/images/I/71-zlcjUwHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-zlcjUwHL._AC_SL1500_.jpg,,2026-04-23T09:54:46.868959,
5,1,Organic,,3.0,B092M91JN4,Sumind 2 Pieces Inflatable Fake Campfire Camping Props Bonfire Party Decor Campfire Party Decorations Artificial Flame for Indoor Camping Overnight and Scene Setting,N/A,$8.99,,4.2,901.0,False,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aV8aXipZS._AC_SL1500_.jpg,,2026-04-23T09:54:46.873064,
7,1,Title,,,,Debug info copied.SponsoredGlooglitter 36 Set Camping Crafts Kits with LED Candles Lights Color Your,,,,,,False,,,,2026-04-23T09:54:46.873986,
8,1,Title,,,,Our Choice for Emergency Glow Stick Chem LightsSponsored|Top 10 best-selling brand in this category|,,,,,,False,,,,2026-04-23T09:54:46.875327,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:54:46.875488,
10,1,Organic,,4.0,B0DN31R7JG,200 Pieces Camping Wood Grain Slice Party Supplies Set Paper Plate Cup Napkin for Camping Woodland Baby Shower Lumberjack Birthday Featuring a Round Wooden Slice Die Cut Edge Design Serve 25,N/A,$23.99,,4.4,53.0,False,https://m.media-amazon.com/images/I/81uLjqmG0cL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uLjqmG0cL._AC_SL1500_.jpg,,2026-04-23T09:54:46.879475,
11,1,Organic,,5.0,B0D2VLNZRQ,Hooqict 20 Pieces Camping Themed Party Decorations Camping Party Directional Signs for Summer Camp Decor Welcome to Camp Birthday Party Supplies Classroom Wall Door Porch Yard Sign,N/A,$6.97,,4.6,671.0,False,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yuy8SvRrL._AC_SL1500_.jpg,,2026-04-23T09:54:46.885325,
