data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,CZWZ Cute Mini Multicolor Pens Bulk for Kids,https://aax-us-east-retail-direct.amazon.com/x/c/JFnpjFyEZecjZfL0fpCPdMgAAAGduF5ULAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICBLf6pn/clv1c_ek-wBPHXFbbWzjK3YoscrxfcOWxCnjqP7-0C0JLnFUmrhNDCNxUZ3mql-m1-6mSUNnE3_w7yh8btXmcyCmjkdH3vcEONKXJt32hyCi3o08EVBwCpqSFbC9Ki8lh3pFhlv8I-ynT5hTfpwkSZys0Vg9jFu9ns1lXmnJTu7W_yjCQdX2g7qqtYNm5HMkpKtsoxO0EXvCsIGAzD_4jLo-igatjXT996QminXZ0DGRAVYLGCfqPWDPaG3P9ghFE14g14kO2_0k1T3eejYVF-2XtrJBIgMH-IZbNRNAu0IyHiPhY9RJtTcRUywR4hm0Cu2zp1HrEjGdm3ADvDZagGqBvSvA_z4bQEDyjBgI5KlqluGk7RROe1M00-lugVvzeAVZ2-PR2xk2EX8GIIo2hJ9mW3ac0fT0pcQ39nkVB0KZUBazfuyhoJxwnERwEXsRCnHLh314lKh2BvxfXSTi8nudon2NLKZZq63yNmA-jdP9H6qdLPGBkcJRp4Zi7kDdkBhpn5E-kRLrbO6mbC3JCe6JWlyBAzhW_dIVM4kFHsfRpfYCnkhnCuyGhbMDEpcNKCfjpf2HgiXu3XvCyFRqq8EZDVakPMLB3ul5sqr1mnFfLQgPdezHTxSwxQJSNJ1vNpCfsPMCqxVf4pUeOfALuXd6RCtQyBltHhLfEdn9Vae0UmQWmyiazFsNgrsfXVnmoTYqNKY_Kq7MINjWSc6Aa4HujLLEPPx285P-vBsRHT16i80hSCD2aDmbUKEm3u9KFawy76VOyTDfKo0g2j-LMndioXQIIsUvkGbkGxRthFXjuzcTREAnNKVyxhGEQYlCbU1CDcQRqFGSqqGIM_pjRdRL8NDz-LY9BpTfD9tPXJjj-MDqv5-pya5y9iFVadhKG0V20JE7CNSfuCy74iNlk8ufj65u677YfAcR0_wChpAXj_9gTze-2CS-6-qlaPIw56yWZUN1eYD4f6HqwlceadT19D7CpsDoVh58FJxwpBuAPXf7jgC3_-AcQb8iGNkhy1jqcNkwQBtp6yl_Clehex_N34RTsNEm9DmZ-tcKAaf1yNDnJwEGWGh48GRU_g9tksqDUfaBDK2ijthVW9pcGfyn7NNZU1hHioxM97xnzIcwWOu8_x02A_4K5v0rfFK6sNDKsPJeyCso4mSjZB4nLfY9ZfBBczYASSnhuDL2O6SurPtz6l9K_uPus5fhnp4b7uBHKQNgD11JcPuPzmtrahkn6ztCv177dXID17lROkqN9wsOQ51ZLZ3RpP1blFfLV5U8JxJtnqfnEZby0qIvBYPerwN6bbjhtpJbyAU56ZMSnJ98WKykZ-mEAXC7f4w5OqulFx-VkGxDe5291AYOGUZ_mY-G4LNNblW85O5w6yZS6QI-H-epGaJfp_yyYhVWW3SRDByUN-UlbzPlEnqwfvyJUU9q8z-RObxTwoJXw4Hn0dfjWgybQzEP0oDXb76c-oU6Yha7lhPh2g6n4LFiiDmWT3NiuOjOq1OfKhvmdststShrYu8dxlvWTEbreeWQ2nF-1PaMFTIRbkrHTlhXgeEHbPrINj-yluMWAoJlrfrGL6IQTjfx1SWhHG1uc_tNsqi1MSJT9Ym3rbpS8tSZptoTRAHKu8xbtVvxB3N5pj70msdJIw_gQ4x719JRPizGJRUFev4I04Cgg4rIhyd9ufGQC4pY63VmhumsR0Ow/https://www.amazon.com/stores/page/1E0AFEB8-5631-47D0-A054-0EBDCFA4402E/?_encoding=UTF8&store_ref=SB_A08749251NDO9WZVHFJ0T-A031241835OGBG50ZRF3J&pd_rd_plhdr=t&aaxitk=dc9684549d53d4a67b330d2c7363ca00&hsa_cr_id=0&lp_asins=B0D4L6TFC9%2CB0F2HWS1MW%2CB0D8NQ5S9S&lp_query=end%20of%20year%20gifts%20for%20students&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=5fL3G&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=37ZSKEAMEGDJ54DP9500&pd_rd_wg=fU5tG&pd_rd_r=5652f7d5-f98a-4147-a4ab-8d13c754fed3,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/04b6b68e-5744-419b-b24e-01f73589b830._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpg",,CZWZ Cute Mini Multicolor Pens Bulk for Kids,2026-04-23T11:24:47.521727,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:24:47.522855,
3,1,Organic,,1.0,B0GD83HDD8,"LemonRoad 24 Sets End of Year Gifts for Students from Teacher Include Ice Cream Shaped 14 oz Plastic Cups, Ice Cream Pen, Card and Ribbon for Summer Graduation Birthday Party Gifts Exchange Prizes",N/A,$37.99,,,,False,https://m.media-amazon.com/images/I/8110PI9P8AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8110PI9P8AL._AC_SL1500_.jpg,,2026-04-23T11:24:47.529070,
4,1,Organic,,2.0,B0GC6Y91MH,LemonRoad 72 Pcs End of Year Gifts for Students Bulk 24 Summer Plastic Tumblers 24oz with Lid and Straw 24 Sunglasses 24 Greeting Cards for Beach Pool Party Gift Classroom Prize from Teacher for Kids,N/A,$50.99,,,,False,https://m.media-amazon.com/images/I/81Qmy4PGb+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Qmy4PGb+L._AC_SL1500_.jpg,,2026-04-23T11:24:47.533878,
5,1,Organic,,3.0,B0GMGRJ16T,Lounsweer 24 Set Watercolor Paint Set End of The Year Exchange Gifts 12 Colors Watercolor Paint Gift with Cards Coloring Painting Craft Tags for Students Graduation Birthday Party Holiday Decoration,N/A,$22.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81ZdQTfcpDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ZdQTfcpDL._AC_SL1500_.jpg,,2026-04-23T11:24:47.538866,
6,1,Title,,,,CZWZ Cute Mini Multicolor Pens for KidsSponsored|Top 10 best-selling brand in ballpoint pens|Shop CZ,,,,,,False,,,,2026-04-23T11:24:47.540602,
8,1,Title,,,,Debug info copied.SponsoredYoojahow 30 Pcs End of The School Year Students Gift Goodie Bags with Han,,,,,,False,,,,2026-04-23T11:24:47.541213,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:24:47.541592,
10,1,Organic,,4.0,B0GJC7BKZH,Haooryx End of Year Gift Card with Summer Keychain - 28 Pack End of School Year Student Keychain with Greeting Card Cute Summer Key Ring for Kid Classroom School Prizes Favor Exchange Gift Supplies,N/A,$14.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/818yFmD+KML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818yFmD+KML._AC_SL1500_.jpg,,2026-04-23T11:24:47.546623,
11,1,Organic,,5.0,B0GJZH483C,CJiangpo End of Year Student Gift - 24 Pack Ice Cream Bowls and Spoons with Cards Set Reusable Plastic Dessert Bowls for Sundae Frozen Yogurt Classroom Reward End of School Summer Birthday Party Favor,N/A,$36.99,,4.4,10.0,False,https://m.media-amazon.com/images/I/81YpG-VRquL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YpG-VRquL._AC_SL1500_.jpg,,2026-04-23T11:24:47.555193,
