data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,CZWZ Cute Mini Multicolor Pens Bulk for Kids,https://aax-us-east-retail-direct.amazon.com/x/c/JOdGT_-tRUDXljy1OOlI2KoAAAGduIx-PwEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICBD91Wy/clv1c_ek-wBIHXFcbWDn2nI4trJ16WtD5jqoAHTu0YylVg35lYjcYjDGas0q2NwJ3exRoVpIl3Qc0coa3roWuEo5FUZd9OxX04NvhcMxhlz1J_xe-6mlPnMFL7iQa5YP98PiKRDRnfUvILoVwvpsF5OW3kvhv-MNyfjn0qkyHSTLCr-LwPiSqeRBS2T01yw-lJuTkcX6X-U0haAR2wzbSdBWjD8be7jJcNDCbe8LaMTPCpFimtePQ0HHKz4vCinru_19VqsMJ4OcyCuAmCWX1FGxjcl9IZc6GXTXxryu_p2q7Z2FkILZaCesS1_tFSdLoAUJlgc8crISBi_dQ4H2-nsATPs7w3FocCXrqUHMQyzyPXBGmUjSAbOHgpPGw5uXKKduRdr2qO_Gtg2w5iRU5SWwm5vyr_GH7OHytA5wEjnBooGlms6dSfvOYm7HSgTvVIYgWXLEsxpJSuuYp_XTzI66vvtXEkfjhK7zdthxwNQImCIEKuFZIlTyzrYMlg4fuEuQFTEhOGsLXszZ0UjTe_f-9h6_jFHHzAFB2F6w4gWvN0PMQrmIAUkc7MS9zhWMS9XO4R41l4WHAvzHVWeLwR1JyrQmjP_XJKEYdOg5FI4-neljERhLD1ht-ni8cUs7N4IpASEzkja5TKe6BWE_sa8MLEg7Swlk8IyvGCVHxcuO0KaBQ6R4YUFd6AY9Nbr4-cEMKo6noDQiGEQ7RBFyPK1cnSGjrlrsTM_iAE4eV-UqS9CnZj2xwMC7gEi-pglEHPSsy9JDJWYHD0t-kfRu2yNQd_gyUXm_-1ik-nM23-ZynuRzuITsJihLp7kl7c0L6Cgh-ldeIge2Uzfs-N5wjZelZq4zduoAuqWF-zRE7L-Syz4l-dVZFb-BUc0qYOfb-DZbSVYv_XZ9uva9hKbCOeI11qSiuAkK42v-HTVyo_PLmnB9sCSghppX0lyiJrvP8rF0nPDQbcO9n2xhkJK9JzKhW8IUQPWVTsHGsz0b63uqhGm-ZOumBUgmj-bw5a2Bltx2Vb8sg_gQF0cbPCPTKd2lBuEW1oC5SPn5xe-IkrlacYW8iVDvRn-qzjlbGfeSoHKot7iD4PXCx9MzRcSi4_GeRnLikTNBugBDc8cx3G_4fxDexrR-HDu9lzw_8RlVDYJhoERimEA3Q8G3L8rDPAQC3z9ZHCSbO8Crix-0JoRpVKl5EhJm8iMesRjFFZNtlZwNpnK6Fz3uF7qzYYvPc8ggbOajT3otrOf0YCIN3VnY1Xm8VdzBIsuW6TtTWKkGbNsYI6nW8t4aJIna4JVn-f0SKBmVIGaX3PPX3qhrdyvKZ1QU9uStetWkDbBmfK5wCOtCQTsmqPZzG0Vsssid0LFmY9LEA74gSGSWTgXOYO9OIwXAsrMT-wDUTPTT_IZibKZD1c8L7FHX6YLivl2Vif039zr3fW59_wUrw9W5yoyT9tJCYYi-w5fASTmT5m9Au5bQ0WZlG4skrmjA89Ai7ijC0SRjLnJnkvh_NKbwXItxBJ7DIfDMVrHumvZlZb5Ei7WW4jLG3nfz3UbhoZ9jP0p6iIxd0HyWkGcgYDPvKyYjCFb-YuqHwat7f7pwH84dv280dHq70UAilMOJuud0P7fbbF70-Zgd-j56-BlJwRDUQZ6r4A0TDnypROk4jhFtLhAHGq66z0zBH8f39bpjKerccI-v04Y4DpUI4/https://www.amazon.com/stores/page/1E0AFEB8-5631-47D0-A054-0EBDCFA4402E/?_encoding=UTF8&store_ref=SB_A08749251NDO9WZVHFJ0T-A031241835OGBG50ZRF3J&pd_rd_plhdr=t&aaxitk=dc9684549d53d4a67b330d2c7363ca00&hsa_cr_id=0&lp_asins=B0D4L6TFC9%2CB0F2HWS1MW%2CB0D8NQ5S9S&lp_query=end%20of%20year%20student%20gifts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=OLS8z&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=1TQ0GS41JV85WTJQ43F5&pd_rd_wg=gJ1Bt&pd_rd_r=ad0ddd4a-7a3d-43f2-bd93-d4788e7bafda,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/04b6b68e-5744-419b-b24e-01f73589b830._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpg",,CZWZ Cute Mini Multicolor Pens Bulk for Kids,2026-04-23T12:15:09.522122,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:15:09.523253,
3,1,Organic,,1.0,B0D4L6TFC9,"CZWZ 20Pcs Mini Multicolor Pens in One 4-in-1 Cute Pens Bulk for Kids, Fun Kawaii Ballpoint Pens for Birthdays and Children's Party Favors Gifts Teacher School Supplies",N/A,$9.99,,4.6,1986.0,False,https://m.media-amazon.com/images/I/81o17WZFBQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81o17WZFBQL._AC_SL1500_.jpg,,2026-04-23T12:15:09.531701,
4,1,Organic,,2.0,B0DRV4JVRY,Vesici 40 Set Pocket Hug Token End of Year Student Gifts from Teacher Bulk Heart Shape Natural Stones with Pocket Cards and Bags for Teacher to Student Graduation Gift Present School Classroom Favors,N/A,$25.99,,4.8,10.0,False,https://m.media-amazon.com/images/I/81mGNztXOGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mGNztXOGL._AC_SL1500_.jpg,,2026-04-23T12:15:09.537370,
5,1,Organic,,3.0,B0GJ3KBM98,Sureio End of Year Student Gifts for Student from Teachers Graduation Friendship Braided Bracelets with Cards Classroom Exchange Gifts,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81FxVl5USpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FxVl5USpL._AC_SL1500_.jpg,,2026-04-23T12:15:09.543420,
7,1,Title,,,,"Customers frequently viewedSponsoredPICcircuit Sticky Hands Bulk 30 PCS Party Favors for Kids 4-8,8-",,,,,,False,,,,2026-04-23T12:15:09.547511,
8,1,Title,,,,CZWZ Cute Mini Multicolor Pens in One for KidsSponsored|Top 10 best-selling brand in ballpoint pens|,,,,,,False,,,,2026-04-23T12:15:09.549192,
10,1,Title,,,,Debug info copied.SponsoredWettarn 24 Sets Star Positive Gifts Cute Stress Balls with Gift Boxes Ins,,,,,,False,,,,2026-04-23T12:15:09.549983,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:15:09.550180,
12,1,Organic,,4.0,B0CCRRNK9Z,"32 Pcs 8 Colors Neon Bubbles Party Favors For Kids, Mini Star Bubble Wand Bulk In Gift Box as Goody Bags Stuffer, Classroom Giveaways, Carnival Prizes Toy, Birthday Treats, Party Supplies For Toddlers",N/A,$9.98,,4.7,2010.0,False,https://m.media-amazon.com/images/I/81k6EsMVeZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81k6EsMVeZL._AC_SL1500_.jpg,,2026-04-23T12:15:09.554570,
13,1,Organic,,5.0,B0BJJ56VL2,Pop Fidget Toys Bulk Its Party Favors for Kids 4-8 8-12 30 Pack Mini Pop Keychain It Small Fidgets for Classroom Prizes School End of Year Student Gifts from Teacher Birthday Goodie Bag Stuffers,N/A,$7.99,,4.8,3390.0,False,https://m.media-amazon.com/images/I/81eyimLZqcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eyimLZqcL._AC_SL1500_.jpg,,2026-04-23T12:15:09.558825,
14,1,Organic,,6.0,B0GHY6TZPV,Realspring 24 Set End of Year Students Gift from Teacher Bulk Preschool Kindergarten Summer Graduation Gifts for Student Beach Ball Bubble Wands Pentagram Neon Sunglasses Cards for Beach Party Favor,N/A,$36.95,,,,False,https://m.media-amazon.com/images/I/817MmT9IkbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817MmT9IkbL._AC_SL1500_.jpg,,2026-04-23T12:15:09.563255,
