data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:58:25.525258,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:58:25.526299,
3,1,Organic,,1.0,B09VDHT8WP,"CCINEE 12 PCS Artificial Palm Leaves, Assorted Sizes Faux Large Palm Fronds Fake Tropical Plant Simulation Safari Leaves with Stems for Home Hawaiian Luau Party Jungle Beach Theme Party Decoration",N/A,$8.09,,4.4,901.0,False,https://m.media-amazon.com/images/I/812ZTMugnuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812ZTMugnuL._AC_SL1500_.jpg,,2026-04-23T09:58:25.529248,
4,1,Organic,,2.0,B07NRLTZ9Z,"Artificial Areca Palm Leaves, 8 Pcs Faux Tropical Palm Tree Leaves Stems for Floral Arrangement, Hawaiian Luau, Jungle Beach Wedding Party Decor, 28 Inches Tall",N/A,$9.99,,4.4,1635.0,False,https://m.media-amazon.com/images/I/71mhrIgw52L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71mhrIgw52L._AC_SL1500_.jpg,,2026-04-23T09:58:25.532795,
5,1,Organic,,3.0,B0BX58241Y,"CCINEE 16 PCS Artificial Palm Leaves, Faux Large Palm Fronds Fake Tropical Plant Simulation Safari Leaves with Stems for Home Hawaiian Luau Party Jungle Beach Theme Party Decoration",N/A,$9.49,,4.4,901.0,False,https://m.media-amazon.com/images/I/81VYGvA-i8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VYGvA-i8L._AC_SL1500_.jpg,,2026-04-23T09:58:25.535848,
7,1,Title,,,,Debug info copied.SponsoredSuncalla 10 Pack Rainforest Artificial Tropical Leaves VBS 2026 Jungle Ra,,,,,,False,,,,2026-04-23T09:58:25.536757,
8,1,Title,,,,Artificial Ivy Vines for Home DecorSponsored|20K+ bought from this brand in past month|Shop CQURESho,,,,,,False,,,,2026-04-23T09:58:25.538438,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:58:25.538623,
10,1,Organic,,4.0,B085GC3XF4,108 Pack Palm Leaves Artificial Tropical Monstera - 6 Kinds Large Small Green Fake Palm Leaf with Stems for Safari Jungle Hawaiian Luau Party Table Decoration Wedding Birthday Theme Party Decorations,N/A,$15.97,,4.5,5975.0,False,https://m.media-amazon.com/images/I/91GcpXJTi3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91GcpXJTi3L._AC_SL1500_.jpg,,2026-04-23T09:58:25.542682,
11,1,Organic,,5.0,B094VSK5T5,"PartyWoo Palm Leaves, 34 pcs Fake Artificiall Palm Leaves, Summer Tropical Fiesta Party Decorations, Flamingo Hawaiian Party Supplies",N/A,$6.99,,4.5,239.0,False,https://m.media-amazon.com/images/I/91heLtgiksS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91heLtgiksS._AC_SL1500_.jpg,,2026-04-23T09:58:25.546166,
