data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:15:00.000622,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:15:00.001582,
3,1,Organic,,1.0,B0F1YNVCB2,"48PCS Fathers Day Crafts for Kids: Make Your Own Father's Gifts Bulk, DIY Coloring Magnets for Father, Magnetic Refrigerator Fridge Cruise Door Decorations(Markers Not Included)",N/A,$14.99,,4.3,14.0,False,https://m.media-amazon.com/images/I/81cwfiQV3YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cwfiQV3YL._AC_SL1500_.jpg,,2026-04-23T10:15:00.007219,
4,1,Organic,,2.0,B0D2HDMQNJ,"RattanView 24 Pcs Dad Craft Color Your Own Keychains DIY Craft Wooden Blank Keychains for Sunday School Classroom Home Active Party Favors Gifts, 12 Styles",N/A,$16.99,,4.6,111.0,False,https://m.media-amazon.com/images/I/81yvbDfdsBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yvbDfdsBL._AC_SL1500_.jpg,,2026-04-23T10:15:00.017477,
5,1,Organic,,3.0,B0D128V86P,"Sereliy 45 Set Father's Day Card Making Kits for Kids, Father's Day Shirt DIY Crafts, Bulk Father's Day Handmade Crafts for Classroom. (Father 45)",N/A,$14.99,,4.2,37.0,False,https://m.media-amazon.com/images/I/81A5euMVfwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81A5euMVfwL._AC_SL1500_.jpg,,2026-04-23T10:15:00.022503,
7,1,Title,,,,"Debug info copied.Sponsored10"" Best Dad Ever Hands Down Sign DIY Dad Gifts from Kids Handprint Kit w",,,,,,False,,,,2026-04-23T10:15:00.023549,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:15:00.023713,
9,1,Organic,,4.0,B01DWIZTMK,Creative Roots Create Your Own Handprint Stone by Horizon Group USA,N/A,$8.94,,4.6,23369.0,False,https://m.media-amazon.com/images/I/810tfZeu0VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810tfZeu0VL._AC_SL1500_.jpg,,2026-04-23T10:15:00.029813,
10,1,Organic,,5.0,B0GKCYQ5B1,"18Pcs Happy Father's Day Can Cooler Sleeves, 12 oz Color Your Own Bottles Beverage Covers Blank Beer Soda Can Insulators DIY Craft Gifts for Dad from Son Daughter for Home Party Favors",N/A,$14.99,,4.7,208.0,False,https://m.media-amazon.com/images/I/81uDWFL5jeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uDWFL5jeL._AC_SL1500_.jpg,,2026-04-23T10:15:00.033951,
11,1,Organic,,6.0,B0DSPH8QNB,Fancy Land 24 Pack Fathers Day Crafts for Kids Make Your Own Tie DIY Necktie for Dad Bulk Classroom School Activities,N/A,$11.99,,4.6,10.0,False,https://m.media-amazon.com/images/I/81nX7StNRmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nX7StNRmL._AC_SL1500_.jpg,,2026-04-23T10:15:00.037275,
12,1,Organic,,7.0,B09WTYSRFT,"AIERSA Best DAD Unfinished Wood Crafts, Fathers Day Crafts for Kids Painting, Wood Cutouts to Paint, Wooden Letter Ornaments for Fathers Day Gift,Dad's Birthday Party Classroom DIY Tags 20Pcs",N/A,$9.99,,4.6,239.0,False,https://m.media-amazon.com/images/I/816579VB2kL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816579VB2kL._AC_SL1500_.jpg,,2026-04-23T10:15:00.041906,
13,1,Organic,,8.0,B0BXDNSFS3,24 Sets DIY Father's Day Crafts for Kids Dad Brick Tabletop Decorating with Easel Instructions Craft Kit for Father's Day Classroom Activities Art Projects,N/A,$13.99,,3.9,17.0,False,https://m.media-amazon.com/images/I/71Poq7KaSQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Poq7KaSQL._AC_SL1500_.jpg,,2026-04-23T10:15:00.045502,
14,1,Organic,,9.0,B0D2HS7VN4,Dad 30Pcs Unfinished Wood Crafts Fathers Day DIY Cutouts Dad Birthday Present Gift Tags Wooden Letter Ornaments Paintable Blank Hanging Wood Slices for Kids Art Crafts Party Decor for Daddy,N/A,$11.99,,4.7,1290.0,False,https://m.media-amazon.com/images/I/71ArqVrjbKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ArqVrjbKL._AC_SL1500_.jpg,,2026-04-23T10:15:00.049288,
15,1,Organic,,10.0,B0CRVFD9KZ,"RattanView 36 Set Father's Day Magnets Craft for Kids Bulk, Color Your Own Father's Day Magnets Craft Best Dad DIY Crafts Kit Gifts for Happy Father's Day Dad's Birthday Party and Fun Home Activities",N/A,$12.99,,4.1,15.0,False,https://m.media-amazon.com/images/I/811tJ-JGPEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811tJ-JGPEL._AC_SL1500_.jpg,,2026-04-23T10:15:00.052581,
16,1,Organic,,11.0,B0F4X1GHNW,"36PCS Wooden Father's Day Ornaments to Paint, 6 Styles Best DAD DIY Blank Unfinished Wood Cutouts Father's Day Gifts Ornament for Crafts Birthday Party Hanging Decorations Daddy",N/A,$12.99,,4.7,255.0,False,https://m.media-amazon.com/images/I/71AH-xEs-xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71AH-xEs-xL._AC_SL1500_.jpg,,2026-04-23T10:15:00.056237,
17,1,Organic,,12.0,B0F4XCKF97,Father's Day DIY Crafts for Kids - 36Set Bulk Happy Father’s Day Theme Sunday School Crafts Sticker Christian Religious Hanging Ornament Craft Kit for Classroom VBS Activities Sunday School Favors,N/A,$13.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/812j1SFkIQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812j1SFkIQL._AC_SL1500_.jpg,,2026-04-23T10:15:00.060756,
18,1,Organic,,13.0,B005M4D1KU,Fun Express Color Your Own World's Best Dad Mugs 12 Pack - DIY Mug Painting Kit for Kids with BPA-Free Plastic Mugs | Perfect Father's Day Craft Gift Set for Children to Make & Decorate,N/A,$19.68,,4.6,50.0,False,https://m.media-amazon.com/images/I/61VEJ5e1IlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61VEJ5e1IlL._AC_SL1500_.jpg,,2026-04-23T10:15:00.064989,
19,1,Organic,,14.0,B0DNJNQ33T,DoubleFill 30 Pack Wind Chime Kit Make You Own Father's Day Wind Chimes Crafts DIY Coloring Wooden Father's Day Art and Craft for Dad's Birthday Gifts Party Decoration Hanging Ornaments,N/A,$19.99,,4.1,17.0,False,https://m.media-amazon.com/images/I/81vv8Rr1q0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vv8Rr1q0L._AC_SL1500_.jpg,,2026-04-23T10:15:00.069350,
20,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:15:00.069900,
21,1,Organic,,15.0,B0GLPTRFR4,Fennoral 36 Pack Father's Day Craft Kit for Kids Make Your Own Fathers Day Handprint Craft DIY Greeting Cards Bulk Hand Keepsake for Home School Fun Art Activities Dad Birthday Gifts,N/A,$24.59,,5.0,1.0,False,https://m.media-amazon.com/images/I/811WMYXuu5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811WMYXuu5L._AC_SL1500_.jpg,,2026-04-23T10:15:00.073529,
22,1,Organic,,16.0,B08655M2M8,Fun Express Father's Day Necktie Craft Kit Makes 12 - DIY Dad Gifts from Kids | Preschool Craft Kit with Self-Adhesive Foam Pieces | Fathers Day Decorations & Arts and Crafts Party Favors for Kids,N/A,$15.99,,4.9,20.0,False,https://m.media-amazon.com/images/I/61zaf93eO2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61zaf93eO2L._AC_SL1500_.jpg,,2026-04-23T10:15:00.077875,
23,1,Organic,,17.0,B0CC797P1S,"Klever Kits 4 DIY Wooden Race Cars-Build & Paint Your Own Wood Craft Kit, 4 Race Cars Toy, Easy to Assemble Arts Crafts Kit, Birthday Party Presents for Kids Boys and Girls",N/A,$14.98,,4.6,1706.0,False,https://m.media-amazon.com/images/I/81gY5yhcPAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gY5yhcPAL._AC_SL1500_.jpg,,2026-04-23T10:15:00.082624,
24,1,Organic,,18.0,B0D14CBGKT,"10"" Best Dad Ever Hands Down Sign DIY Dad Gifts from Kids Handprint Kit with Acrylic Paint, Toddler Craft Birthday Gift Father's Day for Daddy, Papa Family Plaque with Daughter, Son Names HF90-D",N/A,$16.99,,4.3,431.0,False,https://m.media-amazon.com/images/I/81PO4Mi7KQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PO4Mi7KQL._AC_SL1500_.jpg,,2026-04-23T10:15:00.088156,
25,1,Organic,,19.0,B0GHYSJ1Q3,Dad 40Pcs 5 Type Unfinished Wood Crafts Fathers Day DIY Cutouts Dad Birthday Present Gift Tags Wooden Ornaments Paintable Blank Hanging Wood Slices for Kids Art Crafts Party Decor for Daddy,N/A,$11.99,,4.7,1290.0,False,https://m.media-amazon.com/images/I/71Z7d-wTQiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Z7d-wTQiL._AC_SL1500_.jpg,,2026-04-23T10:15:00.092101,
26,1,Organic,,20.0,B0F3JC7YSD,"Qyeahkj 48Pcs Father’s Day Coloring Poster, All About Dad Poster for Father’s Day Craft Gifts DIY Fun Home Party Activities",N/A,$12.99,,4.3,4.0,False,https://m.media-amazon.com/images/I/81Jconn+GgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Jconn+GgL._AC_SL1500_.jpg,,2026-04-23T10:15:00.095534,
