data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:01:33.070056,4.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:01:33.071325,
3,1,SP,1.0,,B09B8V1LZ3,"Amazon Echo Dot (newest model) - Vibrant sounding speaker, Designed for Alexa+, Great for bedrooms, dining rooms and offices, Charcoal",N/A,$49.99,,4.7,190929.0,False,https://m.media-amazon.com/images/I/71hNp8d9WvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71hNp8d9WvL._AC_SL1500_.jpg,,2026-04-23T11:01:33.075317,
4,1,SP,2.0,,B0F5C2319V,"Wallet for Men Slim RFID Blocking Bifold Carbon Fiber,Minimalist Small Compact Front Pocket Credit Card Holder,Thin Mens Leather Wallets Smart Security With 2 ID Windows 1 Cash,Birthday Gifts for Men",N/A,$8.47,,4.6,528.0,False,https://m.media-amazon.com/images/I/71kdFgFjklL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71kdFgFjklL._AC_SL1500_.jpg,,2026-04-23T11:01:33.078663,
5,1,SP,3.0,,B0DF7L8QV8,"4THFARMES Mini Funny Turtle Fathers Day Dad Gifts from Daughter Son Wife, Birthday Gift for Dad Father Daddy Presents, I Love You Small Cute Stuff Things, Handmade Emotional Positive Crochet Turtle",N/A,$7.99,,4.8,2047.0,False,https://m.media-amazon.com/images/I/7119unqCgiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7119unqCgiL._AC_SL1500_.jpg,,2026-04-23T11:01:33.082869,
6,1,SP,4.0,,B0F23QN5ZX,"Funny Fathers Day Birthday Gifts from Daughter Son Wife, Father's Day Positive Handmade Crochet Gift for Dad, Cute Small Gifts for Dads, I Love You Papa Gift Idea, Unique Football Doll for Step-Dads",N/A,$9.99,,4.8,818.0,False,https://m.media-amazon.com/images/I/712KMixpdBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712KMixpdBL._AC_SL1500_.jpg,,2026-04-23T11:01:33.086589,
7,1,Organic,,1.0,B0C33D8ZN5,"Dad Gifts, 8PCS Fathers Day Gift Includes 20oz Tumbler with Lid Straw Brush Socks Bracelet Key Chain Thanks Card Gift Box, Best Dad Ever Gifts from Daughter Son Kids for Christmas Birthday",N/A,$16.89,,4.8,414.0,False,https://m.media-amazon.com/images/I/71IVV4FXCgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71IVV4FXCgL._AC_SL1500_.jpg,,2026-04-23T11:01:33.094048,
8,1,Organic,,2.0,B083L8RNJR,"TOLOCO Massage Gun, Deep Tissue Back Massage for Athletes for Pain Relief, Percussion Massager with 10 Massages Heads & Silent Brushless Motor, Mothers Day Gifts, Black",N/A,$39.98,,4.4,62177.0,False,https://m.media-amazon.com/images/I/71Jot9nj6qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Jot9nj6qL._AC_SL1500_.jpg,,2026-04-23T11:01:33.106773,
9,1,Organic,,3.0,B0GHWXHZKS,"Dad Gifts for Fathers Day - Grilling Aprons for Men with 2 Pockets, Birthday Fathers Day Gift from Daughter Son Wife, DFPDFP Funny Aprons for Cooking, Best Dad Ever Gifts, Water Resistant & Adjustable",N/A,$9.99,,4.6,5.0,False,https://m.media-amazon.com/images/I/71+AUYUF6AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71+AUYUF6AL._AC_SL1500_.jpg,,2026-04-23T11:01:33.113204,
11,1,Title,,,,"Debug info copied.SponsoredFathers Day Dad Gifts from Daughter Son Wife, MAFEHAN 9-in-1 Multitool Pe",,,,,,False,,,,2026-04-23T11:01:33.114101,
