data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Having Fun with Calobana Water Hammock,https://aax-us-east-retail-direct.amazon.com/x/c/JM93UF1rVOvIJl6zmHyPVkoAAAGduBD6pAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICCq6j8z/clv1c_ek-wBPHXLcTWnuOrE7vOusHhpEAzKhkpBxoZ0lPrPq_ARSlvIQEI43MrO-deQ0a5KIrPbA3SQ4u1vY7bgEJ2okJ1Xfi_MNgdaqJO14dKVvz0kzjhwjBMHd7-zo30Z_A7eujdo7TiS04ewHU7NyLPc4_fpZXcllLoQtD17XvK_IecWFEpIG0Zd-4_sw0wO9_eVKMno87IERbugVRkl0vNMf6_hFs9PvT6MtpKOjQQe7oB5TQm-iHtY9CNy0DfaoWVwhpWrqjwMzZeKtKVZrTR4sZmTqSrYI_Q6xQeR58QGtewFoevV4iW0RXyMiqDwZVASS4r1xrTm6glKcHGyS2MOxU3hrb6iyaytYicz-7qTpS5lrCqEqq5GHpgGbOqAaVUyN2SOo_cYQKA30gW42CXGVed2sxn9RL9TlKA1-fylLpLJ1tBrfoVYhdgy_P84CVGSll4cloka91XVugQ1nRaohpog466Cmriz6bVwYmmJVrXs5de9_D55arTpVXo56Wh2jHVRab_GG0ne0DpzZGwHhDkTpYjeOwm9MU4PI_7FGRAyhYhwmmoLnH4IBaEA2y7_j2-qThmkwYeOB-_lwOfLPxJQxbL_JQOw9diRQrN0T5s_t_olsXCzPzmdm_cf-PYLQu4_CoUzTMPMUjd9Sg7l9tYXMNDaIt73Xyw0o6cicQomghPzwxVLyqXGpbxqsV4_yi2rZfoG_ZbDtCyyIHSMxdvxVSl41O_00DlRNfUfIauq_27d82eIqm6brSRGUGuRWeMUHANkiIs0G3Rl7SvPgm3zrr1AXks9xmvUd1bfXx12zWI_HAbWqIB5OVFPY9zYUWEzklPQE4AuQiO-uZzmzTnEp_meJzjkRS4Xp-xlPD31RdukyNNPx52nOonxP5jBJJc869_PhM-zMxD7Yd75Q52VJ3MiHxZxlPWW2_7KYPy5EIVveAz6lXe_7J8C0stdeMVPQQQXA3V822cPNWWRAas5lCu1aJ3LEcSf4zdlL_UHnnEv6DCY54Pqw8-ID8cWS9gQUAN6CozU-Fj7xNVwSKGBHMa5YCinNjLjJNSYAZKN5iaaUxME-JRC4IN6pibr0vrXWNYr9RwldJ2tg9ICm2i8nn0-0qRJ0ry8zKZbQxys0BEgOKDu5OMSv6K74kHVBf-81Rlz6vM5V-mT8A5rLiiyfOidwZJqoJEL8bevWwZUSuR9lWVs3RPx8nTKdO_-HGec93BxcLW9ekAYgAFQPaLiFB6jab8tbzVm_AvxCUVWfASM1-uuehnAxr4ANPCOJ-ma2H2CdK1wIawTXm4Moe6172aXVHzz8VdbaR_TlWQFxQGe_FIEUHrYSuakr9TQ7kGk7hQi2xfBVnEKqqRpRjC1NFrniIgMHAWPNvzEVQz8CWsuiE4EzPvRk_oIoATv4IZYzWDcadwb0yOT39LE98YLs2wlGasIbF3O_EsxzZz0teGdtyF7VzNzmo7fZlT_EKNqqEVxAShxCBTQqYQje6OizxiwckuIe4VbZvid3qkG83JC8quyPnWNIHnReA4zmn4yLXMQlrlCYCHLTtdFWP3hpyv0_0O-gANPBHWQ5UqMht0arJ8ZRzgBw_ED46ef8IXluJnMhEjtKhZ_DiUlKhFtjqBOcewOluJOO_CG9nRhYsNLp6S6LAVDVnYxThm1Z41SPJdOKp_7wuBTDL9t00HM0jQAuvSwhLXGFM/https://www.amazon.com/stores/page/56663191-ABA8-4A5B-959D-377A59BC9390/?_encoding=UTF8&store_ref=SB_A07873012KGHVL7LNE62E-A04417082WNCA740782O6&pd_rd_plhdr=t&aaxitk=f2ec0b2078df60ab3c31f618131a2d9a&hsa_cr_id=0&lp_asins=B0F8J42V94%2CB0F7R3TVT7%2CB0DSFVM25P&lp_query=floaties&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=250hh&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=D4DNC8QZJY24FQG0Q0WS&pd_rd_wg=Lff5n&pd_rd_r=067bd0b1-8579-4d02-adb7-e437ca21dbb4,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/6a225219-3a1f-434c-bf3f-7373c79981ac._CR0,0,816,808_AC_SX130_SY60_CB1169409_QL70_.png",,Having Fun with Calobana Water Hammock,2026-04-23T10:00:17.870125,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:00:17.870983,
3,1,Organic,,1.0,B0D157XZPN,"2 Pack Arm Floaties for Kids and Adults- Inflatable Floaties for Kids 6-12yrs, Blow up Water Wings for Toddlers, Swimming Arm Pool Floats for Children and Adults 30-150LBS(Blue and Pink)",N/A,$9.99,,4.4,1184.0,False,https://m.media-amazon.com/images/I/61TrnYqFBeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61TrnYqFBeL._AC_SL1500_.jpg,,2026-04-23T10:00:17.876287,
4,1,Organic,,2.0,B0BV33YWQV,2-4 Pack Arm Floaties for Kids and Adults - Pool Floats Arm Bands Inflatable Swim Rings PVC Arm Floater for Toddlers Kids 3-5-6-12 Years,N/A,$6.98,,4.2,859.0,False,https://m.media-amazon.com/images/I/51XA1oIg0qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51XA1oIg0qL._AC_SL1500_.jpg,,2026-04-23T10:00:17.879649,
5,1,Organic,,3.0,B0GMLWXDND,ShinyRelief 4 Pcs Adult Inflatable Pool Rings 36/45in Inflatable Tubes Fruit Donut Striped Swimming Jumbo Float Tube Rings for Women Summer Pool Beach Hawaiian Luau Party,N/A,$33.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71hbsTgGfVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71hbsTgGfVL._AC_SL1500_.jpg,,2026-04-23T10:00:17.883213,
7,1,Title,,,,Customers frequently viewedSponsoredArm Floaties for Kids and Adults - Vintage Striped Pool Arm Floa,,,,,,False,,,,2026-04-23T10:00:17.887645,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:00:17.887825,
9,1,Organic,,4.0,B09W5KN6SN,"10Leccion 2 Pack Inflatable Arm Floaties for Toddlers, Blow up Water Wings for Kids, Swimming Arm Bands Floatation for Children and Adults 30-150LBS(Blue and Orange)",N/A,$9.99,,4.4,1184.0,False,https://m.media-amazon.com/images/I/61MyrfAnVlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61MyrfAnVlL._AC_SL1500_.jpg,,2026-04-23T10:00:17.891628,
10,1,Organic,,5.0,B0DM5QRTLC,Speedo unisex-child Swim Arm Bands Begin to Swim,N/A,,,4.5,6915.0,False,https://m.media-amazon.com/images/I/61N2-XrNsML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61N2-XrNsML._AC_SL1500_.jpg,,2026-04-23T10:00:17.894534,
11,1,Organic,,6.0,B0CWL4TWL8,"2-4 Pack Arm Floaties Swimming Rings for Kids Children Adults, Pool Floats Arm Bands, Inflatable Swim Rings, PVC Arm Bands Floater Sleeves for Toddlers Children 3-5-6-12 Years",N/A,$6.99,,4.2,319.0,False,https://m.media-amazon.com/images/I/61iYrr+2OgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61iYrr+2OgL._AC_SL1500_.jpg,,2026-04-23T10:00:17.897918,
