data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:47:27.046494,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:47:27.047991,
3,1,Organic,,1.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,4011.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-23T09:47:27.053582,
4,1,Organic,,2.0,B0FRD7TBK7,OHOME 4th of July Decorations - Patriotic USA Stars Table Runner for Home | Memorial Day Decorations - 250th Anniversary Fourth of July Accessories Decor Party Supplies Indoor Outdoor,N/A,$6.76,,4.6,266.0,False,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cTp7vzkBL._AC_SL1500_.jpg,,2026-04-23T09:47:27.058295,
5,1,Organic,,3.0,B0GCCR2J9T,XCHI Gnome Stars Patriotic America Memorial Day 4th of July Kitchen Towels Dish Towels 18x26 Inch Home Kitchen Decorations Hand Towels Set of 2 Drying Dishcloth,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/711-kpf5y5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/711-kpf5y5L._AC_SL1500_.jpg,,2026-04-23T09:47:27.061715,
7,1,Title,,,,"Debug info copied.SponsoredLOLStar 4th of July Decorations, 3Pack Red White and Blue Decorations Str",,,,,,False,,,,2026-04-23T09:47:27.062573,
8,1,Title,,,,250 anniversary usa flagSponsored|Shop SnungeeShop nowPrevious page250 Anniversary Usa Garden Flags ,,,,,,False,,,,2026-04-23T09:47:27.063635,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:47:27.063763,
10,1,Organic,,4.0,B0DYV7PB84,"4th of July Garland Decorations,50Ft Glitter Tinsel Patriotic Decor for Tree Car Golf Cart Parade Float Bike Party Table Yard Door Boat Indoor Outdoor Holiday Home",N/A,$14.98,,4.8,389.0,False,https://m.media-amazon.com/images/I/81lr+xyLu0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lr+xyLu0L._AC_SL1500_.jpg,,2026-04-23T09:47:27.067427,
11,1,Organic,,5.0,B0GRYB7TJR,4th of July Decorations - 6.5 Ft Patriotic Bow Garland - Memorial Day Decor - America 250th Anniversary Decoration - Fourth of July Home Party Supplies Independence Day Accessories for Indoor Outdoor,N/A,$19.99,,5.0,10.0,False,https://m.media-amazon.com/images/I/71zuDZNC+TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71zuDZNC+TL._AC_SL1500_.jpg,,2026-04-23T09:47:27.072153,
