data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:04:07.957970,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:04:07.959389,
3,1,SP,1.0,,B0DZP1CXKD,"QPAU Inflatable Tank Pool Float for Adults & Kids – Ride-On Camouflage Floaty with Water Cannon, Swim Raft Toy for Boys Girls, Lake Beach Backyard Party Floaties",N/A,$33.99,,4.5,434.0,False,https://m.media-amazon.com/images/I/71fcZTS-+SL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71fcZTS-+SL._AC_SL1500_.jpg,,2026-04-23T12:04:07.963592,
4,1,SP,2.0,,B0DSPWP99T,"5 Pack Inflatable Pool Floats, OKSUWATER 4-in-1 Water Hammock, Pool Floats Adult Size for Swimming Pool Party Summer Lake Water Fun (5 Pack-Multicolor)",N/A,$21.98,,4.7,421.0,False,https://m.media-amazon.com/images/I/819XdTCgKcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819XdTCgKcL._AC_SL1500_.jpg,,2026-04-23T12:04:07.968327,
5,1,SP,3.0,,B07NX2V91X,"JOYIN 2-Pack Flamingo Unicorn Pool Float - Fun Floaties Inflatable Swimming Pool Tubes Toys Party Decorations, Summer Vacation Lake Beach Floaty Swim Rings Raft Lounger for Adults & Kids",N/A,$22.99,,4.4,3221.0,False,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_SL1500_.jpg,,2026-04-23T12:04:07.971479,
6,1,SP,4.0,,B076H9CX6D,"JOYIN Giant Inflatable Pizza Slice Pool Float, Fun Pool Floaties, Swim Party Toy, Summer Pool Raft (1 Pack), Extra Large with Cup Holders",N/A,$29.99,,4.5,1875.0,False,https://m.media-amazon.com/images/I/81IKLCCWhOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IKLCCWhOL._AC_SL1500_.jpg,,2026-04-23T12:04:07.974548,
7,1,Organic,,1.0,B0CM6V3CPF,Sloosh Inflatable Banana Pool Float - Ride on Banana Pool Floats Funny Swimming Pool Party Decorations,N/A,$19.99,,3.9,101.0,False,https://m.media-amazon.com/images/I/51whRt5TgQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51whRt5TgQL._AC_SL1500_.jpg,,2026-04-23T12:04:07.977942,
8,1,Organic,,2.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2353.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-23T12:04:07.989066,
9,1,Organic,,3.0,B0DC13QBNZ,"Giant Pop-Tarts Extra Large Inflatable Pool Float for Pool Playing, Over 5.5 Feet Long, Lounging and Party",N/A,$14.96,,4.5,169.0,False,https://m.media-amazon.com/images/I/81lyoKLlb1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lyoKLlb1L._AC_SL1500_.jpg,,2026-04-23T12:04:07.992785,
11,1,Title,,,,Debug info copied.Sponsored[Upgraded Log Rafts] 4 Pcs Jumbo Inflatable Battle Log Pool Game - 2 Play,,,,,,False,,,,2026-04-23T12:04:07.993700,
12,1,Title,,,,Relax in Style with FUNBOY's Tube FloatSponsored|Top 10 best-selling brand in this category|Shop FUN,,,,,,False,,,,2026-04-23T12:04:07.995220,
13,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:04:07.995441,
14,1,Organic,,4.0,B0BWYM8LB5,"Jasonwell Inflatable Tank Swimming Pool Floaties with Water Cannon Gun Swim Floaty Rafts for Lake, Beach & Pool Party Toys for Boys, Girls, Kids & Adults- Green",N/A,$35.99,,4.3,1559.0,False,https://m.media-amazon.com/images/I/814lFySmUsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814lFySmUsL._AC_SL1500_.jpg,,2026-04-23T12:04:08.005114,
15,1,Organic,,5.0,B07SGZNWB7,"RITONS 4 Pcs Set Inflatable Floating Row Toys, Adult 12 Year Above Pool Party Water Sports Games Log Rafts to Float Toys",N/A,$21.95,,3.6,1147.0,False,https://m.media-amazon.com/images/I/71kgLBCFWiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71kgLBCFWiL._AC_SL1500_.jpg,,2026-04-23T12:04:08.009025,
16,1,Organic,,6.0,B07NX2V91X,"JOYIN 2-Pack Flamingo Unicorn Pool Float - Fun Floaties Inflatable Swimming Pool Tubes Toys Party Decorations, Summer Vacation Lake Beach Floaty Swim Rings Raft Lounger for Adults & Kids",N/A,$22.99,,4.4,3221.0,False,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81U1c+sU5FL._AC_SL1500_.jpg,,2026-04-23T12:04:08.012414,
17,1,SP,5.0,,B0GKQ5PP4G,"3 Pack Pool Floats Adult, SEETOHOME Inflatable Pool Float Chairs with Cup Holder, Pool Floaties for Adults, Lake Floats Perfect for Pool, Lake, River, Beach, Summer Vacation & Water Party",N/A,$29.99,,4.7,18.0,False,https://m.media-amazon.com/images/I/817TSmAn7fL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817TSmAn7fL._AC_SL1500_.jpg,,2026-04-23T12:04:08.016671,
18,1,SP,6.0,,B0G8ZT3S88,"Pool Basketball Hoop, Floating Pool Toy for 3 4 5 6 7 8 9 Years Old Kids Ring Game with 4 Balls 8 Rings & Pump Outdoor Swimming Pool Basketball Games Water Play Toy Family Party for Kids Adults",N/A,$37.99,,4.6,18.0,False,https://m.media-amazon.com/images/I/71IlmkfkLXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71IlmkfkLXL._AC_SL1500_.jpg,,2026-04-23T12:04:08.020497,
19,1,SP,7.0,,B0GJNSYV12,3Pcs Large Inflatable Pool Float with Handles Fruit Swim Rings Swimming Pool Tubes for Teens Pool Rings Summer Beach Themed Party,N/A,$25.98,,5.0,1.0,False,https://m.media-amazon.com/images/I/71NZcPWtUVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71NZcPWtUVL._AC_SL1500_.jpg,,2026-04-23T12:04:08.024186,
20,1,SP,8.0,,B0GDWN9W3C,2 PCS Large 35 inch Inflatable Pool Floats for Swimming Pool Party Lake Beach Adults -Striped Floaties Pool Tubes Swim Rings Tubes Floaties for Beach Pool Party Decorations,N/A,$22.98,,4.3,5.0,False,https://m.media-amazon.com/images/I/61zdqYAjIaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61zdqYAjIaL._AC_SL1500_.jpg,,2026-04-23T12:04:08.029124,
21,1,Organic,,7.0,B0FMR9M4LC,Sloosh Inflatable Pool Float Battle Game Set for Kids Adults-Includes 2 Giant Ride On Pool Toy Kitten & Puppy for Outdoor Swimming Party Family Activities,N/A,$55.99,,4.7,11.0,False,https://m.media-amazon.com/images/I/91NIoxB9QuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NIoxB9QuL._AC_SL1500_.jpg,,2026-04-23T12:04:08.032928,
22,1,Organic,,8.0,B083J1CV1C,"MorTime Inflatable Roller Float, 40'' Colorful Water Wheel, Swimming Pool Roller Toy for Kids and Adults Outdoors",N/A,$24.99,,3.6,1185.0,False,https://m.media-amazon.com/images/I/81qB7RWnMgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qB7RWnMgL._AC_SL1500_.jpg,,2026-04-23T12:04:08.036854,
23,1,Organic,,9.0,B0832FP267,Jasonwell Inflatable Dinosaur Swimming Pool Float for Kids Boys Girls Adults 124'' Giant Tyrannosaurus Rex Floatie Summer Beach Ride on Party Pool Raft Lounge Toys,N/A,$29.98,,4.5,2930.0,False,https://m.media-amazon.com/images/I/61wjNn2rCRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61wjNn2rCRL._AC_SL1500_.jpg,,2026-04-23T12:04:08.047282,
24,1,Organic,,10.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.98,,4.3,4694.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-23T12:04:08.051779,
25,1,SP,9.0,,B0GKYJ2H4S,"Pool Toy Set for Kids, Tic-Tac-Toe Pool Floats Fun Toy Kit for Adults Teens, Water Fun Pool Game Accessories for Outdoor Party, Summer Pool Inflatables Stuff",N/A,$29.99,,5.0,8.0,False,https://m.media-amazon.com/images/I/91-RrqlBUeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-RrqlBUeL._AC_SL1500_.jpg,,2026-04-23T12:04:08.054844,
26,1,SP,10.0,,B0DP6ZZ86F,"2 Pack Inflatable Pool Floats Chair Adult, American Flag Pool Lounge Chairs with Cup Holders & Backrest,Blow Up Patriotic Pool Floaties for 4th of July Party,250th Anniversary,Summer Beach Lake Party",N/A,$28.15,,4.6,23.0,False,https://m.media-amazon.com/images/I/81aT8iqVjSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81aT8iqVjSL._AC_SL1500_.jpg,,2026-04-23T12:04:08.058178,
27,1,SP,11.0,,B0DSPWPH4C,"4 Pack Inflatable Pool Floats, OKSUWATER 4-in-1 Water Hammock, Pool Floats Adult Size for Swimming Pool Party Summer Lake Water Fun",N/A,$19.99,,4.7,553.0,False,https://m.media-amazon.com/images/I/81Kk-xDIdeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Kk-xDIdeL._AC_SL1500_.jpg,,2026-04-23T12:04:08.062960,
28,1,SP,12.0,,B0GM7X8ZD7,4 Pack Pool Floats for Adults and Teens Large Donut Pool Float-36 inch Doughnut Pool Floaties Pool Tubes Swim Rings Tubes Floaties for Beach Pool Party Decorations,N/A,$24.98,,4.7,7.0,False,https://m.media-amazon.com/images/I/71QIsixnmaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71QIsixnmaL._AC_SL1500_.jpg,,2026-04-23T12:04:08.066889,
29,1,Organic,,11.0,B0BR4YJN4P,Jasonwell Inflatable Avocado Pool Float Floatie with Ball Water Fun Large Blow Up Summer Beach Swimming Floaty Party Toys Lounge Raft for Adults (L),N/A,$19.99,,4.3,9115.0,False,https://m.media-amazon.com/images/I/61JqR5l2GaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61JqR5l2GaL._AC_SL1500_.jpg,,2026-04-23T12:04:08.079181,
30,1,Organic,,12.0,B0BW83TD8Q,"Inflatable Swan Pool Floats with Colorful Lights, FlyfreeU Solar LED Color Changing Swan Swim Tube Rings, 42 Inch Large Pool Beach Floaties Lake Beach Floaty Summer Pool Raft Lounge for Adults",N/A,$31.99,,4.4,723.0,False,https://m.media-amazon.com/images/I/718CqHrM6vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718CqHrM6vL._AC_SL1500_.jpg,,2026-04-23T12:04:08.083824,
31,1,Organic,,13.0,B083B6KZQB,"JOYIN Giant Boat Float with Cooler - Inflatable Boat Funny Pool Floats Raft with Reinforced Cooler, Lounge Floaties Beach Lake Toys Fun in Summer Swimming Pool Party Decorations for Kids & Adults",N/A,$37.99,,4.1,1779.0,False,https://m.media-amazon.com/images/I/91Or2PF1x+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Or2PF1x+L._AC_SL1500_.jpg,,2026-04-23T12:04:08.089379,
32,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:04:08.090382,
33,1,Organic,,14.0,B076H9CX6D,"JOYIN Giant Inflatable Pizza Slice Pool Float, Fun Pool Floaties, Swim Party Toy, Summer Pool Raft (1 Pack), Extra Large with Cup Holders",N/A,$29.99,,4.5,1875.0,False,https://m.media-amazon.com/images/I/81IKLCCWhOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81IKLCCWhOL._AC_SL1500_.jpg,,2026-04-23T12:04:08.095567,
34,1,Organic,,15.0,B0DC12L24R,"Giant Cheez-It Pool Float – Extra Large Inflatable Snack Shaped Floatie for Pool, Beach & Lake, Durable Vinyl, Over 4.5 Feet, Perfect for Lounging, Summer Parties, 4th of July Pool Party",N/A,$23.49,,4.5,171.0,False,https://m.media-amazon.com/images/I/81XCL0bMkLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81XCL0bMkLL._AC_SL1500_.jpg,,2026-04-23T12:04:08.101330,
35,1,Organic,,16.0,B0DC157CWM,"Uno™ Pool Float – Giant Inflatable Reverse Card, Floatie for Pool, Beach & Lake, Durable Vinyl Raft, 6 Feet Tall, Perfect for Lounging & Summer Fun",N/A,$23.49,,4.3,122.0,False,https://m.media-amazon.com/images/I/81A3y7YqEYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81A3y7YqEYL._AC_SL1500_.jpg,,2026-04-23T12:04:08.106796,
36,1,Organic,,17.0,B000030000,INTEX Inflatable Pool Float: Pool Toy for Kids,N/A,$23.77,,4.5,23889.0,False,https://m.media-amazon.com/images/I/81cNOujV5nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cNOujV5nL._AC_SL1500_.jpg,,2026-04-23T12:04:08.110807,
37,1,Organic,,18.0,B091BLK8FB,"SLOOSH 60"" Inflatable Gummy Bear Pool Floats - Fun Floaties Swimming Pool Float Toys Party Decorations, Beach Vacation Essentials Lounge Water Raft Cute Birthday Party Decor",N/A,$22.99,,4.2,257.0,False,https://m.media-amazon.com/images/I/81gMQdQL2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81gMQdQL2eL._AC_SL1500_.jpg,,2026-04-23T12:04:08.114398,
38,1,Organic,,19.0,B0CL9Q7DBR,"POZA Inflatable Duck Pool Float Tube- Heavy Duty Vinyl UV Resistant Confetti Pool Duck Floatie, Animal Pool Float Swim Ring Pool Inflatables for Kids and Adults for Beach, Party, Vacation",N/A,$22.99,,4.5,160.0,False,https://m.media-amazon.com/images/I/71x2SvWU8dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71x2SvWU8dL._AC_SL1500_.jpg,,2026-04-23T12:04:08.120388,
39,1,Organic,,20.0,B00HIWL37M,"GoPong Pool Lounge Beer Pong Inflatable with Social Floating, White",N/A,$31.99,,4.6,4920.0,False,https://m.media-amazon.com/images/I/71rmRKZuuCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71rmRKZuuCL._AC_SL1500_.jpg,,2026-04-23T12:04:08.124734,
40,1,Organic,,21.0,B083B979JB,"JOYIN Donut Pool Float with Glitters 32.5” (3 Pack), Funny Tube Toys for Swimming Pool Party and Donut Party Supplies",N/A,$18.99,,4.6,8373.0,False,https://m.media-amazon.com/images/I/81FyoqB99pL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FyoqB99pL._AC_SL1500_.jpg,,2026-04-23T12:04:08.128249,
41,1,Organic,,22.0,B0832KKKQX,Jasonwell Inflatable Shark Pool Float Shark Floaties Water Fun Summer Beach Swimming Pool Tube Inflatables Ride on Pool Party Raft Lounge Toys for Kids & Adults,N/A,$17.99,,4.5,3199.0,False,https://m.media-amazon.com/images/I/511luQEjI8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/511luQEjI8L._AC_SL1500_.jpg,,2026-04-23T12:04:08.138262,
