data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:38:09.373086,4.0
1,1,Title,,,,ResultsCheck each product page for other buying options.,,,,,,False,,,,2026-04-23T09:38:09.374181,
3,1,Organic,,1.0,B0G5PQ2B48,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas",N/A,$16.79,,4.4,12.0,False,https://m.media-amazon.com/images/I/81LlU3gySXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81LlU3gySXL._AC_SL1500_.jpg,,2026-04-23T09:38:09.377671,
4,1,Organic,,2.0,B0DY1HSLHJ,12 Pcs Gay Pride Funny Magnet Bumper Sticker LGBT Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge(Classic),N/A,$17.99,,3.9,63.0,False,https://m.media-amazon.com/images/I/81cE-6Oxz5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cE-6Oxz5L._AC_SL1500_.jpg,,2026-04-23T09:38:09.381243,
5,1,Organic,,3.0,B0FVLZ956Z,"YOPPIX 10PCS Gay Pride Funny Car Magnet, LGBT Rainbow Pride Prank Magnetic Bumper Sticker for Adult Waterproof Magnetic Car Stickers for Vehicles and Trucks Reusable Magnet Sticker for Fridge",N/A,$15.99,,4.9,41.0,False,https://m.media-amazon.com/images/I/71FmMC6YysL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FmMC6YysL._AC_SL1500_.jpg,,2026-04-23T09:38:09.385239,
7,1,Title,,,,Debug info copied.Sponsored16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals De,,,,,,False,,,,2026-04-23T09:38:09.386119,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:38:09.386257,
9,1,Organic,,4.0,B09PVNBP17,"Gay Pride Funny Magnet Bumper Sticker, Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge(10 Styles)",N/A,$13.99,,4.6,238.0,False,https://m.media-amazon.com/images/I/81xTMP3L1nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81xTMP3L1nL._AC_SL1500_.jpg,,2026-04-23T09:38:09.389230,
10,1,Organic,,5.0,B0FWTX3WZJ,Funny Bumper Stickers Gay Pride Magnets Car Prank Stickers Magnetic LGBTQ Car Stickers for Vehicles and Trucks or Fridge Magnet,N/A,$19.99,,4.6,96.0,False,https://m.media-amazon.com/images/I/81Yvs8V1I2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Yvs8V1I2L._AC_SL1500_.jpg,,2026-04-23T09:38:09.393654,
11,1,Organic,,6.0,B0GGXCZ4KD,"Funny Car Magnets, 10 Pcs Gay Bumper Magnets Reusable Car Stickers Gay Magnets for Car Prank Waterproof Magnetic Bumper Stickers for Vehicles Trucks Fridge",N/A,$9.99,,,,False,https://m.media-amazon.com/images/I/81Qjz8t3ntL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Qjz8t3ntL._AC_SL1500_.jpg,,2026-04-23T09:38:09.397750,
12,1,Organic,,7.0,B09RF3DM5D,"Frienda 10 Pcs Bumper Decals Funny LGBT Stickers Rainbow Bumper Prank Car Stickers Colorful Car Accessories for Truck Vehicle Luggage Window Refrigerator(Magnetic,Stylish Style)",N/A,$9.49,,4.6,1334.0,False,https://m.media-amazon.com/images/I/91mxv5AzqxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91mxv5AzqxL._AC_SL1500_.jpg,,2026-04-23T09:38:09.401980,
13,1,Organic,,8.0,B09TZNYK4L,10 Pcs Magnetic Bumper Decals Funny Bumper Stickers Rainbow Car Decals Prank Car Stickers Gay Pride Magnets for Vehicles Truck Car Refrigerator,N/A,$9.99,,4.7,219.0,False,https://m.media-amazon.com/images/I/71FsU6sQyyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FsU6sQyyL._AC_SL1500_.jpg,,2026-04-23T09:38:09.406346,
14,1,Organic,,9.0,B0GSTQBY8S,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas(Style 4)",N/A,$16.79,,4.4,12.0,False,https://m.media-amazon.com/images/I/91+sI1pToVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91+sI1pToVL._AC_SL1500_.jpg,,2026-04-23T09:38:09.410126,
15,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:38:09.410724,
16,1,Organic,,10.0,B0CGNZLZ6X,"10 PCS Funny Prank Magnet Bumper Sticker, Rainbow Gay Pride Adults Pranks Magnetic Sign for Vehicle Truck Car Reusable Magnet Sticker for Fridge",N/A,$13.99,,4.6,238.0,False,https://m.media-amazon.com/images/I/81lX5WX5PlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lX5WX5PlL._AC_SL1500_.jpg,,2026-04-23T09:38:09.416213,
17,1,Organic,,11.0,B0GQ3KGW5C,"16PCS Funny Pride Gay Car Bumper Magnets: Bulk Magnetic Rainbow Decals Decorations for LGBT Parade Decor, Refrigerator, Truck, Prank Gift Ideas(Style 3)",N/A,$16.99,,4.4,12.0,False,https://m.media-amazon.com/images/I/81bJ+eHxzzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bJ+eHxzzL._AC_SL1500_.jpg,,2026-04-23T09:38:09.419918,
18,1,Organic,,12.0,B0GHD2HC29,"12PCS Gay Pride Funny Car Magnet, LGBT Rainbow Pride Prank Magnetic Sign, Prank Magnetic Bumper Sticker for Vehicles and Trucks Reusable Magnet Sticker for Fridge",N/A,$17.99,,4.8,9.0,False,https://m.media-amazon.com/images/I/716YC4mE8yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/716YC4mE8yL._AC_SL1500_.jpg,,2026-04-23T09:38:09.424915,
19,1,Organic,,13.0,B0F26QMKL4,"10PCS Bumper Decals Funny LGBT Stickers, Rainbow Bumper Prank Car Stickers LGBT Sticker Sign, Colorful Gay Pride Decal for Cars Trucks Luggage Window, Car Accessories (Style 2)",N/A,$7.99,,4.0,15.0,False,https://m.media-amazon.com/images/I/81KRGP-Wt-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KRGP-Wt-L._AC_SL1500_.jpg,,2026-04-23T09:38:09.429276,
20,1,Organic,,14.0,B0GGBKHYD7,"10Pcs Gay Pride Funny Car Magnets, Rainbow Designs I‘M Gay, Gay Driver Magnetic Bumper Stickers, Gay Bumper Magnets Reusable Removable Prank Decals for Vehicle, Truck, Fridge, LGBTQ Pride Gift",N/A,$11.99,,4.8,30.0,False,https://m.media-amazon.com/images/I/812FLvJ3nML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812FLvJ3nML._AC_SL1500_.jpg,,2026-04-23T09:38:09.433347,
21,1,Organic,,15.0,B0FKH2KSQ7,"DXNQ 10 PCS Bumper Decals, Funny LGBT Stickers Rainbow Bumper Prank Decoration, Waterproof Vinyl Decals Humor Text Gay Pride Signs for Cars Trucks Windows, Car Accessories (Style 2, Magnetic)",N/A,$14.99,,4.3,41.0,False,https://m.media-amazon.com/images/I/812IaT7IlUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812IaT7IlUL._AC_SL1500_.jpg,,2026-04-23T09:38:09.436519,
22,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:38:09.436895,
23,1,Organic,,16.0,B095NSVMB7,Anley I'm So Gay I Can't Even Drive Straight Car Magnet Signs - Reflective Truck & Vehicle Bumper Sticker - LGBT Magnetic Decal (10 inch) - Set of 3,N/A,$6.55,,4.7,271.0,False,https://m.media-amazon.com/images/I/91TLEfVn4uS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91TLEfVn4uS._AC_SL1500_.jpg,,2026-04-23T09:38:09.439835,
24,1,Organic,,17.0,B0F1CM92K1,"10 PCS Bumper Decals, Funny LGBT Sticker Rainbow Gay Bumper Prank Decoration, Waterproof Vinyl Decal Humor Text Gay Pride Stickers for Luggage Window Refrigerator Laptop (Style 2)",N/A,$6.99,,4.7,7.0,False,https://m.media-amazon.com/images/I/81+B+bBjk8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+B+bBjk8L._AC_SL1500_.jpg,,2026-04-23T09:38:09.443676,
25,1,Organic,,18.0,B09VKW5V5S,"76 PCS Original Funny Gay Prank Bumper Stickers, Funny LGBT Gay Stickers for Cars Decals Motorcycle Truck Vehicles Luggage Sticker for Adults Bumper Decals",N/A,$8.99,,4.6,302.0,False,https://m.media-amazon.com/images/I/81a9npQCGuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81a9npQCGuL._AC_SL1500_.jpg,,2026-04-23T09:38:09.446969,
26,1,Organic,,19.0,B0G6YXDZLT,12 Pcs Gay Pride Funny Magnet Bumper Sticker LGBT Rainbow Pride Prank Magnetic Sign for Vehicle Truck Reusable Magnet Sticker for Fridge (Bright),N/A,$20.99,,3.9,63.0,False,https://m.media-amazon.com/images/I/81VKBER+vBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VKBER+vBL._AC_SL1500_.jpg,,2026-04-23T09:38:09.450397,
27,1,Organic,,20.0,B0GRVCC4KS,"6PCS Gay Pride Funny Magnet Bumper Sticker, LGBTQ Rainbow Car Decals Prank Car Stickers, Prank Magnetic Bumper Sticker for Vehicles and Trucks or Fridge Magnet Sign",N/A,$14.99,,,,False,https://m.media-amazon.com/images/I/71AVhqLOCML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71AVhqLOCML._AC_SL1500_.jpg,,2026-04-23T09:38:09.453955,
