data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,hawaiian leis bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JPnyoetb91tqRDSuRn4Rck4AAAGduId2RwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAEeuol/clv1c_ek-wBAfWbcbaXT1XZ5sY2gDJ7U3Cf_vg1xwKckjLFecRuDHB0y6pOigZ8PJQODm4Xzmrl1XnV6uSijWJ9yicJL81Kk0SLfSyJSCkPRrW5MjHK7FkpAXndQT4YfdxTKBKTVNyNmI_Z56bvmNxTChqa9DepLVclzarls_z50OKbAUdzOYd34YDfmbbEzT89p224sKZB-rKmgbN8-fPh5itt7vP_Q5uMXJ30d17rOQoFg0lWxrp1NYY7Qbp1M5N1hqWtHCfGQOF-PjddySGwNAwqMqpRtb4Vc9dzGHxYHSLH1BO9TcvbBKf8URadkeSWz0RKjIiSB9ML3jjBPVfnkURk3vyXP2zAXifHe9d9qGRKsJ3ZHGmKU79PWFOIXZegum2Rpv2rtvrLnPhPAT7N23WwSLtlhWcyM1n-_XJOPOIWWHhRIKJDWgyX9VomPWF10i6SL5mnTx_xZiPOiVBZj8IOdqjApExc06O05i_rDKKojR9-QzYTsD-NuoQ-MDhglmvYKFREIe6Ly5jaQ42Lna51Y4EUofBeGh94_LOWoUoPowUh78ZT3NtklSpX_4v_hgOSCjLFeyqLGsrJrQ1kEE10SubD7uubHWfaSJz2it2vyiOdULFY46TaHF6hGeLSL1oOixZYje49fZHD0OwjSqvuUmLFiXqEQmwM7_wYkZPdLlMvsI8sqq9x_cFzHze1GJgpVM2L3yG_fxB1tn3tQkClMZaX1Gzd_ZgQATR0l7q-_qKDHLRs5IoeMAt89Qmn6w2wOUaRNx4kw_Tm0LhSKVljOTpCxqC6W3j13Tb7-_U-IBJrvDt6OOO1TrCTsXB5lDjg3iX51DgySz6WZ36aLU_sTrGXCXWFIVGtR8F53DHZ8xcGpVCBU4KLN7lSsDFH7zsXe8knvB1RVUVv4AeAQcxQ3_sq5gT6KX2-0-4cdmQc_ZBllfaiaGFPHs9dybdx5CzLfAjimj-kcXUsy6-oUNzHuh-syJLgtLH4GeermJZ-7XlJsLdktA1t9HJkOynhVPi42Yemcks1z4NbLh9PlsQ2L4mX6uOBunhk13UFOrXH_O5GsBuKxFIznOFVkYOcoPeLIZyGYMvnpIxMS-nA5HVA-ubMXy-gJnkA73q4xlgyqy2uL4oodkdNCnStBo2CLnPBbrsgF_z2tfX_axz0lO6hwBx1be8GdFQ1gF1LPmYB3Rs8Exi_N2PFbtjAVS_V4G6LPr1D4PQedrYUHD2Nd023G3kUGBLM5yae38xQXc7DlU4SotK04fUXtX4EH5F-N3e9-1MnnqMfP0H9D1_9pm1IfKmbXpBqfiJEeo8jd0fDU_D04LXcsmYoMVm455FikNITDvbTu78H3sKgwybK2Xb8u_dDEujq3-YjxpSulAXrLZVA9GjFMQc4UhCosi0X7B8PLMTcKPuuNmE5n6Do4TqjSaJjR11lXJemVxzHImsjYXR2JaTxixL-5NdmaDqElz64-q2aRFhN13cMfW2JyaCfl9nOFjKkGZcanLeETebwHpWi2-8bT1oCRzOYki64F4Jo-RVxfW9s2EE4mToNyW9CJJPnv96tYvhl-8Fx2zdOmzVo-kPTLIlaMsdUaSU1g5kICYU9YQsxUMK6FXxTnbefPuedzv96zwX6KmgM8JPSqKpcLj9qbgEb2EVTUr7w7BohBhX4J5iU7mg6MUmi-nclBw-sg/https://www.amazon.com/stores/page/F3AE028E-992B-4FE8-8413-D6BCDDB80D0F/?_encoding=UTF8&store_ref=SB_A06417451N7RDOEKA4EB8-A002285437NSI0ZB5K2W&pd_rd_plhdr=t&aaxitk=4bbe118103a7796bf62d69174b81d31b&hsa_cr_id=0&lp_asins=B0BQ2QT6JD%2CB0BYCD4YDJ%2CB0GHPZ8RPT&lp_query=hawaiian%20leis%20bulk&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=LlXpJ&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=V8SGRECAEC376QAVNNCA&pd_rd_wg=mXFkM&pd_rd_r=14334854-792d-49de-acb2-7831619880d9,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/35981764-c2b0-494b-87e1-daddedc4a852._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,hawaiian leis bulk,2026-04-23T12:09:40.042578,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:09:40.043374,
3,1,Organic,,1.0,B0BKTQ9JLP,"JOYIN 120 Counts Hawaiian Leis Bulk, Colorful Tropical Flower Leis for Kids Adults Hawaiian Beach Luau Party Favors Decorations",N/A,$32.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T12:09:40.048094,
4,1,Organic,,2.0,B0BR8944R3,200 PCS Hawaiian Leis Neck Vibrant Colors Assortment for Luan Party Tropical Themed Party Decorations Beach Party Decor,N/A,$44.99,,4.4,205.0,False,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_SL1500_.jpg,,2026-04-23T12:09:40.052009,
5,1,Organic,,3.0,B07S21149G,"JOYIN Toy 60 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies",N/A,$17.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T12:09:40.056769,
7,1,Title,,,,Debug info copied.SponsoredJexine 250 Pieces Hawaiian Leis Necklace Luau Flower Bulk Tropical Summer,,,,,,False,,,,2026-04-23T12:09:40.057977,
8,1,Title,,,,24 Counts Hawaiian Leis Necklace Tropical FlowerSponsored|Highly bought brand in this category|Shop ,,,,,,False,,,,2026-04-23T12:09:40.060667,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:09:40.061002,
10,1,Organic,,4.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T12:09:40.065628,
11,1,Organic,,5.0,B0B8G2QFKM,"150 Count Hawaiian Lei Bulk, Tropical Luau Hawaii Theme Silk Flower Lei, Party Favors for Beach Holiday Wedding Birthday Party, Aloha Summer Party Decorations",N/A,$32.99,,4.4,338.0,False,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_SL1500_.jpg,,2026-04-23T12:09:40.070611,
