data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,hawaiian leis bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JOUn657m-hYA81TT1bzOZSMAAAGduDAwqQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICCgImdx/clv1c_ek-wBPHXFbbWzjK3YoscrxfcuXaZLo8nmm3CBOyiznM4L9vXQeXBIMc5occyULWEWTWrLNKPP6WfD4ymffxoKvcOYtfNlkCZ-VEtkFLXnqQGWnYsP7vzeey5ZfNZ7MCgXsVr5pSiZbxQuDNRTabl_8j74N2SvlrYqpywbDSjz6CrlcwNS3wgXIhMruddmmcqYaAN6EVdS9-k_SQ9h0HEYGinN3W2TFDeHsMXtWDuuxLFEJppZzfN95yTMcMXBitziyQ6YVUUYMyKMdrgOkhKt_Mrv1kxgVdlY9gtK1C8lGi42EErzlONqPdfVdtxrjpeCoik-iAUp1xGSugDR7kWt6CWA4OEqnGpX5ITrV-s2PllWsI2YTGEoCFFgY8lINbOsdMDzyTrnxW6FeixzemibLEZ7jgNJQA1-58gwXy8rvcVqmVa1wder2_GC_GIzesvnjQxYTD1sOfcorUrCvEW-ZiGIo3pO6mGZ9u6jNSbWuuRl2LJ6F9Y5xG8c4LbK1wRYIAC6t9ihN58DLjEVq5QEvL29KBGQFiul0g31HxMsvDw73CEtq-QvZFLJ93fnUD6u80agsB8EU0zmWqx9Pv_fjzSYpBqTt9tfZ3P5t88560Ma3yHCtkAI6oFyGWzlziPZkrEosqEymyw3_rQVr2eWPVwK5h-zSD0pcFOGzIDmkLadnV2nReHZJpaVtXWLKfNqC-03X1QPuhjUZ68YwKR9OYPIQTPHHGVSfOToCYn_fQ5qliTWTRgqV74krc77CezQvotdcz2usEruKmkuxOhS0KUEGbUtfFxcS0FZQUsGCYsc7xsWVQDWxacUr27sCnnFcPvnMrff-M3NYBKokQLuY9Rp4CHWLXi3JDZxLNNl017yTjJGbN3ggVlcpVfCyE6NTsWFmqM4ORO_aZcbG5eT70Gppwf9L_54CIiFFHJHNOAiub0uadRslCihrLtZUPexIlFVkob5AjVsSs2B816YwA4VeeUmhCSALA_m29_Hpbeq9grXcCXzsG5G-E3swpWIKuMKFRby28VD4LGyaqJFF02DkywRl7jHaHEoMGE_TDStZuXjjsFtV7LpL0laO8zPM0nu2Xria_QzfHMxK7P_BSnIPZ--ji0xBJee6ytSiJTqEKIZ0A4NLO0nNRCXw1y9LL-xvlpKet7xpy_NJogdSkdWEq47YG65ZC965hK4uIYz4BGF5aSVPsrvQURfeaQMPSoWaZsGVahRRZ3Q3X4SF3OaIqfPaavu4yCQkWZpcnHs26BOeRxPyCWmeFa7vLN0uZXAvrs3xrbOyFFA4atPIXsyFfkhNe79Tjbu_-guUzXvrROLe7AoLStww0sgn8qvqxIKX8sPh52ED_ZFiIZln2a2zr2ZGd0b9xzZqDu_Bp1EQpue0LOZDymIaiIJ2EGr3s7HidzvZ5Y-0rqllpg9qGWImYW5g3k2Zxagldx46ZMCVtwJ8seyHL3IBEotxVJVF93a6plLqx0Zj0zHuiJwOOw0-PG-DBWY8hx-HQJXZ3XVxdfpm-1nySABPoaT03UuvLHUdJOHBE2bpey32c0GS0XyUac69wA_Y4v7iOSYAIvQJQkhPoybSpbQIkJeMOO1A6J-2s5tRU6mAPLOltlUsYqjyIZ2_iXTd6YR_0W31951JR7gOU-go_fVL6pcNIsDV32Ko2T_ILfnvd290hL9_VsOdRk/https://www.amazon.com/stores/page/F3AE028E-992B-4FE8-8413-D6BCDDB80D0F/?_encoding=UTF8&store_ref=SB_A06417451N7RDOEKA4EB8-A002285437NSI0ZB5K2W&pd_rd_plhdr=t&aaxitk=4bbe118103a7796bf62d69174b81d31b&hsa_cr_id=0&lp_asins=B0BQ2QT6JD%2CB0BYCD4YDJ%2CB0GHPZ8RPT&lp_query=hawaiian%20leis&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=v69tc&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=8TT09J6SNRQAC72XVR91&pd_rd_wg=gQycQ&pd_rd_r=0ef1280a-7fa4-4aa6-ba80-b21887345314,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/35981764-c2b0-494b-87e1-daddedc4a852._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,hawaiian leis bulk,2026-04-23T10:34:23.898971,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:34:23.900500,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T10:34:23.908839,
4,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T10:34:23.912585,
5,1,Organic,,3.0,B0BR8944R3,200 PCS Hawaiian Leis Neck Vibrant Colors Assortment for Luan Party Tropical Themed Party Decorations Beach Party Decor,N/A,$44.99,,4.4,205.0,False,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_SL1500_.jpg,,2026-04-23T10:34:23.916245,
7,1,Title,,,,Debug info copied.SponsoredMoon Boat 60 Pieces Hawaiian Luau Leis - Tropical Tiki Hibiscus Flowers f,,,,,,False,,,,2026-04-23T10:34:23.917226,
8,1,Title,,,,Paper Jazz Toucan Tropical Party DecorationSponsored|Shop Paper JazzShop nowPrevious pageTropical Bi,,,,,,False,,,,2026-04-23T10:34:23.918621,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:34:23.918865,
10,1,Organic,,4.0,B0BKTQ9JLP,"JOYIN 120 Counts Hawaiian Leis Bulk, Colorful Tropical Flower Leis for Kids Adults Hawaiian Beach Luau Party Favors Decorations",N/A,$32.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T10:34:23.923176,
11,1,Organic,,5.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.4,629.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-23T10:34:23.926766,
12,1,Organic,,6.0,B0BQJLQT9F,100 Counts Hawaiian Leis Flower for Luau Theme Party Decorations - Bulk Set of Silk Flower Necklace Leis Tropical Theme Party Favors Birthday Decorations Assortment,N/A,$29.99,,4.4,277.0,False,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_SL1500_.jpg,,2026-04-23T10:34:23.930542,
13,1,Organic,,7.0,B0GKMDH7NW,"Cosweet Lei Making Craft Kit for Kids - Hawaiian Leis Bulk Makes 24 Flower Necklaces with 1000 Felt Flowers, Lei Craft Supplies for VBS, Classroom Activities & Luau Party Favors",N/A,$24.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71uEYgcKrvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71uEYgcKrvL._AC_SL1500_.jpg,,2026-04-23T10:34:23.934570,
14,1,Organic,,8.0,B0C936QPTS,"FreshDear 6 Counts Hawaiian Leis Bulk,leis for luau party,hawaiian leis for adults,beach party favors for adults,Summer Beach Vacation,Theme Party Decorations",N/A,$6.79,,4.5,477.0,False,https://m.media-amazon.com/images/I/71+MQO2IASL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71+MQO2IASL._AC_SL1500_.jpg,,2026-04-23T10:34:23.939157,
15,1,Organic,,9.0,B07S21149G,"JOYIN Toy 60 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies",N/A,$17.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T10:34:23.942835,
16,1,Organic,,10.0,B0DQSNFTKS,"GoodUping 12 Counts Thickened Hawaiian Leis, Perfect Luau Party Supplies for Summer Beach Vacations, Essential Party Decorations for Birthday, Graduation, and Wedding Celebrations",N/A,$7.64,,4.6,159.0,False,https://m.media-amazon.com/images/I/81Aoac8gpaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Aoac8gpaL._AC_SL1500_.jpg,,2026-04-23T10:34:23.946705,
17,1,Organic,,11.0,B0DS1SYB42,"Luau Party Decorations, 36PCS Hawaiian Themed Leis Necklace Costume Accessories, Colorful Hawaiian Leis Tropical Flower Clothing Bulk",N/A,$9.98,,4.6,246.0,False,https://m.media-amazon.com/images/I/8196+Nb-nrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8196+Nb-nrL._AC_SL1500_.jpg,,2026-04-23T10:34:23.951186,
18,1,Organic,,12.0,B09Y2NJ6JZ,100PCS Soft Necklaces Hawaiian Leis Luau Partyecorations Tropical Party Favors Lei Hawaiian Flower Perfect for Your Hawaii Luaus Party.,N/A,$25.99,,4.6,122.0,False,https://m.media-amazon.com/images/I/81GLddHDssL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81GLddHDssL._AC_SL1500_.jpg,,2026-04-23T10:34:23.954754,
19,1,Organic,,13.0,B0B8G6PQ63,"200 Count Hawaiian Lei Bulk, Tropical Luau Hawaii Theme Silk Flower Necklace, Party Favors for Beach Holiday Wedding Birthday Party, Aloha Summer Party Decorations",N/A,$39.99,,4.4,338.0,False,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_SL1500_.jpg,,2026-04-23T10:34:23.958542,
