data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Enjoy a happy party,https://aax-us-east-retail-direct.amazon.com/x/c/JNRikAca4O7_SyKGIJJJpM8AAAGduHahrAEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBaBCzA/clv1c_ek-wBPf3VcbW3TI2mAX3I_BwCvKxcAf4MxqIf9Coyu6eJ5QSnB-xjKgOMkUbCFVE9czLUxQmh47FeiVyYbK0MsQm5edJo0qt8Aq1lxp-7UR3myIobPWi4Xrcevn3r2839I2f25txktpYug5yjNpSA5vcpdVcl1DmAsL6tw_qb4QWUl2RMMeDaDssLli7LKmvqWwxSKLXHxT0yQyNXphAcw_Sj328jMIahAZV7U-vF88YRLQTKr8wCuy2XJ_tpp_pwy8vis1iej5n1RYuEH5nSgs526dXIeGDHTqL_1CQGjWQxsfuVLaeFUXRE3g-1NE4VQ4plbhEZvT6MZrXqLxTq9tBsf9w_KfsCITVxs3Eo_rjHKtoB8d3Sp4BTwyNOAR96wdqib-hfdyKr4lSuQqO_h0naRr0ZWHkIRj6x0hOTI2Z-TKtITS-tjiQiX4PVyYLT_RnMAg_rMdwiSRVHtVqbJmNdUC3n-FXa1IjhHzuZeurK5On_OoDp6Jv5uwU4NzkbWlLL6DOWHembP7ER467aemZfHigfgI98AG5aAVZbjYvEKT8eK-knIpF2yBd6xag1iATf4rG1EhyQHDHsC_KOpsfOcebd4vdNvl8eqh4GBChkhEtnyXTq4xIFJMIQeFLVPEEiWLIaqp4Wy38y5TMTjX_vRTa_7zdqw4CtgAggjf4ZErbVlpXs3Ij-wTkBxbZPfKq3JrdoLFpPBHMnT1lvygfIffihTxeDOJb1S3ClXNHWrd1NzghoT0y4CgGiVC6zrUkZuf0lTxRUOnoXbLdAnhXeUJizaCZLI7yRkh-Y1xahOBCIW-X3QhjRmeUr8TFIJ13y6wL1HJ-eLSkvDGZdWNYKQApb4i3G7bYxlaHuDS02q0xrkFhsP1jorXZ9_envyEKuAS7KClDF8cF4sZP32j8ObBpZsotczOJuPEJXPZdaM8CKziBKccuUdoE8Dk8RrQBpYBVZl6t_6IfvlrlPcnRHU0lCPE4Khu0fJ66OeRl7P0pqbATMN6xhH9GQbP0BaTnlf6FN_NNFkllvizR69c8SgJQn-EPfz87JucGk2NqrXkKPCX9nb3E6yCW4G0ouhKGFoM4n0oEmOnBztneI7jK8O8kJOY0bpWTrFwQkddUaZnstelfP1HIeU0r3O4z2cyQfajptGtdh9JlNq3tmrazKU8kYisgl3vyWPJad296wFYR87ntXcN5qU1QWfoYRNVPfukE4HPQXJklvXb_6KYdDz0MEPUxF5rI7Xa4dJZffAndjDBaGTNkxqKcfox9xxDXCjAxH679-gciwDPzclfnCKZhaMumgPM4uwB7KG5YiwBXk46cplGb_bRgPkkrwEa9T9z7bu944shvfFXEHvq9HkepmEW0l0CzhgUycPq5Wi77iDyvGU_bstkAej3qD1gufb1aK3qdZQEIhZRZpF743APob1ZhHwuhJXIEEFKJtBJtKjikkY4eGzBsgJW838Kuw0-l2xpvDigcGGVQN-hKu5X4XHLjmNX42bxvD9DAzMsUCQRjt53km26tGSLCKrLPHQi8kkn8ZFhmaeDhpOAEAy7B5kKBwXl9qavLsphflEJ7vVf5jDOo-Jg7C1PDgnC5SWL_oEckMPT8qUQwXpT9PcWg3hXtXdjIRNbYS2NVyODfYJ0jKcEeT281vZK_CU_aOQe5lqFsx5SLmA/https://www.amazon.com/stores/page/93F09473-3F27-4A47-AFC2-D6637A12B065/?_encoding=UTF8&store_ref=SB_A0428559UXLPFJRSBFZ5-A10153261XDJLHGVO96A7&pd_rd_plhdr=t&aaxitk=ea37e1afaca4682c8533fc280dea7dc3&hsa_cr_id=0&lp_asins=B0C249C6VB%2CB0C73KDFHT%2CB0CZ16LQWZ&lp_query=hawaiian%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=VzH8k&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=85WEFJ3G61AN8BFJBMME&pd_rd_wg=DIHzC&pd_rd_r=01a4794c-4072-4904-8943-11405fc328fc,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/01a0903d-3d32-4a6d-9fbc-a171fe0ece24._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Enjoy a happy party,2026-04-23T11:51:20.361431,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:51:20.362532,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T11:51:20.370347,
4,1,Organic,,2.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,906.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-23T11:51:20.375370,
5,1,Organic,,3.0,B0GJDDJZV6,"169 PCS Luau Party Decorations, Hawaiian Party Supplies - ""ALOHA"" Balloons, Hawaiian Boxes, Balloon Arch Garland Kit, Fringe Curtains, Palm Leaf, Table Cloth and Skirt",N/A,$29.99,,4.9,16.0,False,https://m.media-amazon.com/images/I/81pPLIUMHHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pPLIUMHHL._AC_SL1500_.jpg,,2026-04-23T11:51:20.381163,
7,1,Title,,,,"Debug info copied.SponsoredJanlaugh 8 Pcs Tiki Totem Box Decor with Light, Luau Party Decorations fo",,,,,,False,,,,2026-04-23T11:51:20.382914,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:51:20.383426,
9,1,Organic,,4.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T11:51:20.387781,
10,1,Organic,,5.0,B0F1CZBKQZ,"Atonofun 80 PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau Party Glasses, Colorful Bracelets, Flower Headbands for Adults Tropical Birthday Summer Beach Luau Party Favors Supplies",N/A,$21.99,,4.7,213.0,False,https://m.media-amazon.com/images/I/81wie7bpooL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wie7bpooL._AC_SL1500_.jpg,,2026-04-23T11:51:20.391688,
11,1,Organic,,6.0,B0DP1M3KRL,"180 pc Premium Luau Party Decorations Set – Hawaiian Birthday Party Decor with Balloons, Backdrop, Table Skirt, Toppers & More – Tropical Aloha Themed Supplies for Indoor & Outdoor Celebrations",N/A,$37.99,,4.6,153.0,False,https://m.media-amazon.com/images/I/91nX76qPjAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91nX76qPjAL._AC_SL1500_.jpg,,2026-04-23T11:51:20.395896,
