data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:52:55.215369,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:52:55.216258,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T09:52:55.222006,
4,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T09:52:55.225773,
5,1,Organic,,3.0,B0GK68DDDW,Kochorie 175 Pcs Hawaiian Luau Party Supplies Aloha Hibiscus Paper Plates Cups Napkins Plastic Cutlery Tropical Disposable Dinnerware Set for Summer Hawaiian BBQ Pool Beach Party Decor Serves 25,N/A,$22.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/91qjMMs54+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91qjMMs54+L._AC_SL1500_.jpg,,2026-04-23T09:52:55.229331,
7,1,Title,,,,Debug info copied.SponsoredAtonofun 72 Pack Hawaiian Luau Party Decorations Cups -14OZ Disposable Tr,,,,,,False,,,,2026-04-23T09:52:55.230177,
8,1,Title,,,,Inflatable Pink Flamingo DecorationsSponsored|Shop YaomiaoShop nowPrevious pageYaomiao 6 Pieces Infl,,,,,,False,,,,2026-04-23T09:52:55.231207,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:52:55.231338,
10,1,Organic,,4.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,906.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-23T09:52:55.235546,
11,1,Organic,,5.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10353.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-23T09:52:55.239002,
12,1,Organic,,6.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2421.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-23T09:52:55.244217,
13,1,Organic,,7.0,B0GD5W6DFS,200Pcs Aloha Congrats Grad Party Supplies 2026 Hawaiian Luau Grad Plates and Napkins Disposable Flamingo Graduation Class of 2026 Decorations for Summer Tropical 2026 Graduation Supplies Serve 50,N/A,$24.69,,,,False,https://m.media-amazon.com/images/I/81+rRLr3wNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+rRLr3wNL._AC_SL1500_.jpg,,2026-04-23T09:52:55.249130,
14,1,Organic,,8.0,B075FPCFNR,60Pcs Tropical Party Decorations Supplies Tropical Palm Leaves Hibiscus Flower Simulation Artificial Leaf for Hawaiian Luau Safari Party Jungle Beach Theme BBQ Birthday Parties Decorations Table Decor,N/A,$11.99,,4.6,3141.0,False,https://m.media-amazon.com/images/I/81jZYriVXGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jZYriVXGL._AC_SL1500_.jpg,,2026-04-23T09:52:55.255975,
15,1,Organic,,9.0,B0F31BBMPH,"100 Pcs Tropical Luau Party Supplies Set, Serves 25 – Disposable Hibiscus Floral Paper Plates, Napkins, and Forks, Hawaiian Themed Tableware for Summer BBQ, Pool and Beach Aloha Birthday Decorations",N/A,$19.99,,4.6,135.0,False,https://m.media-amazon.com/images/I/81CLa6x2myL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CLa6x2myL._AC_SL1500_.jpg,,2026-04-23T09:52:55.260374,
16,1,Organic,,10.0,B07DLVSJ99,"FUTUREPLUSX 2 Pack Tropical Garland Party Decorations, 20ft Multicolored Tissue Paper Hibiscus Flower Summer Banner for Birthday Beach Theme Luau Hawaiian Party Supplies Jungle Decor",N/A,,,4.7,3377.0,False,https://m.media-amazon.com/images/I/71q9+TnamlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71q9+TnamlL._AC_SL1500_.jpg,,2026-04-23T09:52:55.263324,
17,1,Organic,,11.0,B0F1CZBKQZ,"Atonofun 80 PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau Party Glasses, Colorful Bracelets, Flower Headbands for Adults Tropical Birthday Summer Beach Luau Party Favors Supplies",N/A,$21.99,,4.7,213.0,False,https://m.media-amazon.com/images/I/81wie7bpooL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wie7bpooL._AC_SL1500_.jpg,,2026-04-23T09:52:55.268131,
18,1,Organic,,12.0,B0D3TQF2TG,12Pcs Hawaiian Luau Party Table Decorations - Double sided Aloha Flamingo Honeycomb Centerpieces Table Decorations for Hawaiian Tiki Birthday Wedding Pool Party Supplies,N/A,$9.99,,4.4,272.0,False,https://m.media-amazon.com/images/I/81MDzrp5gcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81MDzrp5gcL._AC_SL1500_.jpg,,2026-04-23T09:52:55.272200,
19,1,Organic,,13.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.4,629.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-23T09:52:55.275452,
