data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Sloosh Hammock Pool Floats,https://aax-us-east-retail-direct.amazon.com/x/c/JEZu0o6DxgIkAZmVvZS_MYsAAAGduHnaQwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDIgICD2logG/clv1c_ek-YBPHXUsbWHn2mJsob8xPASX0CAxjvu4djfnWwi_7OrRyjVJM9wZ8G-EPq4A0NR2FILhP95HNJuum1SJM39Ay3k1adY3OmmKVJa3gLgX0UDyCtIgFji9X-Q6DkxnI98Szztf5UJ2aYouEbYUZTsSmSMESQBlTpgNQwzpr6DEUdQ3gVhmDswfA8LE74OgnY3Atw8EhCmpjK2RRNF4mmsm-du3G1tkq0rjQKiqKn0R0g-ZDbOwI_oE-ze0a36Ue8w_D4IERpjeObo0U3aTA4zQSSIfO4JkD5nnplAhI25EpezMwMlYIa0gD7CcoxUPevwAy9_zI2wKG98uItNfeDWKxK3NAThqV05i0oPgh8IgEaQQo3TX8VY-pd16kvsPBTjBmVoIh6swUSHb0kV55xL-PlJJgluKN9RyIHx3t3QaqX2dORpOFJ8fwuzhk0RR7IFJPsIq6pV_wwhDw4rjlkXkBddQKSIlWw3PHIuS-aWngtCc7ovbuiCQmN7h3XoRHAAou55S7qRqh-jvnnMGwpQwFClhEaOH-uC43shbzY28vRU-hR6vtw58bGOk1O9QmF4KEXItmfljhZuBE6pxI9cgR9y7ngnvWE2VKYeupE5tmoYXoZouCcImjpulXIFnA0O3a0D2XbLWsvvNjYDElkpOSiCg17EPmND1BnRygUoYf1QxbskmRmbFFglBeKndAdEaNuIrBRs-2uUJwt_SWbAgCMskoNyMV7kIn104duYyKlgV1EsD3jpNK-xiCGOiQzwBEV9LRoenkxd1xufvukeuRW5Ub6FD_7HjcALV-Tii85L_JHoVA-gdZbsnf3RZsXWR5zQ4KHYuMsu6iRzmOuuHKlMewlva46816A0k6XQGJPZHdQ88qnOhBwuafjETl_18fF8ZHhytsbCp-KKJHoYHcv4AeVb5UH_f3ElF8A8k9qERcFrst_lcGxzbddJbkCWY9cyDeQ2xLC95gNjh095UysCDKeBT1nWuKhvXOeOp2trU85bhrcA4GcbVKZQPlGWFt2iIf45MN2uFn9bQB2uTOS-8-TSVZi6tVDa_3HP2HIprNoefcFf-ccqdDbqFlSLe3kpi2UPpgsU60awN18uJqdGBmRsGwmAlwUqkVdU40Wzr0NEyZHqXRICLIpdot7C7p4HRa9khQ7tyooUn4qSZXPScmhaNPLSxCvt2XsW_3G6IAcph1wrZ0sM1fssT2j-xlsYeOLXXGMp9dG62NhaVGEMAiBftC3C5c3nmcPwOO96cuhBujPTHiuCt2LOrRS_uoiCkR-nbtQBAw1Edl4Be3Y7-zwgvXbmzHEsJZ008h1iattgHYfLcAjRlOFAnAL2Vf9VRzs6Y-nGaB8vxIMRLzEqD0hkjkwMOa3OlveVv4xRcCFWO88rJHVNLN8a7pexZY9je5ruM4EC4EeTUMqvoHyhzZKRR1WBopPm4M4ZLUg0JB6azRNms3WmjlNcAj5abZsYbeiHe1qDvbLjVt34HgusyUXHzWIbOpKdaT5cvMvJ274wU7vEwHzQZ0ylDFGePHMFyZUjMTr2kZIKv_SW4FgCEjCF0WPZ-O2F6qjO58nKBbF4Hd-9wCymKHFVz0MLeh81Go54Cd75VM8ztrQcfeb_T9m31beywtZdtO46Er7BnParlt-Sa_PoVqQ2v-n6gIDP7M/https://www.amazon.com/stores/page/ADCC9F3A-5537-4ACC-8847-A8BA780A7AE6/?_encoding=UTF8&store_ref=SB_A07939948L6J8DDP7VKJ-A0240386SN22XAN484V0&pd_rd_plhdr=t&aaxitk=649e780c8029927f12b9832cbae40855&hsa_cr_id=0&lp_asins=B0CLMHMG1B%2CB0D1BYC5VG%2CB0DKNR5C6G&lp_query=inflatable%20pool%20floats&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=N0wcD&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=8SM6D274DSFQWJDPYRV8&pd_rd_wg=7m1Ss&pd_rd_r=f3207ca6-140e-42d4-af74-1753f44261aa,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ed144b31-ae7e-4a0d-89db-cdc0a49e248d._CR0,0,1920,1080_AC_SX130_SY60_CB1169409_QL70_.png",,Sloosh Hammock Pool Floats,2026-04-23T11:54:51.732270,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:54:51.733031,
3,1,SP,1.0,,B0GPSSV3GX,Inflatable Water Hammock Floaties for Adults – Premium Fabric Pool Float Lounger with Mesh Seat – Floating Pool Hammock for Adults,N/A,$17.99,,4.7,16.0,False,https://m.media-amazon.com/images/I/91WV4zMIBCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91WV4zMIBCL._AC_SL1500_.jpg,,2026-04-23T11:54:51.736925,
4,1,SP,2.0,,B0BKTP6ZGL,"SLOOSH Inflatable Tanning Pool Lounger Float, 85"" x 57"" Extra Large Pool Floats Adult with Pillow, 4 in 1 Suntan Tub Raft Floatie,Sunbathing Bed Lounge for Water Blow Up Ball Pit Party Gifts, XL-Blue",N/A,$35.99,,4.5,5579.0,False,https://m.media-amazon.com/images/I/91kWOLLOAIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91kWOLLOAIL._AC_SL1500_.jpg,,2026-04-23T11:54:51.739759,
5,1,SP,3.0,,B0G921KSZ9,"Inflatable Pool Floats for Adults, Heart Shape Pool Lounge Float Chair with Cup Holders and 50W Fast Electric Air Inflator, Blow up Floaties Pool Toys for Beach,Lakes, Pool Summer Singles Party",N/A,$29.99,,4.8,32.0,False,https://m.media-amazon.com/images/I/818aMM7wAQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818aMM7wAQL._AC_SL1500_.jpg,,2026-04-23T11:54:51.742713,
6,1,SP,4.0,,B0DZP1CXKD,"QPAU Inflatable Tank Pool Float for Adults & Kids – Ride-On Camouflage Floaty with Water Cannon, Swim Raft Toy for Boys Girls, Lake Beach Backyard Party Floaties",N/A,$33.99,,4.5,434.0,False,https://m.media-amazon.com/images/I/71fcZTS-+SL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71fcZTS-+SL._AC_SL1500_.jpg,,2026-04-23T11:54:51.745800,
7,1,Organic,,1.0,B000OV0X4S,"INTEX 58859EP Sit 'N Float Inflatable Pool Float: Pool Lounge with Built-in Cup Holders – Heavy-Duty Handles – 220lb Weight Capacity – 58"" x 39"" – Colors May Vary",N/A,$15.98,,4.0,13609.0,False,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_SL1500_.jpg,,2026-04-23T11:54:51.750723,
8,1,Organic,,2.0,B0C946BBSW,"JUXIAO 5 Pack Upgrated XL Water Pool Floats, 4-in-1 (Hammock, Saddle, Lounge Chair, Drifter) Multi-Purpose Water Pool Float, Non-Stick PVC Material",N/A,$18.99,,4.4,1824.0,False,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_SL1500_.jpg,,2026-04-23T11:54:51.756247,
9,1,Organic,,3.0,B0GMQ4TV7X,"42"" Large Pool Float with Cup Holder Vintage Stripe Inflatable Tube Pool Float Swim Rings for Adults Summer Lounger Beach Party Supplies",N/A,$42.99,,,,False,https://m.media-amazon.com/images/I/71q9t0l3wvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71q9t0l3wvL._AC_SL1500_.jpg,,2026-04-23T11:54:51.759971,
10,1,Title,,,,Inflatable Pool Float Chair | Water LoungeSponsored|Top 10 best-selling brand in this category|Shop ,,,,,,False,,,,2026-04-23T11:54:51.761521,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:54:51.761749,
12,1,Organic,,4.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.98,,4.3,4694.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-23T11:54:51.766686,
