data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:56:45.406611,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:56:45.407568,
3,1,Organic,,1.0,B0BVLNR3YR,"20 Pack Small Juneteenth Flag Stick 5''x8'',Handheld June 19th 1865 Independence Day Flags 21x14 cm, Mini Juneteenth Flags Sticks for African Afro American Festival Celebration Supplies, Outdoor",N/A,$6.99,,4.6,139.0,False,https://m.media-amazon.com/images/I/71Si3LOxOkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Si3LOxOkL._AC_SL1500_.jpg,,2026-04-23T11:56:45.417490,
4,1,Organic,,2.0,B0CZ3FT9VZ,Juneteenth Decorations Happy Juneteenth Backdrop African American 19th June 1865 Banner Juneteenth Decorations and Supplies for Home Party,N/A,$13.99,,4.6,46.0,False,https://m.media-amazon.com/images/I/71m4L-4tC4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71m4L-4tC4L._AC_SL1500_.jpg,,2026-04-23T11:56:45.422584,
5,1,Organic,,3.0,B0BWMBBHJM,"27 Pcs Juneteenth Wooden Hanging Ornaments Black History Month Pendant Slices Tags Decoration Wood Ornament for Tree African American Festival Independence Day Holiday Celebration Supplies, 9 Styles",N/A,$9.99,,4.6,543.0,False,https://m.media-amazon.com/images/I/810yePFQOFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810yePFQOFL._AC_SL1500_.jpg,,2026-04-23T11:56:45.429030,
7,1,Title,,,,Debug info copied.SponsoredMoon Boat 144PCS Juneteenth Decorations Bracelets Silicone Wristbands: Pa,,,,,,False,,,,2026-04-23T11:56:45.430114,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:56:45.430396,
9,1,Organic,,4.0,B0C1BC9Q98,Kinlop 3 Pcs Juneteenth Tablecloth 108 x 51 Inch Kente Table Covers Plastic Disposable Table Clothes for African American Independence Celebrate Freedom Black History Kwanzaa Party Supplies (Classic),N/A,$9.99,,4.8,86.0,False,https://m.media-amazon.com/images/I/61FPvE25OfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61FPvE25OfL._AC_SL1500_.jpg,,2026-04-23T11:56:45.436983,
10,1,Organic,,5.0,B0DZ6PQQ37,MEHOFOND 2pcs Juneteenth Decorations Door Banner 71x12 Inches African American Independence Day Porch Sign Happy Juneteenth Party Decorations Supplies for June 19th 1865 Independence Day,N/A,$8.09,,4.8,18.0,False,https://m.media-amazon.com/images/I/71ifFO5HxwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ifFO5HxwL._AC_SL1500_.jpg,,2026-04-23T11:56:45.442536,
11,1,Organic,,6.0,B0C3C1WSHH,4PCS Juneteenth Wooden Centerpieces Table Decorations June 19th Table Decor Centerpieces Happy Juneteenth Freedom Day Table Topper Sign for Juneteenth Party Home Desktop Wood Craft Center Piece Decor,N/A,$9.99,,4.0,20.0,False,https://m.media-amazon.com/images/I/71OgJ9dWdIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OgJ9dWdIL._AC_SL1500_.jpg,,2026-04-23T11:56:45.447924,
