data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:30:09.535539,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:30:09.536656,
3,1,Organic,,1.0,B0BYS73CDT,"172 Pcs Juneteenth Party Supplies Serves 24, Include Tablecloth, Happy Juneteenth Banner, June 19th Freedom Day Plates Napkins Tableware Set for Patriotic African Afro American Festival Party Decors",N/A,$24.99,,4.7,314.0,False,https://m.media-amazon.com/images/I/81qqEfkVasL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qqEfkVasL._AC_SL1500_.jpg,,2026-04-23T09:30:09.542792,
4,1,Organic,,2.0,B0FYVP5V3V,"Black History Month Tablecloths, 4 Pcs Multi-Colorful African Reggae Birthday Party Tablecloths for Black History Month Decorations Juneteenth Jamaica Festival, 51 x 86 in",N/A,$6.48,,4.4,20.0,False,https://m.media-amazon.com/images/I/61q6rzjQTYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61q6rzjQTYL._AC_SL1500_.jpg,,2026-04-23T09:30:09.550820,
5,1,Organic,,3.0,B0D1G9995G,"Happy Juneteenth Decorations, Juneteenth Party Supplies, Disposable Tableware Set Banner for June 19th African American Independence Day Freedom Day Party Supplies (Serve 24)",N/A,$25.99,,4.6,30.0,False,https://m.media-amazon.com/images/I/81Ln293SozL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ln293SozL._AC_SL1500_.jpg,,2026-04-23T09:30:09.554518,
7,1,Title,,,,Debug info copied.SponsoredDeloky 20 Pcs Small Juneteenth Handheld Flags Stick Flag- Mini Juneteenth,,,,,,False,,,,2026-04-23T09:30:09.555559,
8,1,Title,,,,"glow in the dark party suppliesSponsored|Shop SHQDDShop nowPrevious pageSHQDD Party Supplies, Glow i",,,,,,False,,,,2026-04-23T09:30:09.556994,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:30:09.557225,
10,1,Organic,,4.0,B0DLNWHNKR,168pcs Black History Month Party Supplies Paper Plates Napkins Disposable Tableware Set African American Black Month Disposable Cups for Juneteenth Freedom Day Party Supplies Serve 24,N/A,$12.99,,4.6,37.0,False,https://m.media-amazon.com/images/I/81cfQgj9X-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cfQgj9X-L._AC_SL1500_.jpg,,2026-04-23T09:30:09.563338,
11,1,Organic,,5.0,B0DPQLHM4J,"Havawish 340 Pcs Black History Month Party Supplies Include Black History Month Disposable Paper Plates Napkins Cups Forks Knives Spoons Cutlery Tablecloth for Kwanzaa Afro American, Serves 48 Guests",N/A,$32.99,,4.4,24.0,False,https://m.media-amazon.com/images/I/71Ulk9qjQZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Ulk9qjQZL._AC_SL1500_.jpg,,2026-04-23T09:30:09.567700,
12,1,Organic,,6.0,B0BYK3GZQR,111 PCS Black Red Green and Yellow Balloon Garland Arch Kit for BHM Decorations Juneteenth Decorations African American Holiday Celebration Graduation Mexican Party Supplies,N/A,$13.99,,4.6,33.0,False,https://m.media-amazon.com/images/I/71AluamdiTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71AluamdiTL._AC_SL1500_.jpg,,2026-04-23T09:30:09.572173,
13,1,Organic,,7.0,B0DK2YKXNJ,Gejoy 60 Pcs Halloween Juneteenth Red Black 12 Inch Confetti Balloon Latex Balloons with Ribbon for Freedom Independence Day Decorations Birthday Party Favors Supplies,N/A,$7.95,,4.5,384.0,False,https://m.media-amazon.com/images/I/71oR2IcoGaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71oR2IcoGaL._AC_SL1500_.jpg,,2026-04-23T09:30:09.576494,
