data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T10:55:35.587320,
2,1,Organic,,1.0,B00AECPLSA,EKLIND Hex-L Key-1-3/4 Long Series,N/A,$545.64,,,,False,https://m.media-amazon.com/images/I/61E6gIgTziL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61E6gIgTziL._AC_SL1500_.jpg,,2026-04-22T10:55:35.592273,
3,1,Organic,,2.0,B007YUIERK,"Greenlee - Brush & Cap (Key13&14), Pulling (25709)",N/A,$114.91,,,,False,https://m.media-amazon.com/images/I/21nQerzMl1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/21nQerzMl1L._AC_SL1500_.jpg,,2026-04-22T10:55:35.595711,
4,1,Organic,,3.0,B08KW381TB,Lot 50 pc Y13 Key Blanks / Y13 O1122R Key Blank,N/A,$32.00,,5.0,2.0,False,https://m.media-amazon.com/images/I/714QvfcSYOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/714QvfcSYOL._AC_SL1500_.jpg,,2026-04-22T10:55:35.599138,
5,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:55:35.599599,
6,1,Organic,,4.0,B0FJ1FCMNF,Key13,N/A,,,,,False,https://m.media-amazon.com/images/I/91rPyZiM3EL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91rPyZiM3EL._AC_SL1500_.jpg,,2026-04-22T10:55:35.602253,
7,1,Organic,,5.0,B0DRWKBXVF,SafeCo Brands Replacement Fire Alarm Keys 2-Keys (1347 Silent Knight),N/A,$16.00,,,,False,https://m.media-amazon.com/images/I/61up30jnoZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61up30jnoZL._AC_SL1500_.jpg,,2026-04-22T10:55:35.605740,
8,1,Organic,,6.0,B08685M18H,"Pair of 2 -Replacement Keys for 1393 Ademco, Security Alarm System Panel Keys ADT, Honeywell, First Alert, Keys pre Cut to Code by keys22 (1393 Ademco)",N/A,$12.48,,4.5,80.0,False,https://m.media-amazon.com/images/I/71MLSWG2t3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MLSWG2t3L._AC_SL1500_.jpg,,2026-04-22T10:55:35.610157,
9,1,Organic,,7.0,B0D5VLRBNC,"2 Replacement Keys Cut to Key Code 1393 Ademco, ADT, First Alert, Security Alarm System Panel, Keys (Cut by Key Copy Express)",N/A,$13.85,,5.0,1.0,False,https://m.media-amazon.com/images/I/61Slc+boJHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Slc+boJHL._AC_SL1500_.jpg,,2026-04-22T10:55:35.614844,
10,1,Organic,,8.0,B0BF1D9XD8,"Gorilla Automotive 1378SDKEY-7PT 7Pt Duplex Key 13/16"" 7/8"" Hex Zinc",N/A,$12.90,,4.0,84.0,False,https://m.media-amazon.com/images/I/612IsBBF7UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/612IsBBF7UL._AC_SL1500_.jpg,,2026-04-22T10:55:35.620576,
11,1,Organic,,9.0,B08DRQK4J1,KI P13 Replacement Keys: 2 Keys,N/A,$12.87,,,,False,https://m.media-amazon.com/images/I/211gE9Hl9ZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/211gE9Hl9ZL._AC_SL1500_.jpg,,2026-04-22T10:55:35.625813,
12,1,Organic,,10.0,B0FTWXFV8H,Replacement Key for American Lock 13131,N/A,$8.87,,,,False,https://m.media-amazon.com/images/I/31IbYwbyldL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31IbYwbyldL._AC_SL1500_.jpg,,2026-04-22T10:55:35.630836,
13,1,Organic,,11.0,B0DD5MZWKN,E13 Pair of 2 Replacement Keys for Locks with E13 Code Husky/Yukon/Harbor Freight. Cut to Code by keys22 (E13),N/A,$14.95,,5.0,1.0,False,https://m.media-amazon.com/images/I/61octz7VjaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61octz7VjaL._AC_SL1500_.jpg,,2026-04-22T10:55:35.640308,
14,1,Organic,,12.0,B0FTWW3H47,Replacement Key for American Lock 13144,N/A,$8.87,,,,False,https://m.media-amazon.com/images/I/31IbYwbyldL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31IbYwbyldL._AC_SL1500_.jpg,,2026-04-22T10:55:35.645939,
15,1,Organic,,13.0,B0FM262JGR,Replacement Key for Stant 13EL,N/A,$8.87,,,,False,https://m.media-amazon.com/images/I/311BLJKMpOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/311BLJKMpOL._AC_SL1500_.jpg,,2026-04-22T10:55:35.653067,
16,1,Organic,,14.0,B0CZL5657Z,Replacement Key for American Lock 13122,N/A,$8.87,,,,False,https://m.media-amazon.com/images/I/315Zx1ZS55L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/315Zx1ZS55L._AC_SL1500_.jpg,,2026-04-22T10:55:35.658502,
17,1,Organic,,15.0,B0CST3T3BS,Toolbox Replacement Key for Husky A13,N/A,$8.87,,1.0,1.0,False,https://m.media-amazon.com/images/I/31tctWTC5yL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31tctWTC5yL._AC_SL1500_.jpg,,2026-04-22T10:55:35.662992,
18,1,Title,,,,More results,,,,,,False,,,,2026-04-22T10:55:35.663451,
19,1,Organic,,16.0,B00Y1HUOHW,Keyless2Go Replacement for New Uncut PK3 Transponder Ignition Car Key B107 PT04 (2 Pack),N/A,$13.30,,4.2,202.0,False,https://m.media-amazon.com/images/I/71j4fNrqx4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71j4fNrqx4L._AC_SL1500_.jpg,,2026-04-22T10:55:35.667958,
20,1,Organic,,17.0,B0CSHLC7WN,RV Replacement Key for HP 13112,N/A,$9.87,,4.2,4.0,False,https://m.media-amazon.com/images/I/31A8JEYp6SL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31A8JEYp6SL._AC_SL1500_.jpg,,2026-04-22T10:55:35.672134,
21,1,Organic,,18.0,B07YNJD2CN,VRINDAVANBAZAAR.COM ISKCON Tilak -Hare Krishna key ring (White),N/A,$18.98,,,,False,https://m.media-amazon.com/images/I/81PYG+cZu3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PYG+cZu3L._AC_SL1500_.jpg,,2026-04-22T10:55:35.675437,
22,1,Organic,,19.0,B0CZKDXWC2,Replacement Key for American Lock 13254,N/A,$8.87,,,,False,https://m.media-amazon.com/images/I/315Zx1ZS55L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/315Zx1ZS55L._AC_SL1500_.jpg,,2026-04-22T10:55:35.680509,
23,1,Organic,,20.0,B0FJDGRNQQ,CH513 Replacement Key for Truck Tool Boxes and Paddle Handle Tool Boxes Marked CH-513 Keychain - Key Style May Vary (1-Pack),N/A,$9.20,,4.6,249.0,False,https://m.media-amazon.com/images/I/71HUFlcwijL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HUFlcwijL._AC_SL1500_.jpg,,2026-04-22T10:55:35.686146,
