data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:27:50.500925
2,1,Organic,,1.0,B08KW381TB,Lot 50 pc Y13 Key Blanks / Y13 O1122R Key Blank,N/A,$32.00,,5.0,2.0,False,https://m.media-amazon.com/images/I/714QvfcSYOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/714QvfcSYOL._AC_SL1500_.jpg,,2026-04-23T09:27:50.504781
3,1,Organic,,2.0,B00AECPLSA,EKLIND Hex-L Key-1-3/4 Long Series,N/A,$545.64,,,,False,https://m.media-amazon.com/images/I/61E6gIgTziL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61E6gIgTziL._AC_SL1500_.jpg,,2026-04-23T09:27:50.508165
4,1,Organic,,3.0,B0BF1D9XD8,"Gorilla Automotive 1378SDKEY-7PT 7Pt Duplex Key 13/16"" 7/8"" Hex Zinc",N/A,$12.90,,4.0,84.0,False,https://m.media-amazon.com/images/I/612IsBBF7UL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/612IsBBF7UL._AC_SL1500_.jpg,,2026-04-23T09:27:50.511463
6,1,Title,,,,"Debug info copied.Sponsorednuphy Air75 V3 Hot Swappable Wireless Mechanical Keyboard, 84 Keys 75% Cu",,,,,,False,,,,2026-04-23T09:27:50.512293
7,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:27:50.512424
8,1,Organic,,4.0,B08685M18H,"Pair of 2 -Replacement Keys for 1393 Ademco, Security Alarm System Panel Keys ADT, Honeywell, First Alert, Keys pre Cut to Code by keys22 (1393 Ademco)",N/A,$12.48,,4.5,80.0,False,https://m.media-amazon.com/images/I/71MLSWG2t3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MLSWG2t3L._AC_SL1500_.jpg,,2026-04-23T09:27:50.516214
9,1,Organic,,5.0,B0FJ1FCMNF,Key13,N/A,,,,,False,https://m.media-amazon.com/images/I/91rPyZiM3EL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91rPyZiM3EL._AC_SL1500_.jpg,,2026-04-23T09:27:50.518205
10,1,Organic,,6.0,B0DRWKBXVF,SafeCo Brands Replacement Fire Alarm Keys 2-Keys (1347 Silent Knight),N/A,$16.00,,,,False,https://m.media-amazon.com/images/I/61up30jnoZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61up30jnoZL._AC_SL1500_.jpg,,2026-04-23T09:27:50.522042
11,1,Organic,,7.0,B0CSHLC7WN,RV Replacement Key for HP 13112,N/A,$9.87,,4.2,4.0,False,https://m.media-amazon.com/images/I/31A8JEYp6SL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/31A8JEYp6SL._AC_SL1500_.jpg,,2026-04-23T09:27:50.526002
