data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,hawaiian leis bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JFaHNW6ccpAHKHy7mFIj2n4AAAGduDO4QAEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICB2RaQv/clv1c_ek-wBAfWbcbaXT1XZ5sY2gDJ7b2aFJg08_Okc26wi5IRuOsmeQSp9FQO_6XexdpVLiawO1h6inIKa7LK8GxfHh8qAqPxqAU3KZV3jE5_vbw-aVCodbs6IGSo4v9ntJbkJRSSnz0Dup9q7kQ2ea1Kyd2_YN2dil2qyeCAH7fsy5Q1MfsCf7UD5MASyxmet0rA9MbzFjsb30ZL0Xn7plBoZEYwF1dXbGQodL5Sv2dMZ93pCzxDg5BpwhILdHVouX9J0o3iPKg5tBjUcWdCm0WBWBJHpliCqbJvdd-Kbr6S041ekRfoH35L0cnZXC7PLj9TCrV2PCIIQjXWGUYMxQNPdjCixh1zg5xY41nTIIkg1url2Gb2nS0-wwL7Pra6-cn2wDGOqmr7o7bFv48H1RIXUITvXm1LUwA8C_6V52EamwFVD5kZaWIzYqHTLv6VAm2MJasmb6v9dtlG-0-H4n6kJZKWZJLg3i3JktjuztzCWfYk7hlMaCRe_btrg-2n4j29ZleEWMN7IgoEooZCeWvM5Ij3iVEZUZypA03M6DGGgLiqcfj0LpP_RBoD5y6xk1W1jjEwZlv-jcHiJhYgoOFZH0TTz28PJiiWx-bFKMq7oqFmTcuRxn_nyQbVHHcPt-aOiovI44x9HgJUKI-tz5Z141YGwKOToHe8Wp88uwuZP0E7PGc6Prhvm6kh-0DPbgFRgZy_vyQ90kPW1hgVO8ljiI9g70ArgU3p0jYZIdalCvTIYskOPFaoqApVKnFiI1yyJLEtKY80-k4VD1-PeVPJIxmML21G_5xcQsjfrlXIrbY_08G14rlYtvqokfkUjhKuIc6hsfnZN7J3HcV0phQXu4HQhn00yCBWXPdsA_AEFkLXOK5EFLVxD8H1tDcD9P9lYw7XPNC7JZDRpnPj0xZIEvvVlPaUk1BwELjoD4I1xq8hOYClTGobQBNl9Sdvo_3Z0wZObFl5PbfkrP38BlELdbCLII0kGBgmLrhSPweUKJDTJgid-uRcxIf7AKKCTq3_Iu0uvMxkpAbRAdxVH7AIQ8g4Fv8vwGqwitQbVhzdDTuwejxD4ZUMPBC1Ks4KbNSbdcIM4kDZ6b9nDhgKUo7VHFtLq75vEpgugZRRiVZ8LRvSvIO2QYYkbL9QMbAvtmpLj2kHza3LRAtuSGYD2d5mNr4QuEOci-I5KWl6ThfVjt3rqRVJ_jk5-I8qfLthVL2KaHnWYsUHZH92eUA9X5S6DIkGSK0o90Ln-bVJ0B1ANdpQ1UFPReXFQtXR37h6GrhYc8x9upn3lxFGGJPQZbwyf2Zi4uRReNUd_953LPtcNGUF6pfko4aA_nxpxuqECwtVp_lH-fKcorTQifsiqXJyRNgS5Kktf1J5zXZAkfkLOCQSTH21sV1Vi1b0qGpGVGGsp5g80Vd1Sv_ggT8tWeJU65Milepn55R_wXbiS_b-b1bFoiWgaJQoId3ikZXbDjaXZjmnCTCtg3BxarbUOFW5dbupoNPSw-6U5nRcdbzkNmPnoMwu7a8a7dnVhkVzdtdHIxWOEB1FRNadC8rlhDfP9Cq9QBszYz4l4LajS6m4BtHnG_hklYIualwmlo7w6LuHzFfsxwdv8-9D6tD7vfYVhvAwbV7iGQTlCSBlIINbNZIy30Tv-j8f54jLfCKRUFet44UgCgioxo5yDNwlEm3Au4tjW4PU5_9sCA/https://www.amazon.com/stores/page/F3AE028E-992B-4FE8-8413-D6BCDDB80D0F/?_encoding=UTF8&store_ref=SB_A06417451N7RDOEKA4EB8-A002285437NSI0ZB5K2W&pd_rd_plhdr=t&aaxitk=4bbe118103a7796bf62d69174b81d31b&hsa_cr_id=0&lp_asins=B0BQ2QT6JD%2CB0BYCD4YDJ%2CB0GHPZ8RPT&lp_query=leis%20bulk&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=4mHn8&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=ZYT2XE6P3D1VXB0QTE4H&pd_rd_wg=b8mLr&pd_rd_r=0d4d5e29-8c69-4cb7-96cd-9ba0587e5290,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/35981764-c2b0-494b-87e1-daddedc4a852._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,hawaiian leis bulk,2026-04-23T10:38:14.745713,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:38:14.746521,
3,1,Organic,,1.0,B0BKTQ9JLP,"JOYIN 120 Counts Hawaiian Leis Bulk, Colorful Tropical Flower Leis for Kids Adults Hawaiian Beach Luau Party Favors Decorations",N/A,$32.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T10:38:14.753082,
4,1,Organic,,2.0,B0BR8944R3,200 PCS Hawaiian Leis Neck Vibrant Colors Assortment for Luan Party Tropical Themed Party Decorations Beach Party Decor,N/A,$44.99,,4.4,205.0,False,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_SL1500_.jpg,,2026-04-23T10:38:14.757640,
5,1,Organic,,3.0,B0GKMDH7NW,"Cosweet Lei Making Craft Kit for Kids - Hawaiian Leis Bulk Makes 24 Flower Necklaces with 1000 Felt Flowers, Lei Craft Supplies for VBS, Classroom Activities & Luau Party Favors",N/A,$24.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71uEYgcKrvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71uEYgcKrvL._AC_SL1500_.jpg,,2026-04-23T10:38:14.762226,
7,1,Title,,,,Debug info copied.SponsoredMoon Boat 60 Pieces Hawaiian Luau Leis - Tropical Tiki Hibiscus Flowers f,,,,,,False,,,,2026-04-23T10:38:14.763100,
8,1,Title,,,,Lyrow Graduation Lei Double Braided NecklaceSponsored|Highly bought brand in women's necklaces|Shop ,,,,,,False,,,,2026-04-23T10:38:14.764247,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:38:14.764386,
10,1,Organic,,4.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T10:38:14.768584,
11,1,Organic,,5.0,B09Y2NJ6JZ,100PCS Soft Necklaces Hawaiian Leis Luau Partyecorations Tropical Party Favors Lei Hawaiian Flower Perfect for Your Hawaii Luaus Party.,N/A,$25.99,,4.6,122.0,False,https://m.media-amazon.com/images/I/81GLddHDssL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81GLddHDssL._AC_SL1500_.jpg,,2026-04-23T10:38:14.772850,
12,1,Organic,,6.0,B0B8G2QFKM,"150 Count Hawaiian Lei Bulk, Tropical Luau Hawaii Theme Silk Flower Lei, Party Favors for Beach Holiday Wedding Birthday Party, Aloha Summer Party Decorations",N/A,$32.99,,4.4,338.0,False,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_SL1500_.jpg,,2026-04-23T10:38:14.776074,
13,1,Organic,,7.0,B0GN7ZH5M8,"Giegxin 64 Pcs Hawaiian Leis Luau Party Decorations with Faux Hibiscus Flowers and Tropical Plant Leaves Colorful Hawaiian Party Decorations for Birthday, Jungle Beach, Wedding Celebrations",N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/819RFHRgCHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/819RFHRgCHL._AC_SL1500_.jpg,,2026-04-23T10:38:14.779495,
14,1,Organic,,8.0,B0BTDHRYT8,"36 Count Hawaiian Lei Bulk, Tropical Luau Hawaii Theme Silk Flower Lei, Party Favors for Beach Holiday Wedding Birthday Party, Aloha Summer Party Decorations",N/A,$9.98,,4.4,1269.0,False,https://m.media-amazon.com/images/I/91dq-UYMKiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91dq-UYMKiL._AC_SL1500_.jpg,,2026-04-23T10:38:14.783930,
15,1,Organic,,9.0,B0GGH91NZ6,"200 PCS Hawaiian Leis Bulk Colorful Tropical Flower Necklace for Luau Party Decorations, Summer Beach Party Favors, Hawaii Theme Birthday Decor, Pool Party Supplies, Hawaiian Garland, Silk Flower Lei",N/A,$39.99,,4.4,24.0,False,https://m.media-amazon.com/images/I/81yvV66hp6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yvV66hp6L._AC_SL1500_.jpg,,2026-04-23T10:38:14.789181,
16,1,Organic,,10.0,B073W4LMPY,Moon Boat 60 Pieces Hawaiian Luau Leis - Tropical Tiki Hibiscus Flowers for Summer Pool Party Favors Supplies Decorations - 10 Styles,N/A,$16.99,,4.4,1469.0,False,https://m.media-amazon.com/images/I/91t9DjZgqpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91t9DjZgqpL._AC_SL1500_.jpg,,2026-04-23T10:38:14.794200,
17,1,Organic,,11.0,B0BQJLQT9F,100 Counts Hawaiian Leis Flower for Luau Theme Party Decorations - Bulk Set of Silk Flower Necklace Leis Tropical Theme Party Favors Birthday Decorations Assortment,N/A,$29.99,,4.4,277.0,False,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_SL1500_.jpg,,2026-04-23T10:38:14.798957,
18,1,Organic,,12.0,B0GJSLLJK5,"150pcs Hawaiian Leis Bulk, Silk Flower Lei Necklaces for Luau Party, Colorful Tropical Hula Dance Decor, Summer Beach Pool Party Favors Supplies",N/A,$28.99,,5.0,6.0,False,https://m.media-amazon.com/images/I/81CiajcaUyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CiajcaUyL._AC_SL1500_.jpg,,2026-04-23T10:38:14.803115,
19,1,Organic,,13.0,B0C4FSWGCF,"200pcs Hawaiian Leis for Beach Party Decors , Luau Birthday Party Decorations, Hawaiian Necklace Silk Flower leis for Luau Beach Birthday Party Decorations and Party Supplies",N/A,$41.99,,4.3,55.0,False,https://m.media-amazon.com/images/I/81HZ7I2ZGNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HZ7I2ZGNL._AC_SL1500_.jpg,,2026-04-23T10:38:14.807920,
20,1,Organic,,14.0,B0GGYX6HBR,"120 PCS Hawaiian Leis Necklaces, Vibrant Mixed Colors for Luau Party Supplies, Tropical Beach Party Decor, Pool Birthday Graduation Party Favors",N/A,$28.99,,4.4,11.0,False,https://m.media-amazon.com/images/I/919Z1AeFy3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/919Z1AeFy3L._AC_SL1500_.jpg,,2026-04-23T10:38:14.813179,
21,1,Organic,,15.0,B0DS1SYB42,"Luau Party Decorations, 36PCS Hawaiian Themed Leis Necklace Costume Accessories, Colorful Hawaiian Leis Tropical Flower Clothing Bulk",N/A,$9.98,,4.6,246.0,False,https://m.media-amazon.com/images/I/8196+Nb-nrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8196+Nb-nrL._AC_SL1500_.jpg,,2026-04-23T10:38:14.817752,
22,1,Organic,,16.0,B0GGZCRRKT,"24 PCS Hawaiian Leis Necklaces, Vibrant Mixed Colors for Luau Party Supplies, Tropical Beach Party Decor, Pool Birthday Graduation Party Favors",N/A,$7.99,,4.7,10.0,False,https://m.media-amazon.com/images/I/91EMZ1s1uzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91EMZ1s1uzL._AC_SL1500_.jpg,,2026-04-23T10:38:14.822531,
23,1,Organic,,17.0,B09Y8HT19X,Elcoho 144 Pieces Plastic Leis Bulk in Bright Colors Lei Necklaces Assortment Tropical Decorations for Hawaiian Themed Party Favors with 12 Colors,N/A,$29.99,,3.9,165.0,False,https://m.media-amazon.com/images/I/81AYfKufJSL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AYfKufJSL._AC_SL1500_.jpg,,2026-04-23T10:38:14.827227,
24,1,Organic,,18.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.4,629.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-23T10:38:14.832634,
25,1,Organic,,19.0,B07GLV9MC2,Hawaiian Leis for Luau Party 50 Pcs Tropical Hawaiian Flower Adjustable Necklace Colorful Hawaii Leis Bulk Artificial Flowers for Wedding Hula Dance Decor Birthday Summer Beach Pool Party,N/A,$16.99,,4.2,1707.0,False,https://m.media-amazon.com/images/I/81S+a3l3cqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81S+a3l3cqL._AC_SL1500_.jpg,,2026-04-23T10:38:14.836404,
26,1,Organic,,20.0,B09XBL1RYZ,"Patyflow Hawaiian Leis 100pcs, Luau Birthday Party Decorations, Hawaiian Necklace Silk Flower leis for Luau Beach Birthday Party Decorations and Party Supplies",N/A,$27.99,,4.5,265.0,False,https://m.media-amazon.com/images/I/918CqG7AT+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918CqG7AT+L._AC_SL1500_.jpg,,2026-04-23T10:38:14.841228,
27,1,Organic,,21.0,B0C3M45P67,Jutom 700 Pcs Hawaiian Leis Bulk Hawaiian Flower Necklace Luau Party Decorations Luau Flower Leis Tropical Summer Beach Vacation Floral Necklace for Adult Kid Hula Dance Birthday Wedding Party Decor,N/A,$117.99,,4.3,5.0,False,https://m.media-amazon.com/images/I/81wZoQYWllL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wZoQYWllL._AC_SL1500_.jpg,,2026-04-23T10:38:14.846999,
28,1,Organic,,22.0,B0B8G6PQ63,"200 Count Hawaiian Lei Bulk, Tropical Luau Hawaii Theme Silk Flower Necklace, Party Favors for Beach Holiday Wedding Birthday Party, Aloha Summer Party Decorations",N/A,$39.99,,4.4,338.0,False,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/A1JXqd95lrL._AC_SL1500_.jpg,,2026-04-23T10:38:14.851842,
