data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,JOYIN Party Decorations.,https://aax-us-east-retail-direct.amazon.com/x/c/JL1KJwQBCtdtaFQvJChIX-4AAAGduDjgcQEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICCtKaKb/clv1c_ek-YBAvWbcbWXT1XZ5sY2gDJ7TFWToMXp54365tzPYPGrNn1n6oGVv7Q-k9alcEdeQGVDDDqu4BSFZ_gm7KHjar32J3o0vUsQQCgRumlWtyyqxmpNLwV1J0tZvl5hqKQl-1wuRKwXwEj8f3Eb_tM-FklsJ2YjGVqk8FUSzOkyhb32SgaG-qT7qG0mosmW7HCTHT_btLCl4vI2Pjxn3izOiraKkq6oEwxEshkOlQhqbjij75VdvJ15VUpc8TW9e0GAsDGhBogreUKR5ReaqI8d2Zum62GLjQ52j15k17LYRCyYUIJhIGS2yWc0WDdEqvEmUSuTKxU5lkIWqG58EoLjzd2NZ5ZoYq3pRSV0xwemqDgkd4aDKsOYPfkhAN8AucM1N6nL8_q4uYxaIms0plvhHlWeaY8fNiw7OuT_0LBiv_y_5Uy7tS_7T57lz8jFmQgmOH2CMlhFT-jfwqw-6lra45pN11fCWq-nCmaTZ8GzR5wgruu6OfCk-oMEM3AUXMVQa3KXPfkxCJFgRoiJOXCcUb7zNThrQthzXxVCmUmSkmY9SFDyDs2M86wLAAbQIFfuYIiUjXDZkoFgkfwTQhUWrrY1crORX230k9UEIJRMbWQ-O1xDhJTw-5OT7-xD9GqZAVprxz-6ZndCIvBWokLkIPNTeAJbA6y-1EH0rGkkcMPAJd_VhxKo1fjvWMv-Ur_d1XUMlAG2Fivo8xWrDzPyz4j058OVatlrWxlE9aGmIBjrl98U7AFurNcCCFJq3PZ-SQtYSDaKbDSM0GiHRTsPYdeS7pA8Ia30mlwENVPjdI0vcwRAgp1ZtJiKWz7JWGT3aLW1VEP_SmlThjd7r8GDG85L49ZX90QGlw5pJUeVawvvmGYze4Q3gA_2iVxCJSAx9lQeEA1Ni-ZA6kSgaCW1EMlRgkMr71Yguf52rMesuRYXMHm_96kIdyvvKapl2Ku-XTJfK2vMBa4CLmOUj7BwCg22tUjqOqeJ38RNmEshsfKsYaDeoLSZ4Ktpn9C2zvVmTwmEKSDf-RzHW0y8ZWHpyfMShDbkkNW4cEq7XNtW4xVg2a1MsG4e8WruHZuM2le3GNwmdhsmhxCWgvDIFon65Ma4-U49rJX7ZKVnPrg9oS_sYNrrwFY56ULq1s9TYZ4AM2AJ8POIsmmJkoG9wNOCPzFB5oGDMGk8-Rcxe-7tmtIbgBf2lJ87bKs9ZXpKVJlvhFWIb2KjllIVwDWg_Ky5R3Nh2280Y3L9Dnez3alGIu--TFefMAqf_0BFeQ1_HVC4SRx53QWxQOlsmMkPCGi0NwtfKNZrJbauDapHoJMabzQpS7UwZjcCjCklPl-ok5L0YG1CB_mmvbZ8CAiVG-Uj-L-2ziwklgPxFcXphHLPbOwGB64yom6apZ0WzFC_zE1tAN-dnSsvxschFaOuvKq6rxtYJ_ImI2XVuf2DGV1TZGFxTU3lW_wmOKQk4RT3sDuj4oJXgELwvHiZeGo3Y4rc_5AnMeZmWWIYZHkIX4bYoimSstG8Fc6NYwLHBtnL7fek7bGcUxyHS15B14PLqT70tEsmDBASsOH4y3dRlp6eS-9airhZWemEb_8IcCZW_yXQLDj1pbk3xQ66zQtZZbTgTXSW9c0lIY3LRFQERWQ-4gB7eb_jBmbRPhxFkKiZJKL-KT5QzMoMjY/https://www.amazon.com/stores/page/D3728264-1529-47D7-84DA-A7925F49D3A7/?_encoding=UTF8&store_ref=SB_A080474619WDXMZDNY601-A08823082Z6A1THWUYPML&pd_rd_plhdr=t&aaxitk=cbb62fc1614e06c8b1273680156ca6a7&hsa_cr_id=0&lp_asins=B01F6LRW30%2CB0964DB59D%2CB071JR7GYP&lp_query=leis%20for%20luau%20party&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=Vu1Ax&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=Q0XZ47298EC36S3PDYR2&pd_rd_wg=E3n2K&pd_rd_r=66730d40-e2d5-4fbf-adcc-97a4972c4512,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/8c683141-e8ad-4048-ae6d-b91ab6287f20._CR0,0,1536,1086_AC_SX130_SY60_CB1169409_QL70_.png",,JOYIN Party Decorations.,2026-04-23T10:43:53.171160,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:43:53.172188,
3,1,Organic,,1.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T10:43:53.177586,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T10:43:53.182308,
5,1,Organic,,3.0,B0GHC6ZK6V,Moon Boat 74 Pcs Hawaiian Bracelets Birthday Party Favors Decorations Palm Leaves Hibiscus Flowers Silicone Gifts for Tropical Luau Supplies,N/A,$13.99,,,,False,https://m.media-amazon.com/images/I/81OGtWa2PQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OGtWa2PQL._AC_SL1500_.jpg,,2026-04-23T10:43:53.186243,
7,1,Title,,,,Debug info copied.SponsoredMoon Boat 60 Pieces Hawaiian Luau Leis - Tropical Tiki Hibiscus Flowers f,,,,,,False,,,,2026-04-23T10:43:53.187539,
8,1,Title,,,,Inflatable Pink Flamingo DecorationsSponsored|Shop YaomiaoShop nowPrevious pageYaomiao 6 Pieces Infl,,,,,,False,,,,2026-04-23T10:43:53.188772,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:43:53.188912,
10,1,Organic,,4.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.4,629.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-23T10:43:53.192024,
11,1,Organic,,5.0,B07S21149G,"JOYIN Toy 60 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies",N/A,$17.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T10:43:53.195708,
