data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Lyrow Graduation Lei Double Braided Necklace,https://aax-us-east-retail-direct.amazon.com/x/c/JFu8me6_ng4-6BuHVRx1cOwAAAGduFWgQQEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDIgICBR8RHs/clv1c_ek-IBAHWFcbSDX0nIotrJ16WpAySuUbn_2iNVF7ymxnlsNYllte5LgVw_zvlx0Zne-IBVh-6V1hJ7R5zCZQHBnzzAO33tjEKeHtpTrmqEOyqEhfhwLR5ay585Mmc9tLL9QqKRhHz-YGVWpd3bQvoMvLLYdyanvUK-IyQrjcjxr5rCcsDuHg19nx1vEQ8YEmQEZbuwFZRRx-YtTbctE0doH4nF0MNNlDx5N4Sv2dMJ83tijxDg5RpwhoJBGWqh6_nA2sY2GVTTOcgUVF6rcepEEsHLL3JZTFxMsiFIyV-NZc9SO7zh1ZR9r5LMSFmJpxT9j5RkzE9dXiJNF_qAVbI-boyaX3I_8t2ByxImMUc6vGTuii8Gr5tuDqpi4wbDcC1Oeq5OgW7ZFLMqNcn1fGpKsoliSe2iadpq86-ny5KaPwIuHRefHRT1QIDGWfMsj0BeI2kvnE_GJm95_bQnUkNQLnBmI_z907IZkMtZszI_MPrIBSG8KkNpCtZkZf-Y9zkrGoIQg3Y_3eL9efXLih__az2O_TB848IFeLDOQd4XutFm3xW0N37ZwpNGwXWfRFj2vndH4Te0khcRjYXxKofW96nqjsCT-BW1kakBwJgo50su-fv4AccycUZ4GdDxko0G0Mid_3nknf-U5zNF-NPJlzAguqTQNXuEUswxdrMx5Ww6wscDwAZ_CDCOn4FhoyUdHcJv049b1GxpMUxfuBOej9FKjT2Dj5lUZkq8RqVwxSC77eqns2SiF6kHzd7GOE6pT_G5trZAt-4eHmQCzbfBrSU61qdUuLFzvB4oCEMwYakaPU9uJ8PpNJY9S7kdaqfLT7opbASCrbi21UtDMADh-qo2qYFB92q2wH0ggxFgtoqU_lcQCDdx677DCrgk40xNuhVETynuzqS0YfIuQCutphYL6AhpFFOby4qkSpDqP22kw8bnoD32ns7SFn2YG407DyDBkD6XvjRmIT0ABEHdy6MIQ0lGHgmLrj3PgcxSetCsIIL0zHqoDmuMHvNM9Ra7MZhZyLYwiZiXqRTtYLs-2raRwS-fzv5hJixfLM2DoAbqFOCRR9xHUKfvfDlT_CMNv7r1f5cPVH7rk_nep_Vblt3076HErgufbr6gY06b87pjTDxeBrSTvaWQfML5HBVeUGzWN_YnwfPuP1qXXKnH5HABUnrcYzVcOgTQH0Hi0RpgHvhPCeNd_S_i2CY0XISHzTFtLTIZXsgL5xIHd1sqEKghrtWHyYX7paZdRiqOvnKVYXN4yFSh8WF_IyoQ7QMkYLDbPjHDLINTq2Xn6KIrckUEbPwKFHBFo_1yHJFqZBlnjUT0iUkBLHI5wEoWmyJOInrc7Mv1_X6fNHmaz10zt3XgXB2I4TNTHY0FYIAOz9Tn-QEEtPIUlgmiLIioUj-QF4DZsD8S_ZPlN7GvkO0vgTBMS54ldTBw-Slin4t2603B6DaHQaGvWf7-s8Z-oE3tmDE3TEx5v8hmbfd9vC045E12H6sslx6ZqQ1bcX3Xm30uP1A41wkopoaz2XDqMAUprKXebgWxM2H19X53Npm8BNqYtkzdFp0xnGYaY-OIlTM8Q4d8YJpmJew_g3uq5RLk1BUu07JOE0_AG4cVT1svVqw62y51Ia8G-vxb7c4c9U42EY7uK48iWHFrcDrqEQyRX1QYvzk8xIuBXuVIwGfme5wQOSdg8H_/https://www.amazon.com/stores/page/23B9D586-B683-4AE3-82C7-460420B5F936/?_encoding=UTF8&store_ref=SB_A075760615FYZ3TMSYQHO-A00941252LAAIB6PNHV8R&pd_rd_plhdr=t&aaxitk=6191be2f3a6cc170f0a3b04ef46f85ba&hsa_cr_id=0&lp_asins=B0DQXNSW6M%2CB0DQXN3QNR%2CB0G3PWKQ8F&lp_query=leis&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=wQcWL&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=13P83DQMG3WK82GJNEZA&pd_rd_wg=FchUl&pd_rd_r=d2d9ec55-194e-46ba-9580-afcc541ec889,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/f77614b5-65b6-4367-b1bb-9b76d1ea742f._CR0,0,315,145_AC_SX130_SY60_CB1169409_QL70_.png",,Lyrow Graduation Lei Double Braided Necklace,2026-04-23T11:15:17.209237,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:15:17.210083,
3,1,Organic,,1.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T11:15:17.215465,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T11:15:17.219840,
5,1,Organic,,3.0,B0GN2XNH6P,"2026 Red Gold Graduation Leis Decorations with Pins, Class of 2026 Grad Embroidery Patches Party Supplies for High School College Graduation",N/A,$13.99,,4.2,5.0,False,https://m.media-amazon.com/images/I/71Obl-DrvRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Obl-DrvRL._AC_SL1500_.jpg,,2026-04-23T11:15:17.223570,
7,1,Title,,,,Debug info copied.SponsoredLyrow 50'' 2026 Graduation Lei Double Braided Strands Graduation Ribbon L,,,,,,False,,,,2026-04-23T11:15:17.224548,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:15:17.224749,
9,1,Organic,,4.0,B0BR8944R3,200 PCS Hawaiian Leis Neck Vibrant Colors Assortment for Luan Party Tropical Themed Party Decorations Beach Party Decor,N/A,$44.99,,4.4,205.0,False,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811O-WZyh5L._AC_SL1500_.jpg,,2026-04-23T11:15:17.227773,
10,1,Organic,,5.0,B0BQJLQT9F,100 Counts Hawaiian Leis Flower for Luau Theme Party Decorations - Bulk Set of Silk Flower Necklace Leis Tropical Theme Party Favors Birthday Decorations Assortment,N/A,$29.99,,4.4,277.0,False,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_SL1500_.jpg,,2026-04-23T11:15:17.231122,
11,1,Organic,,6.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.4,629.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-23T11:15:17.235022,
