data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:20:52.343118,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:20:52.344056,
3,1,Organic,,1.0,B083SKP8QB,Winlyn 30 Pack Faux Yellow Lemons Artificial Fruits Fake Lemons Lifelike Simulation for Lemonade Party Kitchen Table Summer Decorations Vase Fillers Fruit Bowl Lemon Wreath Garland Photography Props,N/A,$18.99,,4.7,2487.0,False,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_SL1500_.jpg,,2026-04-23T10:20:52.348094,
4,1,Organic,,2.0,B0CRYP8CB1,"Laelfe Artificial Lemons Branches, 8 Head Faux Lemons with Stem Fake Lemon Themed for Kitchen Decoration Party Farmhouse Decor (Yellow)",N/A,$12.69,,4.4,538.0,False,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_SL1500_.jpg,,2026-04-23T10:20:52.354145,
5,1,Organic,,3.0,B0GK5X4RR8,"Foxtell Lemonade Stand Tablecloth, 6FT Polyester Stretch Lemon Table Cover for Folding Tables, 72""x30"" Summer Lemon Party Supplies for Outdoor Lemonade Stands, Parties & Farmers Markets",N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/61Z62Fw9JxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61Z62Fw9JxL._AC_SL1500_.jpg,,2026-04-23T10:20:52.359139,
7,1,Title,,,,New arrivalsSponsoredBased on items added in the past 60 days+9 other colors/patternsLemon Tableclot,,,,,,False,,,,2026-04-23T10:20:52.363488,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:20:52.363650,
9,1,Organic,,4.0,B01CQNXPPU,"10pcs Artificial Lemons Simulation Lifelike Lemons Fake Fruit for Home Kitchen Wedding Party Decoration Photography (Big Size, Yellow)",N/A,$13.90,,4.6,5326.0,False,https://m.media-amazon.com/images/I/61bGhUDCmzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61bGhUDCmzL._AC_SL1500_.jpg,,2026-04-23T10:20:52.367183,
10,1,Organic,,5.0,B0BD8YSKMW,Inspirational Quote Life is Short Make it Sweet Wood Box Sign Rustic Lemon Print Wooden Box Sign Farmhouse Home Kitchen Desk Shelf Decor (5 X 5 Inch),N/A,$8.99,,4.7,547.0,False,https://m.media-amazon.com/images/I/61dYgU+RM2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61dYgU+RM2L._AC_SL1500_.jpg,,2026-04-23T10:20:52.376294,
11,1,Organic,,6.0,B0BSH11GJM,"BOUMUSOE 5 PCS Lemon Tiered Tray Decor, Rustic Book Stack & Truck with Lemon Wooden Signs Farmhouse Summer Table Centerpiece for Home Table Shelf Decor Holiday Party Decor",N/A,$9.99,,4.4,47.0,False,https://m.media-amazon.com/images/I/71r3Kp3PrAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71r3Kp3PrAL._AC_SL1500_.jpg,,2026-04-23T10:20:52.383061,
12,1,Organic,,7.0,B0G7TS8HHM,"Lemon Kitchen Decor, Centerpieces for Tables, Mason Jar Lemon Party Decorations for Home, Fake Artificial Lemons Flower, Wood Tray, 22 Pcs Farmhouse Summer Table Decorations Outdoor for Kitchen",N/A,$28.99,,4.8,45.0,False,https://m.media-amazon.com/images/I/81LLJDvA6BL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81LLJDvA6BL._AC_SL1500_.jpg,,2026-04-23T10:20:52.387222,
13,1,Organic,,8.0,B0GFHBNMPB,"3 PCS Summer Lemon Decor, Artificial Fruit Lemon Picks, Fake Lemon Branches Decorations for Home Kitchen Party Table Centerpiece Daily Decoration",N/A,$12.99,,4.3,58.0,False,https://m.media-amazon.com/images/I/71ZWxmPfzFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZWxmPfzFL._AC_SL1500_.jpg,,2026-04-23T10:20:52.391252,
14,1,Organic,,9.0,B0G7TQ13KH,"Lemon Decor, 1 Pcs Farmhouse Rustic Lemon Kitchen Decor, Summer Centerpieces for Tables, Fake Artificial Lemons Flowers in Burlap Bag Vase, Brighten Your Home Indoor Outdoor Home Decorations",N/A,$13.99,,4.6,18.0,False,https://m.media-amazon.com/images/I/91Tqt9+EQNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Tqt9+EQNL._AC_SL1500_.jpg,,2026-04-23T10:20:52.396782,
16,1,Title,,,,Debug info copied.SponsoredSintuff 6 Pcs Lemon Decorations Lemon Gnome Wooden Table Centerpiece Hell,,,,,,False,,,,2026-04-23T10:20:52.397759,
17,1,Title,,,,"Wall ArtSponsored|Shop Wall art, Defining Your LifeShop nowPrevious pageVintage Gold Framed Canvas W",,,,,,False,,,,2026-04-23T10:20:52.399588,
18,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:20:52.399955,
19,1,Organic,,10.0,B0BX3KG15Y,"4 Pack Lemon Mason Jar Table Centerpiece, Artificial Lemon Home Centerpieces Fake Lemon Daisy Plants with Faux Leaves for Summer Wedding Farmhouse Office Kitchen Bathroom Dining Table Centerpiece",N/A,$17.99,,4.1,93.0,False,https://m.media-amazon.com/images/I/81e6LY20VLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81e6LY20VLL._AC_SL1500_.jpg,,2026-04-23T10:20:52.405743,
20,1,Organic,,11.0,B0C1ZS4ZRT,"Christian Art Gifts Inspirational Refrigerator Scripture Magnet for Women & Girls with Bible Verse - The Lord is Good - Psalm 34:8 Lemon Fridge Magnet, Home & Kitchen Decorations, Size 3.15"" x 2.2""",N/A,$3.61,,4.8,391.0,False,https://m.media-amazon.com/images/I/81ksG0D7g0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ksG0D7g0L._AC_SL1500_.jpg,,2026-04-23T10:20:52.410753,
21,1,Organic,,12.0,B0F3F5FHWT,"Yankee Candle Lemon Lavender Scented Candle, 22oz Large Jar with up to 150 Hour Burn Time, Giftable, Birthdays",N/A,$19.97,,4.7,628.0,False,https://m.media-amazon.com/images/I/71ABdIVlFzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ABdIVlFzL._AC_SL1500_.jpg,,2026-04-23T10:20:52.416962,
22,1,Organic,,13.0,B0FCQJDWCJ,Wesiti 2 Pcs Lemon Highland Cow Figurines Summer Highland Cow Gnomes Scottish Resin Statue Calf Lemon Gifts for Spring Home Garden Kitchen Office Tiered Tray Table Decor,N/A,$19.99,,4.5,176.0,False,https://m.media-amazon.com/images/I/71avNRRzfaL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71avNRRzfaL._AC_SL1500_.jpg,,2026-04-23T10:20:52.421059,
