data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:32:10.427091,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:32:10.428336,
3,1,Organic,,1.0,B0FY35QC19,15PCS Summer Lemon Party Decorations Paper Lanterns Pom Poms Hanging Swirls Yellow Theme Lemonade Stand Italian Decor for Birthday Home Backyard Indoor Outdoor,N/A,$20.99,,4.8,6.0,False,https://m.media-amazon.com/images/I/817bFp7sBwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817bFp7sBwL._AC_SL1500_.jpg,,2026-04-23T11:32:10.435387,
4,1,Organic,,2.0,B01KOKCYXQ,"Lemonhead Hard Lemon Candy, 0.8 Ounce Boxes (Pack of 24)",N/A,$5.64,,4.7,6374.0,False,https://m.media-amazon.com/images/I/71M0uqeacYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71M0uqeacYL._AC_SL1500_.jpg,,2026-04-23T11:32:10.443819,
5,1,Organic,,3.0,B0C4NNT7W9,Lenwen 9 Pcs Lemon Honeycomb Centerpieces Honeycomb Balls Lemon Party Favors Tissue Paper Honeycomb Tabletop Lemon Table Decors for Shower party Wedding,N/A,$14.99,,4.5,37.0,False,https://m.media-amazon.com/images/I/71RZgaxDrtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RZgaxDrtL._AC_SL1500_.jpg,,2026-04-23T11:32:10.449982,
7,1,Title,,,,Recently bought and ratedSponsored| 4+ stars and rising in past 90 days3D Lemon LED String Lights US,,,,,,False,,,,2026-04-23T11:32:10.457771,
9,1,Title,,,,Debug info copied.Sponsored15PCS Summer Lemon Party Decorations Paper Lanterns Pom Poms Hanging Swir,,,,,,False,,,,2026-04-23T11:32:10.459659,
10,1,Title,,,,Pink and Orange Party Decorations SuppliesSponsored|Shop AimtoShop nowPrevious pageRose red Pink and,,,,,,False,,,,2026-04-23T11:32:10.461769,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:32:10.461948,
12,1,Organic,,4.0,B0D49KF4P6,Duraaamo 8 Packs Lemon Party Banner Decorations Lemon Paper Garland Summer Paper Hanging Cutouts Summer Fruit Theme Banners for Wedding Birthday Baby Shower Party Supplies Decoration,N/A,$9.99,,4.7,204.0,False,https://m.media-amazon.com/images/I/71C-s5N1G9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71C-s5N1G9L._AC_SL1500_.jpg,,2026-04-23T11:32:10.468678,
13,1,Organic,,5.0,B083SKP8QB,Winlyn 30 Pack Faux Yellow Lemons Artificial Fruits Fake Lemons Lifelike Simulation for Lemonade Party Kitchen Table Summer Decorations Vase Fillers Fruit Bowl Lemon Wreath Garland Photography Props,N/A,$18.99,,4.7,2487.0,False,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61GEkhiWqLL._AC_SL1500_.jpg,,2026-04-23T11:32:10.476563,
14,1,Organic,,6.0,B0D3HBFRGP,"Lemon Party Decorations,60Pcs Lemon Birthday Party Plates and Napkins Pink and Yellow Lemon Table Decorations for Summer Party,Fruit Theme Birthday Party Supplies",N/A,$19.99,,4.3,63.0,False,https://m.media-amazon.com/images/I/81QQNx2c51L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QQNx2c51L._AC_SL1500_.jpg,,2026-04-23T11:32:10.481194,
15,1,Organic,,7.0,B0GQBM7NDJ,"Italian Lemon Pillow Covers Set of 4, 18x18 Inch Blue Lemon Floral Throw Pillow Covers, Polyester Summer Fruit Cushion Case Decorations for Holiday Farmhouse Home Sofa Couch Gifts",N/A,$13.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81AwDwln52L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AwDwln52L._AC_SL1500_.jpg,,2026-04-23T11:32:10.486220,
16,1,Organic,,8.0,B0CZ45BP3L,Yungyan 50 Sets 16 oz Lemon Plastic Cups Lemonade Cups with Lids and Straws Disposable Yellow Fruit Ice Coffee Juice Drinking Cup for Lemonade Stand Supplies Birthday Baby Shower Party Decoration,N/A,$25.99,,4.7,187.0,False,https://m.media-amazon.com/images/I/81YB24et4dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YB24et4dL._AC_SL1500_.jpg,,2026-04-23T11:32:10.493443,
17,1,Organic,,9.0,B0F6C1F2P2,"2 Pcs Artificial Lemon Flower Garland Vine, 14 Ft Fake Yellow Lemon Vines Silk Flowers Hanging Floral Garlands Decoration for Room Wall, Flower Themed Party, Wedding Supplies",N/A,$22.95,,3.9,15.0,False,https://m.media-amazon.com/images/I/81YnLHGCTQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YnLHGCTQL._AC_SL1500_.jpg,,2026-04-23T11:32:10.498505,
18,1,Organic,,10.0,B0GFWHV6L6,Lemon foil Balloons Summer lemonade with leaves Balloons for Fruit theme birthday she found her main squeeze Bridal Shower Sweet Baby shower Lemonade Centerpiece amalfi coast wedding decorations,N/A,$14.99,,4.5,10.0,False,https://m.media-amazon.com/images/I/71MK60U726L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MK60U726L._AC_SL1500_.jpg,,2026-04-23T11:32:10.503873,
19,1,Organic,,11.0,B0DR8JHXH7,"Lemon Balloon Arch, Pink and Yellow Balloon Arch Kit with Pastel Yellow Light Pink Foil Balloons for Lemon Baby Shower Bridal Shower Birthday Party Decorations",N/A,$22.99,,4.4,42.0,False,https://m.media-amazon.com/images/I/81ll2Fkx-qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ll2Fkx-qL._AC_SL1500_.jpg,,2026-04-23T11:32:10.509141,
20,1,Organic,,12.0,B0B38P4PQM,44 Ft Lemon Party Decorations Yellow Plaid Floral Lemon Banner Bunting Hanging Paper Triangle Garland Streamer for Wedding Bridal Shower Engagement Bachelorette Baby Shower Birthday Party Supplies,N/A,$13.99,,4.7,166.0,False,https://m.media-amazon.com/images/I/81kpai0BnUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81kpai0BnUL._AC_SL1500_.jpg,,2026-04-23T11:32:10.514597,
21,1,Organic,,13.0,B0DFGN83LP,60 Pcs Lemon Paper Straws Disposable Cocktail Straws for Drinks Striped Straw for Milkshake Lemonade Stand Supplies Decorations Festival Holiday Decor,N/A,$12.99,,4.5,30.0,False,https://m.media-amazon.com/images/I/71b95GUN7TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71b95GUN7TL._AC_SL1500_.jpg,,2026-04-23T11:32:10.519443,
22,1,Organic,,14.0,B0B6NJ6V8S,1 PCS Lemon Happy Birthday Cake Topper Assembled Glitter Fruit Theme Lemonade Party Cake Pick Decorations for Lemon Theme Baby Shower Kids Boys Girls Birthday Party Supplies,N/A,$5.99,,4.7,1054.0,False,https://m.media-amazon.com/images/I/81RDEdN3FLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RDEdN3FLL._AC_SL1500_.jpg,,2026-04-23T11:32:10.523848,
23,1,Organic,,15.0,B0D14H1W6Y,Lemon Happy Birthday Banners Glitter Gold Lemongrass Birthday Party Decorations Yellow Lemon Lemonade Party Decorations for Summer Fruit Themed Bridal Shower Supplies,N/A,$14.99,,4.4,20.0,False,https://m.media-amazon.com/images/I/81o312p-mLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81o312p-mLL._AC_SL1500_.jpg,,2026-04-23T11:32:10.527716,
24,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:32:10.528287,
25,1,Organic,,16.0,B01CQNXPPU,"10pcs Artificial Lemons Simulation Lifelike Lemons Fake Fruit for Home Kitchen Wedding Party Decoration Photography (Big Size, Yellow)",N/A,$13.90,,4.6,5326.0,False,https://m.media-amazon.com/images/I/61bGhUDCmzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61bGhUDCmzL._AC_SL1500_.jpg,,2026-04-23T11:32:10.533840,
26,1,Organic,,17.0,B0CRYP8CB1,"Laelfe Artificial Lemons Branches, 8 Head Faux Lemons with Stem Fake Lemon Themed for Kitchen Decoration Party Farmhouse Decor (Yellow)",N/A,$12.69,,4.4,538.0,False,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_SL1500_.jpg,,2026-04-23T11:32:10.538656,
