data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:06:00.061458,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:06:00.062450,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T12:06:00.067822,
4,1,Organic,,2.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,906.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-23T12:06:00.072313,
5,1,Organic,,3.0,B0GR3B5F7V,"Tropical Decor, Tropical Table Runner, Summer Table Runner - 6 Pack 70 Inch Artificial Monstera Leaf Garlands & Faux Palm Leaf Table Runners for Hawaiian Luau Parties & Beach Weddings",N/A,$22.99,,,,False,https://m.media-amazon.com/images/I/71nY6ILbG5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nY6ILbG5L._AC_SL1500_.jpg,,2026-04-23T12:06:00.076354,
7,1,Title,,,,Debug info copied.SponsoredAtonofun 72 Pack Hawaiian Luau Party Decorations Cups -14OZ Disposable Tr,,,,,,False,,,,2026-04-23T12:06:00.078366,
8,1,Title,,,,Hawaiian Party Favor BagsSponsored|10K+ bought from this brand in past month|Shop AlicesetShop nowPr,,,,,,False,,,,2026-04-23T12:06:00.080331,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:06:00.080519,
10,1,Organic,,4.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10353.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-23T12:06:00.084306,
11,1,Organic,,5.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2421.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-23T12:06:00.089879,
12,1,Organic,,6.0,B0BQJLQT9F,100 Counts Hawaiian Leis Flower for Luau Theme Party Decorations - Bulk Set of Silk Flower Necklace Leis Tropical Theme Party Favors Birthday Decorations Assortment,N/A,$29.99,,4.4,277.0,False,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Ixd4eCqJL._AC_SL1500_.jpg,,2026-04-23T12:06:00.093614,
