data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T12:13:20.796482,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:13:20.797463,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T12:13:20.805395,
4,1,Organic,,2.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35509.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-23T12:13:20.812865,
5,1,Organic,,3.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10888.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-23T12:13:20.817372,
6,1,Title,,,,Inflatable Pink Flamingo DecorationsSponsored|Shop YaomiaoShop nowPrevious pageYaomiao 6 Pieces Infl,,,,,,False,,,,2026-04-23T12:13:20.818746,
8,1,Title,,,,"Debug info copied.SponsoredAtonofun 80 PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau",,,,,,False,,,,2026-04-23T12:13:20.819240,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:13:20.819372,
10,1,Organic,,4.0,B0F2RXN18F,OHOME 2 Pack Luau Party Decorations - Plastic Tablecloth for Hawaiian Theme Party Decorations | Tropical Summer Beach Pool Birthday Backdrop Favors Supplies,N/A,$6.29,,4.6,906.0,False,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91VMLJwCDvL._AC_SL1500_.jpg,,2026-04-23T12:13:20.824390,
11,1,Organic,,5.0,B0F1CZBKQZ,"Atonofun 80 PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau Party Glasses, Colorful Bracelets, Flower Headbands for Adults Tropical Birthday Summer Beach Luau Party Favors Supplies",N/A,$21.99,,4.7,213.0,False,https://m.media-amazon.com/images/I/81wie7bpooL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wie7bpooL._AC_SL1500_.jpg,,2026-04-23T12:13:20.830112,
