data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Funeral Favors Celebration of Life Keychains,https://aax-us-east-retail-direct.amazon.com/x/c/JPGAG27tsl8UeFdTkfU_PnIAAAGduBlgqQEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDZ50QT/clv1c_ek-wBPHXFbbWzjK3YpscrxfcOWxCnjqP720D0pLnFUmvhdBCbYLbUAk7YwFh0NNIsovlquPmtoD5KUxb9oU0xN5JiEzE4JZzmSvndmGHWP104zFKhSbKG0jg4np-q8ho4VL3vVm9qs9YbuHqij5GsRBYp9qUrhXTWqSRzrmk0qBXifoS3XJdd7rtJuVqMrtXtZecolMrfkZLGGT3swSDZOORLfeXQEzfNqdQKlP0yVrdDRZian0OULZ3Ul1zs5tSG0yhsWaiH8LojhX0HBaKUD1PIogSER-aF4KCYWfMX1AMjweVTaVF8MVSNicun7zwOjYTTGSIMTumMUamtKA8BEoykIoy7FOZLvfc9i-h5dKiqBquS_d6tt2s4FR-LZrJCpPyf6ZgnbW09bQBukqUK89-gxjOFThA66iv5DHzjaRbiZpVRS-JOYVaKFQ703qt3FWO5LrkkAw74OsXpZpTqwcG3XeBLnoqEQJcLZvMFZkcCh_KLdsQUim8uddSemvYbKz7Ixlx0F7cVc7FCORXqor-M_etHiQYaeit9gPStWjElv0_sfGvGkf7H3aMBRy5GJSmbDAoZPHFNR4tdXV_HA5Bqwzj82XS6Ls3OuKAjZWOFcwaJh42MjdQ_Abhxc8lZzQ1SaMWD-_hxo6VBWqzxkPXlSxKUFCLJj-18d7YDvEwBaQ4wdnxIaM_aSMMti9rSOF42D9pPSgGGY1SGvirqUtunH99jkbiGwzw09LhUCqVz0mLNwckGbMvs3TAvkNf2B2sZdnpfBno90F5IIQHg4GGa7I7lMfKYN0fLU87sg1SSOZYmrfMgl5MU2ucgp_eToZ1R4RyEOe9lCXF8ubrBfd4sgGchr6awQ4aZ0dhQloG1d-hZZrM50JBe5o8k8B58ihhKYqcKuifd6tWYc6tKNPJvVLGDwI0h5fPDoCNJ-k60DasoxuKaBNYeLWsALJUMsZISnkT4J0Y29LzEZx6dHxfnT3cGdRkxfTjFUIwS0RtL-Tl3qGqmp2ifU9ERONkkVzwNI8B0M3m5MBG9DHOvIvq3NkCPAquiFehYtCdyY41WOfavTT-3FC0IwWMUSzN-7-2VDzL_peQsEchsShSjoQpAZ5sz7AfyTG-eHRxqDfv4c0wV4hlUkzqILUJl0fHrbZ69E7iQYDfYwo9VM_GRkRdJMdHapMmdb4XA7RNK7d0dNIz-VragjY-RdU0JXT114oVqiKoQ11TvYLatSc0YpbB_Xx3xRDliAd8Mh5H5WMgBtYOzgArxZ0VhQXVV1wWvDpo4UadtsEXH0X9kWlFKH-D4kzFHltOjEisc2PqLG9RdCc_bKTlnrrwNNKc4aI0XBu6lkCo-FAvVmgd8iRW3cT1ve-AavpDff1I1932BcWi58HwTAEHkH7R8SwjggnlNtfeZSWhGaqs2a_on1pILT1bWOcWfehAZQ2bfXmPeEFrMBylizIfvqifmRkj5pO3Oa_o2THwJSmTb8wONxE0Rd9yuW4lLy1GKTFyme2iYd7RXaT-vtzog2Hdop_CPFXdCTlgWZ42oDqu03Vjvwdiv5lInuMjj4iD4Xl_zVtP_uar-l6aP9OKoAeBB_8CHtU6BgzUYtAWEOR8iOIdhXoXDRqivIAVGSkKXBNtVaALt9sD14P67rxzx1GErUr_23Ty5UIFOlch6ugnMFJlvSRFlhxJa6LzdQ/https://www.amazon.com/stores/page/4D07116F-B4C6-4027-AC9A-927CF0626ED1/?_encoding=UTF8&store_ref=SB_A037050520R80G2HYJPD1-A1033458S9WZBLP38V9V&pd_rd_plhdr=t&aaxitk=2657b6114d8b23412ba7a2a9888f0886&hsa_cr_id=0&lp_asins=B0DG4JWQZ7%2CB0DBPTF32G%2CB0DBPZKPW9&lp_query=memorial%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=ROxOq&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=2YCY0QESNAA7KRW8AH00&pd_rd_wg=pLPrv&pd_rd_r=6e70b569-8536-40ea-8755-6d0676fa40eb,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/862d8fef-1503-4478-a2c7-2d0b832d205a._CR0,0,800,800_AC_SX130_SY60_CB1169409_QL70_.png",,Funeral Favors Celebration of Life Keychains,2026-04-23T10:09:28.255478,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:09:28.256589,
3,1,Organic,,1.0,B0BTS3FBLC,"Hicarer 60 Set Funeral Favors, Celebration of Life Favors Angel Keychains Organza Bags Sympathy Thank You Tags for Memorial Party Supplies Guest Return Favors Funeral Gifts",N/A,$20.99,,4.8,469.0,False,https://m.media-amazon.com/images/I/71UrgxhB40L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71UrgxhB40L._AC_SL1500_.jpg,,2026-04-23T10:09:28.260943,
4,1,Organic,,2.0,B0B3T6Z4QT,Xqumoi 3Pcs Memorial Table Cover Plastic Disposable Rectangle Waterproof Tablecloths Remembrance Funeral Celebration of Life Table Cover Farewell Anniversary Party Supplies Decoration(108 x 54 Inch),N/A,$9.99,,4.6,176.0,False,https://m.media-amazon.com/images/I/81QpJ2AHR3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QpJ2AHR3L._AC_SL1500_.jpg,,2026-04-23T10:09:28.264596,
5,1,Organic,,3.0,B07GV58BFM,"321Done Share a Memory Cards for Celebration of Life, Funerals, Birthdays, Anniversaries, Pack of 50 Tan 4x6 Favorite Memory Note Cards, Funeral Favors for Guests, Guestbook Alternative, Made in USA",N/A,$14.99,,4.8,1187.0,False,https://m.media-amazon.com/images/I/71GC4Q6ryQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71GC4Q6ryQL._AC_SL1500_.jpg,,2026-04-23T10:09:28.270642,
7,1,Title,,,,Debug info copied.SponsoredTeling 50 Pcs Funeral Favors Fans Memorial Plastic Celebration of Life Ha,,,,,,False,,,,2026-04-23T10:09:28.271516,
8,1,Title,,,,Memorial Funeral Guest Book with Pen 144 PagesSponsored|Shop YingzhaoShop nowPrevious pageYingzhao M,,,,,,False,,,,2026-04-23T10:09:28.272665,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:09:28.272835,
10,1,Organic,,4.0,B09D7FQ6JY,"Outus 50 Pieces Memorial Sparkler Cards, No Sparkler - Celebration of Life Decorations Funeral Cards Double Sided for Birthday Anniversary Funeral Memorial Service(White)",N/A,$7.99,,4.4,310.0,False,https://m.media-amazon.com/images/I/71JmtRbdYCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71JmtRbdYCL._AC_SL1500_.jpg,,2026-04-23T10:09:28.275933,
11,1,Organic,,5.0,B0BBVF6MBD,60 Pcs Memorial Balloons 12 Inch Latex Balloons with Ribbons for Memorial Day Funeral Decoration Forever,N/A,$9.99,,4.7,679.0,False,https://m.media-amazon.com/images/I/71Dq1QOPTEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Dq1QOPTEL._AC_SL1500_.jpg,,2026-04-23T10:09:28.280598,
