data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Aodaer Mental Health Awareness Ballpoint Pens,https://aax-us-east-retail-direct.amazon.com/x/c/JDATyXDXr1NAD5XTEkEiLuUAAAGduJTrLgEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICCTKDGk/clv1c_ek-wBPHXFbbWzjK3YoscrxfcOWxCnjqP720D0Pbg2urWAhkq9BGuMXYU1xsvyXGFX6QYYovB-K1sbQs2qYUZe31-zvYRxDJ2f0BzCi3H4PiymteDryXbNtJhcpl2okhFzx3cO8mPNFWi6DmhSLx9knaYBFyYjnVqkMrAzD2u9Ma-W2oWKEwpxDPlzemDMD0HG8AHJd8b2jfpFWXzIE7NmjI9NZUt9IZ-ph9y-B2kHemMaHC1PJt1ZbE82OBqD8R2U8HCsK4pLYQPKoGxIgCT0BCHy2mHJ8CGPVI2DTUl2UjI2ErXUdQ_sqLJF6AN0uVgx8UpoRkjGY0E7XFUsDwx0pQ1d-itgEUBKDV5GTulbq94mkYdN3sJsJvbfYN5z3mWZK4EqkxR3ZjlI8zcbudJhyVjSCZZyTjT1-5Gi1EgDqFgI-zoDxStUREe6NqBjAUl38K_o-Q-Z1YyZF5w5whI9_OGlntXv6HBZceaHSzV4QI9xhPQlo2E04rR9WZTgfx4vXdXbFPxlytyJxUphGtAHZ4bneUOJrW5WMO6nz0__qyO67KJp_4KX-tI-QYmIyvpryHgL0f7FOx7AL-STe47t2JqaNo1NxUTsExCnTRMj3PncVvGqXbk7L4ud6TuXcG4VTLe7GAGJLe3C58xfyc7Qz84INI0PMDdUY3_lDRPGDJPfxODxyCCtDGkAffU8SFPE31C-vKrUYCQb5jj8lDwywrXIqy05VXw0msNA0n5YO14I0Hvz7oOnBUOoADJr8C1_3qjZuXsFn29Ue2YVZLFgUU79u-xH2Op3A1uNxsM1V7ne3Ho_NpoMN0L_JteoyAfhpyriz0DYSlo4_v8t2ikqlFEXrFU-vF3eTWE6GjxDA31QGVA1Zjq-4UzflVc1xLoaormEoWXC8RpKOe2gv1cGVHkP5Ftfsors7vqJJEJT_4JunfwEDG4O6yxiTQ-pys4VIRgo5zidquNfQ3f4MrTFs5hht5nKha7mLl-ZnNgwekN5AbHxRFnBZhem6ep21xyk1so3VjkstrEKBHbBjWOmCG6YzJhfhoPEmq-7j6J1x7xuLSmoJAuTnECo2UK85fUJw3tih0Mi2chw5o1C7qkWgx-wwq8POUHEUTQf7sLwFZ3T714QMq6xvtbg4e5NgeNLAZpFFMbcdRRjXw-nVBi5tnM-gLMHcZFUBXE4Nm0IUSkYxOao-KQTnn0T1it-Z5nLSkV1YptxuVctKjsmJUVvKjeH7OVi1NAob7owU5sk9hPVjQxmmp0WSXwjr0P4HBXeBJ-JiIukevAaBI2ATwhWPPzDYmbb8E45T79jLlLEtPLgKFr8wtGk8ELiA6e8uNPqy2i3OST6meAx_nrRWjiGGv2H6osVqcPhrhWfI_SVJmct6xKb3ioqPdslStl4ue08GIopHcdSOg9CXOe41E-lu-bon3EGUi220nKqCwm5O76Daf7aTEgvX_0EEMr-FGqtTH27XfG2_NWdlIDPtGezAfdq-Wt5UkTRzbVrBmld7fLQcUmuvJy89D92yMB1fDZA8PUd401UhVOx4spy-vuxj1_GR6WWvCdJEyd9qHNRR6olexgxPNg0lSUxMyxFXmQyoAAmyEFxC2HXKsGLe8KeKSF2BAwDEf_DIwUQchwCQqCcMp49iQ--Zt9hOrfaiWVJa1iiHl9Jo0QN4op/https://www.amazon.com/stores/page/A0044C09-637D-4C13-9F3D-5C2A8C97E639/?_encoding=UTF8&store_ref=SB_A07573422J5V8TQJHALG3-A07521193AESZGLEA61WL&pd_rd_plhdr=t&aaxitk=01f8488a56c6748527e5f8230da8d74b&hsa_cr_id=0&lp_asins=B0DQ4LPTPT%2CB0DQ4J1ZQM%2CB0DQPTJNLJ&lp_query=mental%20health%20awareness%20items&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=F2a70&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=3KQ12A44VH7FWVGA70NZ&pd_rd_wg=vPlwa&pd_rd_r=e23126ca-e401-4596-93d9-c118d0028df3,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/f5989df6-3a62-4d81-88ac-67ea4997bc6e._CR0,0,315,145_AC_SX130_SY60_CB1169409_QL70_.jpg",,Aodaer Mental Health Awareness Ballpoint Pens,2026-04-23T12:24:21.761302,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T12:24:21.762330,
3,1,Organic,,1.0,B0CP2CDRJD,300 Pcs Mental Health Stickers Motivational Affirmation Stickers Mental Health Awareness Items Positive Waterproof Laptop Bottle Feelings Decor for Mindfulness Train Adult Employees(Warm Color),N/A,$14.99,,4.6,201.0,False,https://m.media-amazon.com/images/I/81BTusdOvDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BTusdOvDL._AC_SL1500_.jpg,,2026-04-23T12:24:21.769566,
4,1,Organic,,2.0,B0CV9ZQ2HF,"150 PCS Mental Health Matters by Puraesla - Stickers Pack for Journals, Laptops, Water Bottles, Therapist Office Decor, Counselor Office Must Haves, Positive Quote Decals for Mental Health Awareness",N/A,$8.99,,4.7,300.0,False,https://m.media-amazon.com/images/I/91ZyGkJtKvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ZyGkJtKvL._AC_SL1500_.jpg,,2026-04-23T12:24:21.774048,
5,1,Organic,,3.0,B0GLPPMFL8,KIMSOONG Mental Health Shirt Let Them Shirts - Womens Positive Graphic Tees Mental Health Matters Tshirt Motivational Gift,N/A,$14.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81OEmcRoemL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OEmcRoemL._AC_SL1500_.jpg,,2026-04-23T12:24:21.778883,
7,1,Title,,,,Debug info copied.Sponsored6 Pieces Green Ribbon Mental Health Awareness Yard Signs with Metal Stake,,,,,,False,,,,2026-04-23T12:24:21.779733,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T12:24:21.779867,
9,1,Organic,,4.0,B0DK2WZPDP,"100pcs Mental Health Stickers for Water Bottle, Mental Health Matters Awareness Therapist Waterproof Vinyl Decal for Kids Adult Girl Laptop Skateboard Phone Notebook Guitar(Positive Affirmation)",N/A,$5.99,,4.6,303.0,False,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_SL1500_.jpg,,2026-04-23T12:24:21.783043,
10,1,Organic,,5.0,B0G7TD3ML7,Moon Boat 144PCS Mental Health Awareness Month Bracelets Bulk Green Ribbons Rubber Stretch Wristbands Inspirational Message for Men Women,N/A,$20.99,,4.3,4.0,False,https://m.media-amazon.com/images/I/810OVeBIS+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810OVeBIS+L._AC_SL1500_.jpg,,2026-04-23T12:24:21.787338,
11,1,Organic,,6.0,B0CRVF6L4G,Wettarn 1140 Pcs Mental Health Awareness Items Mental Health Awareness Accessories Set Include Stickers Buttons Stress Balls Pens Silicone Bracelets Rubber Ducks Lanyards Safety Buckles and Keychains,N/A,$60.99,,4.8,10.0,False,https://m.media-amazon.com/images/I/81ptx+ihLbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ptx+ihLbL._AC_SL1500_.jpg,,2026-04-23T12:24:21.790680,
