data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Aodaer Mental Health Awareness Ballpoint Pens,https://aax-us-east-retail-direct.amazon.com/x/c/JMYT_cU5ipPm-rbx5AbbpncAAAGduEyh-QEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDIgICChycJx/clv1c_ek-wBfHXFbbWzjK3YisYrxfcuXaZLo-H_za5uX6yix1waj2BjsemUQk7YwFhAPm4LlL-c-vB8O2lgi1QRgUpzKsnpE6kaRCmkp3uBTmlpNf0g3LfsgBS7vbx6_9UxjCyGbUis8TBaj71MMogYGLP51vyI9mIdrVrkkj91iuG7NeeX347agns4m_gps6a3PO0Go6d7JVTLQu4ZUQ80QrF5l7cTGsqfFqiGc5atOz8k-XRdKtVjUcnjRKZYMlqP-7kqrdWm91mE1ZeoJGRF0XYa-uDefp6dSHwBTrKAVZrgtOpkwYsnY3xTU_-0lAON9Hm8AB1BIBqbiO7PuFCoOMFpeOsa2Oj-LvAQ-aEqqqjdoIdaFV0AJuHpE8GOYqAkHdpmDCiJnk_-SxMvXn73OjJAQjqJJMCi9c72geFx2Qg_PkbFGANgr8WVwtfKwcHJ-bZZu5ZekxPC7fce51dZPKKe0gbre3LWpyQZblql4N2bQ8mDRMQponlE8tZeQBzX_8qORrY9vtbcYSEz1hzDDTG1c0uqXVtd3babmjkjZcXfFnijueKwB9pOs734J1_T2J2IkJYg8Mo25OFM4U2UHnqcvJ20a6AU_aGbk2LaVyzJ_BMm4oNNNC_XZZftY0BnlvgtOao7eDq2htI1VcrFFQmHlSqvunDonnGsOby-R2Or2-9cBJ-bcEfceUJYMgvnUP_3cZbtrb_Dt7ds_qGv0xew7KWHqvBHDmMJxHHass4WGHHS8YHnDEEa8XWNJBZhHEo1ZtBbbMl6HQvFfi4viaMwWm_bLX5JZsjnkdyA0VnltfN6T6mDyDx1-r9gfzpFkq8CfoSHokG4bFOoRjV6WwuYNABqjpRyZNIyCurpgHbG-qZhGXbMB4mlazaC0Akw21X8EEfkR8U09qFAXESkUxrUVdA9wwVl5khYzjl1veVdvggyI53ycAhYQ7I4r2qwYLT0hLYl_Ib0JVEWHlBOizX-TkcWTv3mqYD0eH6W0yw2pzFExu_ikcNSEC-DHdvoVQkIFzznszYpvZ2YtGYmtr5QvT35qiUX-BLVkJ1WxYBdNoJn6jDj0zngXxDPAqkGgmxAF2tnDcEQM03AEsXlAJ5K6Avku6zGOJwlfAL10iY4H92zxL3M1c8NHPTBeM2wixEA_3PJ58Qg5iATnvGas2gSRc3W6YjGhCw4TlCFpgHiwTGta_we1CiUB86tkDOW5w1CDfbBorFaJKnrTkdAwWCTLLYRORJJoluI-Fjr2KI0TEd2cVJg8cneXygDBtTNO2L4L_UTTnMcl46dmVmtBLho6ZIuWLF4Daab66DVKVF8ZQlO1A6k-tOV8GthnZZ4o83CSIuV7D9FFscldmnfs2BH1pYvaCc-oWesIMcjuO8LyIgvXDMv7cygiSz1y-dDmuuOysH8rnTdqJsWtOfJewuOa1mcO_hXJEoth9I7LBsFg5jbJ8KDM_1X96bboYURJRcVomfbBbMu-1R_SXz2Rsw-VRNYA0s3osTn2blPUsVI27raw8p6hqH0gjMo1AfCub6UkMsEQfaygXY06GQmBLY67Hwjw3oFXo8cP0_sn9pBjG8SlP15GNa5tihi9ZNch5DqdrLouDqFR6KiaL4Nd6ThGDchRkH8E6PEuzOV42rxifPr1RUTBvu/https://www.amazon.com/stores/page/A0044C09-637D-4C13-9F3D-5C2A8C97E639/?_encoding=UTF8&store_ref=SB_A07573422J5V8TQJHALG3-A07521193AESZGLEA61WL&pd_rd_plhdr=t&aaxitk=01f8488a56c6748527e5f8230da8d74b&hsa_cr_id=0&lp_asins=B0DQ4LPTPT%2CB0DQ4J1ZQM%2CB0DQPTJNLJ&lp_query=mental%20health%20awareness&lp_slot=auto-sparkle-hsa-tetris&sdp_ad_group=300084314000404&i=aps&aref=xo6Epw01A0&ref_=sbx__sbtcd_bkgd&pd_rd_w=tA6Xh&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=HXDPZ6ZJPJ05FKSH5CEC&pd_rd_wg=yN3hG&pd_rd_r=77636671-9adb-4c80-9b32-db414b20ed10,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/f5989df6-3a62-4d81-88ac-67ea4997bc6e._CR0,0,315,145_AC_SX130_SY60_CB1169409_QL70_.jpg",,Aodaer Mental Health Awareness Ballpoint Pens,2026-04-23T11:05:29.316193,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:05:29.316876,
3,1,Organic,,1.0,B0GHFXZD3B,"Mental Health Awareness Month Decorations, includes Mental Health Awareness Banner and Faith Hope Love Strength Inspiring Theme Bulletin Board Hanging Swirls, Green Mental Health Month Office Decor",N/A,$10.99,,,,False,https://m.media-amazon.com/images/I/81j+9bHJtVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81j+9bHJtVL._AC_SL1500_.jpg,,2026-04-23T11:05:29.320257,
4,1,Organic,,2.0,B0CTHKVKW2,DEEKIN Mental Health Rubber Duck Bulk Green Ribbon Mental Health Awareness Items Gifts for Adults Self Care Charity Office Therapist Favors(60 Pcs),N/A,$27.99,,4.8,72.0,False,https://m.media-amazon.com/images/I/81UeTCWBr7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UeTCWBr7L._AC_SL1500_.jpg,,2026-04-23T11:05:29.325864,
5,1,Organic,,3.0,B0GMQBKYCF,"Eaasty 120 Pcs Mental Health Awareness Magnetic Bookmarks Green Inspirational Therapy Bookmarks for Students, Teachers, and Mental Health Awareness Events, Positive Psychology Affirmations Gifts",N/A,$25.99,,,,False,https://m.media-amazon.com/images/I/718IskSH9dL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/718IskSH9dL._AC_SL1500_.jpg,,2026-04-23T11:05:29.329250,
7,1,Title,,,,Debug info copied.SponsoredEersida 100 Pcs Mental Health Awareness Items Bulk Ribbon Textured Rough ,,,,,,False,,,,2026-04-23T11:05:29.330043,
8,1,Title,,,,Mental Health Awareness AccessoriesSponsored|Shop TelingShop nowPrevious pageTeling 12 Pack Mental H,,,,,,False,,,,2026-04-23T11:05:29.331213,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:05:29.331344,
10,1,Organic,,4.0,B0GJ5W1ZCK,120 Pcs Mental Health Awareness Mini Ducks Green Ribbon Resin Duck Bulk for Charity Events Fundraiser Giveaways Mental Health Small Gifts for Wellness Campaigns Awareness Month Event Giveaways Decor,N/A,$19.99,,4.6,3.0,False,https://m.media-amazon.com/images/I/81J1ihAAWDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81J1ihAAWDL._AC_SL1500_.jpg,,2026-04-23T11:05:29.334149,
11,1,Organic,,5.0,B0DK2WZPDP,"100pcs Mental Health Stickers for Water Bottle, Mental Health Matters Awareness Therapist Waterproof Vinyl Decal for Kids Adult Girl Laptop Skateboard Phone Notebook Guitar(Positive Affirmation)",N/A,$5.99,,4.6,303.0,False,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R2yZbq3oL._AC_SL1500_.jpg,,2026-04-23T11:05:29.337766,
