data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:36:19.118844,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:36:19.119969,
3,1,Organic,,1.0,B0CQZLNT5X,BeYumi Flower Bouquet Craft Kit - 24Pcs Mother's Day Flower Bouquet Craft for Kids Make Your Own Bunch of Flowers Teacher Appreciation Week DIY Thankful Gift Set School Classroom Home Fun Activities,N/A,$18.99,,4.4,107.0,False,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_SL1500_.jpg,,2026-04-23T10:36:19.126167,
4,1,Organic,,2.0,B0GFM53B7Q,"20 Set Mother's Day Crafts Bulk Best Mom Hands Down Ceramic Tiles, 4x4 Make Your Own Mother's Flower Coasters with Backing Pads for Painting, Ceramic Crafts for School Classroom Activities",N/A,$33.99,,4.0,1.0,False,https://m.media-amazon.com/images/I/81eFy15BthL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eFy15BthL._AC_SL1500_.jpg,,2026-04-23T10:36:19.129783,
5,1,Organic,,3.0,B0GGB26367,Mother's Day Coloring Craft Kit - 30Pcs Happy Mother’s Day Color Your Own Magnets for Kid Best Mom Ever Blank Flower DIY Coloring Magnets for Fridge Decor Classroom DIY Activity Party Favor,N/A,$11.99,,4.7,5.0,False,https://m.media-amazon.com/images/I/918WTFESCWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/918WTFESCWL._AC_SL1500_.jpg,,2026-04-23T10:36:19.133656,
7,1,Title,,,,"Debug info copied.Sponsored10"" Hands Down Best Mom Ever Sign DIY Kids Gifts For Mom Handprint Kit wi",,,,,,False,,,,2026-04-23T10:36:19.134469,
8,1,Title,,,,Motipuns Spring Flower Bouquet Craft KitSponsored|Highly bought brand in craft kits|Shop MotipunsSho,,,,,,False,,,,2026-04-23T10:36:19.137781,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:36:19.138007,
10,1,Organic,,4.0,B0CPP6M7RW,Durable Resin Garden Pot Craft Kit for Kids- 24 Pack Colorful Flower Plant Spring Crafts with Super-adhesive Stickers & Blank Labels School Activities Growing Kit for Classroom Home DIY Gift 4+ years,N/A,$26.99,,4.7,64.0,False,https://m.media-amazon.com/images/I/81N-2tO-mGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81N-2tO-mGL._AC_SL1500_.jpg,,2026-04-23T10:36:19.143698,
11,1,Organic,,5.0,B0F1FYMPTN,Fennoral 12 Pack Butterfly MOM Wind Chime Kit for Kids Make You Own Mother's Day Craft Kit DIY Coloring Wooden Art and Craft for Mom's Birthday Decoration from Son Daughter,N/A,$16.95,,4.2,383.0,False,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_SL1500_.jpg,,2026-04-23T10:36:19.147685,
12,1,Organic,,6.0,B01E4LWBLQ,Luna Bean Hand Casting Kit – The Original Hand Mold Kit – Mothers Day Gifts for Mom - Anniversary Engagement Gifts for Women Men Couples Wife Boyfriend Girlfriend Wedding Bridal Shower,N/A,$29.32,,4.6,45449.0,False,https://m.media-amazon.com/images/I/814tkFd52nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814tkFd52nL._AC_SL1500_.jpg,,2026-04-23T10:36:19.156356,
13,1,Organic,,7.0,B0GSF5K9H3,Geelin 12 Pcs Mother's Day Crafts Picture Frames Wood Unfinished DIY Flower Heart Handprint Teapot Shaped Picture Frames Mother's Day Craft Gifts for DIY Mom Art Activity,N/A,$14.99,,4.3,5.0,False,https://m.media-amazon.com/images/I/71bk53SEsEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bk53SEsEL._AC_SL1500_.jpg,,2026-04-23T10:36:19.161670,
