data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:20:56.523515,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:20:56.524987,
3,1,Organic,,1.0,B0GFM53B7Q,"20 Set Mother's Day Crafts Bulk Best Mom Hands Down Ceramic Tiles, 4x4 Make Your Own Mother's Flower Coasters with Backing Pads for Painting, Ceramic Crafts for School Classroom Activities",N/A,$33.99,,4.0,1.0,False,https://m.media-amazon.com/images/I/81eFy15BthL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eFy15BthL._AC_SL1500_.jpg,,2026-04-23T11:20:56.531754,
4,1,Organic,,2.0,B0F1FYMPTN,Fennoral 12 Pack Butterfly MOM Wind Chime Kit for Kids Make You Own Mother's Day Craft Kit DIY Coloring Wooden Art and Craft for Mom's Birthday Decoration from Son Daughter,N/A,$16.95,,4.2,383.0,False,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710bMiRhMfL._AC_SL1500_.jpg,,2026-04-23T11:20:56.536426,
5,1,Organic,,3.0,B0GSF5K9H3,Geelin 12 Pcs Mother's Day Crafts Picture Frames Wood Unfinished DIY Flower Heart Handprint Teapot Shaped Picture Frames Mother's Day Craft Gifts for DIY Mom Art Activity,N/A,$14.99,,4.3,5.0,False,https://m.media-amazon.com/images/I/71bk53SEsEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bk53SEsEL._AC_SL1500_.jpg,,2026-04-23T11:20:56.542555,
7,1,Title,,,,Debug info copied.SponsoredThreehoney Mother's Day Handprint Crafts Kits DIY Flower Bouquet Handprin,,,,,,False,,,,2026-04-23T11:20:56.543393,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:20:56.543536,
9,1,Organic,,4.0,B0CQZLNT5X,BeYumi Flower Bouquet Craft Kit - 24Pcs Mother's Day Flower Bouquet Craft for Kids Make Your Own Bunch of Flowers Teacher Appreciation Week DIY Thankful Gift Set School Classroom Home Fun Activities,N/A,$18.99,,4.4,107.0,False,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OQ-6l3bjL._AC_SL1500_.jpg,,2026-04-23T11:20:56.549557,
10,1,Organic,,5.0,B0GHW4VSRD,"24 Set Mothers Day Craft Kits, Mom DIY Keychain Bulk Set with Acrylic Blank and UV DTF Stickers, Mama Craft Gifts Making Kit, Funny Classroom Home Birthday Art Activities Party Favors",N/A,$20.99,,1.0,1.0,False,https://m.media-amazon.com/images/I/71nodHRbZYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71nodHRbZYL._AC_SL1500_.jpg,,2026-04-23T11:20:56.553142,
11,1,Organic,,6.0,B0CQT5GHRS,Lineshading 24 Pcs Mother's Day Crafts for Kids Mother's Day Picture Frames Craft DIY Wooden Flowers Frames Set Mother's Day Wooden Flowers Crafts with 6 Styles Mother's Day Crafts for Kids Classroom,N/A,$26.99,,3.2,10.0,False,https://m.media-amazon.com/images/I/717TcK+5FyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717TcK+5FyL._AC_SL1500_.jpg,,2026-04-23T11:20:56.556548,
12,1,Organic,,7.0,B0FW4WCKVY,WorldBazaar 24 Set Mothers Day Craft for Kids Flower Photo Frames DIY Decorative Stickers Mother's Day Classroom Activities School Gifts,N/A,$6.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81CFeIMbcML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81CFeIMbcML._AC_SL1500_.jpg,,2026-04-23T11:20:56.561908,
13,1,Organic,,8.0,B0GR43666K,32 PCS Mother's Day Crafts Set Fridge Magnet Kit Paint Your Own Happy Mother's Day DIY Include 32 Magnet 24 Paint Pens Classroom Gifts Favors Party Supplies Home School Activities Decors,N/A,$12.49,,4.6,19.0,False,https://m.media-amazon.com/images/I/81S5bihVV-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81S5bihVV-L._AC_SL1500_.jpg,,2026-04-23T11:20:56.566384,
14,1,Organic,,9.0,B0BVY3ZPN8,"AIERSA 20Pcs Best MOM Unfinished Wood Crafts, Mothers Day Crafts for Kids Painting, Wood Cutouts to Paint, Wooden Letters Ornaments for Mothers Day Gift,Mom's Birthday Party Classroom DIY Tags",N/A,$9.99,,4.6,239.0,False,https://m.media-amazon.com/images/I/81J9yMNFmmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81J9yMNFmmL._AC_SL1500_.jpg,,2026-04-23T11:20:56.569966,
15,1,Title,,,,Motipuns Spring Flower Bouquet Craft KitSponsored|Highly bought brand in craft kits|Shop MotipunsSho,,,,,,False,,,,2026-04-23T11:20:56.571403,
16,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:20:56.571541,
17,1,Organic,,10.0,B0GHMQBC2J,24 PCS Mother's Day Crafts Kit Women Makeup Bag Color Your Own Inspirational Quotes Canvas Cosmetic Bags DIY Make Your Own Art Project for Mom Grandma Gifts Mother’s Day Travel Activities,N/A,$44.99,,,,False,https://m.media-amazon.com/images/I/812+56TYv0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812+56TYv0L._AC_SL1500_.jpg,,2026-04-23T11:20:56.574437,
18,1,Organic,,11.0,B0GHRSQW8L,SilTriangle 10 Set Mother's Day Handprint Kit Tote Bag Painting Kit Mothers Day Crafts for Kids Flower Handprint Tote Bag with Paints and Brushes DIY Craft Gifts for Nana Mom Grandma,N/A,$36.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/71HbUvfhpIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HbUvfhpIL._AC_SL1500_.jpg,,2026-04-23T11:20:56.579511,
19,1,Organic,,12.0,B0CQNLL418,ceiba tree 24 Pcs Color Your Own Mothers Day Bouquet Crafts Happy Mother's Day Coloring DIY Craft Kits for Kids School Classroom Activities Paper Flowers Party Favors,N/A,$5.99,,4.6,24.0,False,https://m.media-amazon.com/images/I/81vJoLhdWtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vJoLhdWtL._AC_SL1500_.jpg,,2026-04-23T11:20:56.582999,
20,1,Organic,,13.0,B0F1XRLH9N,36 Pcs Color Your Own Mother's Day Bookmarks for Kids DIY Mother's Day Gifts Wooden Blank Bookmarks Bulk with Hanging Tassel for for Mother's Day Crafts Birthday Gift,N/A,$13.99,,4.6,22.0,False,https://m.media-amazon.com/images/I/81dXKm896NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dXKm896NL._AC_SL1500_.jpg,,2026-04-23T11:20:56.586390,
21,1,Organic,,14.0,B0CZF5D3MS,Mum 30Pcs Unfinished Wooden Mother's Day Gift Ornaments DIY Craft Mother Birthday Present-30Pack Paintable Blank Natural Mom Cutouts Hanging Wood Slices for Kids Art Crafts DIY Gift for Mom,N/A,$11.99,,4.7,1290.0,False,https://m.media-amazon.com/images/I/71HrEnqV0tL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71HrEnqV0tL._AC_SL1500_.jpg,,2026-04-23T11:20:56.590821,
22,1,Organic,,15.0,B0DWXR4NWW,Supervitae 24 Sets Tulip Crafts Kits Mother's Day Crafts Spring Flower Paper Sun Catchers Art Kits DIY Tissue Paper Sign Make Your Own Flower Stickers Scene for Mother's Day Gifts Art Activities,N/A,$15.99,,3.8,31.0,False,https://m.media-amazon.com/images/I/817DmkEEuDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817DmkEEuDL._AC_SL1500_.jpg,,2026-04-23T11:20:56.597101,
23,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:20:56.597616,
24,1,Organic,,16.0,B0DNJP14ZZ,DoubleFill 30 Pack Wind Chime Kit Make You Own Mother's Day Wind Chimes Crafts DIY Coloring Wooden Mother's Day Craft for Mom's Birthday Gifts Party Decoration Art Hanging Ornaments,N/A,$20.99,,4.1,17.0,False,https://m.media-amazon.com/images/I/81KgcFj7biL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KgcFj7biL._AC_SL1500_.jpg,,2026-04-23T11:20:56.600743,
25,1,Organic,,17.0,B0GSF2RN3G,"J6&H6 30 Pcs Mothers Day Crafts Wooden Flower & Heart Photo Frame DIY Craft Kit, Mother's Day Crafts Bulk with 5 Styles & Colored Diamond Stickers, for Class Activities, Party Favors & Handmade Gifts",N/A,$22.99,,,,False,https://m.media-amazon.com/images/I/81AT8jUg2AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81AT8jUg2AL._AC_SL1500_.jpg,,2026-04-23T11:20:56.604405,
26,1,Organic,,18.0,B0GPWWLKKM,Acellegic 24 Sets Mother's Day Gifts Bulk DIY Craft Gifts for Mom with Stickers Flowers with Flowerpot Cards Envelope Bags Handmade from Daughter Son for Mom Mother's Day Home Activities,N/A,$35.99,,,,False,https://m.media-amazon.com/images/I/81o9B6SV5pL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81o9B6SV5pL._AC_SL1500_.jpg,,2026-04-23T11:20:56.608651,
27,1,Organic,,19.0,B0F13LB89T,"Csyidio 251 PCS Shrink Dink Keychain Kit Includes 20 Sheets Shrink Plastic Sheets, Hole Punch, Tassels, Lobster Clasps, Keychain Clip, Jump Rings, Key Ring, Great for DIY Mother's Day Crafts",N/A,$19.99,,4.6,652.0,False,https://m.media-amazon.com/images/I/81UJUvyJObL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UJUvyJObL._AC_SL1500_.jpg,,2026-04-23T11:20:56.612116,
28,1,Organic,,20.0,B0CQZMJ3HR,BeYumi Flower Scratch Cards Craft - 60Pcs Mother's Day Flower Pot Scratch Cards Kit for Kids DIY Magic Color Craft Set Teacher Appreciation Gift School Classroom Home Fun Activities,N/A,$12.99,,4.6,189.0,False,https://m.media-amazon.com/images/I/81l-l8AX2qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81l-l8AX2qL._AC_SL1500_.jpg,,2026-04-23T11:20:56.615732,
29,1,Organic,,21.0,B000J3ZVMK,"4M Make A Wind Chime Kit - Arts & Crafts Construct & Paint A Wind Powered Musical Chime DIY Gift for Kids, Boys & Girls",N/A,$10.99,,4.5,9442.0,False,https://m.media-amazon.com/images/I/61-FGO3h6VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61-FGO3h6VL._AC_SL1500_.jpg,,2026-04-23T11:20:56.619749,
30,1,Organic,,22.0,B09QRFPLD1,"Creative Roots Paint Your Own #1 MOM Stepping Stone, Craft Kits for Kids, Ceramics to Paint, Ages 6+",N/A,$7.99,,4.6,23369.0,False,https://m.media-amazon.com/images/I/81NhaoxlEML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81NhaoxlEML._AC_SL1500_.jpg,,2026-04-23T11:20:56.624195,
31,1,Organic,,23.0,B0CJQPLVGG,"FreshCut Crafts: 280 Pieces of DIY Flower Cutouts with IDEA Guide - 2-Sided Punch Out Tulips, Daisies, Daffodils, Flowers Ideal for Spring Craft Projects, and Mother's Day DIY Gift Craft",N/A,$11.99,,4.7,315.0,False,https://m.media-amazon.com/images/I/71V8KJ9aTUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71V8KJ9aTUL._AC_SL1500_.jpg,,2026-04-23T11:20:56.629520,
32,1,Organic,,24.0,B0CQ2PPJK7,Motipuns 24 Sets Mother's Day Flower Card Making Kits Mother's Day DIY Craft Make Your Own Greeting Card Making Kit Flower Craft Mom Gift Party Decor Fun Home Activities,N/A,$16.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/81ccw5RzefL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ccw5RzefL._AC_SL1500_.jpg,,2026-04-23T11:20:56.633148,
33,1,Organic,,25.0,B0GGGD9QGJ,"28 Sets Mother's Day Crafts Wood Flowers Photo Holders, DIY Paintable Wooden Flower Picture Frames, Spring Flower Pot Unfinished Wood Ornament with Gems Stickers for Painting Mothers Day Birthday Gift",N/A,$37.99,,4.3,10.0,False,https://m.media-amazon.com/images/I/81Y+-KYgktL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Y+-KYgktL._AC_SL1500_.jpg,,2026-04-23T11:20:56.636485,
34,1,Organic,,26.0,B0GL6KVN7V,Haooryx Mother's Day Magnet Craft Kit - 30 Sets Make Your Own Flower Sticker Decor Paper Craft for Classroom Home DIY Activity Refrigerator Bulletin Board Decor Happy Mother's Day Party Supplies Gift,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/810sJbJ0oHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/810sJbJ0oHL._AC_SL1500_.jpg,,2026-04-23T11:20:56.640330,
35,1,Organic,,27.0,B0GRD83QCB,"HYPERI DIY Mothers Day Crafts for Kids Handprint Art, Handprints Wooden Rose Flower Bouquet, Mothers Day Gifts for Mom from Kids, for Grandma from Grandkids, Mothers Day Keepsake Craft",N/A,$14.99,,4.3,5.0,False,https://m.media-amazon.com/images/I/71ZHZ3NuxAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZHZ3NuxAL._AC_SL1500_.jpg,,2026-04-23T11:20:56.643655,
36,1,Organic,,28.0,B0CXSLMFXS,"TwoDays Flower Bouquet Handprint Art Craft DIY Kit, Unique Gifts for Mom From Daughter or Son for Mother's Day Birthday Christmas, Gift for Grandma.(12"" X 16"", With Wood Frame)",N/A,$33.99,,4.4,152.0,False,https://m.media-amazon.com/images/I/71aI7XhmABL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71aI7XhmABL._AC_SL1500_.jpg,,2026-04-23T11:20:56.648686,
37,1,Organic,,29.0,B0DSFNQSTN,FULAIERGD 30 Packs Mother's Day Flower Paper Pot Craft Kits Make Your Standing Spring Flower Craft Kits Paper Cup Arts Crafts Decorations for Mom Fun DIY Decor Home Art Activities,N/A,$19.99,,4.0,45.0,False,https://m.media-amazon.com/images/I/81p9HTKlvhL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81p9HTKlvhL._AC_SL1500_.jpg,,2026-04-23T11:20:56.652682,
38,1,Organic,,30.0,B0GJ4LZVLM,Luckyhern 24 Pack Mother's Day Hand Crafts DIY Your Handprint Flower Pot Hand Keepsake Picture Frame Craft for Mother's Day Gift Home School Classroom Activities,N/A,$8.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81qSIhKDMZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qSIhKDMZL._AC_SL1500_.jpg,,2026-04-23T11:20:56.658148,
39,1,Organic,,31.0,B0CXTJ9JHK,"Skillmatics Poke-in Art - Flower Bouquet, DIY Wood Craft Kit, Mother’s Day Gift, Mess-Free Creative Play for Girls and Boys Ages 4, 5, 6, 7, 8, 9, Fine Motor Skills",N/A,$15.99,,4.7,3671.0,False,https://m.media-amazon.com/images/I/81lgsC1xs5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lgsC1xs5L._AC_SL1500_.jpg,,2026-04-23T11:20:56.667059,
40,1,Organic,,32.0,B0CQ7S1HBM,Menkxi 24 Pcs Color Your Own Wood Mother's Day Frame Flowers DIY Craft Kits for Kids 6.69 x 7.09 Inch Picture Frame for Mother's Day Gifts from Daughter Son Kindergarten Photo Decor(Regular),N/A,$30.99,,4.5,17.0,False,https://m.media-amazon.com/images/I/81HXik2ZaAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HXik2ZaAL._AC_SL1500_.jpg,,2026-04-23T11:20:56.671962,
41,1,Organic,,33.0,B0DWJCD849,Motipuns 30 Pcs Mother's Day Crafts 8.5 x 11 inches DIY Mother's Day Handprint Cards Support Filling in the Words and Painting,N/A,$16.99,,4.2,5.0,False,https://m.media-amazon.com/images/I/71tjnTkb3sL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71tjnTkb3sL._AC_SL1500_.jpg,,2026-04-23T11:20:56.677009,
42,1,Organic,,34.0,B0DYYFHL1F,24 Set Mothers Day Craft Kits Mom Heart Key Rings DIY Bulk Mama Craft Gifts for Mother’s Day Party Favors Birthday Mom Making Kits Funny Classroom Home DIY Art Activities,N/A,$16.99,,4.6,11.0,False,https://m.media-amazon.com/images/I/7187SddcCJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7187SddcCJL._AC_SL1500_.jpg,,2026-04-23T11:20:56.680606,
43,1,Organic,,35.0,B0F1YF8FTW,24 PCS Mother's Day Picture Frame Ornaments Paper DIY Photo Frame Craft Set Hanging Decorations For Mother Gifts(Flower),N/A,$8.99,,4.4,56.0,False,https://m.media-amazon.com/images/I/81jWhbeNK-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jWhbeNK-L._AC_SL1500_.jpg,,2026-04-23T11:20:56.687369,
44,1,Organic,,36.0,B0F1FVLGN8,Fennoral 12 Pack Flower MOM Wind Chime Kit for Kids Make You Own Mother's Day Craft Kit DIY Coloring Wooden Art and Craft for Mom's Birthday Decoration Mother's Day Gifts from Daughter Son,N/A,$19.95,,4.2,383.0,False,https://m.media-amazon.com/images/I/71JWQjMJ9IL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71JWQjMJ9IL._AC_SL1500_.jpg,,2026-04-23T11:20:56.692549,
