data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,N/A,https://aax-us-east-retail-direct.amazon.com/x/c/JJD-2c905-fWdlCtAiBgcqQAAAGduHNWygEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAKKDp9/clv1c_ek-YBfHXFbbWzjK3YqveC8GU-lWCmJmSlGtajkPKlUArxe7lReWhgfmctyBq-xPKwxspyLKiskBdWmVzI5cXMsQc5aND7p_iz2lyGQnRWEomDX5b--8mOG_Krrm0InxymRrCt9QCS4iiKGEvrWJ3cdTRMB2cl0GKp5B4v7fvy5IJNXMnCiRkGWtyl-9xJlBX7bWB7EhtWz8YNNZdtkYL0HqPBBtrUMv-5l4iv2hKZ8Hu6jxdQ5NpQhUJGJYk5g56kPm3VndthyucyLNTT4LmscCu4fDk6ix3nG6nvleYz1FWjBgynCI9B31zsPK0_V51nrFYky2rfJC0MH_atXJW9LqCKEb7u4o8xpf-45n3WV8x247SrpaVrqPNx5ZruWYxKqvyPEGxrhoPd08xjcFvY83xF4gmN3DYUPeppcNlNJWbixaVTdhrMmkdidNkqXdCzsGmEWgvCufJXIAGnv7qAkcyDkxtI4a4Fi4DN-w0FAJ3cLmzY1L37GhDEevzj-GE4cPHs7JKm11JprmPp0w1RRPpqE3FHN8bn_NbulXI2K4HcA9Uyv_ax_P9sM-EqIgR75544WJiO8CGA63oW2DN2OGJNe9dlkho3O2BSdpYqCkOFHB-bVTg1i-L3uzKXHzrBEMDuzmJEywHwiUCxTN313ngWr9JzaNd4vqXRK2ZPN-uXs95zW-hPG9LBpI7aG51j6DBuJd6M39d2_h2cYFSMBvRRYiT-Sv8kJu4188hlsGarXfu-Y--gDb0kLEEWwg47c3A8GZAIkdN7wBNRSelTWEboMu0aI6ze932lvngJsCRK3DR_WYKGlV3xiGvONz5tERLjfs_hi24PXviaJrFxgGYuwogL_VaEjliDc4JYzJuFJulszY-YE351vbTdLaSF_TiSBz7GRrbH1_efXlTb6c490yGqYFecNWb-ixrW_RiLArl2nino1EEHau6A5rFMLMWvGUrSfSRQ13K-7bbmhDAdFWxMYGG19_ZH9oCirmu2uJXqzE25jc2pMAb3yuQON9JIT65yJCxjsACb0DYs9jRxogTqBOk02o_qYlpbYletot1zacuP2sZeZFoxJ7Yisaugudte4nSqZeUV3OVDiiL4Hqv3JWYaFbmqXS4lZS_6inlwS_xb2iHje1Dyv50O9EgqVHVUXg852OonPVL_jtIKYARNSJf3gJ7KP9ZYNOkDy3Um77WXH4mX0z1yhTmM71bfJhaguxxaD6YuomLCeDUP4J4LOK_9EtrR-SkUaXdGu7RQY5r5phmEQMpNKnEQuszZ5RiBbndwV_zzrzqkQ87Vyg_SyAnPITWjsokptR4OmW2BswFp5rac82pMcpaV62Qao2Wheb21lc2GvXpYErQXCnPVMxvujWN7ttVLXAfBP1AX4sULKLaG00Jp5gUai42SIGFKPvvGzI0EjbUtahRDxl-Z8n6fbUNVCytzaIbE6r_MjCGXX607fALl7jMRQr-vCpaQdjpYgYZMTbNDGnYjt6DuFDUb5ryAQ98GQxpQ_Bf32fHlRYfLywjjUIHmlhFfZO0LozuyxYa3tAriHp1y7bBWGVSKbkxg3MspFEKf1TuBjLmaik2vpml1ODB7AuO5xsjwprRi5s/https://www.amazon.com/stores/page/C7EEDAEF-8677-4089-B148-5460B3847005/?_encoding=UTF8&store_ref=SB_A0878253M9XKT0OJG4X6-A0604777HZNNYP31TDBZ&pd_rd_plhdr=t&aaxitk=f09e15e648001b70722638d67d95bcf4&hsa_cr_id=0&lp_asins=B0CW2XGYVB%2CB0CW3NL26D%2CB0DWSDDX2P&lp_query=mothers%20day%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_ssd_bkgd&pd_rd_w=223Qd&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=F9G4B0VRC6KAVC86AT5Z&pd_rd_wg=FotqV&pd_rd_r=2a5ae27b-4bf4-4763-8186-d185ed2deab8,,,,,False,,,N/A,2026-04-23T11:47:44.698162,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:47:44.698855,
3,1,Organic,,1.0,B0CP5WWTC6,"Childom Mothers Day Decorations for Party,132 Pcs Disposable Mothers Day Plates Tablecloth Cups Knives Spoons Forks for Party Supplies,Plates Tableware for Moms Birthday,Home,Brunch,Dinner,Serves 26",N/A,$22.99,,4.6,847.0,False,https://m.media-amazon.com/images/I/81kuyisGIwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81kuyisGIwL._AC_SL1500_.jpg,,2026-04-23T11:47:44.703870,
4,1,Organic,,2.0,B0GFCGBDTV,"Happy Mother's Day Decorations, Rose Gold Pink Peach White Gold Foil Confetti Balloons Gold Butterfly Fringe Curtains for Mother's Day Party Decorations",N/A,$12.99,,4.4,40.0,False,https://m.media-amazon.com/images/I/81hRyBHek1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hRyBHek1L._AC_SL1500_.jpg,,2026-04-23T11:47:44.709019,
5,1,Organic,,3.0,B0GJDKPHW9,Xuhal 6 Sets Mother's Day Photo Centerpieces Box for Table 6/7 Inch Picture Frame Complete with Foam Heart Shaped Balloons and Balloon Sticks Mothers Birthday Gift Decoration for Party Decor Props,N/A,$22.99,,,,False,https://m.media-amazon.com/images/I/814V910o0EL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814V910o0EL._AC_SL1500_.jpg,,2026-04-23T11:47:44.712493,
7,1,Title,,,,"Debug info copied.SponsoredHappy Mothers Day Gift Tags with String, 50 PCS Heart Mothers Day Tags Be",,,,,,False,,,,2026-04-23T11:47:44.713321,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:47:44.713464,
9,1,Organic,,4.0,B076RDSMD8,Miracliy 5Pcs 41FT Pink Flower Garland Artificial Rose Arch Vines Fake Spring Floral Garland for Flower Wall Backdrop Wedding Mothers Day Garden Tea Party Decoration,N/A,$13.99,,4.4,14672.0,False,https://m.media-amazon.com/images/I/919XcScG++L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/919XcScG++L._AC_SL1500_.jpg,,2026-04-23T11:47:44.716542,
10,1,Organic,,5.0,B0DJXW8XV6,9 Pcs Pink Party Paper Flowers Decorations Hot Pink Paper Fans Hanging Ornaments Paper Floral Backdrop Decor Wedding Birthday Party Valentine's Day Engagement Baby Showers Decoration,N/A,$9.99,,4.8,91.0,False,https://m.media-amazon.com/images/I/71+v9N6WezL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71+v9N6WezL._AC_SL1500_.jpg,,2026-04-23T11:47:44.720160,
11,1,Organic,,6.0,B0DSP861VV,Pink Mother's Day Balloons Pink Heart Mom Birthday Foil Balloons Daisy Flower Balloon for Mother's Day Themed Party Supplies Mon Birthday Party Decorations Set-6 Pcs,N/A,$8.49,,4.5,76.0,False,https://m.media-amazon.com/images/I/611ZGUj0m0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/611ZGUj0m0L._AC_SL1500_.jpg,,2026-04-23T11:47:44.725823,
12,1,Organic,,7.0,B0DTHFQF4K,Happy Mother's Day Balloons Mothers Day Banner Set for Party Decoration Supplies,N/A,$6.99,,4.6,46.0,False,https://m.media-amazon.com/images/I/61VeKvBEN7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61VeKvBEN7L._AC_SL1500_.jpg,,2026-04-23T11:47:44.729593,
13,1,Organic,,8.0,B0GJ4ZH1S2,"Kelool Mothers Day Decorations,3 Pack Mothers Day Table Cloth,Rectangle Tablecloth for Mother's Day Decorations,Plastic Table Cloth Cover Disposable for Mother's Day Party Supplies Decor 54 x 108 Inch",N/A,$7.99,,4.7,151.0,False,https://m.media-amazon.com/images/I/81WDUTFw9AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WDUTFw9AL._AC_SL1500_.jpg,,2026-04-23T11:47:44.736064,
14,1,Organic,,9.0,B0D23T5GFP,12 PCS Happy Mother's Day Centerpiece Sticks Double Sided Glitter Love Mother Best Mom Centerpieces for Happy Mother's Day Theme Table Flower Decorations Birthday Party Supplies Rose Gold,N/A,$9.99,,4.2,39.0,False,https://m.media-amazon.com/images/I/81PtV27oFmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PtV27oFmL._AC_SL1500_.jpg,,2026-04-23T11:47:44.741374,
15,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:47:44.742136,
16,1,Organic,,10.0,B0GK6QQTMH,"4Pcs Mothers Day Decorations Wooden Table Centerpieces, Pink Heart Flower Happy Mothers Day Table Decorations Thank You Mom Wood Sign for Home Decor",N/A,$14.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/71TiDsiu29L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TiDsiu29L._AC_SL1500_.jpg,,2026-04-23T11:47:44.746687,
17,1,Organic,,11.0,B0CP5SQV54,"Childom 2 Pack Mothers Day Tablecloth,Mother's Day Party Decorations,54"" x 108"" Plastic Disposable Tablecloths for Rectangle,Plastic Table Covers for Mom Birthday Party Supplies Holiday Buffet Table",N/A,$6.59,,4.7,2052.0,False,https://m.media-amazon.com/images/I/71a27Ndt4SL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71a27Ndt4SL._AC_SL1500_.jpg,,2026-04-23T11:47:44.752657,
18,1,Organic,,12.0,B0CYGVFTRZ,"Voircoloria 2 Pack Laser Pink Tinsel Foil Fringe Curtains, Mothers Day Pink Decorations, Metallic Tinsel Party Streamers Backdrop for Birthday Bachelorette Graduation Wedding Party Decorations",N/A,$5.99,,4.4,1244.0,False,https://m.media-amazon.com/images/I/91S7myuzNrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91S7myuzNrL._AC_SL1500_.jpg,,2026-04-23T11:47:44.756530,
19,1,Organic,,13.0,B0DYTTVTBK,"81 Pcs Happy Mothers Day Decorations Set, Includes Happy Mothers Day Dinner Paper Plates, Love You Mon Dessert Plates Napkins, Pink Tablecloth and Cups for Mother Days Party Supplies, Serves 20",N/A,$14.99,,4.6,62.0,False,https://m.media-amazon.com/images/I/81I+xSgn14L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81I+xSgn14L._AC_SL1500_.jpg,,2026-04-23T11:47:44.760578,
20,1,Organic,,14.0,B09NMYX1LD,"Large Happy Mother's Day Banner Decorations Mothers Day Flag Outdoor 71x44 Inch,Mom Gifts for Indoor Home House Decor Party Supplies,Yard Sign Background for Photography, Red Pink Heart Flowers",N/A,$9.99,,4.7,805.0,False,https://m.media-amazon.com/images/I/81KZkZiH2+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KZkZiH2+L._AC_SL1500_.jpg,,2026-04-23T11:47:44.764027,
