data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Desk Calendar 2026 with Wooden Stand Mini Calendar,https://aax-us-east-retail-direct.amazon.com/x/c/JOycjIXuseIOQ0em3fCdbQsAAAGdt_lUKAEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICBXUH9_/clv1c_ek-wBAfWKrTaneebE_tACfJaQAibSKROE5sAml1DU8wvqUQJWgzIPo-sYJJQLMC0fVkfRqvdm4eIdgQrjj1GnjejDi8OuitZKU1auLbuWq0ejQJeHcQwjGn7gonU5g9DnWm_LgA8sCvfrB9yZktOedrKiJ2ckdlvmuyEb2aLjoUMc49VFo2mxwmsbaFAdIuvN6YpbytLFRrCbf3Vdwjz1yMKXBt5Ur6yj8tYOG341_0-HTLmckwsqWuWGfFN0prWlGCbekOxjOeYE0dCCyeivaVpZ4oQTwzow6W2Zp6a0pNecPdrH3D7UQxCcEcO2D3zOj4j6CeZt-tUMV6m7Ljwq8OkjwjJQWifAU8mADFIVStuFkmhqYCanU0WsVdyIB90UiG0eINZ6jV2YM9CCceHpzTf1SVSFQHeNUZSS5mlDh3TAWjdiaODo84C4j0rcyhh2f1gUtBeNINJZ46k82B1AZkeBm3kAuidUMt0_PPsJcopNX4r83frhphXdjHdUnCcW3XM9IeQUpDQ4A7KJQjg6gSctYMvwaToEHbFMlsA9fBD12U4A9DI8nH4IPaUAWy9HH6mvThiEqwdSAmnRwJuOHBYDivZfUe5G41dkQ_V2Y66TyeY5e0OPWfEhixPO4bVe7LHIwU1DNSaWYR98Td4z0lAovjGrH5OBh8waoCiXStwVQNp3YKYxcIz8KJ-5xixGf83-EHwGwbKd86GUqAxCuPQgOXvP1kC3r4U-qeHDpkv-M_7J_RSdHNyIZNC0HhkAd4OGBnpXg8w5pdbCySZ-czE0T7lY-UBdKtJynuLxp4nFKr0L0AOzbkUA08-AN6w-cV9jyS4fU__aZforJ6NhuwpS827luH6M5ALUYLTPqIrIb5D2Xa4JM9n4X2pGaIg1sOR5DJAPo52bWS2mI4iefVl0mCiD67ThYyx3_qpdmiFERu2HkB0_mVfpyU9NNk_2WXwCy_VeRyumJGZkanwpeSE3450nObN3A9KuvWdnjt7Bblk7_G-uoU_sa9iqU67mXr1j6GyTS7oVlE23l9dAS-8k6UP1usHxTwsE22XvBXAFFKeKwJFz7qJprDQfO3RrIzdjJurFT-Yv4zPUY3Wnbvoi6q3yxGXCqp-4OHFMvC6JsaTqM2m8FQyKwrrXWLDdL9eDUHxPW8p15ULvXxeEheXSGOFSMKiEL9uXOOR44T_lzcEpaDo4bw2xXFOQ0qHgkM0Y_IQ8CGEcM1yIUhnOeT95Bi3mFyL8iyPNQmMRVlhXzi4lkhOH72gaXlrDWRhuQEbmEi270xSmCKVuas82nQ_a-3eISfCojeoCr9N4LBOJe8WO4ECmDhLjtm_-8i5Ud3r0io7HXjJL1IEU7pVwEoQLFAy_4iAT3MG4cIze8HrdKVLOHsr7H1O3G3yoyN3kr3M3v4buIS_c6-M2Oa5cQqy-4as-Etgz-1lHlowS53v37UcePZLrEQbvs1goFs5zHSb8BtjnToHrtZd8Nr7eXjItr_o2TnIJpYoVNlR4XLe7qZfdwwSoCO81mw5QybRmV0s8e_TNBXMtXAaUXbPpBIRe3zbbuqcDbED5EaVM8AeZXldDp-dkwainPnOivdnJ1G1ed3iODvYHE04tP1TxqkhPw2dZTQEDYB7Lg3ufXJH-xaISlTOfwPIKOApkLJo4rQICggyrI2NA4mfppY3xGAEBlMdtGrliQ/https://www.amazon.com/stores/page/77390814-DD97-4DA5-A648-87EB743C1359/?_encoding=UTF8&store_ref=SB_A0741602WVMPO4PS44X5-A05511982I4MNYQDYAY3F&pd_rd_plhdr=t&aaxitk=de247af4873648ffea2093d682d4666d&hsa_cr_id=0&lp_asins=B0GN27NSD9%2CB0GN1J4R31%2CB0GN695X68&lp_query=nurses%20week%20decorations%202026&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=Wk42w&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=N5YX24PMDQ3SSV0CX5HD&pd_rd_wg=n19yt&pd_rd_r=ecfc00b3-69f5-4168-9b9f-7cd49ebb5181,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/f0598069-b5e9-48a9-96b0-268ebbd325f6._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Desk Calendar 2026 with Wooden Stand Mini Calendar,2026-04-23T09:34:27.454814,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:34:27.455913,
3,1,Organic,,1.0,B0GRNG8877,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations RN Graduation Party",N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_SL1500_.jpg,,2026-04-23T09:34:27.459667,
4,1,Organic,,2.0,B0DWMNV9PL,"Nurses Week Decorations2026, Red Blue White Thank You/Happy Nurses Week Banner, for Medical Party, Nurse Day, Nursing School Party Decorations",N/A,$12.99,,4.6,8.0,False,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81KDFXdt5bL._AC_SL1500_.jpg,,2026-04-23T09:34:27.463477,
5,1,Organic,,3.0,B0GRNPZ65Z,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations Party",N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/81f2U71NNDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81f2U71NNDL._AC_SL1500_.jpg,,2026-04-23T09:34:27.466635,
7,1,Title,,,,"Debug info copied.Sponsored200Pcs Nurse Stickers, Nurses Gift Bulk 2026, Medical Stickers for Comput",,,,,,False,,,,2026-04-23T09:34:27.467495,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:34:27.467640,
9,1,Organic,,4.0,B0GL7CTRYS,"Nurse Week Decorations 2026 Set, No Assembly Nurse Week Party Decor for Photo Backdrop And Unit Gratitude, Banner Backdrop Swirls Honeycombs Balloons",N/A,$18.99,,,,False,https://m.media-amazon.com/images/I/81-nF4fYNeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-nF4fYNeL._AC_SL1500_.jpg,,2026-04-23T09:34:27.470561,
10,1,Organic,,5.0,B0CP7KYC3L,"Sursurprise 2026 Nurse Graduation Party Decorations, Nacho Average Nurse Banner Sign, BSN RN Future Nurse Medical Nursing School Graduation Party Supplies",N/A,,,5.0,3.0,False,https://m.media-amazon.com/images/I/71IWdpGdE6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71IWdpGdE6L._AC_SL1500_.jpg,,2026-04-23T09:34:27.474275,
11,1,Organic,,6.0,B0GQSKQ88C,Pre-strung Nurses Week Decorations 2026 Thank You Happy Nurses Week Banner Certified Nursing Home week Decorations Supplies,N/A,$7.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71wvpcQ0xQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71wvpcQ0xQL._AC_SL1500_.jpg,,2026-04-23T09:34:27.477935,
