data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:02:12.256731,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:02:12.258220,
3,1,Organic,,1.0,B0CT4HFF9B,"18Pc Nurse Appreciation Decorations, Nurse Party Decorations include Thank You Nurse Banner and 16Pc Happy Nurses Week Decorations Hanging Swirls, Medical Party Decorations for Appreciation Nurse",N/A,$9.99,,5.0,14.0,False,https://m.media-amazon.com/images/I/81krfNFV2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81krfNFV2eL._AC_SL1500_.jpg,,2026-04-23T10:02:12.262306,
4,1,Organic,,2.0,B0CSXRV3KK,"Nurses Week Banner Decorations, Thank You Nurses Backdrop for Happy Nurse Week, Nurse Appreciation Week Banner Party Decor 71 x 41 inch (Black)",N/A,$9.99,,4.7,14.0,False,https://m.media-amazon.com/images/I/712aAvYLSxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712aAvYLSxL._AC_SL1500_.jpg,,2026-04-23T10:02:12.265960,
5,1,Organic,,3.0,B0G7WJWX9J,Fancy Land Nurse Appreciation Cups Reusable Plastic Cups with Lids 16 Ounces Coffee Cups Thank You Nurse Gifts Set for Nurses Week Hospital Staff Party Decorations 16 Pack,N/A,$23.99,,4.8,5.0,False,https://m.media-amazon.com/images/I/81JDOvbCuWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JDOvbCuWL._AC_SL1500_.jpg,,2026-04-23T10:02:12.271492,
7,1,Title,,,,Debug info copied.Sponsored51PCS Nurses Week 2026 Decorations Hanging Swirls-Thank You/Happy Nurse A,,,,,,False,,,,2026-04-23T10:02:12.272546,
8,1,Title,,,,2026 Nurses Week Party Table clothSponsored|Shop MindsoftShop nowPrevious pageMindsoft 3 Pcs Thank Y,,,,,,False,,,,2026-04-23T10:02:12.273875,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:02:12.274071,
10,1,Organic,,4.0,B0GRNG8877,"Nurses Week Decorations, Nurse Week Decoration 2026 includes Thank You Nurse Banner Backdrop Balloons Honeycomb Centerpieces Hanging Swirls, for Nurse Appreciation Decorations RN Graduation Party",N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81w+BIC26nL._AC_SL1500_.jpg,,2026-04-23T10:02:12.277659,
11,1,Organic,,5.0,B0CT5KC7L4,"Thank You Nurses Porch Banner Nurses Week Decorations Fabric Banner for Nurse Appreciation Nurse Day Rn Party Indoor Outdoor Office Decorations,12 * 71inch",N/A,$14.99,,4.5,13.0,False,https://m.media-amazon.com/images/I/71Mnsrj8FqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Mnsrj8FqL._AC_SL1500_.jpg,,2026-04-23T10:02:12.283631,
12,1,Organic,,6.0,B0CWTLVSFZ,Happy Nurse Week Banner Registered Nure Party Decoration Thank You We Appreciate You Backdrop for Doctor Nursing RN Event Celebration Red Glitter Supplies,N/A,$11.99,,4.9,12.0,False,https://m.media-amazon.com/images/I/71v67A53JAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71v67A53JAL._AC_SL1500_.jpg,,2026-04-23T10:02:12.288230,
