data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Dental Assistant Appreciation Gifts Thank You Bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JPcXDRr-ZVdt3DdnB8eQTUwAAAGduErWFwEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICAqclMZ/clv1c_ek-wBIHXErbWDn2nI4trJ16WpAySuUbu94459htiv1vR6kUPV1Ha0Jxx_8C-g3FN9aH2rcFL1orrZABUI9KHrV-aZZk1ZPsjw6klENuHWP10oBlzmUtKBH3-otk3JTzh98nrKsAvgG42JtsJ3NSsv9TNnIUsFlUmEsj22U_mjOedWfYz0ldPBbQXxbZBj3n377qK5Udnd7fDfWQ-kwFS0Gkek_EfFAO6TQzmcpuTcP2D41LPpqb09ZTDHW3t-PPO8TJcpIUQGYr1uKiVO4swhUq1ZYDtdss3xaGsME7GyXOt4FS81Md031QS005Dp5SuBaqe_6OFRWUOjbCH4dQF2g7IfCn9B4dUruOrNmiDYlCACxrP9kzdEHVYLTwCFKJkV_9kmYmRUB4dTYBEsvfh3v5-04j-ltXgZIbHoTtzW1-lFbP9Mv0y0jmpVDkVLUgkEWm8zqZh3hh0RRRiyhVaxIJ62--jcjRwyW93yCrdUpMY1DXGuFRm5buRcwbfMlw65nWCv0KJFXFILqiNlm07vKKUMjZKTfLnQxaiYZCq9D2y97NCapL_Loa1UP8XYI4ORAgLMAppdTffk-cxC6ox1KE9rmloTDWXmP_ecNv0_p7aPzvZXtqCciwmB-kFB4d-obmB_dE1zTcSFMOa_yDC4t1VmhwK-JGRkI5YZZVfOkTs3MuOl5MOb94NKrK-cl33huQ5yuqR-wQAz5boQzlbazy_IGXk_kQi7ulzyFaQ43gcSHARt4ZdyvERh9IOPVqf-OJIe8rpdF57T7dPdiSG3UBOlni1YjZBSvDihiAWihzLHDctQOWtUuOhFO92iXixNi6VeZM76luOgUMpNR497W8fRh9qsxcNu2XBNRz6BfYNEvsCt7m8_Xag4By9qoyJDdg04uv0XJjHNNVw-A2tYFJinXDO_A1KDZbFGMKj2J3BlNVJXe8-fNFVCEu7TTpQUyKg2FpXQJeCKryBh09EOkwGWNfOvU2Zl8aa7WslEbEOGqO8bV7lSTe1g9DHO7yvlw-M-3N1qCdTFPmBCZxTbiPD_BlMS_VSEcxAb-w9iw1ox51Pe-tT_2NuJTWwIJWRqf_yjpqj1R6YlnuXCElwQxv0iwK2cUt1oTALJjsTa6ehMlxsVeAhOuXgRh7H6gA3agRJm9TVzghH9skGmK0PPCf4TWeFT8LWCLBWUKOWw0T_lznnJMruwLj09XGGQkqNgkk0f-CmO6S54FKzWsIR-znAlXMsSb-EEK5GT09tTbjZ0SurHey2C2Y-4IHAzJnZ96JS-856Z-ZGypt8CJJKpNO4f45zjI1L4MoLXaTCyOHZN7Cu8bGx_x-QQWG1dcWgxGBQSjek0Ur3qLmOLq3srO59BeGvbyF9ocMBjttM2UJR7cZXWpUiPFDNINsIIIvxtr2pxMMjied3AzOpygUrgFgJCjvpV5Kk6nV1jPLYxpIH2_CfBVAHXJAkrxlziFs7_TDgh1JqsIJgz5oG5Bm-axpArHGepx28JzGUHy62bcCH5eISZYnjQeOEsh-FzurUeAOn0onKggHMnhJtuYBXLWNB4p1JEbE2BI2SvL_iLOKC4m0W7neNPImwcbfylWKPzBEOulNXZCnCmHS9Q6XHBO_AZa6xN00pmQkb14LXQDM1jOR7AJUmIcklHKtw2AvqdAbyQ9d_ES72l1sIrBQEHzswNzs/https://www.amazon.com/stores/page/4751B182-C26E-41D1-BC29-67CCF312B972/?_encoding=UTF8&store_ref=SB_A05238667LU4E5I2IR8W-A04536951JXVN5TI9QTNC&pd_rd_plhdr=t&aaxitk=05324adc9c336aaaa2b0e7c4f1cb95b4&hsa_cr_id=0&lp_asins=B0GFV4RFKD%2CB0GFV6JFCJ%2CB0GFVGMKNQ&lp_query=nurses%20week%20gifts%20bulk%202026&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=piAck&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=QRPSKBZF1QTQPYA0XXN6&pd_rd_wg=yyilr&pd_rd_r=10011b8e-f093-4d1d-8ba2-adf1ac628855,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/3aece7ee-493f-44ad-ad6d-564cc635799f._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Dental Assistant Appreciation Gifts Thank You Bulk,2026-04-23T11:03:29.906080,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:03:29.907042,
3,1,Organic,,1.0,B0CX7D3G35,"36PCS Nurses Week Gifts Bulk 2026 - Refrigerator Magnets, Nursing Day Appreciation Gift Decorations for RN CNA Women Men",N/A,$17.99,,4.7,201.0,False,https://m.media-amazon.com/images/I/91Q90YMVilL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Q90YMVilL._AC_SL1500_.jpg,,2026-04-23T11:03:29.914568,
4,1,Organic,,2.0,B0DWFD9JDG,Willinglong 30 Pcs Nurse Appreciation Gift Set for Women Nurse Gifts Basket Set for Nursing Graduation School Student Cna Week (Colorful Color),N/A,$109.99,,4.5,81.0,False,https://m.media-amazon.com/images/I/81nqfsKn5TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nqfsKn5TL._AC_SL1500_.jpg,,2026-04-23T11:03:29.919811,
5,1,Organic,,3.0,B0F9N89TCM,"Potchen 2026 Nurses Week Gift Set for Women, Nurses Appreciation Gift Baskets with 16 oz Glass Cup Pen Notebook for LPN Rn Nursing School Graduation Practitioner Essentials(Purple)",N/A,$19.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71ceepLnaAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ceepLnaAL._AC_SL1500_.jpg,,2026-04-23T11:03:29.923345,
6,1,Title,,,,Nurses Week GiftsSponsored|Shop LemonRoadShop nowPrevious pageLemonRoad 10 Pcs Nurse Week Gifts Bulk,,,,,,False,,,,2026-04-23T11:03:29.924899,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:03:29.925034,
8,1,Organic,,4.0,B0DSVFZNTG,Nurses Week 2026 Decorations Set: Thank You Nurses Backdrop Banner Hanging Swirls Happy Nurse Appreciation Gifts Bulk RN Graduation Party Decor Supplies,N/A,$20.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81dGKHDQmbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dGKHDQmbL._AC_SL1500_.jpg,,2026-04-23T11:03:29.929056,
9,1,Organic,,5.0,B0BM9K1GW9,Ceiba Tree Nurse Stickers Nurses Week Appreciation Gifts Nursing School Graduation 2026 Gift Bulk Decals 100pcs White Angels Accessories for Work for Laptop Water Bottles,N/A,$5.99,,,,False,https://m.media-amazon.com/images/I/91QGAQ8B-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91QGAQ8B-ML._AC_SL1500_.jpg,,2026-04-23T11:03:29.935411,
10,1,Organic,,6.0,B0GHN3J8YH,Epakh 50 Pcs Nurse Appreciation Gift Bags Chill Pills Rx Stand up Goodies Cookie Candy Pouch Funny Treat Bags for Nurse Week Doctor Medical Pharmacy Technician Graduation Party Favors Supplies Decor,N/A,$20.99,,3.9,5.0,False,https://m.media-amazon.com/images/I/71iDjLZvTLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71iDjLZvTLL._AC_SL1500_.jpg,,2026-04-23T11:03:29.940031,
