data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Dental Assistant Appreciation Gifts Thank You Bulk,https://aax-us-east-retail-direct.amazon.com/x/c/JFdeqJXmLqEH3d1IpBVnlBgAAAGduFO0PAEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBUgTcs/clv1c_ek-wBAfWarbaXT1XZ5sY2gDJ7TFWToOXBfqgLS_xtgGFr0cWnsZQJUOG4FFaxYHQ9abVNUOn3fI1dhgsDrEJJ1FuoQgTdsTMInSUROFnz8Sw6wlpGOAJvo9S6-d-5tJzVRRUg_Tw6NJZxZwpG8M44acWoqUsltbvhtT-ywd6TMYYVUFVjq8ojCC-IS87rg15i571ynRgv4dJ0-2HtlmIWkwavXX_pOwc0BzLDgG32bOjK0WOGiHlo9sue8aLSY1WQc5seBs0H3CQGYO5X9iIa1dz6mxutCD-hzOdeX9_kGsb5qVe_Rk6T0ybytENN8lkwTeixMp8jxGkfYJavEhsUGGULloLJZlB2aScqitjZ2N-UKI4yl0H19LcpMNlWfnl58F0sHqu_y1wbch3O27Hv830HKF3sF5imh-jCO_NiqHboEnZ2eKDp08CojMpcR0BeE2m3jFWoYeb7yPXXmn1C86oW4hlvE55fslUdALMLcKu9D7bMm-XVoHauNDzVvLc10TNrN5BuwfJbp7j1spoMQKF--ui4B4L1uh9MBoQBx1Lv6rBOb-6eMWdDBYdQIomJI9Zvy-H83iWhMspu66jMnSGtLXCCpP_0ymwXWvL8q2_JgJQbvp-rznZTAYFDnyiL7iepWnTZHYOGIt8DJGWHX8cfmsE-DAsG2HC9vCuMTzXrEXnpG4ghDVaV2o9w7FeeGaiRTcj4W4pAQ4Q0BGLyfotsoY9WCjfWfbPyqcQEFUla78f94dd-NXoTBNkGODa5D-1L30xBYOLFkVhHjh22Dl3qNxhZkt3Bx2vlDRTG9GJh4b-AAr9-mQGdydYfZ6EHdqF9Ue440HVOCX2X7MNIWpJc51gsjeHYjrLs2eqEbK4-uTTTmXakY6vzYZtWxBT6sJAhCt7fMLIlMTevXgyPZ7ShFYeolE8atVCbjBHlqCYkFkragihSTZ2yKZn_Jm7tcgQIq0PztQ_Mkzw0ktU9qhJkqjXOF8ixwrThE0WaDRo2boD5XjF1zgDujD2K5Y9ZsR492wS5vHGsgYQTfHLsBlCz2plt3R-JhnBzOnjAZAGTKCDLn8eAH3dykw-TSGLWqZK8VL8bqp3VL31r5Kfym9vWuTKci5fEcB1VhYmhF5YCO0jKs8LItqTZRi2-iHAJxtw_ekAlLhtSvqEmTD7SJsetvKbBuE5KaXHEgEko_aCjX2Jr9IHGAicNGiKflZ5aUd9xMTEWSAjswrhFgGPrlLMaop124CQELVentWbZ9w9jbyRxRXgNZq3To7xOESt0RgXcXogMhXobp3F1hzf-u7wLiD8G97PcKgP7DBJOHdCOnVv6YAViVQKpnjQ4Nx1iU1Ful7z3OkNNiMWFUVwzbwPbiQ110C4xHYBPyRbu7Qi-iF8LvZdFuanptb-ESnlFdRI5qDtwNhd5Re5fWFI-CYOeoYOQslRcpamgUVBRhaNJRcjIescUK9YUnRFk2dEtiWOn8qOUyAWOKWwK8zNEQapg8MWTu7atreNqWrR4COBPvVoUfEDVWIPwbkhjsCQqYIXObhWxFhq-tOXbIVO0kEnzH_LjurMfPMD60C0A7BfdfFeMq9dEIfCjDXPmrVnwVC0GZ3-PrtgWTg5sWKwhnijKyw1RkKA6bNSZPDkUKXpGINNsYmvTzPEa830zCoedR5XcnTO8sZPG1zPV4t1J2_elSc0t9RT/https://www.amazon.com/stores/page/4751B182-C26E-41D1-BC29-67CCF312B972/?_encoding=UTF8&store_ref=SB_A05238667LU4E5I2IR8W-A04536951JXVN5TI9QTNC&pd_rd_plhdr=t&aaxitk=05324adc9c336aaaa2b0e7c4f1cb95b4&hsa_cr_id=0&lp_asins=B0GFV4RFKD%2CB0GFV6JFCJ%2CB0GFVGMKNQ&lp_query=nurses%20week%20gifts&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=z3mmn&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=FKCWNF70M35RARCWGR9Z&pd_rd_wg=m6lvX&pd_rd_r=af49cb88-a68f-46ba-982e-4aa2bcde015d,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/3aece7ee-493f-44ad-ad6d-564cc635799f._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Dental Assistant Appreciation Gifts Thank You Bulk,2026-04-23T11:13:15.039159,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:13:15.039995,
3,1,Organic,,1.0,B09NVZ4VZZ,Chinco 30 Pcs Retractable Shuttle Pen Clip with Mini Highlighter Nurse Badge Pen Neon Marker LED Keychain Ring Clip,N/A,$14.99,,4.4,1118.0,False,https://m.media-amazon.com/images/I/71kye3S1F+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71kye3S1F+L._AC_SL1500_.jpg,,2026-04-23T11:13:15.047788,
4,1,Organic,,2.0,B0F1TFD9HG,"Nurse Gifts for Women 2025, Nurse Appreciation Gifts Nurses Week Set, Nursing Student Graduation Birthday Gift Baskets, Funny Nurses Canvas Tote Bag Tumbler Keychain Socks Thank You Gift for Women",N/A,$24.99,,4.8,319.0,False,https://m.media-amazon.com/images/I/81L4vj7qcuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81L4vj7qcuL._AC_SL1500_.jpg,,2026-04-23T11:13:15.055767,
5,1,Organic,,3.0,B0GMPX9JVL,Supervitae 30 Pcs Nurse Graduation Doctor Gift Bags Stethoscope Sign Medical Assistant Thank You Goodie Bag with Wrapping Paper for Nurse Appreciation Week Healthcare Workers' Day Party Supplies,N/A,$19.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71Qq6MDPF2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Qq6MDPF2L._AC_SL1500_.jpg,,2026-04-23T11:13:15.059702,
6,1,Title,,,,Dental Assistant Appreciation Gifts Thank You BulkSponsored|Shop BuryeahShop nowPrevious pageBuryeah,,,,,,False,,,,2026-04-23T11:13:15.061714,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:13:15.061903,
8,1,Organic,,4.0,B0CY2C791K,"DOGMEM Nurse Gifts Nurse Appreciation Gift Set for Women Birthday Gift for Nurses Week Nurses Graduation Gifts for Her, Nursing Student with Canvas Bag Socks Affirmations Cards 16 Oz Can Glass",N/A,$23.97,,4.7,364.0,False,https://m.media-amazon.com/images/I/81s4SgatUKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81s4SgatUKL._AC_SL1500_.jpg,,2026-04-23T11:13:15.065812,
9,1,Organic,,5.0,B0DWFD9JDG,Willinglong 30 Pcs Nurse Appreciation Gift Set for Women Nurse Gifts Basket Set for Nursing Graduation School Student Cna Week (Colorful Color),N/A,$109.99,,4.5,81.0,False,https://m.media-amazon.com/images/I/81nqfsKn5TL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nqfsKn5TL._AC_SL1500_.jpg,,2026-04-23T11:13:15.070603,
10,1,Organic,,6.0,B0CZ3LL36N,LSLSHY Cute Nurse Pens Funny Nurse Accessories for Work Aesthetic Gel Pen Black Ink Set for Cna Rn Medical Assistant Nursing Student Essentials Nurse Week Gifts Appreciation Gift,N/A,$6.99,,4.8,669.0,False,https://m.media-amazon.com/images/I/61ReA1A1UmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ReA1A1UmL._AC_SL1500_.jpg,,2026-04-23T11:13:15.076775,
