data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:05:53.734275,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:05:53.735556,
3,1,SP,1.0,,B0F18GGH62,Nurses Week 2026 Decorations Set: Thank You/ Happy Nurse Glitter Banner Appreciation Hanging Swirls Blue Red White Pom Pom Paper Fans Gifts Bulk RN Graduation Party Decor Supplies,N/A,$14.99,,4.6,38.0,False,https://m.media-amazon.com/images/I/81tXHVfbZqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tXHVfbZqL._AC_SL1500_.jpg,,2026-04-23T10:05:53.740194,
4,1,SP,2.0,,B0GL7CTRYS,"Nurse Week Decorations 2026 Set, No Assembly Nurse Week Party Decor for Photo Backdrop And Unit Gratitude, Banner Backdrop Swirls Honeycombs Balloons",N/A,$18.99,,,,False,https://m.media-amazon.com/images/I/81-nF4fYNeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81-nF4fYNeL._AC_SL1500_.jpg,,2026-04-23T10:05:53.743304,
5,1,SP,3.0,,B0GC4CKX4H,"Happy Nurses Week Decorations - 72""x43"" Nurse Appreciation Backdrop with banner 20 Balloons & 6 Hanging Swirls - Thank You Nurse Party Supplies for Hospital Office Home Decor 2026",N/A,$14.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81azy+LvtML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81azy+LvtML._AC_SL1500_.jpg,,2026-04-23T10:05:53.747347,
6,1,SP,4.0,,B0BW841G9J,51PCS Nurses Week 2026 Decorations Hanging Swirls-Thank You/Happy Nurse Appreciation Gifts Bulk RN Graduation Party Decor Supplies,N/A,$13.99,,4.9,57.0,False,https://m.media-amazon.com/images/I/81W8WMvFehL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81W8WMvFehL._AC_SL1500_.jpg,,2026-04-23T10:05:53.750372,
7,1,Organic,,1.0,B0F18GGH62,Nurses Week 2026 Decorations Set: Thank You/ Happy Nurse Glitter Banner Appreciation Hanging Swirls Blue Red White Pom Pom Paper Fans Gifts Bulk RN Graduation Party Decor Supplies,N/A,$14.99,,4.6,38.0,False,https://m.media-amazon.com/images/I/81tXHVfbZqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tXHVfbZqL._AC_SL1500_.jpg,,2026-04-23T10:05:53.755086,
8,1,Organic,,2.0,B0DZTBVHP5,"Nurses Week Decorations 2026,12pcs Nursing Party Decorations Honeycomb Centerpieces,Nurses Appreciation Week Table Toppers for Nursing Graduation Party Supplies Appreciation Party Decorations",N/A,$9.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/81dYH16FdjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dYH16FdjL._AC_SL1500_.jpg,,2026-04-23T10:05:53.758402,
9,1,Organic,,3.0,B0GQM2BFSS,Nurse Party Decorations - 197Pcs Thank You Nurses Themed Tableware and Balloons Set RN Graduation Happy Nurses Week Decorations for Party,N/A,$19.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/91T+W5en7gL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91T+W5en7gL._AC_SL1500_.jpg,,2026-04-23T10:05:53.761785,
11,1,Title,,,,Debug info copied.SponsoredSosation 24 Pack Nurse Party Favors Bubble Wands Nursing Graduation Party,,,,,,False,,,,2026-04-23T10:05:53.762985,
