data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Onyx Inflatable USCGA Approved Life Jackets,https://aax-us-east-retail-direct.amazon.com/x/c/JH_0xhWBlAhvxOhrtMdQPosAAAGduAONHAEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICDvnAR8/clv1c_ek-wBAXWFbbezjI3YptcKUShqhZWsVyrlQ2G73qyiz3oZ02IiAaC3URW0xuSfEv15FacBggUSQH95F7QMhj6mMibMJhA7k47Oi5njN3h2I4WD2HAQgBC7Ob56-O0xjCwzR4363ymZggdr2xpkj9aWRTfudU8FlT-gvLSty_qboQZRF-1btzf2vG57YdGr2m6z4aAwPyAz8cLVeZuvloQIienQwq_Qw_nncrNC3WHjg6dpLmzsmkUHJNfiqyGF-OjCC6Y1rC728Fqxz5VEZv5PAnBCIMZrQtPKr_wlIR7ccTsiw0lLRA6Tg844_kLN81kcePVN074ceiV2uRvCyE9cj0IcEP8a4Fs5QCXIynz6GJ-0lwGOJ_f0vTJQdPpL5u0TE-krNuLDObQwqi2DWY4YUEi0EvIG_wdVDRJheWnhLTrL68iFd3hUA_QM4Tfdj-4OjEgD96qafDvjvHnCkRypsrUjTG1QKeNOpekggiNMDH_Mi0bjnpwJ8VFJ07KLtyKiLxoWxZtZaWig1wT5E7fCwE7cFEhVeVGpH7efMo8EHL4Pkkb2zywNgMbST_Bn6nOAo6gqJiNhV06LD2TKP05s6U1d3sAGfT3EDd9_TtygKl_xc5cLE-nXiONLWL-Ux_B4aszRK8b2XFjKh8oJSzmTiByDtuIl_E7gIhFLA2s6dy6KGcD0rkvozmWVrPPzh8gbZ3H3qycEIl4ChZ_Hp_-LPPofqj4FuAFRuGmely5dOeSGQsRrzKRN3Ya-BLHXhJtk3JGawzyYe0ysG2FaLf0quMs-O46e9Cq_XnuPKmVnJx5AN4d4f-ULHTPdJnZ9XMcVylTZnPwnjte-23aqyS_SfqExI3thjC7yUkax0NuMslaS1Cd91_v-Jaws-u4Pgl9Pbr8dbgim9o9szPozc313gi3IkAmdLKYVeIBYEMOwWjaZjd6Y1OR3DAJtA0IJjbmi7Cg8dl9YnGQbwRQFBu3knA9O5z67fqVAcVtrOC5Zp-FJ0f80eJ7CGuMlgNBiMIyFqUlw-F12gIOfLvG72CIYw4-l_C4Kc3DlQjFbenD-GPTfYCG9H3sW8MuGLMUclnkcxQUZvPM4E30ftj9UIZGknM7DYJYGTqX0s-uZf-22uHYlFq_2zf6n2FplfXb938ct7LpAhxK8Y8jaJTqd9JaQrlbHdfmX_jn3fDMlt21w0hOG-OVH5CFVn5lAiJOfMS-T2RC27xS-T4aNCg3aCzisNdfUluIOJwlhzHgZNEcpaePuKGfTYbhz-js1TR3iI973w10fi_BC5zjQ03TRqnFzQcMsi9SaN9l54XKCQ2Bq95wu_oY6Mt6Yi7Bb_DhcY6SruvRNWExOjl47pQ_-x26I5_p8cvLeBLnCih6CEbFPtKcF3wUs0Da_B2XqbY4p7_9lXH_w-WhscRt8_3BZnZnjuKXFovMhfhhkFjbzjzqHMp2dIWNHEGjhuanhfhdZcIs5VtTqnExY5shXi-Csfx3dQYIdvE1I1r4k6OSJIhfUML8DdXqyBA62xZNGvIz1cHfQbenU2X74AD89VbxKWTh_K_oj9aZdkQHlV-EyYkJAEE32RsHp4Wp_px2vVMtY-8w9_S-anlQVeLTaGnv0f_gnrnOcj-isu6Qg21GagClShDAW_xtfHIz1aL2fCr4lBtasY90KjReSQzB5iS9cN4D7WdLaIwa0vcRt6y4DgQ/https://www.amazon.com/stores/page/718D7203-E8F8-405B-BE32-1D81A1A3F85F/?_encoding=UTF8&store_ref=SB_A05998372W35JMQBPHEVL-A02351353POBX66QD89D1&pd_rd_plhdr=t&aaxitk=627b0a3f3064230272382d16428a1e44&hsa_cr_id=0&lp_asins=B07HPWN2S4%2CB0CGZ38DBN%2CB00NXVUM60&lp_query=pool%20floaties&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=liVub&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=MZRS4TVX6K1FJQ7MV52W&pd_rd_wg=DnrCB&pd_rd_r=9c9c1aa4-9712-4475-af3e-44c39f8e207e,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/42245b49-6735-4506-8f29-f81c7daba14f._CR0,0,1864,650_AC_SX130_SY60_CB1169409_QL70_.jpg",,Onyx Inflatable USCGA Approved Life Jackets,2026-04-23T09:45:38.027817,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:45:38.028759,
3,1,Organic,,1.0,B0C946BBSW,"JUXIAO 5 Pack Upgrated XL Water Pool Floats, 4-in-1 (Hammock, Saddle, Lounge Chair, Drifter) Multi-Purpose Water Pool Float, Non-Stick PVC Material",N/A,$18.99,,4.4,1824.0,False,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_SL1500_.jpg,,2026-04-23T09:45:38.034872,
4,1,Organic,,2.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2353.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-23T09:45:38.043702,
5,1,Organic,,3.0,B0GT9B673M,"FUNBOY Orange & White Cabana Striped Mesh Pool Lounger Water Hammock with Built-in Pillow 70"" Pool Float for Adults Swimming Pool Accessories & Tanning Pool for Pool Party & Summer",N/A,$35.00,,,,False,https://m.media-amazon.com/images/I/71os-wReezL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71os-wReezL._AC_SL1500_.jpg,,2026-04-23T09:45:38.048423,
7,1,Title,,,,Debug info copied.SponsoredSLOOSH Pool Toys Games Set - Pong Toss Game Water Toys for Adults Kids Fa,,,,,,False,,,,2026-04-23T09:45:38.049446,
8,1,Title,,,,"Float in Style, Soak in Fun!Sponsored|Top 10 best-selling brand in this category|Shop FUNBOYShop now",,,,,,False,,,,2026-04-23T09:45:38.050650,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:45:38.050780,
10,1,Organic,,4.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.98,,4.3,4694.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-23T09:45:38.054491,
11,1,Organic,,5.0,B000OV0X4S,"INTEX 58859EP Sit 'N Float Inflatable Pool Float: Pool Lounge with Built-in Cup Holders – Heavy-Duty Handles – 220lb Weight Capacity – 58"" x 39"" – Colors May Vary",N/A,$14.90,,4.0,13609.0,False,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_SL1500_.jpg,,2026-04-23T09:45:38.058656,
