data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,MoKo toddler swim vest for kids,https://aax-us-east-retail-direct.amazon.com/x/c/JL5UQdGnAHLyKSEU0AxXNYQAAAGduBsIVgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDW1xMP/clv1c_ek-IBAHWIrTanndycAdH-hrkeTgD3z67bSYUHtCyeWpxbJmF4hHtNQrTYc6xfX9FpvIsNsN1tl7pUI9Wqc_2YHBY_IX1ceP6UmPrscZlxC_ymzIkpAPHJXz67OBAVlFHujACZ-8Ya6v2jnb4Oq4X8f4LgNydmgXvhuRRTLem4MIP2uT2H20bqPBZFxx5-HNHJzbY7srPEQo6wfjtlprFs3haWRurDIo3sBR2Gvw0YcW8QCZ9a00wa_MPJUAldHzKAIx3hqcKHLbd6B-v5TGjDIZo2VQEjvMx_M0u2kbJR3azmNvFTFPq8VgSw8lzJ6zI-xm3AsMhfVCMR9JiN8RTj3fOYPs2P2fUnuWLhtUEpXruKXE18UIs06davVuOoDFWPzNVAPUP8X46LCkSZK5ij31oi30rANtKq9818IpqlA-qCekgmMQkXcUcgF3QhJLdSeflQxkElj_koks53u5JyVM-HZQCxO1xe-vc5VOVsT49_TvJGCRmZYcBSgYnMlz1Sr5CDMVOuI84xqmNrum6JpKkMgrKLvJLklfau9DvfVhOkMw9WoskUzM4sRdZ-y9BxK2acRvDRVwYS7Z8jh9N-sQSgGLW9VGyqfX9uG6sugjDpzxOG4LiWEuZzTjI5PAmL-bPLVSMeCLD1Ygu1S69nfgX-hoKxtGLEkuog-WO8HHz1ACPyNnyKJVILZelPhv3ipHA3E77iQmaNzwH7nDFv-r9oeeAT0TKZzGC1NL_hMiYpxjeTJpQqvpYka_pBL4O0OSXwJkE13sZcbsqfr_S7TdSyyTPEc6g71kHdFT1lnn20zUt_16SuScpnsmFqF4jXB6aS0EFVEP_Eodozqwilr3jCUZXvXqWKfS4y_SkKBnnD8xfAE9bN5djgAuJiMz64rJJvA_jJc1q-yliXVDa_3AiP6ao8PigNIhNUIhpEp_BmdY2LnZmZGPz7mw49Q83vNDZ4O_H_pYIGCP7EWltUj4Mbw3TwRyglMXR-g_vV4HUxcmORJBClhLuA736ORZ7T8Bnuf9cRBFSBFsqXTGVv2T0Q6pu_3_DZBOKKCv9T6usXGnfSsKYXgT20BiJp_R7Z9N6W-iZAMEWnKo7SVytZMbvwTmZykBYaIhQssMPSxqlA4_CXADWhFeCc6c2ySMK-vj5W4tfA2E7j7WqktLtA7eWxSov0eGBGR6ikHkygJxTu2GF-TMJ9ZYZnrLvZudWwokkt3w8LMVktymfu6f1mdySQF6POFCZlkeNSyexpYsf8K2FYWZXRRMYCkh543e9noHgLombd3815tlNRU6sEljS7YVwIfRoxJMxUowyHqNrHF3G9FZBFYdajwViOjXaRT-4SDU520Ke5Vo_ZfHG6GblsuR_jQwzDc0Lb4PD1OL3IvRRNmnKlJFZLFpzi_IZUFjscb7c2JQZwY9cvymEyGiuF1vtHYVCevwyb1bMCsa49w2tXpw1x_A-Q8vLW5R_By2yCflgeTZXstV54GfmZdOMPx8GWbXwmraHlQqWJHOpZf1QzCrJjcjXd4CebxMM6SFN1V639ulVSCMfmR95uaUJIDnH8086tP_MUONPkXxNVlI-9XM_PlEMqjg6bFj7hveL5V8a3ADX2mTUgWHlPK8t3LQDMGsNbADQ5OQIAkwkCKj3Ao62BLmhZEu2Vh4jAT-pSMb6dQ4CdCBsv7iqauPUUtTLPrI/https://www.amazon.com/stores/page/FF755E85-C16F-40F6-8F0F-A1818F821634/?_encoding=UTF8&store_ref=SB_A0558137236QQ2B1FAUHJ-A0984511LYXTVYHF3GWX&pd_rd_plhdr=t&aaxitk=abc004b1b8d2ce84f67d9906d4779eb0&hsa_cr_id=0&lp_asins=B08TQP2Y6Z%2CB0C1S4TWQZ%2CB0CQXLDTPG&lp_query=pool%20floats%20kids&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=cuZcy&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=GSYF9Z67M95M3KQRW920&pd_rd_wg=Hs1uA&pd_rd_r=abb3304d-6d98-4ee8-afb9-858a97fa0efb,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/0175f66b-6851-4745-9365-a12915a12bad._CR0,0,3316,1489_AC_SX130_SY60_CB1169409_QL70_.png",,MoKo toddler swim vest for kids,2026-04-23T10:11:16.872354,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:11:16.872989,
3,1,Organic,,1.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2353.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-23T10:11:16.883083,
4,1,Organic,,2.0,B0721468V1,"JOYIN Inflatable Swim Tube Raft (3 pack) with Summer Fruits Painting, Pool Toys for Swimming Pool Party Decorations",N/A,$16.99,,4.6,8373.0,False,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_SL1500_.jpg,,2026-04-23T10:11:16.886585,
5,1,Organic,,3.0,B0CQYGNZTW,"2 Pack Inflatable Shark Pool Floats Kids 3-11 Years, Kids Floaties Swimming Pool Toys with 2 Water Squirt Guns Boys Girls Party Float Ride-on Toddler Floatie with Safety Seat Summer Outdoor Water Game",N/A,$28.99,,4.0,182.0,False,https://m.media-amazon.com/images/I/81eU5ozOZ8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81eU5ozOZ8L._AC_SL1500_.jpg,,2026-04-23T10:11:16.890320,
6,1,Title,,,,Shop All Pool NoodlesSponsored|Top 10 best-selling brand in this category|Shop WOW SportsShop nowPre,,,,,,False,,,,2026-04-23T10:11:16.891884,
8,1,Title,,,,Debug info copied.Sponsored4 Pack Inflatable Pool Floats for Toddler Age 3-7 Animal Swim Tube Rings ,,,,,,False,,,,2026-04-23T10:11:16.892395,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:11:16.892532,
10,1,Organic,,4.0,B06W5WP5KL,"Intex, 43234-2327 3 Pack 59220EP - Animal Head Split Ring Pool Floats Bundle Includes Frog, Duck, Penguin, Giraffe, Frog, Penguin (Style May Vary)",N/A,$13.23,,4.5,3676.0,False,https://m.media-amazon.com/images/I/41PCBVHqTWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/41PCBVHqTWL._AC_SL1500_.jpg,,2026-04-23T10:11:16.895978,
11,1,Organic,,5.0,B0DP4NH64T,"4 Pack Inflatable Pool Floats for Toddler Age 3-7 Animal Swim Tube Rings for Kids Infant Baby Ride on Beach Floaties with Safety Seat&Handle for Summer Lake Pool (Flamingo, Turtle, Whale, Dalmatian)",N/A,$18.99,,3.9,210.0,False,https://m.media-amazon.com/images/I/716Xf83YRwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/716Xf83YRwL._AC_SL1500_.jpg,,2026-04-23T10:11:16.899372,
