data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T11:41:58.449959,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:41:58.451289,
3,1,Organic,,1.0,B0BKTLNSLG,"SLOOSH Inflatable Pool Floats Adult,2 Packs Floating Lounge Chairs,Blow up Pool Noodles for Adult Heavy Duty,Floating Chair for Party Summer Water Beach Lake Fun",N/A,$29.98,,4.3,4694.0,False,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91bpiQBEqyL._AC_SL1500_.jpg,,2026-04-23T11:41:58.458518,
4,1,Organic,,2.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2353.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-23T11:41:58.469075,
5,1,Organic,,3.0,B0FMR9M4LC,Sloosh Inflatable Pool Float Battle Game Set for Kids Adults-Includes 2 Giant Ride On Pool Toy Kitten & Puppy for Outdoor Swimming Party Family Activities,N/A,$55.99,,4.7,11.0,False,https://m.media-amazon.com/images/I/91NIoxB9QuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NIoxB9QuL._AC_SL1500_.jpg,,2026-04-23T11:41:58.472797,
6,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:41:58.473550,
7,1,Organic,,4.0,B0C946BBSW,"JUXIAO 5 Pack Upgrated XL Water Pool Floats, 4-in-1 (Hammock, Saddle, Lounge Chair, Drifter) Multi-Purpose Water Pool Float, Non-Stick PVC Material",N/A,$18.99,,4.4,1824.0,False,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yjIffjrOL._AC_SL1500_.jpg,,2026-04-23T11:41:58.477359,
8,1,Organic,,5.0,B0721468V1,"JOYIN Inflatable Swim Tube Raft (3 pack) with Summer Fruits Painting, Pool Toys for Swimming Pool Party Decorations",N/A,$16.99,,4.6,8373.0,False,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_SL1500_.jpg,,2026-04-23T11:41:58.481705,
9,1,Organic,,6.0,B0CCW5Y1D3,"SwimWays Spring Float Premium Hammock Pool Lounger, Inflatable Pool Floats Adult with Fast Inflation for Ages 15 & Up",N/A,$15.29,,4.6,824.0,False,https://m.media-amazon.com/images/I/8198vA2FJYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8198vA2FJYL._AC_SL1500_.jpg,,2026-04-23T11:41:58.487805,
10,1,Organic,,7.0,B0GHCSH9WZ,Jasonwell Pool Float with Canopy - Inflatable Pool Floaties Adult Lounger Floats Raft Floating Chair with Cup Holders for Swimming Pool Lake Water Lounge Float Beach Pool Party Toys for Adults,N/A,$29.99,,5.0,32.0,False,https://m.media-amazon.com/images/I/71iXIVinGOL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71iXIVinGOL._AC_SL1500_.jpg,,2026-04-23T11:41:58.492415,
11,1,Organic,,8.0,B0GGZCL9KX,"Pool Floats Adult, 3Pack/2Pack/1Pack Adjustable Heavy Duty Inflatable Pool Floats Chair, Portable Pool Float Lounger for Adults & Kids, Pool Floaties for Summer Pool Beach Lake Party Fun",N/A,$39.99,,4.8,11.0,False,https://m.media-amazon.com/images/I/81D41GeNV8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81D41GeNV8L._AC_SL1500_.jpg,,2026-04-23T11:41:58.496149,
12,1,Organic,,9.0,B000KHZ044,"Intex Inflatable Lounge Pool Recliner Lounger Chair with Cup Holders - Heavy-Duty Float Raft for Adults, 220 Lb Capacity Large Floating Tanning Chair",N/A,$25.99,,4.4,19591.0,False,https://m.media-amazon.com/images/I/61XJ+fF0I7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61XJ+fF0I7L._AC_SL1500_.jpg,,2026-04-23T11:41:58.502175,
13,1,Organic,,10.0,B000OV0X4S,"INTEX 58859EP Sit 'N Float Inflatable Pool Float: Pool Lounge with Built-in Cup Holders – Heavy-Duty Handles – 220lb Weight Capacity – 58"" x 39"" – Colors May Vary",N/A,$15.98,,4.0,13609.0,False,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710iUI8W+6L._AC_SL1500_.jpg,,2026-04-23T11:41:58.506059,
14,1,Organic,,11.0,B0BVW69HPV,"Stonful Pool Floats Lounger, 2 Pack Inflatable Pool Floats Adult Size, Water Hammock Pool Rafts Floaties for Swimming Pool Tanning Floating Pool Party Toys for Summertime Beach Outdoor - Multicolor",N/A,$23.99,,4.6,958.0,False,https://m.media-amazon.com/images/I/91QtR1qF1-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91QtR1qF1-L._AC_SL1500_.jpg,,2026-04-23T11:41:58.510927,
15,1,Organic,,12.0,B0BR5NLF9P,"Jasonwell 4 in 1 Inflatable Tanning Pool Lounger Float - Sunbathing Lounge Floatie Raft Toys, Water Filled Tanning Bed Mat Pad Blow Up Kiddie Pool with Ball Pit for Adult, Kids (L)",N/A,$29.97,,4.3,8384.0,False,https://m.media-amazon.com/images/I/71goaDpLYxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71goaDpLYxL._AC_SL1500_.jpg,,2026-04-23T11:41:58.519625,
16,1,Organic,,13.0,B0GCHKXD7W,"Pool Floats Adult, 3Pack/4Pack Inflatable Pool Floats Chair, U-Shaped Floating Lounger with Comfortable Headrest, Cup Holders and Handles,Portable Pool Floaties for Adults Kids Beach Pool Lake",N/A,$29.99,,5.0,49.0,False,https://m.media-amazon.com/images/I/81hF0uNfn1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hF0uNfn1L._AC_SL1500_.jpg,,2026-04-23T11:41:58.524156,
17,1,Organic,,14.0,B0DX5Q6VN6,"FYSUIMU 4Pcs Inflatable Pool Float with Handle 4 Colors Classic Striped Swim Rings Swimming Pool Tubes for Teens Summer Beach Bachelorette Party, 30 x 14 Inch",N/A,$25.00,,4.3,22.0,False,https://m.media-amazon.com/images/I/61t8esM-OfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61t8esM-OfL._AC_SL1500_.jpg,,2026-04-23T11:41:58.528871,
18,1,Organic,,15.0,B0GJ3WT1XD,"Pool Floats Adult Inflatable Hammock with Cooling Mesh, Portable Foldable Water Chair for Beach Vacation Essentials, Striped Floaties for Adults, Lightweight for Travel & Summer Relaxing",N/A,$19.99,,4.3,11.0,False,https://m.media-amazon.com/images/I/815Nj6vjkPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815Nj6vjkPL._AC_SL1500_.jpg,,2026-04-23T11:41:58.533231,
19,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:41:58.533779,
20,1,Organic,,16.0,B0CCW6WNWF,"SwimWays Spring Float Premium Recliner Pool Lounger, Inflatable Pool Floats Adult with Fast Inflation for Ages 15 & Up",N/A,$31.99,,4.5,13262.0,False,https://m.media-amazon.com/images/I/81sSFTcxggL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81sSFTcxggL._AC_SL1500_.jpg,,2026-04-23T11:41:58.541178,
21,1,Organic,,17.0,B0CLMHHYCC,"SLOOSH Inflatable Pool Floats Lounger - XL Fabric Covered Pool Mat Floaties for Adults, Ultra Comfort Water Floating Lounger with Headrest for Beach Lake Swimming Pool Float Raft 68""X34""",N/A,$29.99,,4.6,533.0,False,https://m.media-amazon.com/images/I/81+BtUZG0uL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+BtUZG0uL._AC_SL1500_.jpg,,2026-04-23T11:41:58.544992,
22,1,Organic,,18.0,B0CCW6WLJ9,"SwimWays Spring Float Premium Recliner Pool Lounger, Inflatable Pool Floats Adult with Fast Inflation for Ages 15 & Up, Sky Blue",N/A,$39.99,,4.5,13262.0,False,https://m.media-amazon.com/images/I/81n68B7MJuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81n68B7MJuL._AC_SL1500_.jpg,,2026-04-23T11:41:58.551019,
23,1,Organic,,19.0,B0BRNJSSV7,Jasonwell Inflatable Pool Float Adult - Pool Floaties Lounger Floats Floating Chair Raft with Adjustable Backrest Cup Holders Water Floaty Lake Lounge Tanning Floats Beach Party Toys for Adults,N/A,$21.99,,4.4,1973.0,False,https://m.media-amazon.com/images/I/81Yty2EW3PL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Yty2EW3PL._AC_SL1500_.jpg,,2026-04-23T11:41:58.561315,
24,1,Organic,,20.0,B0CPJ1DB62,"Pool Floats Adult - 2 Pack Inflatable Pool Floats Hammock, Multi-Purpose 4-in-1Pool Floats for Adults, Swimming Pool Water Hammock Lounge",N/A,$13.99,,4.6,753.0,False,https://m.media-amazon.com/images/I/81NE0jb0dKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81NE0jb0dKL._AC_SL1500_.jpg,,2026-04-23T11:41:58.565468,
25,1,Organic,,21.0,B09VTDW2FC,"Stonful 2 Pack Inflatable Pool Float Mat, Giant Pool Floats Adult Size with Headrest, Lake Float Raft Water Lounger, Multi-Purpose Swimming Pool Floats for Pool Party, Summertime Beach, Outdoor",N/A,$23.99,,4.5,2171.0,False,https://m.media-amazon.com/images/I/910yMWj5u5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910yMWj5u5L._AC_SL1500_.jpg,,2026-04-23T11:41:58.568653,
26,1,Organic,,22.0,B0CXTYXYQN,"FUNBOY Giant Vintage Stripe Inflatable Tube Pool Float with Cup Holder 48"" Large Pool Float for Adults Inner Tube Swimming Pool Toys Swim Rings Pool Lounger Float for Pool Party & Summer",N/A,$23.20,,4.6,280.0,False,https://m.media-amazon.com/images/I/61OEyGV7RsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61OEyGV7RsL._AC_SL1500_.jpg,,2026-04-23T11:41:58.572918,
