data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,N/A,https://aax-us-east-retail-direct.amazon.com/x/c/JAyE7gjeGIr5tsQcdfAlnXkAAAGduEAEPAEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBDaRp0/clv1c_ek-YBYc3LcbSTT3TETcupWMWWA1PqoBro7O0l0TmPS-4GG-RWrpC6lQeSu3h0c7Izoqx-2kbHIZSFXeL-21v7zT8VeCreTbnRCD1bKncz_8HCB1p7njQSq-v4esg5jL2V6rznopJYKqGtmSbDUQZCvnOhd-FnjVql9ZAzT6owCYuWO4bA8qeb9pwsX0LGmX0DbCqV8UoWFfpFSR9fs7Myl4QVQsqFJ5mwJyf6W7jO1UbNJdUsteptWYi1GGnMUKHc9_rIbVkLJMeKgKfEgTqEACPSr-sGks1GdScubmt1v7q57tXkjXNeJ59eWDvddkT9u4TA8mlnRTo3tamkCRvh5fVT1_XntAe5O5HvO0oD9OdpJzbuu_6RPeTqg29ByiN4vDWwV2TEKS3lf3lsoQ7h1KzTnvNT3GSyhwBXOLibbeJ6DxOzioGVMuigEpV9WraHP19ZdXW6iqTWOpD_yvYfkRQpvpFX2ePzhexsb-CvQKplbtnqEq4q7Tj7LHgpAlz0mySIXxlcrSv4iK2FRgnmTvQag1dwYo4iLY9HN77_o9Mle6j11QjSxx5eYOpPqaO0ujpGnAOdjhiM0Y8Ac0J4QfG7719dCMm_A2l4vkLHbPUfJkkOSnGSaedXFDBCbDo-5HHQx0V36GWWe11qlAZLhnRToZNmDEQA4uz5RrXhEO4hCxRPWkiLSDG-8htVmUg8yDKHU-dTVgmxLRRT-pQ0jSW_YmWcH83mQOLLaPObFVeSTvXT3gajHit24hO1PxpkT2A5jBDXeyIeXmI3FwkLLKTgDbfgYbb4G2edvk9m2X-6T4nUP6CVlR_Gv_J9oasUO8Un_QL_A2g0iUF057VvWXr2fkZ8rbpfzSo-XD5jCz2QEPth9VR91RrrpgaiYAPhi59LzoRxHofNcPzIX-F-4eqc1yT0Wgjk1BD9yKUFJCy6So2m7IDHrae1vsfxwyEWtIhECvxBXcrjBfYV_fx_wxjEAyRlAjziY-DtRxTE6ekW_GW4JA2wrB-pbZyWyqyOGKi5OvYSS_hK1da-HnGHBLNYRafDiiyoH_ekATkA530QybqvJc2S3wlw2PFNKFJnLJFm3XXPiqU_97J_IQIXKOgq17frmOfl-7Z-a7VmlwpOpdcxC4AESJM39kx5Hood9mPoNJ8DFlx740HHmN7H_jX3lO8N_8ha856I22Hl9kJGBcJVPcKxDcHi7T2tkzjZGm9QPOMQ_DL1ce18GupH-DXP2a5KeZt8ZMKF1P-M6QDSIc61ELEmWQ5paYAUBQ1QteTn8eKX_OzXeM021p9abXyGx8LclT_9F3Gzeyj7UWkLWfUqxEp7idkmuHo8K0Yr1-hAXOSeZ_2yc80tgGqjnzERwW0AFUd97bmDt93B-6GSpykqh0UFW1GaCBQHnRjF3apZJgLGeTHvn4jJQyxLVN3S9c8Y5Qz8f5I7EmTEwSkG-_jdOiNhdkSZQmMNl1rgiMeKL_iO5N6Tjv3-LJk_wfIdjylYwr5601ZXf0lwh9FmUQT3W-AAN1QXkqI1ahY3BDFjEh_RlGrJ6FbMgswelR3Lf41090yHvgBnFufFjGDaEnmFCqm9ronTs3-BNhCUYY9984Tmrg/https://www.amazon.com/stores/page/C7EEDAEF-8677-4089-B148-5460B3847005/?_encoding=UTF8&store_ref=SB_A077441532KHH3ARLRHRD-A05508573CSJ63RG20EU7&pd_rd_plhdr=t&aaxitk=d48bee629e3076ba05dcd655e4bde9df&hsa_cr_id=0&lp_asins=B0BWMTJ28D%2CB0F1V571M5%2CB0BWMS4G87&lp_query=pool%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_ssd_bkgd&pd_rd_w=EfZqY&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=NP2PA92TW07E770T80MC&pd_rd_wg=XH9op&pd_rd_r=2960861b-d5cd-48bf-b2fe-a2184f1319bf,,,,,False,,,N/A,2026-04-23T10:51:41.336208,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:51:41.337330,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T10:51:41.343674,
4,1,Organic,,2.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5372.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-23T10:51:41.347308,
5,1,Organic,,3.0,B0GK6T83LK,Crtiin 28 Pcs Beach Party Decorations Paper Lanterns Pom Poms Fans Spiral Cardboard Hanging Ornaments Hawaiian Tropical Themed Decor for Summer Pool Beach Birthday Party Supplies,N/A,$18.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81boiL1NpHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81boiL1NpHL._AC_SL1500_.jpg,,2026-04-23T10:51:41.351355,
6,1,Title,,,,Sumind Class of 2026 Graduation Pool FloatSponsored|Shop SumindShop nowPrevious pageSumind 14 Pcs Cl,,,,,,False,,,,2026-04-23T10:51:41.352919,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:51:41.353065,
8,1,Organic,,4.0,B0DT6X8QP2,"Summer Pool Beach Party Decorations, Splash Birthday Bash Party Supplies Tropical Summer Banner Beach Ball Lantern Fringe Curtain Foil Balloons Arch for Swimming Water Luau Hawaiian Party Decor(Blue)",N/A,$18.99,,4.4,304.0,False,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_SL1500_.jpg,,2026-04-23T10:51:41.356391,
9,1,Organic,,5.0,B09Z28TMY4,Vinsot 32 Pack Beach Pool Party Eyeglasses Decor Summer Luau Paper Glasses Bulk Hawaiian Sunglasses Frame Tropical Pool Props Photo Booth Props for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$12.99,,4.1,654.0,False,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_SL1500_.jpg,,2026-04-23T10:51:41.360507,
10,1,Organic,,6.0,B0CV33D9F1,"3 Pcs Iridescent Waves Tablecloths - Disposable Plastic Ocean Blue Table Cloth Rectangle Table Covers for Under the Sea Beach Surf Pool Party Birthday Party Decorations, 54 x 108 Inch",N/A,$8.99,,4.5,682.0,False,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_SL1500_.jpg,,2026-04-23T10:51:41.364933,
