data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:55:26.881868,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:55:26.883120,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2717.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-23T10:55:26.890636,
4,1,Organic,,2.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35509.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-23T10:55:26.896372,
5,1,Organic,,3.0,B0GJDT7QSP,"Avezano 96 PCS Pool Party Decorations Summer Birthday Decorations Disposable Pool Birthday Plates and Napkins Summer Party Supplies, Serves 24",N/A,$18.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81uReOOOjuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uReOOOjuL._AC_SL1500_.jpg,,2026-04-23T10:55:26.900474,
7,1,Title,,,,Debug info copied.SponsoredReallnaive 2 Pack Summer Pool Party Table Skirt 30 x 108 Inch Summer Beac,,,,,,False,,,,2026-04-23T10:55:26.901602,
8,1,Title,,,,Shark Gift BagSponsored|10K+ bought from this brand in past month|Shop AlicesetShop nowPrevious page,,,,,,False,,,,2026-04-23T10:55:26.902812,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:55:26.902947,
10,1,Organic,,4.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10353.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-23T10:55:26.905986,
11,1,Organic,,5.0,B0BXH28VH9,"142 Pieces Pool Birthday Party Supplies - Summer Pool Tableware Set Plate,Cups,Tablecloth for Summer Pool Birthday Party, Hawaii Holiday Decorations",N/A,$19.99,,4.7,879.0,False,https://m.media-amazon.com/images/I/814MT1BHBHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814MT1BHBHL._AC_SL1500_.jpg,,2026-04-23T10:55:26.910409,
