data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:22:54.066539,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:22:54.068650,
3,1,Organic,,1.0,B0DBLYN26P,"SwimWays Barbie Dive Characters 3-Pack, Swimming Pool Accessories & Kids Pool Toys, Pool Party Supplies & Water Toys for Kids Aged 5 & Up",N/A,$14.53,,4.7,1017.0,False,https://m.media-amazon.com/images/I/81O-w11+q+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81O-w11+q+L._AC_SL1500_.jpg,,2026-04-23T10:22:54.079546,
4,1,Organic,,2.0,B0BRZXJFHM,"12Pcs Reusable Water Balloons, Pool Beach water Toys for Boys and Girls, Outdoor Summer Toys for Kids Ages 3-12",N/A,$27.99,,4.7,3045.0,False,https://m.media-amazon.com/images/I/71deILln+wL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71deILln+wL._AC_SL1500_.jpg,,2026-04-23T10:22:54.085324,
5,1,Organic,,3.0,B0GJS2PPDG,"8 Pcs Inflatable Pool Float 28 Inches Clear Swim Tubes Bulk for Adult, Pool Inner Tube for Beach, Swimming Pool Women Men River Lake Summer Vacation Party Decorations",N/A,$29.99,,,,False,https://m.media-amazon.com/images/I/71LXHWKzJmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71LXHWKzJmL._AC_SL1500_.jpg,,2026-04-23T10:22:54.090976,
7,1,Title,,,,Customers mentionSponsored| Based on positive mentions in reviewsappearanceSloosh Diving Gems Pool T,,,,,,False,,,,2026-04-23T10:22:54.095622,
8,1,Title,,,,"Float in Style, Soak in Fun!Sponsored|Top 10 best-selling brand in this category|Shop FUNBOYShop now",,,,,,False,,,,2026-04-23T10:22:54.097157,
10,1,Title,,,,"Debug info copied.SponsoredNIPLOOOW Pool Basketball Hoop, 2-in-1 Floating Pool Toys Ring Game with 4",,,,,,False,,,,2026-04-23T10:22:54.097679,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:22:54.097817,
12,1,Organic,,4.0,B0BKTS5R34,"JOYIN 30 Pcs Rubber Ducks, Random Assortment Ducks Bulk with Mesh Carry Bag, Mini Rubber Duckies for Baby Bath Toys, Kids Toddler Summer Pool Toys Birthday Gifts Party Favors",N/A,$17.99,,4.7,3967.0,False,https://m.media-amazon.com/images/I/81j4mK8R5IL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81j4mK8R5IL._AC_SL1500_.jpg,,2026-04-23T10:22:54.101701,
13,1,Organic,,5.0,B0DBM12XRM,"SwimWays Rainbow Reef Fish Toy, Kids Swimming Accessories & Water Toys, Learn to Swim Pool Toys for Kids Ages 5 & Up, Batteries Included, Tuna Turner",N/A,$12.91,,4.7,714.0,False,https://m.media-amazon.com/images/I/817tLpdQwTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817tLpdQwTL._AC_SL1500_.jpg,,2026-04-23T10:22:54.107709,
14,1,Organic,,6.0,B0CW19NW74,"YUJUN 35PCS Pool Diving Swimming Toys, Summer Underwater Game Toys with Pool Fishes Dive Sticks Rings Gems Storage Bag for Kids Swim Birthday Party Favors",N/A,$19.79,,4.6,411.0,False,https://m.media-amazon.com/images/I/81RPMhg40OL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RPMhg40OL._AC_SL1500_.jpg,,2026-04-23T10:22:54.112376,
15,1,Organic,,7.0,B0GKGF14PG,"FindUWill Inflatable Pool Noodles for Adults 2 Pack, Soft Fabric Quick-Drying Cover Large Swim Noodles with Premium Buoyancy, Pool Float Toys for Summer Party, Pool, Beach, Lake",N/A,$19.99,,4.0,3.0,False,https://m.media-amazon.com/images/I/81XvVEgHkkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81XvVEgHkkL._AC_SL1500_.jpg,,2026-04-23T10:22:54.117921,
16,1,Organic,,8.0,B0BRB6XJQL,Inflatable Unicorn Flamingo Pool Floats - Jasonwell 2 Pack Pool Floaties Inflatables Rafts for Swimming Pool Tubes for Floating Lake Beach Floaty Swim Rings Pool Party Toys for Adults Kids,N/A,$24.97,,4.6,2353.0,False,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61CCCFzdKAL._AC_SL1500_.jpg,,2026-04-23T10:22:54.129084,
17,1,Organic,,9.0,B0BW3DWXGL,"YUJUN 16 Pieces Big Diving Pool Toys, Beach Colorful Starfish Summer Swimming Underwater Pool Toys Soft Rubber Dive Throw for Kids Birthday Swimming Pool Party Favors Fish Tank Stuffer (2 Sizes)",N/A,$9.89,,4.7,574.0,False,https://m.media-amazon.com/images/I/81uOKdyApQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uOKdyApQL._AC_SL1500_.jpg,,2026-04-23T10:22:54.135213,
