data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:35:53.582134
2,1,Organic,,1.0,1607746875,Poole's: Recipes and Stories from a Modern Diner [A Cookbook],N/A,$26.24,,4.7,203.0,False,https://m.media-amazon.com/images/I/81wW4SMBqCL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81wW4SMBqCL._AC_UY218_.jpg,,2026-04-23T11:35:53.592691
3,1,Organic,,2.0,0500021953,Henry Poole & Co.: The First Tailor of Savile Row,N/A,$38.43,,4.4,38.0,False,https://m.media-amazon.com/images/I/71PEG4Vd2qL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71PEG4Vd2qL._AC_UY218_.jpg,,2026-04-23T11:35:53.600680
4,1,Organic,,3.0,B0CKPHD3ZP,Henry Poole Is Here,N/A,,,4.1,233.0,False,https://m.media-amazon.com/images/I/51Zsz7Yc-CL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51Zsz7Yc-CL._AC_UY218_.jpg,,2026-04-23T11:35:53.605909
5,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:35:53.606504
6,1,Organic,,4.0,B0CQKLVRWH,"Poole: Lighthouse Security Investigations West Coast, Book 7",N/A,$0.00,,4.7,1727.0,False,https://m.media-amazon.com/images/I/81wqAUSGoKL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81wqAUSGoKL._AC_UY218_.jpg,,2026-04-23T11:35:53.611870
7,1,Title,,,,More results,,,,,,False,,,,2026-04-23T11:35:53.612436
8,1,Organic,,5.0,B0FJ6BDBSH,Poole of Light: Book One of The Poole Legacy,N/A,$0.00,,4.7,36.0,False,https://m.media-amazon.com/images/I/713E1IgJ5QL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/713E1IgJ5QL._AC_UY218_.jpg,,2026-04-23T11:35:53.618239
9,1,Organic,,6.0,B0FRSX6MC2,Poole of Honour: Book Two of The Poole Legacy,N/A,$4.99,,,,False,https://m.media-amazon.com/images/I/61Gv6IAFE3L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61Gv6IAFE3L._AC_UY218_.jpg,,2026-04-23T11:35:53.622004
10,1,Organic,,7.0,B0DHW8VQSL,Poole's Gold,N/A,$0.00,,4.6,6104.0,False,https://m.media-amazon.com/images/I/91ih02boDaL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91ih02boDaL._AC_UY218_.jpg,,2026-04-23T11:35:53.632554
11,1,Organic,,8.0,B0G72FXL3G,The Brock & Poole Mystery Series Complete Box Set: All 5 Books (A Brock & Poole Mystery),N/A,$0.00,,4.6,54.0,False,https://m.media-amazon.com/images/I/81ECRJ2WA0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ECRJ2WA0L._AC_UY218_.jpg,,2026-04-23T11:35:53.639915
12,1,Organic,,9.0,B0B72KT463,POOLE PARTY,N/A,,,,,False,https://m.media-amazon.com/images/I/A1dOY4JgIML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1dOY4JgIML._AC_UY218_.jpg,,2026-04-23T11:35:53.643401
13,1,Organic,,10.0,B084ZRC5VH,Poole Incarnate,N/A,,,,,False,https://m.media-amazon.com/images/I/71PooWKZtuL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71PooWKZtuL._AC_UY218_.jpg,,2026-04-23T11:35:53.646706
14,1,Organic,,11.0,B0G3YVLSLY,500 LEVEL Jordan Poole New Orleans Pelicans Shattered Shirt,N/A,$35.99,,,,False,https://m.media-amazon.com/images/I/51RGuEzXhtL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51RGuEzXhtL._AC_UY218_.jpg,,2026-04-23T11:35:53.649977
15,1,Organic,,12.0,B0BWBFK5K2,Poole Surname Funny Team Family Last Name Poole T-Shirt,N/A,$21.99,,,,False,https://m.media-amazon.com/images/I/61sKiv15zEL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61sKiv15zEL._AC_UY218_.jpg,,2026-04-23T11:35:53.654505
16,1,Organic,,13.0,B0B6B9MX1C,It's A POOLE Thing You Wouldn't Understand Name Vintage T-Shirt,N/A,$18.95,,5.0,1.0,False,https://m.media-amazon.com/images/I/71IDXA9qiEL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71IDXA9qiEL._AC_UY218_.jpg,,2026-04-23T11:35:53.659653
17,1,Organic,,14.0,031024420X,The Complete Book of Questions: 1001 Conversation Starters for Any Occasion,N/A,$13.40,,4.6,635.0,False,https://m.media-amazon.com/images/I/9123XybD7mL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/9123XybD7mL._AC_UY218_.jpg,,2026-04-23T11:35:53.665973
18,1,Organic,,15.0,B0F89DSZHM,Out of the Crash,N/A,$5.99,,4.7,71.0,False,https://m.media-amazon.com/images/I/81+VX76pnxL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81+VX76pnxL._AC_UY218_.jpg,,2026-04-23T11:35:53.671193
19,1,Organic,,16.0,B0BT3T4V4C,Funko Pop Collectible Toy Figure - Jordan Poole - NBA - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans,N/A,$14.99,,4.3,6.0,False,https://m.media-amazon.com/images/I/71Zula9XCCL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71Zula9XCCL._AC_UY218_.jpg,,2026-04-23T11:35:53.678190
20,1,Title,,,,Previous123...20Next,,,,,,False,,,,2026-04-23T11:35:53.678854
21,1,SB,1.0,,,N/A,https://aax-us-east-retail-direct.amazon.com/x/c/JMSNMQ3s4DEZrf9QjQw9HAAAAAGduGh74gEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICBOt15Y/clv1c_ek-wxPHXUsbWDQWEK8rUvByudkBKflzvMOFBXizYzZ_McJqWZb9sPmaQ9kwfqPO02xCOdI_R8oWMYofSTRSaQ9wdln9bxU_DJb1h2oAjXE4u2y2DwsPzt2nh5DkU5PEvPZ3LH3A0NibkOdXmkJqi0MUT4N6YsvVqpgzgrjYrwp5TicvuRw-6yMG3IEve017sgBkhzFNbfkZLiKX4ve7u-viTH0WlAAmE_SzDiOLHEjwDN5D5bX8uzYCoqMqWcAfPB0yjhGa-gpXFjrXUcnHtTMOT7I0_psIOCOomELC1l4zTqrhD0oDJkS215AZ8ztTQj10Y_IBnqS9WSubhvz82oKMzfFgQU93OuhzBjH0sW-liG9KmqhY5p7OguRz1CFuFn96E-vo1MzqIebYH_RKj3yyERtRjnlQV1VTdmCUaw19i9_b3wOwD5yuDkbwEXy1l1KmQ8Dgbm0Lr8287sZopWlixXM_X2g78TWMyvgr2hTey-aGxxxQSLrfQgQ6WkyTjmaD89iOJ93TW8C_AmrA6umAcqYtEgrFSE-i2Bw_PkuqmiUX0xxFjgf21HXizPdYfMSSMIV-qnsVk34cH6IZM-QIcSTBOeD0cLg_NSYzQk37XkOQjJcb21QOIaiX2agX5A2ZCJdcSAvWjOO9Jd_j_4v_yNpW91Qfy1Pxou-WSj8nbiGy6lRjYoctLYQIbndT9g0_rhKr3KJGY3ffU6oxpUQat6X72zpYbWdYsNFAWGLQNDw1tEX2oisDh4LzqRqMXYg9ylSf-rSea1LQVb-f5npHJFNWxQqlB7vs4e6Zw6GUuGX54yDEWMl5N3RukZx5yHA2DmwQOm8XaD5Fojok3ax6W1jFYc-tutEGLVUbLw5Rxu9b7x5V-gSV833LT4j30LkitUWzCGlPgcutp27vXZzI_WCmSg1brTFJlfcLp_Yb9RP4aDYzpSyEOVfEnEllkY_zp1AVCp2jplhxJHDCTrSb1c7YRuevkPmkWUp1v1t_5Y__aQEmEA7KDg63MDxf_E7k1yaha2uEHR1NDHLTxz8Vrs2c6qKXS2d-TKA9uHmoJzBATbEHoddBm8Qz71Z1qC34Ke9r9CrmVwcrv09JFUWiNyJjpqfoo-AfYU5zPkJxperXhKY2ZEIAtNwaThKoe7LVTsXb59vmSyYVskXUUKF3DKxZMEy-HWXtVKSTztAiwG63dYNyjFf_OVKNlK6gnZP-MJuucRIDTRDhhC9bImkaovJPwR3zwwgK5eY_yjEPO6gik_PN8etE6P5fTGFwXtyIrlVOfl49cjYAuR5UqBnmnyydEzvDjd0gjdTCdMQs_nrZtHddEQYCugvRWpl_-_Iys3PYRT_4d7d00JSxGQAxXhPZn09N1MeZ6pbYlsXhYlOPoVCveoJ1nEZAyYt_apzfgpPxhjrSJSVZzHDYebVgL2Ed2UFhAWndgufqkzISlpxagOEHYSpj2wDKdifVGYlxcsp_sKe0Jvc90GTh2PzSv8jlFWuy_B0nfkSOwPSM1gE1CeyjZ8SFLoEeQq-dXW74m1PtNDAmwzqebslLRFX2jiI-Dj4wmTJ9u-DBGkSnS4nkeBkeKuLfZ_YwrglE4n2o5BP7NfdJRcEMuYN3oTtCVD3BwazZk64pOf0f9FYOgt4F8pBJaBQ_LKu6FiLDp40_NalKst4NmV1BTceazeFC0FXb1rA/https://www.amazon.com/stores/page/A1958459-232E-465D-B923-D407FE6D8EBF/?_encoding=UTF8&store_ref=SB_A007107038YI6QUEHN3W9-A0101941HD0M9M654U3P&pd_rd_plhdr=t&aaxitk=17fba36fdb1dddbe16c806662474ee68&hsa_cr_id=2729289180001&lp_asins=B083XN7C21%2CB084GW27SY%2CB084PZ27NV&lp_query=poole&lp_slot=desktop-hsa-3psl&ref_=sbx_be_s_3psl_mbd_mb0_bkgd&pd_rd_w=iJs6n&content-id=amzn1.sym.cd7c548b-a599-426f-9ffe-daa1aa803c87%3Aamzn1.sym.cd7c548b-a599-426f-9ffe-daa1aa803c87&pf_rd_p=cd7c548b-a599-426f-9ffe-daa1aa803c87&pf_rd_r=9HVJ1GP4JG4AGR9QA6VG&pd_rd_wg=MMuz4&pd_rd_r=a24822e6-df05-4faf-86a4-3397ce1c4ff6,,,,,False,,,N/A,2026-04-23T11:35:53.682413
22,1,Title,,,,Need help?Visit the help sectionorcontact us,,,,,,False,,,,2026-04-23T11:35:53.682928
0,2,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T11:36:10.087444
2,2,SP,1.0,,B0DSHXT75F,"URRED Oversized Modular Sectional Sofa, 157"" U Shaped Modern Comfy Cloud Couch with Movable Ottoman & Pillows, Deep Seat Couches for Living Room, Bedroom or Apartment (Chenille Beige, 157"" U Shaped) | Comfort, Softness, Multiple Cushion, Skin-Friendly, Ease Assembly",N/A,$799.99,,4.8,69.0,False,https://m.media-amazon.com/images/I/81I0YNhtKsL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81I0YNhtKsL._AC_UY218_.jpg,,2026-04-23T11:36:10.090727
3,2,SP,2.0,,B0FNCPFSMM,Women's Ankle Boots Pointed Toe Chunky Block Heel Suede Zippers Knot Bootie Fall Short Shoes,N/A,$59.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71TkJsu59VL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71TkJsu59VL._AC_UY218_.jpg,,2026-04-23T11:36:10.094495
4,2,Organic,,17.0,B0F1Z7FHZ4,A Deadly Invitation (Electra Poole Mysteries Book 2),N/A,$0.00,,4.6,379.0,False,https://m.media-amazon.com/images/I/81O6HJkV6vL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81O6HJkV6vL._AC_UY218_.jpg,,2026-04-23T11:36:10.099369
5,2,Organic,,18.0,B09L7DLVLY,It's A Poole Thing You Wouldn't Understand Surname Name Pullover Hoodie,N/A,$35.99,,,,False,https://m.media-amazon.com/images/I/71PT41m5J8L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71PT41m5J8L._AC_UY218_.jpg,,2026-04-23T11:36:10.102771
6,2,Organic,,19.0,B01489KX1O,American Ultra,N/A,$4.99,,4.4,9356.0,False,https://m.media-amazon.com/images/I/81pTZD5bq7L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81pTZD5bq7L._AC_UY218_.jpg,,2026-04-23T11:36:10.107309
7,2,Title,,,,The greatest series you've been missing.Sponsored|Shop nowPrevious pageRipple (Breakthrough Book 4)4,,,,,,False,,,,2026-04-23T11:36:10.108639
8,2,Title,,,,More results,,,,,,False,,,,2026-04-23T11:36:10.108776
9,2,Organic,,20.0,B0GX34M15J,"RUN BRITAIN 2026: Marathon Routes, Run Club Hotspots and Fitness-Focused City Breaks",N/A,$0.00,,,,False,https://m.media-amazon.com/images/I/717mS7bpGhL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/717mS7bpGhL._AC_UY218_.jpg,,2026-04-23T11:36:10.112347
10,2,Organic,,21.0,B0BCHBD32Z,Poole Last Name Funny Surname Team Poole Family Reunion T-Shirt,N/A,$17.99,,,,False,https://m.media-amazon.com/images/I/71vhu4IgoDL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71vhu4IgoDL._AC_UY218_.jpg,,2026-04-23T11:36:10.117041
11,2,Organic,,22.0,1647507952,"Missing Beth, Missing Out",N/A,$10.95,,5.0,10.0,False,https://m.media-amazon.com/images/I/71fM4WTactL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71fM4WTactL._AC_UY218_.jpg,,2026-04-23T11:36:10.124908
12,2,Organic,,23.0,B0DDRFWHMG,Most Dangerous Game,N/A,,,4.0,17.0,False,https://m.media-amazon.com/images/I/81xFrgGbd2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81xFrgGbd2L._AC_UY218_.jpg,,2026-04-23T11:36:10.128556
13,2,Organic,,24.0,B0CMCJM977,"Poole, MD Vintage Evergreen Sunset Eighties Retro T-Shirt",N/A,$19.99,,,,False,https://m.media-amazon.com/images/I/61kfiR39yRL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61kfiR39yRL._AC_UY218_.jpg,,2026-04-23T11:36:10.131547
14,2,Organic,,25.0,B0FZJGRQXC,Men's State College #2 Retro Vintage Throwback Basketball Jersey Embroidered,N/A,$42.99,,,,False,https://m.media-amazon.com/images/I/41cnOCK9KeL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41cnOCK9KeL._AC_UY218_.jpg,,2026-04-23T11:36:10.135872
15,2,Organic,,26.0,B075NR24TK,"Wooden Pine Box, 20 x 14 x 7″ Outside Dimensions, with 2 Piece Bottom",N/A,$32.95,,4.4,75.0,False,https://m.media-amazon.com/images/I/714s1zdnBKL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/714s1zdnBKL._AC_UY218_.jpg,,2026-04-23T11:36:10.139739
16,2,Organic,,27.0,B0G3YS3W8X,500 LEVEL Jordan Poole New Orleans Pelicans Shattered Youth Shirt,N/A,$34.99,,,,False,https://m.media-amazon.com/images/I/51RJmXOipOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51RJmXOipOL._AC_UY218_.jpg,,2026-04-23T11:36:10.143336
17,2,Organic,,28.0,B0CDXX3TSZ,His Family,N/A,$0.49,,4.0,153.0,False,https://m.media-amazon.com/images/I/71AkktRLfAL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71AkktRLfAL._AC_UY218_.jpg,,2026-04-23T11:36:10.151731
18,2,Organic,,29.0,B0FYTPYQDJ,The Conspiracy,N/A,$6.99,,,,False,https://m.media-amazon.com/images/I/61OWrHYyx6L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61OWrHYyx6L._AC_UY218_.jpg,,2026-04-23T11:36:10.157020
19,2,Organic,,30.0,096386954X,"Dragon Days: Time for ""Unconventional"" Tactics",N/A,$15.48,,4.4,36.0,False,https://m.media-amazon.com/images/I/71ue5AVQjvL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71ue5AVQjvL._AC_UY218_.jpg,,2026-04-23T11:36:10.161924
20,2,Organic,,31.0,0993352278,FROM HOPING TO HAVING: THE ‘3 Rs’ TO CREATE YOUR BEST LIFE : REMEMBER-RESET-RECEIVE : THE ULTIMATE LAW OF ATTRACTION GUIDEBOOK,N/A,,,4.7,270.0,False,https://m.media-amazon.com/images/I/61+u1CPCvlL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61+u1CPCvlL._AC_UY218_.jpg,,2026-04-23T11:36:10.167321
