data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T10:13:01.663143,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T10:13:01.664313,
3,1,Organic,,1.0,B0DXRY8JQK,"Pride Decorations, 97PCS Gay Pride Party Supplies with Banner,Balloons,Handheld Flags,Rainbow Curtain,Tattoo Stickers,Paper Pompoms,LGBT Month Decor, Gay Party Decorations",N/A,$13.99,,4.5,12.0,False,https://m.media-amazon.com/images/I/91xq0aJeHeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91xq0aJeHeL._AC_SL1500_.jpg,,2026-04-23T10:13:01.668948,
4,1,Organic,,2.0,B0DLNJBN2N,"2 Pack Rainbow Backdrop Curtains, 3.28 FT x 7.05 FT Colofull Party Decorations, Metallic Tinsel Backdrop Fringe Curtains Party Streamer, Rainbow Party Supplies for Wedding Birthday Party Engagement",N/A,$6.99,,4.5,3232.0,False,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DgSBmlgrL._AC_SL1500_.jpg,,2026-04-23T10:13:01.674535,
5,1,Organic,,3.0,B0BNV8GWVW,"LOLStar Rainbow Party Decorations, 2 Pack 3.3x6.6ft Pride Decorations, Cartoon Birthday Decor Foil Fringe Curtains Rainbow Theme Backdrop, Streamers Photobooth Prop for Happy Kindergarten Graduation",N/A,$6.39,,4.5,1998.0,False,https://m.media-amazon.com/images/I/91sAH4TRZYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91sAH4TRZYL._AC_SL1500_.jpg,,2026-04-23T10:13:01.678683,
7,1,Title,,,,Customers frequently viewedSponsored2 Pack Rainbow Pride Face Paint with Pride Tattoos- Gay Pride Ra,,,,,,False,,,,2026-04-23T10:13:01.681892,
9,1,Title,,,,"Debug info copied.SponsoredLOLStar Rainbow Foil Fringe Garland Pride Decorations, 6 Pack 59Ft Rainbo",,,,,,False,,,,2026-04-23T10:13:01.682381,
10,1,Title,,,,EBaokuup Pride Bunting FlagSponsored|Highly bought brand in outdoor flags & banners|Shop EBaokuupSho,,,,,,False,,,,2026-04-23T10:13:01.683411,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:13:01.683539,
12,1,Organic,,4.0,B0CZMWBB8D,Progress Pride Flag Backdrop for Photography Every One is Welcome Here Banner Gay Pride Day Month Parade Rainbow Party Decorations and Supplies for Home,N/A,$11.99,,4.8,23.0,False,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_SL1500_.jpg,,2026-04-23T10:13:01.686702,
13,1,Organic,,5.0,B0BZYHTG81,"Durony 145-Piece Rainbow Party Supplies Gay Pride Tableware Set with 24 Heart-Shaped Plates, Cups, Napkins, Cutlery, and Tablecloth for Rainbow Gay Pride Party Decorations, Serves 24 Guests",N/A,$16.99,,4.7,77.0,False,https://m.media-amazon.com/images/I/81dzns08ABL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dzns08ABL._AC_SL1500_.jpg,,2026-04-23T10:13:01.690748,
14,1,Organic,,6.0,B0FC6DZMQM,"PIGETALE 6 Rolls Rainbow Party Streamers Crepe Paper, Rainbow Party Decorations for Christmas Birthday Wedding Bachelorette Bridal Baby Shower Pride Party Candyland Backdrop DIY Supplies Art Crafts",N/A,$7.99,,4.3,43.0,False,https://m.media-amazon.com/images/I/71--5Sw8HlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71--5Sw8HlL._AC_SL1500_.jpg,,2026-04-23T10:13:01.697448,
15,1,Organic,,7.0,B0F4MWX6V5,"175 Pcs Rainbow Stripes Party Supplies Set - Serves 25, Colorful Disposable Plates, Cups, Napkins, Forks, Spoons, and Knives for LGBTQ+ Pride Month, Rainbow-Themed Birthday, Wedding Decorations",N/A,$21.99,,4.6,235.0,False,https://m.media-amazon.com/images/I/71bIeWe3vxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bIeWe3vxL._AC_SL1500_.jpg,,2026-04-23T10:13:01.702088,
16,1,Organic,,8.0,B09TW63Z3H,"50 Pack Small Pride Flags on Stick, 8.2x5.7 Inch Rainbow Hand Held Flags for Parades, Gay Lesbian Bisexual Transgender LGBTQ Party Decorations, Pride Month, Celebration & Events",N/A,$8.99,,4.8,230.0,False,https://m.media-amazon.com/images/I/61HvCxTYe+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61HvCxTYe+L._AC_SL1500_.jpg,,2026-04-23T10:13:01.708053,
17,1,Organic,,9.0,B0DYH284L7,"JarThenaAMCS 3Pcs Happy Pride Month Decoration 3.2 Ft Sounds Gay IM in Glitter Hanging Banner Love Heart Rainbow LGBTQ Bunting Garland for Gay Pride Day Celebration Party Backdrop Decor, 9.9 Ft",N/A,$9.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/71ZWWPe+qUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZWWPe+qUL._AC_SL1500_.jpg,,2026-04-23T10:13:01.711726,
18,1,Organic,,10.0,B0F26VJVT4,"8Pcs Gay Pride Hanging Banner, Love is Love Pride Banner, LGBTQ Rainbow Heart Garland, NO-DIY Pride Month Decorations Rainbow Birthday Bachelorette Baby Shower Bridal Shower Party Supplies",N/A,$9.99,,4.9,12.0,False,https://m.media-amazon.com/images/I/71Qf2nwNjtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Qf2nwNjtL._AC_SL1500_.jpg,,2026-04-23T10:13:01.715435,
19,1,Organic,,11.0,B0CNPDNT3Q,"LOLStar Rainbow Party Decorations, 2 Pack Wavy Metallic Tinsel Foil Fringe Table Skirts, Perfect Table Decors for Birthday Holiday Wedding Engagement Bridal Shower Pride Party Cartoon Party",N/A,$7.99,,4.6,379.0,False,https://m.media-amazon.com/images/I/81riSAl+oXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81riSAl+oXL._AC_SL1500_.jpg,,2026-04-23T10:13:01.719703,
20,1,Organic,,12.0,B0D2LG4DX1,Giant Pride Day Balloons Rainbow Foil Balloons 38'' Large Rainbow Balloons for Pride Parade Supplies Festival Gay Party Decorations LGBTQ Birthday Party 4PCS,N/A,$9.98,,4.2,29.0,False,https://m.media-amazon.com/images/I/71cqCIh5hbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71cqCIh5hbL._AC_SL1500_.jpg,,2026-04-23T10:13:01.723431,
21,1,Organic,,13.0,B09MLWRTY2,KAWKALSH Rainbow Balloon Arch Kit 111Pcs 18 12 5 Inch Latex Colorful Party Balloons Garland for Birthday Baby Shower Wedding Engagement Anniversary Christmas Party Decorations,N/A,$9.99,,4.4,3593.0,False,https://m.media-amazon.com/images/I/71IdwYTmIlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71IdwYTmIlL._AC_SL1500_.jpg,,2026-04-23T10:13:01.728644,
22,1,Organic,,14.0,B07XBRWFKG,"Outus 6 Pack 72 Flags/8.2 ft Rainbow Pennant Banner, Multicolor Bunting String Triangle Flags Garland for Birthday Party Classroom Carnival Baby Shower Indoor Outdoor Decorations(Rainbow Colors)",N/A,$15.99,,4.5,901.0,False,https://m.media-amazon.com/images/I/71Q1PLzm6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Q1PLzm6zL._AC_SL1500_.jpg,,2026-04-23T10:13:01.733242,
23,1,Organic,,15.0,B0F1FHZHYG,34PCS Pride Decorations Rainbow Party Set for Office - Pride Month Love Is Love Banner Foil Curtains Balloons LGBT Hanging Swirls Paper Fans Pom Poms Honeycombs Home Decor Supplies,N/A,$18.99,,5.0,7.0,False,https://m.media-amazon.com/images/I/91I2ugvIZ2L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91I2ugvIZ2L._AC_SL1500_.jpg,,2026-04-23T10:13:01.736634,
24,1,Organic,,16.0,B0DNV5Z4MN,"xo, Fetti Pride Temporary Tattoos - 52 Iridescent Foil Pcs | Gay Decorations, LGBTQ Bachelorette, Rainbow Sticker Favors, Queer Party Decor",N/A,$6.99,,4.7,25.0,False,https://m.media-amazon.com/images/I/71LOM694szL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71LOM694szL._AC_SL1500_.jpg,,2026-04-23T10:13:01.739986,
25,1,Organic,,17.0,B00N1QPNMA,"PartySticks Glow Sticks Party Supplies 100pk - 8 Inch Glow in the Dark Light Up Sticks Party Favors, Glow Party Decorations, Neon Party Glow Necklaces and Glow Bracelets with Connectors",N/A,$7.99,,4.6,28688.0,False,https://m.media-amazon.com/images/I/81JYNlch58L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JYNlch58L._AC_SL1500_.jpg,,2026-04-23T10:13:01.744812,
