data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-23T09:51:04.764925,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-23T09:51:04.766230,
3,1,Organic,,1.0,B0GHNCZG4H,"4th of July Decorations - 2 Pack Red White and Blue Streamer for 250th Anniversary | Fourth of July Accessories Party Favors for Outdoor Outside Home - Memorial Day Patriotic Flag Banner Decor,10 FT",N/A,$3.98,,4.5,50.0,False,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_SL1500_.jpg,,2026-04-23T09:51:04.771983,
4,1,Organic,,2.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,4011.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-23T09:51:04.775503,
5,1,Organic,,3.0,B0G8G3QRVM,Tigeen 14 Pcs Red White Blue Artificial Flower Patriotic Decor 4th of July Fake Baby Flower 2 Flag 250th Anniversary Table Centerpieces for Memorial Veterans Independence Day Home Decor,N/A,$15.99,,3.8,3.0,False,https://m.media-amazon.com/images/I/81yyGf8Om0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81yyGf8Om0L._AC_SL1500_.jpg,,2026-04-23T09:51:04.778802,
7,1,Title,,,,"Debug info copied.Sponsored8 Pack USA Pleated Bunting Fan Flags, 1.5x3 Ft USA Patriotic Half Fan Ban",,,,,,False,,,,2026-04-23T09:51:04.779578,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:51:04.779717,
9,1,Organic,,4.0,B0B3HVT6FZ,"RUBFAC Red White and Blue Balloons Arch Kit, 4th of July Balloons Patriotic Decorations, Birthday Wedding Nautical Baseball Theme with Star Foil Balloons Decorations, 160pcs",N/A,$9.99,,4.5,422.0,False,https://m.media-amazon.com/images/I/71ZFuIhSbKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZFuIhSbKL._AC_SL1500_.jpg,,2026-04-23T09:51:04.783349,
10,1,Organic,,5.0,B096DQY4G8,jiebor 30Pcs Red White and Blue Decorations Star Swirl Garland Banner Hanging for Memorial Day 4th Of July Independence Day Labor Day Home Party Decorations,N/A,$6.99,,4.4,88.0,False,https://m.media-amazon.com/images/I/71kNwm6sxaS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71kNwm6sxaS._AC_SL1500_.jpg,,2026-04-23T09:51:04.786965,
11,1,Organic,,6.0,B09XX27TX7,4th of July Patriotic Decorations Red White Blue Hanging Paper Fans for American Fourth of July Memorial Day Independence Day Veterans Day Party Decor Supplies Set of 12,N/A,$9.99,,4.5,137.0,False,https://m.media-amazon.com/images/I/81WAJ-5HSVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WAJ-5HSVL._AC_SL1500_.jpg,,2026-04-23T09:51:04.791027,
12,1,Organic,,7.0,B0D6YCBBH5,"BAUANOOY Red White and Blue Balloons, 60pcs 12 Inch Red White and Blue Decorations with Confetti Balloons for Independence Day Patriotic Anniversary Veterans Day Graduation Birthday Party Decorations",N/A,$6.99,,4.7,918.0,False,https://m.media-amazon.com/images/I/717XJAkBwcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717XJAkBwcL._AC_SL1500_.jpg,,2026-04-23T09:51:04.795986,
13,1,Organic,,8.0,B0GQT2YND1,"4th of July Table Decorations, 3Pcs Red White and Blue Decorations, Retro Patriotic Memorial Day Tiered Tray Decor, Labor Day Independence Day Fourth of July Decor for Home Office Shelf",N/A,$13.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71OPVh8tmBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OPVh8tmBL._AC_SL1500_.jpg,,2026-04-23T09:51:04.800399,
14,1,Title,,,,4th of july ornaments  memorial  for small  treeSponsored|Highly bought brand in this category|Shop ,,,,,,False,,,,2026-04-23T09:51:04.802062,
15,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:51:04.802200,
16,1,Organic,,9.0,B07SVXSKCK,6 Pack Patriotic Star Streamers Garland Red White Blue Bunting Banner Paper Hanging Decorations for 4th of July American Independence Day Labor Day Holiday Memorial Day Party Supplies (50 Feet),N/A,$6.97,,4.6,1639.0,False,https://m.media-amazon.com/images/I/71ae9SUJ9jL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ae9SUJ9jL._AC_SL1500_.jpg,,2026-04-23T09:51:04.805939,
17,1,Organic,,10.0,B0BYYV7QYW,6 Pcs 4 of July Tiered Tray Decor Patriotic 250th Anniversary Wooden Firework Sign Faux Book Stack Sign Rustic Fireworks Centerpiece Red White and Blue Table Decor for Independence Day Home,N/A,$8.59,,4.2,64.0,False,https://m.media-amazon.com/images/I/716yR+wrFRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/716yR+wrFRL._AC_SL1500_.jpg,,2026-04-23T09:51:04.810072,
18,1,Organic,,11.0,B0DZ1Y16LB,"52.5Ft Patriotic Glitter Tinsel Garland Decoration, Red White Blue Star Metallic Tinsel Twist Garland, 4th of July Decor Parade Golf Cart Shiny Tinsels for Car Bike Independence Day Memorial Day Decor",N/A,$16.99,,4.5,97.0,False,https://m.media-amazon.com/images/I/91OrC9ZtG9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91OrC9ZtG9L._AC_SL1500_.jpg,,2026-04-23T09:51:04.814100,
19,1,Organic,,12.0,B0CWN9J3VW,"cshare Red White and Blue Lights Battery Operated, 4th of July Lights with Timer Outdoor Waterproof 9.8ft 30 LED for 4th of July Independence Day Decorations Garland Party Garden",N/A,$5.94,,4.5,1409.0,False,https://m.media-amazon.com/images/I/71flmfbgYVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71flmfbgYVL._AC_SL1500_.jpg,,2026-04-23T09:51:04.818137,
20,1,Organic,,13.0,B0CY7VH1MY,"GOAUS 3x6 Ft American Bunting Flags with Grommets&Zip Ties, 4th July 250 Anniversary Decorations Outdoor USA Patriotic Pleated Fan Banners, Red White and Blue Decor for Memorial Day (Set of 4)",N/A,$26.99,,4.5,58.0,False,https://m.media-amazon.com/images/I/71bTGuG6QlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71bTGuG6QlL._AC_SL1500_.jpg,,2026-04-23T09:51:04.822929,
21,1,Organic,,14.0,B09TB4M7QB,Sratte 36 Pcs Memorial Day Ornaments Patriotic Hanging Decorations for Tree 4th of July White Red Blue Ornaments 250th Anniversary for Indoor Outdoor Independence Day Decorations (Stylish Style),N/A,$13.99,,4.6,216.0,False,https://m.media-amazon.com/images/I/81aCs8DMY1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81aCs8DMY1L._AC_SL1500_.jpg,,2026-04-23T09:51:04.826227,
22,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:51:04.826657,
23,1,Organic,,15.0,B0CTYC8JQ6,Lyrow 24 Pcs Red Blue White Patriotic Artificial Flowers 4th of July 250th Anniversary Table Centerpieces Decor Fake Babys Breath Pick Stems Floral Arrangement for Veterans Memorial Day Home Outdoor,N/A,$29.99,,4.4,67.0,False,https://m.media-amazon.com/images/I/91Xx6lmqZML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Xx6lmqZML._AC_SL1500_.jpg,,2026-04-23T09:51:04.830656,
24,1,Organic,,16.0,B0CT8Q7RWP,GuassLee 18pcs 4th of July Patriotic Decorative Balls Rattan Decoration - Red Blue White Balls for Independence Day Home Decor Craft Vase Bowl Filler Table Party Supplies Decorations,N/A,$12.99,,4.4,261.0,False,https://m.media-amazon.com/images/I/81ZBUDZhzkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ZBUDZhzkL._AC_SL1500_.jpg,,2026-04-23T09:51:04.835763,
25,1,Organic,,17.0,B0GHY5SM9V,4th of July Decorations - Patriotic USA Stars Floral Table Runner | Fourth of July Accessories for Memorial Day - 250th Anniversary Decor Party Supplies Indoor Outdoor Home,N/A,$5.97,,4.6,303.0,False,https://m.media-amazon.com/images/I/81DDx+r0tmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DDx+r0tmL._AC_SL1500_.jpg,,2026-04-23T09:51:04.841715,
26,1,Organic,,18.0,B07SX1VWY1,4th of July Decorations Outdoor - Hanging American Flag Banners Stars and Stripes Porch Sign -Patriotic Memorial Day Decor Party Supplies for July Fourth Independence Labor - Red White Blue (2 Pcs),N/A,$9.99,,4.4,2610.0,False,https://m.media-amazon.com/images/I/71fWs4SI+oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71fWs4SI+oL._AC_SL1500_.jpg,,2026-04-23T09:51:04.846767,
27,1,Organic,,19.0,B0CZMKMW66,BEISHIDA Red White Blue Hanging Honeycomb Round Paper Fans Decoration Patriotic Theme Tissue Paper Fan Garland for Baby Shower Kid Birthday Graduation Wedding Party Supplies（11packs）,N/A,$13.99,,4.8,1223.0,False,https://m.media-amazon.com/images/I/711AiqUdvHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/711AiqUdvHL._AC_SL1500_.jpg,,2026-04-23T09:51:04.851502,
28,1,Organic,,20.0,B0F36X2524,"3 Pcs 4th of July Wooden Star Signs Decorations, Rustic Star Shape Tiered Tray, Memorial Day Decorations, 250th Anniversary World Cup",N/A,$13.99,,4.6,9.0,False,https://m.media-amazon.com/images/I/61mrGHfdNwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61mrGHfdNwL._AC_SL1500_.jpg,,2026-04-23T09:51:04.856291,
29,1,Organic,,21.0,B0CT7RP8HZ,"4th of July Tiered Tray Decor Wooden Star Set, 3 Pcs Memorial Day Table Decorations, Rustic Patriotic Tabletop Home Decor, Red White and Blue Decorations for Home (Shiny)",N/A,$15.99,,4.6,458.0,False,https://m.media-amazon.com/images/I/71FB-B+IgYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FB-B+IgYL._AC_SL1500_.jpg,,2026-04-23T09:51:04.862130,
30,1,Organic,,22.0,B0CYXGRNHL,"Hananona 12 Pcs Artificial Chrysanthemums Flowers Patriotic Flower, 4th of July Fake Mums Flowers Silk for Home Decor Indoor Memorial Day Table Centerpiece Vase not Included (12, Red, White, Blue)",N/A,$13.99,,4.5,936.0,False,https://m.media-amazon.com/images/I/71O-iH7qSkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71O-iH7qSkL._AC_SL1500_.jpg,,2026-04-23T09:51:04.869915,
31,1,Organic,,23.0,B0BZ7K8RXR,"2 Packs Solar 4th of July Decorations Outdoor Lights, Solar Red White and Blue Star Pathway Lights, Waterproof Outdoor Patriotic Decorations Lights for July 4th Memorial Day Garden Yard Pathway Grave",N/A,$20.99,,4.5,261.0,False,https://m.media-amazon.com/images/I/71ojQjJvK7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ojQjJvK7L._AC_SL1500_.jpg,,2026-04-23T09:51:04.874223,
32,1,Title,,,,More results,,,,,,False,,,,2026-04-23T09:51:04.874714,
