data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Camping Themed Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JBpx507zOeWXZ0ISHDCdFdIAAAGduEUrcQEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAWB7Ue/clv1c_ek-IBAXWFbbezjI3YptcKUSh-r1b6wNjVsEyf1anfvSPBcEu77Ohh1ldVz2Ly_1wtXI2XY9BGMGRvKyH9GOLVcRQK2Xzt6yBz-pqHuFe0c4XD0oqarX8WmOw0vlxvWhF3iA_JON4u8gb3vlMS1QWAQM74NiY5jVrkkj91jWGbNee3WIb6oIKJtsGC6KbTLIjG9BwAYiKnwfDz4jb4yigKOA5tH-epCayNkUXj4VRijJCdDVDT1eSlD1lmiAOhPeO8JtWbY6pZFU4MWeq2lVRWRM3pp-fpzAXyTbDZiri_WscT1XbFS1i0rOfgH4k3J6muwFiBNpJgKmMyp2c8d6M9zKz019HW8Jcg_vD8GigJ_iOkr6Bi3PLLGrLm48xWggGHg0g1S1LCWgNjR7Hw-lGpGC6r5CiVQxSr1zIZ2-ZouduvNdRR1-QwyjGCxSyMLyZ6tse32W_-AZyS_MsKB5Hh2eyGoChjIg4RgEVdIOsLdqhNV_Vsy-Yp0iN8_hAZa3HVeet9zvdxmRXvdrSYnPsyjESM4SFueJ-dNGW0RTIN2bVKumGfpuz3kiqwt3OAnuguo7gvO_RlTOHV0kWQD0WdCk8Ar2R-xhmGYUTs4ZdXUfo9PXRjekyqzhElEjDNJWYVWHscNQjv_ZAFBCXrzSxxfneN285HP_ZhuN-lmY6dn-XHZZvbgQ2WeC4RTd4uTnU0GSmX669uDC6r6PhOkoGgqDDSPDfL5enVbeir-EzdKd40gwXU427sNjstQMxp7_uYMi5hZCFwXuRjjgm40YlS57HjmNEOovpz-dRuKpI370DXSxG5wGk0mQCTi_YYR7ZW4X8Y6QK4Z8jolQVfkskGD-XofDhuLhMIuqrZ12M3WycsjBs2sVQu9mDEHroKRhivHex4-xUylLf08belUeyzyzNusrnQc6kHJv8OfzO8uAFcmqUXx7vroRa6xTsdLKHQ_v9sdW_8W7ZGmMKDC2iupj4q9HrmOOlRNKjpCIX62P5vTutGhLgz-lVWE3zsBxanstCCd5iVkiMVX7YPf_FjSOJyFIwD_80vpq8EVQt65uHsjiTjyp50nviuPzvyy4bYnHs7Qpt6hZ_vr4BSUE_sJ0QxZFAtEMyWamYierDUoAxjttA83S2INL1PQKcExw6oZoEzJBf1mIxKvOiMzoWGqZvthjt9Z2N_9_VYHmGmwZ5wnTg-AcJV1TAqm_qTW1GjRPQubzKZVsoDhBYk97NB1uohrMm82cXqDVm9x25re7xZ9cd2THax5T1NqXvdi2YHrOJ3g7gjEvl8hzr2VMEG2IUZBlrBjSV0lFIin8Yj765TxdyGOTbLQVIrNDWnOnvxmTpxkvR2OsNdyMSv5rwzbwBL3Q6HqoixBdEBN-4BlFMjVmH8KKkbQir29Lh9Eb6AGAcShKT1iat72YhJBtqHzVBeUl1eHVgFsRzdMOwFtlkR_Z5ZFTrMR158BBCudw_JlyzZxTFeIxQjCDqt8g6YI0yr0UFd7ZCtlCa3GMIcSISXsCeDJp_ZW6SJyj7nXYDZRlGc-R-ZzKWffw4_F1F8dLgGp1INLb_JrjFBz2CM5_AyFQHkSOgsIg-gwx62BP9Smt_D5dmGlfS7TfoLBgYNMeNVADXFFStnFlN8R0BZOBCcuN5qJ6_74NAJty1hEhKJ7mskG33WvUGPlc2dJFDL2xw_9uwgyI/https://www.amazon.com/stores/page/67D952C8-5D34-4DD0-8B3C-8C75AA93DAF4/?_encoding=UTF8&store_ref=SB_A02070671FGKWSZE2L2LP-A08545016DASF4C5IAIR&pd_rd_plhdr=t&aaxitk=fce70cafe61f4d0f5f6debe51d0ab621&hsa_cr_id=0&lp_asins=B0G2G95V1F%2CB0BRS2HPWJ%2CB0DYN9P7V9&lp_query=summer%20camp%20door%20banner&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=ELcrf&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=G3GC1G6GY3CAHFHGE11P&pd_rd_wg=eSUWq&pd_rd_r=e5deee6e-af3a-46eb-a55b-023bfabfd479,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ebe037c6-ded1-4790-9cbb-c1647dec76a1._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Camping Themed Party Decorations,2026-04-23T10:57:19.122561,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options.,,,,,,False,,,,2026-04-23T10:57:19.123138,
3,1,Organic,,1.0,B0G6Y44B9X,Camping Door Banner Decorations for Kids Adult Happy Camper Porch Sign Welcome Camping Party Front Door Banner for Outdoor Indoor Summer Camp Adventure Themed Birthday Baby Shower Decorations Supplies,N/A,$9.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71Ym+krlOvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Ym+krlOvL._AC_SL1500_.jpg,,2026-04-23T10:57:19.127523,
4,1,Organic,,2.0,B0DWXLQG6F,3Pcs Camping Party Decorations Porch Banners Backdrop for Summer Camp Campfire Adventure Door Cover Camper Theme Birthday Baby Shower Photo Booth Props Supplies,N/A,$11.99,,4.6,20.0,False,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_SL1500_.jpg,,2026-04-23T10:57:19.134575,
5,1,Organic,,3.0,B0BV21BSRG,"Summer Party Decorations Porch Sign, 71"" X 12"" Hello Summer Banne for Office Indoor Door",N/A,$9.99,,4.6,94.0,False,https://m.media-amazon.com/images/I/71WsYe4+xCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71WsYe4+xCL._AC_SL1500_.jpg,,2026-04-23T10:57:19.138661,
7,1,Title,,,,Debug info copied.SponsoredPeryiter 3 Pcs 2026 Vbs Jungle Party Decorations Banner Safari Rainforest,,,,,,False,,,,2026-04-23T10:57:19.140082,
8,1,Title,,,,More results,,,,,,False,,,,2026-04-23T10:57:19.140386,
9,1,Organic,,4.0,B0CW5M386F,"Summer Time Door Banner for Summer Party Decorations, 6x2.9ft Summer Time Door Cover Watermelon Door Banner Sign Summer Time Popsicles Ice Banner for Seasonal Indoor Outdoor Home Party Wall Decoration",N/A,$9.99,,4.7,13.0,False,https://m.media-amazon.com/images/I/81tRGtd5H8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tRGtd5H8L._AC_SL1500_.jpg,,2026-04-23T10:57:19.144708,
10,1,Organic,,5.0,B0GSD3L2H9,3 Pcs Camping Themed Party Decorations Camper Banner Welcome Porch Sign Camper Adventure Door Porch Banner Summer Camp Hanging Backdrop for Birthday Indoor Outdoor Hawaii Themed Party Supplies,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/7156hQziMUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/7156hQziMUL._AC_SL1500_.jpg,,2026-04-23T10:57:19.147946,
11,1,Organic,,6.0,B0DXF3MXS4,AIBIIN Hello Summer Porch Sign Decorations Banner Tropical Beach Hawaiian Summer Door Front Door Decorative Hanging Welcome Summer Banner Porch Decorations Indoor Outdoor 70.8x11.8 inch,N/A,$8.99,,4.4,3.0,False,https://m.media-amazon.com/images/I/61LBVXplufL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61LBVXplufL._AC_SL1500_.jpg,,2026-04-23T10:57:19.152408,
